,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22H,23C,24H,25H,26N,27H,28C,29N,30H,31H,32N,33H,34H,35C,36O,37O,38H
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0916637038927055,1.0947208535220392,1.4747844000165422,2.130429689366773,2.5113695257808235,2.921953744150582,2.673821468654676,3.92141194207529,3.7149156921870237,4.012496347286469,4.559047678486942,4.817043625137241,5.490002512445422,5.47884569851844,6.350070209416667
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7467366834530442,2.09252318508442,2.952108652207574,2.7094497071468213,2.709351538837745,2.2653739429113178,3.626341406418437,3.999515100379084,4.414285042504242,4.718792488121469,4.655630232377099,5.162063063152258,5.5366453055560205,6.374671291188173
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.063770390970575,2.326891085868526,3.3013065304249336,3.9005120205626214,3.717642816899561,4.873894145931107,4.335696658363145,4.4016000810238705,5.263300206675198,5.086227199610537,5.6448723554543525,5.751077792045064,6.5396891964279495
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0121489598700213,1.3390454555278093,2.3368682104080922,2.646050407198155,3.237132290479205,2.3103415011737587,2.548481684586286,3.232564321376874,6.171791616470307,6.904392590677298,6.741479416896113,7.654567471791672
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0010759962522235,3.2064857778505176,3.61442272382374,4.023158165049867,2.4525608941668433,2.3276234434560936,3.450454798152833,6.781516984158702,7.550771817523591,7.236031124382021,8.134039718392433
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3306758162550436,2.0954859071631025,2.0287976656775593,1.3528931236096937,2.060793320545031,2.060906138737212,6.80202525037989,7.541368722341123,7.397312509230557,8.34193557706844
29N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0332301312659085,1.0106265915611685,2.319284454279454,3.2181301475773845,2.544033208714394,6.397158232001642,7.090951772118661,7.070307895991513,8.008068091524883
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7344086912130714,3.280301531935204,4.12566616509855,3.5681331889765593,5.458838034251325,6.128765050328881,6.183653937159738,7.103407330929905
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.520822861193647,3.479904963500135,2.3361798680959414,7.182819200597542,7.84361072931902,7.865644305785015,8.796868027913256
32N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0101477016572218,1.0098203388741382,8.120479080278608,8.885195771224781,8.652049780589554,9.606315725677831
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7188455373065534,8.66023446319134,9.406131964379592,9.180515482771593,10.118875116479249
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.725535815794016,9.492169612677392,9.256825076093675,10.22038761317719
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2114155318485516,1.3423967706801276,1.8837823977521253
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2591878062559974,2.3212266795327285
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9776096204406751
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
