 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,C23,H24,H25,N26,H27,C28,N29,H30,H31,N32,H33,H34,C35,O36,O37,H38
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0540281624742525,3.673337976466375,0.1480264586746295,0.28678057432452664,0.02435179712158786,0.0349719564439607,0.000846770352958881,0.003849385532932903,0.004251059781371552,0.00043696908340229434,0.0022246904974865256,0.0106355242532431,0.01664456800914671,0.0004825507396184481,0.0012405107677426752,0.0002870595403491327,0.002675309655121111,0.02078819434478435,0.03299952496002623,0.0005753640662420345,0.0008552060595192479,0.00017713672562247318,4.9349730965264627e-05,0.03119902388851506,0.007397377225664067,0.006103967344190525,0.0014392627993642382
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5236427437027902,0.02386457221011451,0.05826798278880364,0.028443937365036587,0.011085099295412515,0.0008294481288065869,0.001078122737501186,0.016713991431884977,0.0017911011937429278,0.01752285201410886,0.01114662917269911,0.008139451660638786,0.000896805759803998,0.0015777552139126239,0.0001928185653118364,0.011133041332251972,0.09710195808474309,0.2768977547960494,0.001590821617014515,0.0031313581354381614,0.0004977200542494176,0.00016757023272673255,0.008511060254592057,0.0039318849191462,0.0013104086333819917,0.00032085925290525896
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5473110188782733,2.7477173682129536,0.09618341511872386,0.17290123154168174,0.008787233915805048,0.026236716594195242,0.00911821444646456,0.0012914716523719783,0.0010568666875494515,0.0069405213684596845,0.004367012052647445,0.00020698289177334406,0.0010494270326176641,0.0001205536157188325,0.0009344038421890827,0.007311766981160012,0.008529416338628248,0.00017846352609274252,0.0003455068903306796,9.913753403612002e-05,3.163481266299506e-05,0.1958429263087394,0.06030197252567588,0.02668618234378315,0.005214445977649196
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09515009493414062,0.020736950372159058,0.005398294479492249,0.000978957284041515,0.0001744097016174173,0.00034150987943970534,7.07635198400336e-05,0.00014421708247147613,6.9449198594973e-05,8.483811996140567e-05,1.653381396593545e-05,1.2571375486158942e-05,4.826477455255329e-06,2.885822060849641e-05,0.000135436688706303,4.681712894694101e-05,5.9881106435621945e-06,7.768483155756734e-06,2.246298493879806e-06,5.014085968646498e-07,0.03225850570176125,0.07728504269171022,0.005341628400744813,0.00015652494418993967
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.874638956130211,2.561040588336532,0.08326367707792115,0.10200081381606263,0.1549326849533765,0.0218974326653274,0.0167843309190836,0.008936140553151284,0.0005493052779925733,0.00045917075026857823,0.0018634170453225019,0.00017783171683416477,0.00047100368154809336,0.0006828581942256995,0.0006949375852499662,1.78312189188512e-05,0.00013147786989609056,1.3561210518209244e-05,2.0051465195569662e-05,2.7543000663865596,0.2845011415610201,0.2210437831209896,0.05350607625622583
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07827177738108726,0.03165778632454308,0.0032764245120895374,0.012148100714928889,0.0005055086340046699,0.006878291008118431,0.0005626370003620762,6.380719751808428e-05,0.00030330907712206034,6.092210792740804e-05,3.2974592651946466e-06,5.8698646588029035e-05,0.00015119914666350542,7.349645230481094e-05,2.144977789386715e-06,1.583278076755512e-05,3.6256861106753746e-06,4.2428412716510877e-07,0.10693636487512936,0.028901053535769772,0.010616772911732797,0.0006462399990909695
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9630115257736118,1.7375462810860922,2.8462461721836587,0.08972950182846562,0.08071486245231818,0.17032029037277518,0.004936381688966152,0.007594635750482359,0.03314444043128109,0.0006525427076095047,0.0056701609176774415,0.0016380331625870798,0.000629117538660795,2.488773344389017e-05,0.0018345042759006225,0.00010469006070212838,0.00023369673101891753,0.19078910228754228,0.04111781276341944,0.03449681702258951,0.00224522716473341
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02583855342848418,0.08237095019500218,0.001140456029181447,0.028848958698133087,0.01757789855843095,0.00028623235090652344,0.004896317923638094,0.0014006648716939907,3.260511026703661e-05,0.0005729590791918593,0.00022029585390093143,0.00011297901515150421,1.6012269878018515e-05,9.691487952456779e-05,2.4348518554706544e-06,1.2549539983641722e-05,0.0076100140492165735,0.0012055982400762666,0.0007651935020958067,0.0001460469430414335
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09514922654116953,0.011703220396419578,0.0012502079722496173,0.02273020804364012,0.000302863721684421,0.00019489793679627887,0.002630509751919252,0.0001195708560508546,0.0006386143986543136,0.00018948259086559727,1.9629161770451375e-05,4.3557658857551473e-07,0.00017987441079025945,1.851998021029644e-05,4.396377209059388e-05,0.015281438098095235,0.0026589057905188618,0.020318607867983562,0.00036869719936882817
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1243759575271013,2.0602087038731236,2.8224068243802773,0.08002004135477492,0.08070962087662603,0.18427482379049742,0.004901482235138088,0.034759100291440664,0.010262866078860816,0.003503609348414538,0.00020600365546641353,0.010288495956551735,0.0004001520624967725,0.0005352545548902299,0.030069212817310342,0.007794350252670362,0.005074897992203897,0.00044517637810692623
