 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,O27,H28,C29,H30,H31,H32,C33,O34,O35,H36
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.700400546454592,2.158162843171766,1.925495545950774,0.17394783914531664,0.009954641264002806,0.009186073735211409,0.03157756733903927,0.0025366119537317544,0.0009968013959677363,0.0031112281307923845,0.006864958381158748,0.00043293533355033553,4.231560568312975e-05,0.00011243332778324011,1.693738064656447e-05,1.14200703971723e-05,9.254516991852313e-06,1.4405688125801452e-05,2.2839970096333317e-06,1.5328832397853986e-06,6.819871083196816e-06,0.000411155178040884,0.00162671761347883,0.0001427253137913087,9.848665400435941e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02322414032878206,0.024135080686756627,0.03174060897689546,0.0006849005772135985,0.000468238068461968,0.00292051769090218,0.0010205153920350707,0.00027368378989034436,0.0022371069750193318,0.006696209025836675,0.00042197655200659767,2.6097411951031546e-05,9.46110686061985e-05,2.2468461920777116e-05,1.237633210959821e-05,9.465865064228751e-06,8.267790638338823e-06,5.878223292565821e-07,8.328819220970729e-07,7.83392830161489e-07,0.00017230441853932632,0.0009154807846595281,8.874058298036225e-05,8.08399454799158e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02310824183970528,0.009071156537212133,0.00016956704279946777,0.004213827772341805,0.0005432218212830797,0.000496903656863612,0.0001364038452894567,0.00019286493713455144,0.0004065929204717378,5.325837488290297e-05,1.1698145132132964e-05,8.359626240350693e-06,3.122610099381973e-07,2.5532806922079487e-06,2.640475901927175e-06,2.4438299766060823e-06,1.0611715020036883e-06,2.292777796508716e-07,2.5275623649623213e-06,8.973637074105589e-05,0.00016976296053172746,2.017499260342781e-05,7.264963859388018e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010726716007029902,0.004628577960422264,0.00016942906903705257,0.0007712981036951394,0.0001587696757741064,0.00014353648873244307,9.315088720929232e-05,0.00037572775400951386,1.1636307409634838e-05,1.5455524924323782e-06,1.6576167740645076e-06,1.713718817963894e-07,5.193132026626301e-07,8.10900167014239e-08,1.655699350622264e-06,4.0993008121326113e-07,3.2741909827826987e-07,7.394511147840177e-07,3.341434569348323e-05,0.00019015728497906448,1.12777636050998e-05,3.529123631107467e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9245094781722871,2.1765648088796414,1.8467817558206416,0.0026459466264281417,0.0005345414468815868,0.0010891238584906648,0.0003930969095605752,0.000160672626526831,1.6172670573300074e-05,3.86921415321817e-05,6.656865052856453e-06,6.636362679099395e-06,1.1071500362835884e-05,1.1407249740996717e-05,3.6079172427427864e-07,7.458128021831101e-07,8.482607726900682e-06,0.00014186817500141946,0.00020647222296421575,2.1117092314823505e-05,3.4929693141227958e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022913422794878624,0.024119706218642012,0.00020359255955959554,3.6165149529532314e-05,9.747210916954963e-05,7.097999317196013e-07,1.345525194662578e-05,6.129292380308016e-07,2.4389691182236106e-06,5.821562831798133e-08,4.541149802861355e-07,6.867498019147433e-07,9.758730872277965e-07,2.8463590817651152e-08,2.098430318397959e-08,5.450908668880317e-07,6.303570026622296e-06,4.560072219050859e-06,1.5769594841064105e-06,7.101082488691901e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023039352233964916,0.0007336215274034164,8.180891272946411e-05,0.0004266603980966899,0.0003171459216742001,4.114256893172907e-05,5.599539547596066e-06,1.442733136070018e-05,2.381237217186083e-06,3.0140686657631477e-06,4.812563989320395e-06,5.471202818574383e-06,1.8470647344948077e-07,8.912341464828444e-08,7.279081668976062e-06,5.1951572913155886e-05,6.992431980246128e-05,7.314691230497772e-06,1.712491971117558e-06
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.438233280465667e-05,1.1549757333195743e-05,6.207178913597566e-05,2.4064260743861254e-05,4.968961157425511e-06,1.5135411368660812e-07,1.5712713008486645e-06,2.9382747834816314e-07,2.7159222115713533e-07,4.641113557912746e-07,3.0846802911987936e-07,8.146884944437716e-09,3.479249621740621e-08,2.0538657552471307e-07,4.320881419994649e-06,7.220768707294489e-06,1.0040954490087017e-06,2.2815451039548407e-07
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5608156897016965,3.496729056677078,0.13437912598149548,0.27632095197004203,0.02932440310450235,0.029255417074318057,0.0028093506048931793,0.004717470524292389,0.00415819398520223,0.009980027510436917,0.0006968313978281682,0.0010108888447695197,0.008330269604284846,0.029334399532799343,0.007005983859679307,0.005858394364840924,0.0012278943283238197
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522786602859959,0.027543583941071925,0.06931414625701815,0.045891407416109975,0.010131869295878601,0.0008434767735714388,0.002686048019897684,0.00431519681197623,0.013270099302911322,0.0021888195736691207,0.00596535772961948,0.003546469793186402,0.010341612725775537,0.004635660827751541,0.0014845712623891422,0.00029251998487545006
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.675604695441211,2.8562871307679214,0.09205371525039108,0.18270053261293712,0.024168428346753923,0.03179260175528492,0.03648566681939902,0.019756210212139372,0.0013145398368312744,0.0006821609654881211,0.006959285115107017,0.1970806951512811,0.05920397082840251,0.028955017618824602,0.005348521683772867
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09697118356724233,0.020236156036229414,0.0072150864342426235,0.0004391199941466972,0.002417328883765446,0.001444109032821217,0.0006224245318318111,4.613342646986318e-05,0.00012808507289885362,8.718691980558191e-05,0.0348472448072481,0.08181682101604892,0.005624440446988732,0.00019329637099718688
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9163182869018103,2.4346866980800193,0.09406893951732287,0.20677927738520036,0.010468111493691645,0.16603518910454257,0.030238869560561765,0.006680495857875446,0.007916048223338468,2.6624157392827974,0.27795966257368154,0.22190167689992324,0.05393622244897445
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08513123824387414,0.0031284790902175175,0.02560785488479156,0.0006917748464887463,0.008255169082444391,0.0010188654899923044,0.0028510481580352742,0.00010350237625988967,0.11080442062432372,0.029984153693669247,0.010190937372759445,0.0005749314996821298
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.987496054499568,2.9892995294434663,0.11041923211364202,2.8152508242959535,0.10129920035236406,0.09994668591518385,0.08735852617786333,0.19680079928072708,0.04195684591680168,0.03360048570567213,0.002233749895499959
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09906068496918274,0.039419557708136654,0.08477694256252044,0.00567107991118343,0.003276084182964878,0.03440267190427604,0.012025618164550833,0.001677417428168848,0.018401881006808174,0.00038931039909750886
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7886177882986312,0.20811568489532523,0.010064140352178619,0.03310071293299466,0.009112454810201287,0.040334788023736634,0.005413637989655183,0.004568263363180877,0.00029796508321777715
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01705858176707553,0.000284153607828852,0.0011064780849818767,0.008910017037998541,0.0010911604620047477,0.00038867390947439073,0.0003619747688712316,9.205994531269468e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.779460794397417,1.9966909445724361,2.0196291834677247,0.030272166507210208,0.0070940077611770305,0.00496000344327284,0.00042483392413439347
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02570796465333869,0.02368400735115328,0.0046763129649769475,0.0016845932221781768,0.0003236054837987279,8.027692824219557e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025050032891629437,0.0008014420185926685,0.0002886428065487223,0.00012049489365106858,5.639542889346316e-06
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007576545706751148,0.00019365630323242566,0.0005096344858805946,0.00016262309177728085
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.831383047351836,3.4975902341301057,0.17392155030650602
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5076306188207416,0.06279469408276739
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7212042162471026
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
