,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27O,28H,29C,30H,31H,32H,33C,34O,35O,36H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096717918540817,1.098141115384926,1.0960862961729398,2.524093209820097,2.7573862767331367,2.802235941097474,3.4882654167797624,3.9442400655977603,4.961836836008519,3.9225666137236828,3.2200795243829146,4.972528179820516,5.342387673978318,6.279736510236242,7.029527781237276,6.313911892033566,5.836898629442473,6.987889180302712,7.952810929958079,7.27832284884869,6.5370378914848795,4.793722635758203,3.9890621715231527,6.0023871545657155,6.117071091941255
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7696388305357775,1.7628919620645527,3.4979144670167366,3.765738784736834,3.8266733646533764,4.357661980723192,3.5944355414905504,4.749174066564941,3.348777702741274,2.512170149180023,4.486059131732989,5.047598779178967,5.626478930241101,6.437985790634705,5.4822865738803355,4.9341647057248705,6.348971092078076,7.244714224824565,6.779858951137642,5.860755240184948,4.36701210420105,3.549984036637896,5.655740502150162,5.811777420946686
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7738649995274038,2.801695315126939,3.1339339523436665,2.6326723590570333,3.8174262065303624,4.631104057968505,5.622790111308332,4.789320815298559,4.116240969763214,5.952190561811517,6.307338153181909,7.208648255613959,8.0161795052095,7.195338152129031,6.628602195754372,7.804149967655448,8.75712805192847,8.100924136463767,7.246168498311966,5.866151732704252,5.059738207755602,7.092643335801078,7.210288799956011
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.751009306961086,2.529072063001028,3.1275308377696005,3.7568048762809716,4.714107020874143,5.702228595847789,4.474613238769664,3.696206603160092,5.297210522355007,5.683627834559096,6.636822964718884,7.265504784765827,6.625204239541535,6.262520891916163,7.530003605370768,8.478154092019887,7.827097666200241,7.203739050738301,4.797907935768626,3.836953361911984,5.885958306038808,5.827917525086565
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966308265417193,1.0981345060270702,1.0966564084201285,4.452392176036308,4.952471073523465,4.89906547716848,4.635188666245013,5.6572161161275485,5.526577947715727,7.166240280839466,7.768292233163472,7.6591855861242255,7.342486103344291,7.713765364045737,8.78960275505178,7.641844905477271,7.3790941939163055,5.597907755305984,5.130729904802734,6.541550951566804,6.720421015348127
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7719948513593078,1.7734886991954635,5.149712634977012,5.6960236765614995,5.354827287022069,4.981950396533467,5.947541974267563,5.859198634062093,7.484125564366447,7.985120654527321,7.921425618888137,7.689102710551516,8.210756088655685,9.270390676484128,8.168302827299332,7.978625613798101,5.604639101377395,5.017216264367155,6.437348744274968,6.460862044387868
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7721425753865216,5.091304801519699,5.616751557681323,5.651676564984802,5.343346416697161,6.560293451982057,6.472260778401048,8.026273959341161,8.699624146181101,8.449884767948678,8.041006497310915,8.489371266522971,9.557080491041908,8.444996300547192,8.047686454719948,6.567774906137684,6.038424035930462,7.5739994883280675,7.750236576706081
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4815232739927575,4.706874949266437,5.090605162109239,5.036796435407955,5.70250485247427,5.361867255141337,7.212327275162966,7.753050044273856,7.893506246346333,7.6416754268314175,7.644903078517665,8.7380504578524,7.41807820376236,7.367630509893785,5.7788800538592096,5.524378216288438,6.600564873833966,6.862733052726048
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2270365303038744,1.3759002624663508,2.054545221952711,2.4640366547548584,2.5333150099089643,3.452056847862105,4.358868545241724,4.0889487741508725,3.659635425181443,3.4907283108298754,4.535979376211246,3.575060609219981,2.963433358873967,3.5713016012664953,3.8544413521390783,4.6791052199891014,5.39368399316069
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.281729742022871,3.15154288849552,2.8027024010267296,2.4123199002050506,3.626773418083811,4.394479042484978,4.585724093682118,4.307243484219594,3.315530146187337,4.366672321082299,3.032821500495324,2.9133397325061234,4.094140878954284,4.639611929360219,4.95688388485072,5.776827644329113
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153899334111676,1.4572355349805406,2.0842612358154318,2.5024944126895607,3.4123011090654147,2.9261122630313285,2.5871309536040648,3.072842538028629,4.058341933833688,3.446274269216416,2.78345033828711,2.4057771845848657,2.6879605187042603,3.610796478406427,4.279903003301142
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0879899545953986,2.8633967548425305,3.1182179468840285,3.972338762932002,3.1531504137650757,2.7332012935231678,3.910156069814176,4.80748677294805,4.3993006993618815,3.599564567342739,2.41037508496258,2.2091829250962705,3.7459751831893002,4.214685407124136
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0965087465214365,1.555183996077732,2.152849370150408,2.4374350965592684,2.6224738021260676,2.565391440013548,3.5045790636048233,2.8197103293338324,2.8364074170355265,1.5231652670390214,2.4297985188170212,2.380481838926642,3.214420704508888
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1726383889142973,2.5017744351448137,3.3710084715750193,3.6000340628838905,2.765811481694509,3.764109885206741,2.5726940889747203,3.130197382145588,2.1506842293507025,3.1325973200160666,2.637979291498625,3.5333645053394265
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943515213142183,1.4235415369030933,1.9403442682839718,1.5273178293590493,2.1528190015065185,2.1812920794335393,2.1752974950438824,2.524588660770953,3.474931045701138,2.9208337520336385,3.779249183837539
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.007584779895235,2.809895615936184,2.1578619142541493,2.478196517978461,2.5239217655451958,3.0746518264527034,2.6840523672345857,3.775648644303529,2.5338834273683726,3.3859538314893167
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9723597461371565,2.446504826133245,2.6784314343470106,3.3948263600194375,2.751164887957422,2.903542200141829,3.478049063375046,3.437252233199072,4.0537827449242805
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.589283315667839,2.9233808945388295,3.596310526304284,2.4813748359874173,3.2582189027540243,3.6185930224205296,4.0762089399854515,4.676735752565838
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0948281694594126,1.0947612903690944,1.0960025037406649,3.8951357802511204,4.820908010322541,4.305538818040869,5.222051869399296
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.784123210175108,1.7776733757869592,4.672596666149031,5.598919774130318,4.924072319251456,5.798640981794498
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.765666943653576,4.199312920522486,5.22801032229515,4.466079389154174,5.434455761759699
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.253382929593642,4.985822349265432,4.9397120424544365,5.8210797076816085
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2135165074337502,1.3467447273823492,1.8759493982770916
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2533540149772566,2.2925220724148914
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765084327542278
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
