 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,C30,H31,H32,H33,C34,H35,H36,H37,C38,O39,O40,H41
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.069176115626373,1.9114864516524015,2.0029453162795656,0.17279619836144477,0.009616217732480559,0.009093617634698958,0.031705991562409164,0.0036949776396275613,0.011250995422013028,0.0010472678491362658,0.00010067830302484815,0.0001574878397746643,6.135653460326296e-05,1.535336395878939e-05,4.263507344726136e-06,2.8075904985325195e-06,2.7495030237745244e-05,2.8324417120417777e-05,0.00019199112057181889,3.572749658031782e-05,3.293854664887519e-05,0.0001779362393732331,5.492042721273738e-06,1.0658619680192771e-06,8.818316683534277e-07,3.8557707426889465e-07,2.7422724162950995e-05,9.362537181062391e-06,5.095446665243086e-06,1.0130065180025127e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022738794376289784,0.02349038779408974,0.00704532795210433,0.00012226209006560573,0.0036240202714148406,0.0003018868276278841,0.0003317677592036272,0.00030870111007286205,5.635119207081374e-05,6.4336957805721795e-06,1.3027547040245224e-05,1.5106707682566167e-06,1.4025067855971685e-06,1.2615973665752733e-07,2.655846875754264e-08,1.0880826334602745e-05,1.1906177318943278e-05,0.0001028997090244399,1.632107406246419e-05,2.253879661551217e-05,0.00010518423953453926,1.5891600090300884e-06,4.680699545733802e-07,4.287614390197092e-07,6.309828748385371e-08,3.929623645815283e-06,4.6221717886485436e-07,7.274050755068373e-07,2.236240106423537e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02547953378631096,0.012717479815081978,0.005137806738121142,0.0002029129744260949,0.0010005374884507479,0.00024336627022458757,0.00017161582975189216,8.73408274817411e-05,6.509725601677729e-06,2.0968792727726893e-05,5.028530239092888e-06,9.789709851659723e-07,2.92650863098487e-07,5.958566067221227e-07,1.5299546847202805e-06,1.6076952802368538e-06,1.1324645853960646e-05,3.6951258963746625e-07,1.591435321302015e-07,9.531563685660771e-06,6.046451213048698e-07,6.038222832849272e-08,1.464945318385702e-07,5.802126556986309e-09,5.595041779216103e-06,1.7848663325104042e-07,1.5350590569784828e-06,3.8546979430620354e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030233217517795508,0.0005903431917713142,0.0005252098344645795,0.0026793883287188347,0.003678597446074905,0.020916145635496042,0.001368706023019195,3.7783503060051515e-05,0.00013359295103820834,4.3781525714603475e-05,9.334559988971591e-06,5.442984126302619e-06,1.6190531901827399e-06,1.1123073980989773e-05,1.0282486522683598e-05,1.4303378764068952e-05,2.182305548936725e-06,4.094794014974923e-06,8.587398072190666e-06,1.307206219380852e-06,6.497934355031987e-07,1.772094000429547e-07,2.327326957818343e-07,1.4628611366918065e-05,1.1103239558774014e-05,1.649999445296757e-06,1.9533604822541406e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8369132782870847,2.023744627538007,2.0572872047065216,0.0032185125353167143,0.002023294439101417,0.0006510225241762729,1.2258743555815244e-05,8.42452912798719e-05,9.268789620042739e-06,4.043380096950544e-05,2.6215381949690197e-06,5.863335115430246e-06,8.745121396945554e-05,3.681879591754811e-05,0.0004116143381205639,3.243065922120536e-05,0.0001651389285153293,0.00026893055523791176,1.548592926490372e-05,1.4265379251199306e-06,4.211268318288219e-06,8.362436954012509e-07,2.24925920641883e-05,4.336097525294014e-06,3.660744443800823e-06,9.257209421242862e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02282770433040615,0.024021223010553205,0.0001836748204053773,0.0001505377140985642,2.8069561364807427e-05,6.14109390006945e-07,6.007403693164548e-06,4.01642900493826e-07,3.348761242971676e-06,2.1784243964262373e-08,5.690821984760674e-07,1.2335555450437852e-06,5.4601637877738085e-08,1.2956404573660762e-05,9.019593893988542e-08,4.443752571914317e-06,9.309768391085882e-06,1.954507005130779e-07,1.6861407603485645e-08,3.164910089559214e-08,7.810605606728416e-08,1.2053500713093968e-06,3.866935106566771e-07,1.651613537045904e-07,2.8399955720459502e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022560290221892876,0.0008204684383037453,0.0005206288267941561,5.767909775244995e-05,9.282301713042784e-06,1.569201047812996e-05,6.189754001573178e-06,6.206908756301033e-06,2.2808247668315573e-07,7.428610930837465e-07,1.4705703723638663e-05,9.774558702435598e-06,2.646293096786323e-05,6.583003209215121e-07,4.303469212540989e-06,4.147532369991325e-06,1.4723488833690013e-06,3.6370317735290314e-07,5.255478630061816e-08,2.705633692645648e-07,9.018301942997908e-07,3.8036908522887103e-07,1.6065032171219684e-07,9.756000451943692e-09
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.89656400843608e-05,0.0001032587396819773,2.559209874086754e-05,1.2408523550888617e-06,2.534308353174808e-06,3.520553886193767e-07,1.8438508868179326e-05,1.2965207853987692e-06,6.275679606426721e-06,9.100446151566466e-05,2.619292386984995e-06,0.0003798842736986163,4.0892091158539756e-05,0.00018391882441859408,0.00014891368727787402,2.0009557256117638e-05,4.2884560524925064e-07,5.831324268568139e-06,3.79413153561714e-07,5.94784815177718e-07,2.9307707660741755e-07,4.1279062412691303e-07,3.029310891022874e-08
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.721720882922817,3.632133763504323,0.1403983713215503,0.2837282197032619,0.029558152375879887,0.032566609199078694,0.0007631729938479825,0.0032183941213499434,0.0042626869570993875,0.006150128764016438,0.004498290054747833,0.00016025575170441897,0.0002745623508906281,0.005130198617409931,0.000704210342737363,0.0002677621979272349,3.220735923536999e-05,0.00013307824833175275,0.03339905520254913,0.005482287325102031,0.006410481687922298,0.0014623200242166456
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5451769614203519,0.023282733142511836,0.0689668866251591,0.05197401882418606,0.010409139894884303,0.001086866953012966,0.001355278900723067,0.007104936318664379,0.019371473223506408,0.0012309986003671974,0.00010757184758747318,0.00016144933227513203,0.0009575740737803873,0.0008899963676214026,0.00029078541797544766,4.1426685482348624e-05,9.393715569772088e-05,0.011638013679365511,0.0036248548305677433,0.0018296269362593764,0.0004089413211396664
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6086964767806244,2.8108193813548787,0.10170406872658488,0.1739086632364063,0.006284431926552703,0.026713636562800458,0.011284378626456815,0.0011077290323501243,0.01560069611451681,0.00035319766137620334,0.0006519486029146204,0.02229341844220878,0.0021966669191837776,0.00029359744433410384,0.00020259169955316736,0.00038524822758079225,0.2032436518410874,0.044467663411319636,0.028130933232544897,0.005121577256253951
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09690789344439954,0.02582827718587377,0.004097483700713611,0.0011465000553219085,0.00015397212597578758,0.0002806602408954584,0.00012420586446149073,0.0005139511303127176,2.082843623107955e-05,4.941920699019775e-05,0.0006649877521194281,0.00012077496700724222,9.225976454807494e-06,2.1332001680640644e-06,4.64943303901677e-06,0.02071558431133258,0.045067034345805834,0.0033760826147333223,0.00011377748887131389
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9487289228248228,2.7194940632912847,0.08301737689848165,0.10072776327765776,0.15728367071133104,0.019415228488176117,0.010367622565713178,0.0006239452238876453,0.0013381616197520874,0.0014167270401928,0.025633648653547864,0.0011060316043156604,0.0005786758325279084,0.0036228315135822253,2.751787104440563,0.2704177362396538,0.2208574912539477,0.054006306108965285
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08131248710249628,0.03159571396330807,0.00512329910815823,0.009666894962380712,0.0056701544061432685,0.0006648389466855642,0.00029048958996535923,1.7251857869604592e-05,0.000208382496581061,0.0007168186738093496,0.00012041349155111902,5.982937950310685e-05,0.00013301640172169726,0.11008429950446263,0.028637500125842097,0.010792861691958366,0.0006991832718663549
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.053434482636195,1.927557342907052,2.7847003046176733,0.07802156103466973,0.16707191096868818,0.009000327592093127,0.031231609732832233,0.007571416922412144,0.18168899376173797,0.009574083677420075,0.009647213158196388,0.03185457753074483,0.19917109180872,0.042290978885765676,0.03305828872741322,0.002143339850474435
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02456085682384912,0.07599162348121946,0.025089709790897752,0.020860486104543607,0.006123621460031536,0.0016950496849355012,0.0009106934325309179,0.00417549950530649,0.0010675257234293856,0.00010603759401628388,0.0001298306949111261,0.010649690032670245,0.0016473748914801467,0.0008644119020657648,0.00015388936322402458
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07833343927322911,0.0013798965117914896,0.022013858474627,0.00023792881013573464,0.0015494686677437475,0.0006089130953264021,0.025245337316313177,0.0010892163907183505,0.0065922076702435994,0.0023244535413611267,0.01075877266950509,0.001817492571399515,0.01619770992136771,0.00035635935125011287
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0762686213054193,2.8766359625794764,0.08349414040459435,0.08432745633511751,0.08472301129212267,2.876492717639875,0.0806042791047703,0.08265479924786212,0.08579923249620158,0.03097385676638087,0.007698684060009453,0.005482673894112319,0.0004214244275734247
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08479856390918528,0.03411388575069774,0.004804115136808562,0.004161139649163648,0.08315098945004862,0.03452973408453919,0.005151429014778497,0.00405921880385951,0.001993603160730606,0.000479322349625666,0.00019025371144931746,5.5711058855267837e-05
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117846081830479,2.1327769688369496,2.117585609723844,0.17633269864556717,0.009394201156599058,0.031176597234078063,0.010365481802268262,0.002299926750603476,0.0005487037386073465,0.0009422683449297059,6.898193195248314e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022759270344648197,0.024113182299710267,0.011201641785570926,0.004732814423751064,0.0007216118463808652,0.00017970209266282566,7.969864480505962e-05,2.4645319828597856e-05,2.4626726097487506e-05,2.6187727579785047e-06
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02570303662520912,0.009142669789604096,0.00012711937314291433,0.0006242342612896579,0.004353385251620878,0.0005729586849547719,0.00011346302167203337,0.00022642057118549275,4.411450102326242e-06
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030653051530890374,0.00039729672509025704,0.002800670921485393,0.0008775797292057685,0.0003213517333082727,9.791299198669279e-05,5.6371885468475824e-05,1.0830181549570383e-05
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14115163447534,2.155854731240124,2.1505726151696822,0.005162466782372976,0.0017617157207170803,0.0007266829971179431,0.0001444726034203203
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022583025766837794,0.0228798265994965,0.00015839725915345326,4.371818342319145e-05,1.7625835640355803e-05,3.554507406411389e-06
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024194627105929678,7.577530379054842e-05,4.4523135541263414e-05,4.2224407864832614e-05,2.963288771029582e-06
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001264467945428338,0.000475330113284711,0.00012530456398285317,3.21688437709966e-05
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.517473935293247,3.538376588156433,0.1685710174996955
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5085930869489562,0.06782083756407531
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8084319821054748
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
