,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15H,16C,17C,18H,19C,20N,21H,22C,23C,24H,25C,26H,27C,28H,29C,30H,31C,32O,33O,34H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0937557665240896,1.5466644878649394,2.1503535861052603,2.138331812944775,2.5990240179334676,3.139296266947545,3.061216650574065,3.9298820061968813,4.4702059221411234,5.236986210805667,4.865385608787332,4.734337073803679,4.543390475936709,6.216653681826787,7.008824137468942,6.087113747551819,6.834964043713131,6.714487618201637,7.797156422976295,1.5349495658325671,2.454331076926698,2.3780820031818704,3.2164995421104785
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.153574349245627,2.4707452875083518,2.3754509915193607,3.4983656333603435,4.201029549693327,4.142043445526415,4.711422296062549,5.51246434387337,6.311039389886345,5.789235323466644,5.2906502307956265,4.885355506039076,7.099335427381876,7.9520334352170545,6.672110435387179,7.30026020374545,7.457034307217589,8.528776841855294,2.1143366236846357,3.1707959662723857,2.481705681106033,3.400096117909391
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098393568687688,1.097270274410342,1.509042305090228,2.610038877303995,3.04435979144333,2.6136517170780964,3.7346400908710438,4.659958774449805,3.766312802307855,3.2799867957748847,3.0903419742020963,5.038605393669395,5.9372546636398855,4.652549303473639,5.379525263096393,5.374413531604486,6.452252855349825,2.556193412587481,3.436616022119605,3.056336194103332,3.8975854359356354
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7544596458724455,2.1584813500559124,3.184474159516819,3.5699827458301256,3.0766755344880634,4.254164055509784,5.16295770187563,4.235196501926186,3.575121151147142,3.2718581109827856,5.446246445780363,6.354709894608582,4.917720890197703,5.568894353976587,5.704064003783022,6.757371915048162,2.714710592605207,3.7235511582686085,2.703989671143685,3.5228110057473367
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.130390085816016,3.397362005333766,3.9597763213211157,2.7632836967821337,4.339200459830016,5.309396114981339,4.085720862251405,2.9979337233487113,2.5366627459913675,5.205348887080142,6.187694793486619,4.367043874262638,4.937415303299123,5.294612018713588,6.332169654488514,3.462538769752687,4.381150318286546,3.912420371577849,4.823686430104698
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3779623836703752,2.2299288896051563,1.4455046200009498,2.2587974683424594,3.2241810308987238,2.310974669780988,2.6236461490886143,2.963270357962672,3.652173796104353,4.481297532277072,3.821113030666122,4.746752778665843,4.217948429472095,5.303016572830252,3.235554645120996,3.6826781340289445,3.958200930050536,4.590288683168831
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081231589121928,2.2588642145316356,1.3827520395239352,2.126608334970527,2.256345561004566,3.6514452366915577,4.216306542938506,3.6298154538879754,4.170832539354768,4.599169590760446,5.632421362476936,4.589900618987191,5.618231253776643,3.2672413529410176,3.237141535570331,4.179629949869283,4.570238102453196
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3231022220404127,2.144006931440996,2.5094854996616336,3.2718851080250047,4.6989222785442255,5.181539155528269,4.600004584485339,5.008959733238514,5.6798203262683575,6.708887721530876,5.638860305337729,6.646960371840478,2.7658468791453545,2.3925722283503417,3.7915426108668173,4.019412200960853
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252516796118382,3.2290523735281997,1.4219399052552655,1.4066840425674212,2.1724791379179513,2.4719586319389983,3.4593735025910144,2.410522799032575,3.397625646495336,2.8020503468579117,3.888661116704784,4.670318008928639,5.099674320126164,5.289304249449152,5.918319703043273
20N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0081448225830107,1.3796667288611713,3.574796295299663,4.424984984710597,2.525247676598698,2.8659409633348822,4.125394001998967,5.2110670240396955,3.7204425470800397,4.644599660723731,4.638126441440549,4.508373597725807,5.495150782156619,5.825604665701362
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.130454874818313,4.4965152341301415,5.396254352374612,2.887919791444541,2.84375175123672,4.878755638014825,5.961184927733112,4.232342311925612,5.019179859323569,5.222150933420929,4.876685077532517,6.113658323448115,6.318798486009258
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.434620886626721,3.4291495459747368,1.3995622545574107,2.1734663489916883,2.7673719786697895,3.853964180697717,2.3848548055442187,3.375083072838336,5.346032814395901,5.479616523589734,6.077242627960054,6.548425641332434
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873932167812812,2.84882224331057,3.9360633999188273,1.3895967542927818,2.146363937618138,2.438422855137175,3.413596249255777,5.678397528792309,6.283326814064883,6.134634771284098,6.854007411438391
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93612919095334,5.02336206093491,2.153426816328417,2.4757703521987047,3.423475366677055,4.308021446062177,5.626329771571561,6.406543570400713,5.9470232284205045,6.752452905943439
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872414038789917,2.4407244745201435,3.41426971615385,1.3904828626147048,2.143991330415886,6.741547292046259,6.863346730815352,7.4310639264540335,7.892539687384541
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4311545446599023,4.315881285578896,2.1636132135318613,2.4865002648171433,7.400554807216101,7.368625376257448,8.137030182989076,8.509691061212358
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0867732043399192,1.410867374780542,2.162901736020643,6.9839263681861015,7.498957551858436,7.454349984102347,8.126110908204808
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161049954378469,2.4758137187680576,7.817707728023242,8.421041043374698,8.205265175375736,8.91994682205445
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0867920997750906,7.436757268797362,7.746036479140087,8.016691573984113,8.579483492159785
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.51816677695739,8.803678681074487,9.087260228623942,9.635346869211553
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2117139436537627,1.3515759669628975,1.878422336757018
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2532502169168946,2.289063723798408
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976459810253129
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
