 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,C16,C17,H18,C19,N20,H21,C22,C23,H24,C25,H26,C27,H28,C29,H30,C31,O32,O33,H34
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.031554515738607,2.758260900575839,0.09963498104194435,0.09574681989329092,0.16473992421035558,0.02071208781704295,0.0014443520008000643,0.027468589254136755,0.004031849192066422,0.00016872636021392218,0.004940671234586441,0.002352245959863525,0.000686613396603919,0.0010069732946550447,0.00020021134341074998,0.0005292487943756308,3.2375816554797154e-05,0.0002895623189248797,1.3914663769432067e-05,2.6748874751745837,0.26808626057018087,0.21792696568290115,0.054408448869544324
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09459366577231054,0.0037876915254035914,0.007905773884252065,0.022904785398319416,0.0019170029149296886,0.00044658220751547795,0.002062698314375222,0.00033106403295368736,1.5692249402787795e-05,0.0006281567595144422,0.00015928352055694095,4.7288788227017875e-05,0.0001228367554565457,3.8947573395287094e-05,3.1945749279893576e-05,5.832528571891871e-06,1.2195330119646464e-05,8.950566292575957e-07,0.1135353318555885,0.028557654719089665,0.013348208239229442,0.0007276229027450842
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.992282990518242,1.9660805523529232,2.878105659244691,0.23651376003848212,0.005204579905341955,0.19584112623150723,0.04818790391641818,0.0026019691123222444,0.03271517017015585,0.017579765394912142,0.0043602815123415795,0.004965335902565815,0.0010597919374255582,0.003982226210880874,0.00015642294107132138,0.002184877330303231,8.275217843745075e-05,0.18422532732364666,0.03858094954126692,0.026825074479438007,0.0019027395363111488
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024002817468936177,0.09251170251685781,0.04239144321702559,0.00014620042696100732,0.012272383455493197,0.010768741229149947,0.00011961272296145964,0.0022435870459698304,0.0011043321502577363,6.289255597646815e-05,0.0004119815206481414,1.5567281892447937e-06,0.001163416063871714,9.348021692279218e-07,0.00045658123580039067,5.195229586529848e-07,0.010254050089298694,0.0016858637419516764,0.011449456844874084,0.0002187525972667803
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10618361469084836,0.032795241634191674,0.00023429208116154676,0.012479176522334656,0.005757781584047272,0.0006200480284905829,0.0018720377641716635,0.006082347115344722,0.005575130854513333,0.0005734808949477976,5.301458924944491e-05,0.0011429830135381014,4.528988860852401e-05,0.0008749665515859206,3.740496280713046e-05,0.02935427301031024,0.004890809253240036,0.0030127572416687176,0.00043304054681403414
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9427507799439847,0.11927437216511039,3.085104878146478,0.4956214418250163,0.02590488169148586,0.34047880082813176,0.2288736563187709,0.008173192101364357,0.03876049308407792,0.003721530534332329,0.07115576584541289,0.002933911665240707,0.024962892991713642,0.00035846640746717284,0.013672878997339766,0.004059091620192398,0.0023475312676926735,0.00017916171101184375
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0342818277035373,0.39161189230520316,3.3313832222432596,0.11162942669054443,0.4551233960603728,0.1092335167342934,0.0008549666220385443,0.07308385779417093,0.0006818971317295031,0.03153202809782801,0.0009452707302937124,0.0763241949110651,0.0008940609825081047,0.015065168555976977,0.027267452767727435,0.002344000502460697,0.00014203251913591508
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029993629978776193,0.10109995589803933,0.004944983372035638,0.02649176173961809,0.0029425714028188388,5.9009133133836045e-05,0.0026294076814155076,4.7380154529985674e-05,0.0009554992215849989,0.00011317133775912147,0.0008818490276865099,0.00010065014550275642,0.016427006536238853,0.043924268646138964,0.003229596982450178,2.6400529274273055e-05
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3903685399115647,0.03130438563936655,3.3825404617071477,3.634757222831503,0.12985307947837876,0.28589974672890917,0.02673496068312109,0.34033531761526153,0.02779684369750557,0.23408543757999595,0.003967392963185157,0.0017703353327126192,0.0006217063449566046,0.0004182001598081603,2.2105221202051162e-05
N20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8974484177694104,3.3841403919385487,0.047634021173074984,0.004145410990266107,0.25136132823141455,0.007242420929539417,0.04997364386858531,0.00044622033668484384,0.06621112953443369,0.0029884881798640794,0.00211536477040572,0.0028934143132638007,0.00030192666479295083,2.5068163219232886e-05
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11835362857855769,0.0035743946175599284,0.001427928366992015,0.007059894457342231,0.0033409206325178964,0.000522879172759283,4.0652906062810246e-05,0.0005769511780921999,7.028773893624773e-05,0.0001007974954546631,7.137963862269281e-05,1.18138388025546e-05,1.2669236295614894e-06
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3007473562815496,0.02770230431388443,3.51571891681427,0.13270220024031087,0.23052267588975295,0.004020136239526684,0.35248015044821424,0.028220475206780726,0.0012226204899964954,0.0007839243643485844,0.00019299853497803388,8.687957330000273e-06
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.102131598406883,0.31086959525135016,0.0036302163459049908,3.9091852065431403,0.1305994871834597,0.32044092640950694,0.02582932321675835,0.0007834314605150439,0.0002759578674332158,0.00010895802880980798,1.4760928250590055e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003548762960484231,0.000780640564886248,0.12711157065735712,0.008491339658376562,0.02756697171857403,0.0011176208043912617,0.0002319325238555603,0.00011116025575885757,2.8262047601979035e-05,8.680828471607782e-06
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0975818926205703,0.3252670600322549,0.026233608159200505,4.006834859644019,0.13118536683159965,0.00021844087340489038,0.00014824825891951443,3.5965252174877116e-05,1.807928302177686e-06
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02751492041662873,0.00104651132282374,0.1259094267873988,0.008413834197206649,1.0146530625698702e-05,7.291820754873335e-06,2.9060024120397543e-06,6.397616059139466e-08
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1295615396872196,3.714582419423704,0.12298301708579618,0.00011887788605061123,4.989367505910114e-05,2.0895657113731425e-05,4.242459062497872e-06
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12509234246532386,0.008128944993379239,7.023612297540893e-06,1.4651103218410455e-06,2.02864910203715e-07,3.037542506412194e-08
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.831116826567292,0.0002578632900354372,0.00013732590843951176,2.8050905555521144e-05,1.4615644217119694e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0569650190861424e-05,9.587961224744035e-06,6.663246543414658e-07,6.310731248682089e-08
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.016633130520938,3.4674255196533754,0.17370439690431916
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5181755355982759,0.06780395299104591
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7575005446625787
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
