,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31C,32H,33H,34C,35H,36H,37N,38H,39C,40N,41H,42H,43N,44H,45H,46C,47O,48O,49H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.164044362968031,2.5198850482598543,3.071954786301755,2.734680685677493,3.132409544207882,2.5685884351092816,4.156016733519593,4.3492778189484405,4.682981478313597,4.801793409671187,3.625685762047368,4.646999000395051,3.681487198304064,3.064703960320743,4.782992481845353,5.131328977974137,6.09350681209327,6.122443621817178,6.865760646554689,6.745487299665599,6.833770097275369,6.334255343785881,8.210562694701439,8.40372964868118,8.734070349514264,9.093863722072518,9.423507663001958,9.698871116480003,9.408994948716195,8.558800939288052,10.160337471197836,10.812017349769981,11.336162450801995,11.268459779767005,4.683770903273662,3.8473717286882656,5.967194156676368,6.133367045046824
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099264378216626,1.0991024832086795,1.5250605298217863,2.1920380174056118,2.1894876806717556,2.51762107458765,2.747810326490115,2.748910784796926,3.4232542586909984,4.580253575634835,5.199571679405084,4.942029633371764,4.629022105244204,5.754413952570125,5.723219413823414,7.25153106843147,7.5394054554571595,7.857525423059122,7.8717207181544255,7.684744132553902,7.620618148636234,9.395108846627002,9.784209014110578,9.78253394315506,10.214852760174963,10.353752344978835,10.963036083459661,10.887519644011213,10.122951523285344,11.710751475102489,11.98644376985802,12.377481775993584,12.507458858389514,5.5495100727471325,4.768589862215347,6.656472517605316,6.736284425195549
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76950289130513,2.159134181012213,3.088102691306384,2.5298736615255217,2.7379736222719484,2.539271925575854,3.057822477623003,3.6892529711253466,5.1182065041232745,5.741344136864881,5.62771675817975,5.293968350106731,6.5942106404894645,6.58093584663663,8.045794006382359,8.296438921055366,8.7297315352955,8.550409128095822,8.367521450957955,8.186110687396226,10.079267427769626,10.451234933852572,10.546756407786695,10.813469992436884,10.963775461823587,11.471029042662826,11.345045348433452,10.589857605107463,12.121073399739945,12.453565353605969,12.883134444067322,12.905415827279406,6.509838394750956,5.728463418406099,7.669095318325635,7.7790260734438235
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161166432277001,2.525997111808721,3.0882589679730588,2.7562511517008477,3.083420148896212,2.5605697214261856,3.704225826801409,4.665555559943912,5.035540033464662,5.162463634117491,5.048119613474028,5.810235051078635,5.571974094617053,7.336144828177986,7.7733438793930265,7.860139472440928,7.887447429413318,7.554577510214187,7.728396727108663,9.410961200786145,9.911626989756064,9.727622274188008,10.173181970595438,10.204953145629775,10.994939068429794,11.052580709380285,10.351443275136186,11.916432366923008,11.958263101639325,12.267001653097044,12.52008061635814,5.6682427601514425,5.047261137014308,6.6684121552296185,6.784506956754028
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0930187890484813,1.093047375948238,1.5330660264018041,2.131690957559527,2.1329259825354576,2.1434162113827506,5.605407656742959,6.316397285593977,5.639511088202909,5.15491117906456,6.2728195073155435,6.35863392080533,7.763360696568752,7.9475790744703,8.260688793318606,8.621074439113904,8.530549426334733,8.462249807834349,10.09817172263116,10.40615227534083,10.400956513860697,11.068777139411713,11.257446312241948,11.867044058939713,11.742635899731395,10.9196589119071,12.57116752979499,12.967689968595698,13.362821482866677,13.529625108076123,5.693283425297872,4.709296657241576,6.6757411505093005,6.533637039057672
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7783143060720816,2.1127936663866387,2.9825492131136144,2.4431573174348853,2.4217823414395063,5.535346162252322,6.199381924752234,5.38682244386547,4.937620524425349,5.782769237164905,5.854828359368024,7.268301477667341,7.480143178862678,7.64573632253792,8.250001626223316,8.161722456963563,8.221937138272626,9.682948520578774,9.999679244890087,9.884820098556695,10.733490339984872,10.906896318513306,11.615045525576825,11.54322785565291,10.72245978586744,12.407677899459372,12.742840955411975,13.092789708426642,13.368058804869376,5.011302608719334,4.030813649017738,5.86038095465166,5.631773843975165
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1096729082282635,2.4350975180908137,2.9810328974018216,2.4200051639730753,5.9048857931570184,6.77171587831112,5.814403211089416,5.165995190867577,6.552835161746358,6.808492910384658,7.965320291783394,8.001197316998596,8.520312866673901,8.867655596696059,8.903795626474597,8.633776199621702,10.314913288647125,10.514113297043359,10.674584655154282,11.324019156536695,11.603666973110693,12.047102528987,11.801890973327247,10.930322794373007,12.581957089107084,13.190022578275531,13.65435534133255,13.710229077280133,5.930231167220093,4.838981425328173,6.964013588536031,6.784361992234406
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0285694926183024,1.0283681810404486,1.0285110375301314,6.961547572756812,7.554547571988886,7.09951893302489,6.668032937696421,7.675463757173,7.6539617250620795,9.191002457661122,9.427729708543424,9.633027050072446,10.028821275142167,9.858462474135735,9.89614194421994,11.514677539352174,11.870388338645034,11.77858241169552,12.454950554043652,12.583421883837364,13.280082492106986,13.20373493541546,12.401769359772175,14.040783305745103,14.345019788442285,14.70333162373414,14.911949931418263,7.061514579426342,6.104138620145886,7.939872178678773,7.726375436977644
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6542380529423606,1.6591641432770132,7.3206496432470916,7.931956800986204,7.5756567898133875,7.127136828425915,8.296264809183041,8.288597358602827,9.802574937414095,10.015837792079711,10.323675149025142,10.551183557725071,10.38233330542327,10.32570646366675,12.058757022623887,12.404492351945294,12.394711952680916,12.935853884492655,13.075680513331722,13.6925501182809,13.575026386615043,12.776080118236617,14.378413462736955,14.73064922061591,15.122788037726693,15.244142789047894,7.800115424269158,6.8394887920241265,8.761031496669805,8.59961053080633
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6596196410637316,7.049179476142857,7.485512768170426,7.279230242221876,6.979016414701515,7.749385134756729,7.583878127956232,9.28940915248328,9.6387986259816,9.670196705301922,10.077924155730484,9.801520121847698,10.011525794412933,11.564907705123002,12.006639354018855,11.77364931311226,12.462020491883871,12.50819406858565,13.344056086498854,13.370191593512725,12.61505840987145,14.240547061120363,14.362734582963766,14.656284252325266,14.96158900229453,7.18034995813167,6.338399104471006,7.979288488295018,7.7925818853046955
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.712229856733169,8.34910529378948,7.706928666914869,7.207603589151336,8.194992998581315,8.232314029081769,9.683151709163477,9.863176166033433,10.06467969007101,10.63125058461762,10.51255581839178,10.543539968628357,12.083219035320456,12.392986916955648,12.301800404046423,13.098176902752266,13.254069811217116,13.945954905534593,13.84268354373028,13.012502727099749,14.679808739434499,15.05040647403475,15.411386659177024,15.638098263489471,7.415457248802597,6.394469254440217,8.202117285560147,7.870018088887421
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.227485682250714,1.3733845986896658,2.05631098752139,2.4595951286045743,2.4915641284334633,3.4765576244898466,3.9366585097231224,4.365496588280449,3.5212165730545038,3.382940971701869,3.1206491229697955,5.041566475934684,5.507041824582649,5.626203604513627,5.69673851635129,5.900571070654228,6.389289587729863,6.389199648481862,5.715336593040174,7.256623542743972,7.411215470386678,7.835902098029986,7.950984670216786,3.5452178098735625,3.7625426218639255,4.690497044930384,5.397381264696712
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2766154551624376,3.1566480365418013,2.793763300367766,2.35736563024323,3.6418880313138073,4.363420872416125,4.382841895490034,3.3512059682165494,2.844344186909989,3.11979358215513,4.816769573039064,5.495653108462443,5.321650753015337,5.270816824461234,5.27485007564122,6.054462260565527,6.300437786313332,5.787328816939282,7.208519433933817,6.941605968997869,7.239702227639096,7.531199631855526,4.045626768727163,4.50182653492757,4.970278801390469,5.763327797930132
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013540193574485,1.455472231776838,2.061154735906737,2.5207294493724164,2.79217560933809,3.426606643053213,3.082355235890299,3.2795393860975857,2.8553508329043478,4.552474641266826,4.847899245600497,5.06008254596864,5.514748821075116,5.864667432779517,6.270967659290232,6.160302167695953,5.370470810277145,7.041576173230196,7.442026700163435,7.895639865006113,8.041899314582984,2.418524825623568,2.697738644436767,3.613938363638386,4.302010160336854
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1010966038154444,2.8805765450126235,3.113225312317688,3.0704023251351553,3.984331736225672,3.881057387742831,4.22453751736371,3.586272674356121,5.258936029672456,5.385570779063569,5.775277734906517,6.295952073720465,6.734534859854853,6.970498128411071,6.701802159984231,5.829152622100383,7.521912261961004,8.186734560521488,8.70379272312647,8.740520077829395,2.4801248249515266,2.3308022629961425,3.779514157306989,4.287730565945983
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0983577569579432,1.5464146958501348,2.175611046348424,2.1482332386406116,2.566839820426151,2.7183958763249954,2.8885665082962917,3.9141017979652055,4.308835940527641,4.135230879280271,5.067618065302224,5.339303967723195,6.049813126836208,6.1289863564839155,5.411666526306084,7.08006653050165,7.234868038996131,7.554646646280181,7.9733472030970605,1.5305196038478879,2.43129447072721,2.3819592927893263,3.228154126032876
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1522333348600884,3.0636049251448805,2.479786585689068,2.7519503843049047,2.4500795647905798,3.206741577432421,4.10726984521743,4.739593107864143,4.211254302540588,5.086081240313569,5.146651452734474,6.175170564633086,6.469822935321758,5.878913060790531,7.45826594492454,7.242356465231057,7.440522326105497,8.025995376013633,2.1307029572245852,3.036098646492738,2.707053337148798,3.568142119363716
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0984673229431927,1.0958728234048398,1.5380938566710336,2.1691192481954054,2.1771411649335244,2.5347679444735802,2.8235762050137323,2.7530556998900795,3.863349846149275,4.283644774098901,4.849105042495129,4.92256136697257,4.241713603186899,5.87295550606083,6.091301504794502,6.42427958160807,6.865762525650575,2.557825992814349,3.5903093591401776,2.840234839977185,3.7579761747791043
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7623795583711395,2.1779207575485686,3.0762295689295356,2.4827007437883464,2.8528851372358757,2.706282151583787,3.1949249416095395,4.232918598825991,4.851963291427608,5.009501576533462,4.802701803243688,3.988947129082331,5.662662390462615,6.326652651484007,6.781620544893494,7.020301596930073,2.8243513487056777,3.645778035153741,3.1661155102171303,3.9344268864523158
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.169631597188989,2.5810224674355,3.076221284383637,2.690194866240333,3.0334223460958105,2.4516937611255742,4.072183259359487,4.375996987603834,5.193440379502699,5.4250953132559045,4.854807538092323,6.373744545068613,6.3751862721551635,6.571782717541657,7.234536378759832,2.715062575075919,3.881598139238526,2.44780711328303,3.3599883262038297
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967927513463003,1.0971105037799123,1.5362452659806938,2.19683058991741,2.1745416333197434,2.5169713237435,2.9239068286586574,3.499001907071615,3.7554582800539045,3.2469916666067835,4.7550596103012035,4.680745917848759,5.024306564536999,5.450343459081647,3.9276200270669657,4.908509520177133,4.266170925466265,5.220625960109597
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7526393713213593,2.1632128608490886,3.088933195057002,2.534169397914208,2.7282403454363555,2.745624845452551,3.836857559052213,4.373701436420573,4.036442005005572,5.379642897304081,4.817489216127296,4.99722216187773,5.629286098376578,4.138924818687993,5.147278069071174,4.449031589694865,5.424256838420809
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1751714963452518,2.547767748624686,3.082667095932779,2.799457746273657,3.333445399850861,3.4187589038091173,3.403943656165644,2.7777199696400143,4.349267244092026,4.607878186128598,5.126756494650361,5.218706866126168,4.315493340308894,5.10410235711785,4.920913634343373,5.836705832615961
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0948895814176742,1.095275201735141,1.4761085647325562,2.1290763597598175,2.5202376043824226,2.940418218415133,2.6908031312942917,3.906696584546206,3.713008746393257,4.005865013600264,4.564966258248947,5.074833656293133,6.12287641411921,5.115440088283955,6.034692454596578
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7513107572185151,2.0927016161428376,2.970322431952616,2.6509592457303786,2.60866421158063,2.194221849902201,3.4643522363838577,3.9309318692397386,4.387185542538583,4.6590301163423495,5.321010004555705,6.284024423707834,5.372167545262037,6.219102921899761
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0716749034191912,2.3709936010343284,3.243225263923175,3.838179377153766,3.6890787595589876,4.7453981703066095,4.256251206278125,4.322895570948687,5.192873641133064,5.104082583726678,6.245018906528999,4.862615039905445,5.750825815021365
37N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01345045030103,1.335623320619306,2.3335893361833713,2.591246892250856,3.2378303690484103,2.316616299572351,2.568957716005536,3.22959337634617,6.368884171398152,7.3976894569829446,6.47152371290982,7.415632619490998
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.003401710227831,3.2117727445548634,3.5555433494682296,4.046849853673337,2.479735421655296,2.3599044067452715,3.4515518880779084,6.6587322932780015,7.7317995392033,6.698630766160307,7.656854606192422
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3411783483742188,2.057415703720502,2.0544694147515123,1.3427817066331083,2.0603724479914627,2.0590401260775217,7.375712021582537,8.320502300668153,7.582902842416313,8.511513683163225
40N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0093581075955826,1.0111836294270444,2.311619919737023,3.2255407249950676,2.5515497405766228,7.389471711407698,8.212842431920086,7.71576892639935,8.596683827142371
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726330065695686,3.2278626138502085,4.090153687631643,3.524316307953538,6.616840422106033,7.371819369897847,7.021685590756573,7.872471482330591
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5484568288807443,3.512588860403078,2.4193629921631445,8.31147930410164,9.093708105848753,8.647297673570833,9.506593213369255
43N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0112882838196031,1.0113218655200364,8.597980303306183,9.563515185047512,8.77473749112048,9.716831274053352
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.725501832444993,8.899131045763584,9.928955960605565,8.967688110721543,9.913728257165369
