 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,H32,H33,C34,H35,H36,N37,H38,C39,N40,H41,H42,N43,H44,H45,C46,O47,O48,H49
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08226899481476169,0.004376246189162103,0.0333359205461814,0.010477620842759272,0.00014972873100260742,0.004196747575602178,0.000886477994313406,2.7065069024168054e-05,0.0006556226395730835,4.9157029899937754e-05,0.0007228035653361609,0.0002446690460191636,0.0003299409012694765,0.000584547295407134,6.831358480385852e-05,8.320666025740664e-06,9.869353321256824e-06,1.2995154028416778e-06,2.2975970730421125e-06,1.4399303449597056e-06,2.140530013239328e-07,1.5083047990582799e-06,2.825448688348331e-07,1.1997823845533162e-08,3.7387857698689686e-08,9.13048193718069e-08,9.304286230360503e-10,1.053506992754194e-08,1.4137613302267482e-09,2.332770643320714e-09,2.0559576263678991e-10,4.164504296966243e-09,1.6615242515172213e-10,1.1573644265183702e-09,5.770477034383603e-05,0.00016916018025203705,1.0757436896380312e-05,1.366236948463495e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7827431269542287,1.9384931577536981,2.6865883038089113,0.08533661159095529,0.08479075902231192,0.16585645138802907,0.012319919788662759,0.012013834146833657,0.023329713028855337,0.0024354354776669196,0.0007148955329823459,0.0012891007042558772,0.0006321963236299855,0.0001954623555128765,7.671856275037747e-06,5.566914304865056e-05,1.9005927152093705e-06,1.1008535189760416e-05,8.375563435095157e-06,9.465366473948578e-07,3.856066051799445e-06,2.346236942285529e-06,4.042349865951422e-08,5.680134017582716e-07,4.0290817564236914e-07,2.5769436584610617e-09,7.593445097708873e-08,7.880883612365608e-09,1.0032801700532445e-08,2.0968971004009518e-10,2.9449180788398976e-08,9.01910102157899e-10,7.975843763219359e-09,0.00022712027472895913,0.0006954284850756165,6.05739925637061e-05,9.732595706912761e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022899918388948448,0.0940055744500472,0.03417135895795553,0.0051328648243054165,0.008318280102104447,0.006802534777333946,0.00016664013318501425,0.0006109974244179472,0.0005104507029971561,9.596970774028435e-05,0.0002620749278283707,0.00018292977792344622,3.011014185316796e-05,2.9747742824604018e-06,1.0958373627412143e-05,5.066644976903234e-07,2.1959370020141478e-06,2.341083709112013e-06,5.160538352200206e-08,2.662883308302e-06,4.627397743872663e-07,8.164578790825772e-09,9.298130998480758e-08,9.789444943564263e-08,2.02574401697575e-10,1.1818679812591881e-08,1.848743713672718e-09,4.506135908854958e-09,7.1113559485525e-11,4.646389384355132e-09,1.6451084938751137e-10,1.6493839627429452e-09,7.026731960313448e-05,0.00019780097395849516,2.1450632299524486e-05,3.1598347836059304e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09284656028997018,0.005421463421376949,0.03442707687466906,0.007432026114630785,0.00016015425202664524,0.006405393303655638,0.0005169656296517555,6.389548799123901e-05,1.9400368374333787e-05,5.777308513443824e-05,6.089709085288497e-05,6.233838624636334e-06,9.838960326469248e-07,9.738694508598655e-07,1.61241112905941e-07,1.3694530531793703e-07,1.4972088568931952e-07,5.93525963932251e-08,6.863089052622229e-08,4.050623425566613e-08,4.07059186358083e-09,7.026847770319478e-09,6.1970509834807785e-09,3.355049571496238e-11,1.3553713706926374e-09,1.713224007104941e-10,6.052025547376161e-11,1.600208854313223e-11,4.2428682789363847e-10,1.2409406835445225e-11,1.6205947694913903e-10,7.839839613277277e-06,2.047240401803485e-05,1.991869589712536e-06,2.531849077058723e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8359483982582916,2.0017057101382325,2.7302287976263906,0.07538421820810437,0.07558620182924447,0.07478469592438053,0.00034050236069693707,0.00010530974930045289,0.00013812679642975778,1.9747080153509344e-05,2.0443170422018708e-05,1.0510815279252128e-06,5.043861696252261e-06,2.0312644632980437e-07,4.0884763330417684e-07,1.0811159570356388e-06,1.1717980608061396e-07,4.1342337331329304e-07,2.0287445090527711e-07,4.05396183289497e-09,5.9258248419347126e-08,4.033890768639914e-08,1.1391199095101001e-09,4.949461757108864e-09,8.139945800733628e-10,1.8242931609790958e-09,2.0710877457474908e-11,2.099633411578594e-09,9.083134244747271e-11,6.238870531305452e-10,3.636079567426176e-05,9.84236796033322e-05,1.150845904236697e-05,1.5390977666784877e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027154133096944477,0.09192301531043467,0.027313518026851336,0.004610627843745441,0.00468423947460983,1.75430473015048e-05,2.391602201168297e-06,3.0967931643588464e-05,7.7667067230891e-06,1.1325969548670045e-05,1.4008637336804242e-06,1.2727420898306363e-06,1.6738513930469878e-07,7.73150614641338e-08,3.4519932934351516e-07,2.735821635901914e-08,1.3753223404577852e-07,7.558924475237205e-08,4.0586787264373925e-09,2.367233231659327e-08,1.0631687419326852e-08,1.197604238001304e-10,1.7443604338751584e-09,2.7158553184136736e-10,9.910858800310507e-10,9.791945032588956e-12,7.638418786370949e-10,2.0693669000593218e-11,1.6853940465466621e-10,6.357915124133307e-05,0.0002762367536457422,1.9000346927144918e-05,1.4612130272428914e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09028851978244379,0.004723559672399569,0.027353599180058863,0.004653715794744606,1.7988610728547627e-05,9.35609548091687e-06,4.514140027889191e-06,2.982089844838498e-06,8.091635553819643e-07,8.863994827024158e-08,7.632334486640246e-08,2.3259064008129826e-08,2.3131640380924523e-08,3.327775000006028e-08,1.767003143804402e-08,2.784707797687247e-09,6.054249879205997e-09,2.7387359047281734e-10,9.747969098583553e-10,6.653907425047123e-10,4.0114578325756156e-11,5.311351358727734e-11,2.9316993277461734e-11,2.178124347551602e-11,2.049249658853114e-12,3.184064123473718e-11,9.49906819869284e-13,1.1814993428060916e-12,2.3614944955063777e-07,7.157488673970036e-07,8.284483077325433e-08,7.773910404296203e-09
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65555366140333,1.8027989238329027,1.6629502805808327,8.358274936409726e-05,3.0528377745683843e-05,2.0992815795622954e-05,9.952221373565884e-06,3.900713580209936e-06,2.9464250073107934e-07,9.14817124442191e-07,3.777927959358607e-08,2.4214823957091625e-07,1.4605647936927202e-07,3.25522896416075e-08,3.9095270687461436e-08,4.2017452669962374e-08,1.3495619066716813e-09,7.150578684722575e-09,6.5863301895729975e-09,2.271048904489703e-10,1.275308011972065e-09,2.1513311965204451e-10,2.2432544710682123e-10,1.3819723143626561e-11,5.517148543576766e-10,2.999633874622987e-11,1.542649341601532e-10,5.19403461882173e-06,1.564857928590402e-05,1.7835179478356555e-06,1.5463172831076122e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029238353372194714,0.030049301776542414,6.438209533943251e-06,1.7126072090478672e-06,1.190957702768003e-05,1.513559101162798e-06,1.304992977790853e-06,8.281278907062983e-08,8.04672530163586e-07,1.0297648511681246e-08,8.869472267747369e-08,7.762380560549786e-08,6.1564904285660305e-09,2.232553231173995e-08,2.6284021625855303e-08,4.820159826834924e-10,6.8697261212946614e-09,6.484800030293059e-09,2.9090063691228352e-11,1.2226920587110612e-09,9.445610960057138e-11,4.658762264853067e-11,4.984901380566953e-13,4.5297487982765006e-10,2.2631452267773966e-11,1.3891199301951929e-10,2.8929342781314205e-06,9.32004649101259e-06,1.2366330386370805e-06,1.0357526747384327e-07
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030023371907019758,5.071468121564671e-06,2.4449305507934227e-06,1.9158697385224244e-06,5.522451920203508e-07,4.208772561575813e-07,3.072017262795157e-08,1.6485550036193786e-07,7.572748872419766e-09,3.604333520534908e-08,8.083989588847373e-09,2.7641005040379696e-09,1.7509023120254597e-09,4.174195655792801e-09,3.3784086639343514e-12,6.231946070300864e-10,1.40923173130858e-09,4.11537470768053e-12,2.3856561170987334e-10,2.1078250256323372e-11,5.10747000248557e-12,1.375344282905644e-12,8.96084317858481e-11,4.633848860180478e-12,2.4242163831900143e-11,2.481931554720873e-07,1.1611425300150913e-06,1.3200168291760406e-07,7.573877303101995e-09
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.543969515827026e-05,5.064072856164614e-06,4.191040861356576e-06,1.4648290929120122e-06,9.479268147094544e-07,5.431214700202247e-08,2.1580766973450238e-07,1.456419940204512e-08,7.513777200429672e-08,1.521906234369652e-08,2.7325486318119374e-09,6.377627315146128e-10,8.006264762272508e-09,1.3801426668180738e-10,1.242751457297686e-09,1.4390438840550246e-09,1.893907253247562e-11,3.349671651164954e-10,3.850120222637088e-11,8.421485730991662e-12,2.1171953079601735e-12,1.5991374890944599e-10,6.013189945974773e-12,2.864375403532904e-11,3.32726509011394e-07,1.8040279730069386e-06,1.6866513363744673e-07,9.397093325702599e-09
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0602216077503925,3.539354657514823,0.1370527046275588,0.2721370434038256,0.03088158265841523,0.030141279045528047,0.0008546375027544961,0.0033054367302189913,0.007862683053275032,0.00262868470545774,0.004833428223317338,0.001251178510739942,7.343384943458986e-05,0.00025311943865991005,0.00014660849372116758,4.613290536137349e-06,2.1659344413921255e-05,7.192006949346963e-06,5.425435331107842e-06,1.040312990863157e-06,8.058512549924401e-06,2.3227584666773993e-07,1.3263694680354376e-06,0.029011224797421298,0.0055960431647278375,0.005644810363901284,0.0011919173427912266
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5440885554654075,0.027543516175708604,0.07293638526910541,0.05340231617815161,0.009905739999259894,0.0011009499503111808,0.0013050012615805073,0.013902979649647207,0.013756312638080082,0.0009888636513269988,0.002227998380221613,0.0002078809342832555,5.481275950947051e-05,0.00014377264032103265,1.730922499965093e-05,2.5091865078902265e-05,6.830792566914212e-06,5.166508918907908e-06,6.446098906875974e-07,1.0478914834063935e-05,2.61170987836401e-07,1.2230167217852639e-06,0.012219675508539973,0.0043183483107168685,0.0018008680828619228,0.0002995911180655453
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.953563388370017,2.612310407803726,0.09280435218936123,0.1764732066897347,0.007704657706686047,0.02642762415949229,0.01631433988122291,0.000717332065167664,0.007245706299422561,0.0028826953419727464,7.212315537452607e-05,0.0005562571515578263,0.0004370207823608807,7.925923665830226e-06,8.914802259976651e-05,1.9557118178956112e-05,5.080533751922189e-06,6.199692191843909e-07,3.231202934687871e-05,9.299361654058202e-07,4.850480116558309e-06,0.19004922674153396,0.05124756359149622,0.027665659338829328,0.004805427153188879
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09565962589591936,0.023881851917908037,0.005622368412977363,0.0009430117056621334,0.0002112227793218402,0.0003828550316061774,0.0001489914674264181,4.545539434186452e-05,9.655123409957334e-05,1.880866130177239e-06,3.337934227420902e-05,1.0800549735789922e-05,2.81073419650113e-07,2.664213652581182e-06,5.414991871566244e-07,2.9295330050693735e-07,1.3906364282334494e-08,7.190836484038954e-07,1.8384924249659207e-08,1.666461220128923e-07,0.027445758357007577,0.058151296170316114,0.0042630345572459705,0.00013274971051480122
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7521946981803105,2.819812222829082,0.08088559097425674,0.09388005836723512,0.16843916271531312,0.012968681550605932,0.004500665385274605,0.031472461926101175,0.0007473807473599159,0.0006524236364836566,0.005620818275697312,0.00011013887930944044,0.0012906140883729988,0.00022586671171433148,2.3871385825824376e-05,2.6408258327892398e-06,0.00039581171554495254,2.08173438887016e-05,9.859097258158034e-05,2.4382090251729553,0.281732125593705,0.2176982399661063,0.05286430241183859
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07981128381215774,0.03147009112573418,0.004111998761402225,0.011689787019856124,0.005834826283296124,0.0001991137425649825,0.0008848715511182714,0.0003005478335631473,1.7470377196460163e-05,0.00013610530856433822,9.794428170728509e-06,5.114846052944877e-05,1.4946581802233183e-05,1.0600991218190359e-06,2.810488648474774e-07,1.4244576155064692e-05,2.621974974914565e-07,2.0055370466565137e-06,0.1230377343564899,0.031500757945313596,0.011284454564847168,0.00025226738247008385
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8041175548343564,1.8096789304028358,2.517145202953428,0.08245705983667262,0.08218442722107144,0.186321211987513,0.006870632251579023,0.01050134629448285,0.03291882661980565,0.000744217985769513,0.0058793808846611395,0.0011798602804687502,0.0005035414870443455,1.672207228886613e-05,0.0017922383602382436,7.713568984479835e-05,0.00034483683283892397,0.18018718669130085,0.03938831606131109,0.03963503738017243,0.002801802682348975
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024674586639254592,0.08419785574757066,0.03231366867053698,0.0066055507928126644,0.005701709836416269,0.0027351449056891575,0.00018640993401231043,0.0006058804951383223,0.00029366169802891307,7.286399046080305e-05,3.262303199247363e-05,2.0286580935335863e-05,4.13949124089541e-07,1.0803233119638378e-05,1.2882127113922337e-06,3.8873712449039033e-07,0.007710375367569577,0.0008464708169074742,0.0010261171537571112,0.00018153574847468157
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08099940063943467,0.0027314699491614025,0.032614018487560736,0.015292293052875383,0.00022311399385954722,0.006319664632423061,0.0013980926770335023,1.4474806504960469e-05,0.0004249077282871827,0.00014526629006728076,0.00018668418416689647,9.884873110266312e-06,9.440060662702088e-05,2.200385053496845e-06,8.738567858879165e-06,0.00991168766402395,0.0015434402954100923,0.02340405168892712,0.0005859981628002497
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.710123243113039,1.9272374143944047,2.8845491233505416,0.07983935183097302,0.08115432898427244,0.17909995294334546,0.004964757807277231,0.03395255465872296,0.007772657700202967,0.002989600932217229,0.00018462261914919953,0.010346123206727786,0.000295191950303475,0.0010242944664736742,0.028849919466978097,0.007311562187846371,0.0060964579464246466,0.00039480014972059774
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024096054759180197,0.09068176351083301,0.03393296787508482,0.005228910707234524,0.007971489955471589,0.002549744235889717,0.0006095137411199492,0.0005126067199487938,3.350750516850631e-05,3.0529199888107428e-06,0.00018483756785414585,8.282601265729994e-06,1.9992400174029257e-05,0.0011219788074932069,0.0003363464283157036,0.00016041276639477964,1.4025064457579006e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08369675798373821,0.0056863536748721355,0.03438156443948448,0.006021785541146518,2.9638410250498737e-05,0.0010800486706536994,0.0008086187109292986,0.0018728186554712867,5.939225929152414e-05,0.0006009712346355389,2.188895585897299e-06,1.3695941929681155e-05,0.0005345186508178834,0.00019201032147986297,0.0005829890579670538,0.00017274883719009537
