 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,C30,C31,H32,C33,N34,H35,C36,C37,H38,C39,H40,C41,H42,C43,H44,C45,O46,O47,H48
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13045510334904575,0.012865605890839849,0.016774382408738298,6.089698365352447e-06,3.138488074871937e-06,1.113346720216235e-05,6.504019534414596e-05,3.175807778310613e-06,5.485265079929746e-07,3.8433032223395003e-07,1.037159425010259e-08,2.4666891418334558e-08,4.724663282829056e-08,2.3876320254245798e-08,2.9170643678355646e-10,2.8860389633678096e-08,9.870275485823754e-09,7.94662113889899e-11,5.1600621553404835e-09,3.753090149771765e-08,1.4559675687308982e-07,3.330312692284565e-09,3.126698899791336e-10,1.4519660584966232e-08,1.317520315069487e-09,3.828007022477209e-09,5.382845280621495e-10,3.155486449646361e-05,0.00022685296428726076,9.128010210801563e-06,4.6890454230563705e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9287910584351917,0.13719820230955004,0.0006503127386366936,0.00023865538029273214,0.002527322680535765,0.003139525656921771,0.00043050492296334286,8.388530001879335e-05,2.858054038862301e-05,3.8053579576313723e-07,1.7671453258483183e-05,6.562536769977312e-06,2.719699637915296e-06,1.0510711834221809e-07,1.3393176739318058e-06,5.570119405162721e-07,6.753381853741303e-09,5.929331915455194e-07,4.920942193176181e-07,5.746442512943872e-07,1.5680615902957662e-07,1.5457176205657674e-08,2.37093707278202e-07,6.519326190002062e-09,2.3777956334458672e-07,1.3588266067898758e-09,9.016347826099058e-05,0.0002532092077959097,2.624908262434389e-05,4.874122069842279e-06
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8035713516645897,0.0001659200327141508,5.555875829392487e-05,0.0005955712659164863,0.0006898057065852781,0.00011528143796279977,2.10849078100539e-05,7.3610617460639904e-06,6.377989791861438e-08,4.849708525767049e-06,1.510078301431017e-06,5.772417489419146e-07,3.1237940678607856e-08,3.1651635155893754e-07,9.813253323831539e-08,6.085931758548213e-10,1.288389408077295e-07,8.839880265287814e-08,1.2557328965545622e-07,2.8674629476421742e-08,3.2903656466132247e-09,3.4008150115449887e-08,1.1000825805851377e-09,4.906752996969299e-08,3.254939651142763e-10,1.2279474167653515e-05,3.549095066965324e-05,3.3761657773356823e-06,9.420705562313003e-07
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.837328115012916e-06,1.0142699060633475e-06,1.4983048713945735e-06,2.2894560187669555e-06,1.9477421253633054e-07,1.924456793922502e-08,6.580555667046184e-08,8.844706078647846e-09,1.0977656561550475e-09,1.621792344863593e-08,7.771441046244831e-09,1.1875123107074614e-10,3.529627368159538e-09,2.5628404953792483e-09,2.8345104041704872e-11,1.5929275676285215e-09,1.703821417287088e-09,2.3173409857690785e-09,7.072831209598007e-10,9.977663140148252e-11,7.786016276156715e-10,2.3529400650090793e-11,5.647732281843787e-10,1.0753842261124191e-11,2.8559272846617745e-07,1.1603246091729247e-06,5.243859013681629e-08,7.233455168176306e-09
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94259196416504,3.674526203983464,0.13596279930311972,0.27276001325920685,0.022235172756276844,0.03859969050733916,0.0064701999246128405,0.0007728011128214085,0.005366460119643063,0.0018006840513540012,2.669937689514512e-05,0.0009709497244479726,0.0005929546810165831,2.3631211046315492e-05,0.0002438926771401173,9.004166065126884e-05,1.5034443705763678e-05,5.328292182119054e-05,8.423742360097464e-06,6.122995178689528e-05,5.554912763106046e-07,3.167025667902279e-05,2.0072155781925005e-07,0.030874577203133524,0.0062155547200853645,0.005519625886826474,0.001374419638150326
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5546984305034462,0.025280537750626997,0.07275455520643619,0.03865049334926862,0.018494724752039296,0.011271445126162072,0.0006888761905555763,0.002717741519228184,0.0010969709248713488,5.891589289153121e-05,0.0004431041075434877,0.0003258740514611308,1.2316275893153872e-05,9.6919897804984e-05,6.339716192861611e-05,1.806771578993782e-05,2.280158187888126e-05,3.2070091460223438e-06,4.148848436361097e-05,5.750306606433497e-07,1.531807866833601e-05,2.3419124484114207e-07,0.009840585054974843,0.003762542446306971,0.001301026694529292,0.00035171567377279
N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.806252133114187,2.5022365323998885,0.09264793906102875,0.18766920379226276,0.007891714864696198,0.009627286199588303,0.03056747074001806,0.006887229758643532,7.03409352105222e-05,0.0032093670474496183,0.0019438664026397712,7.518064382761036e-05,0.0009430850879435237,0.0003415768295745719,8.329364785453208e-05,0.00018056609036246063,2.5473541637177632e-05,0.0001996814664514679,7.006239512996615e-07,0.0001473042034272204,6.135936352347215e-07,0.19984321090133336,0.04677174670163797,0.02827130122173896,0.005298111611862444
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0992748135099134,0.025101626154848677,0.004306737342310352,9.890848458926627e-05,0.0017615775258870148,0.000505967410744268,0.00025503470443599685,1.1269165681726534e-05,8.846675358398226e-05,4.059788453125712e-05,4.640980996173383e-06,3.078389319910446e-05,2.450624570493609e-05,1.2710659731407503e-06,6.9508870488288466e-06,5.114408050399533e-07,7.203700342905961e-06,5.2295662245072094e-08,1.3222437927784547e-05,4.0009612511937576e-08,0.022023471047635246,0.04170164146773003,0.0033234754160769153,9.776687383822313e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.708995593500072,2.643675179562304,0.09450274174400564,0.08157070461233529,0.1722334055020482,0.049825777333495636,0.00024184639523028295,0.019644630120689482,0.01309153364464788,0.00013663594655910494,0.0046725921222705025,0.0020362790585987944,0.0005700515465505429,0.0007261098925568366,4.83441169674137e-05,0.0015401676239094886,2.8574135957359914e-06,0.0009483374437719294,4.222008312515513e-06,2.7477169249166864,0.27569218297648646,0.2236333578447554,0.05400052673218969
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07733161232231511,0.006747841152052958,0.03069864817685608,0.00736602409511844,0.002812495892038358,0.00018032206376927817,0.0002893697876272805,0.00042211986364792953,2.8453344607770603e-05,0.0004032696433843297,0.00027616011756559367,0.00015214539726882137,4.006229417607976e-05,5.025500027233676e-07,3.533040824010847e-05,2.153157323103727e-06,0.00014576169090385616,4.521312360061813e-07,0.1077595255173498,0.02347476240864499,0.012746106588994777,0.0015046728961054523
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.089785874421298,1.7859051276923497,2.5120677663931343,0.2568581345262355,0.006076368019880984,0.19111911879232638,0.048995091452100875,0.0025590714306759077,0.03352992972692395,0.01548582887442726,0.003628352645294486,0.0051364894294206875,0.0010701117496749735,0.004036253696682479,0.00015188997776860447,0.002304750566770708,6.929826836432618e-05,0.18783327598445415,0.04113879539251343,0.025327333361300705,0.0021055475282395486
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024411858330164904,0.10658653775655047,0.017667368185236954,0.0020806952511107646,0.022905496693698124,0.0029617664774823638,8.186799948406431e-05,0.0029876890663718125,0.0013001314798875008,0.00011742622445143347,0.0006481569382184027,9.632707312623445e-05,0.0006215969975530422,1.7330781913571514e-05,0.00022156656717364775,4.522597079947843e-06,0.027222376286961003,0.006128821436440224,0.002635375642513149,0.0008575962401091708
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10052831240087245,0.03012797087939134,0.00019815754694962884,0.01142807864877482,0.004952897506603993,0.0007234467585315318,0.0015233648759847007,0.004242678785966625,0.004265141490074287,0.00044470432144905203,5.008375330861625e-05,0.0008663815236371608,5.1660973832357016e-05,0.0006214488607838575,3.003246314969843e-05,0.009282129882002499,0.003635230052590477,0.0008935818878000878,3.551861897355124e-05
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.160188781384963,0.11826620356810724,3.2336655492300985,0.4898260892927505,0.0255565188255088,0.3414706727528757,0.23234117134253596,0.00804848216828491,0.041515543997145216,0.0037246982028373843,0.07237834759016772,0.00294302018681436,0.027282584537959065,0.0003626529275435608,0.015233623851140715,0.0031682298249591373,0.011212831794633393,0.0005248131477497697
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.008891657868644,0.40117818166605407,3.102026820190632,0.10998282382088442,0.4563642546407585,0.11133991205073532,0.0008141240482157919,0.07524230086669226,0.0006640701841922336,0.031163278967221875,0.0009573904220161467,0.07838847049522102,0.0009021319471722578,0.0037388626294932725,0.0017474607691862487,0.001990842563228165,0.0003200942973965448
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030955836273041104,0.09933944516580451,0.004868036739940962,0.027910148333018858,0.002994636958705499,6.379632087094578e-05,0.0027687035296128926,4.5322527551405756e-05,0.0009862841424080893,0.00011247653505641608,0.0009347166873800994,0.00010876928831859978,9.525983187863574e-05,2.872482006199828e-05,1.532029937567625e-05,1.7726737542300697e-06
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39002192591216434,0.03099604582342208,3.275635197540471,3.4895069127106666,0.1273852434169842,0.2876748258148204,0.026580509610414804,0.3409441263161399,0.027717569062586378,0.2331649544863097,0.003927888279219749,0.006275859566751252,0.0008427467970929525,0.008849643849920236,0.0016102374319129087
N34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.966206950968846,3.241775024537114,0.04796225333872803,0.004120614545381596,0.25461994294890744,0.007224839655473492,0.05075087291138604,0.00045011049597931674,0.06711268548468352,0.002973281047149001,0.0014706329797453954,0.0003214509357231249,0.0009130796226900495,0.0001577257382334718
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11594653719856252,0.0034558645899671614,0.0014161853689835802,0.007025983917419598,0.003377946897000994,0.0005226224132551804,4.0556621570653206e-05,0.0005827004851595152,7.066980732917116e-05,8.89229493927779e-06,4.087842288114096e-06,5.093860293792218e-06,7.343762307154833e-07
