,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30C,31H,32H,33C,34H,35H,36H,37C,38H,39H,40H,41C,42O,43O,44H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1530856849169973,2.400429116210195,2.5348108670169687,3.4707460825859444,3.822717117736508,3.8187669084092346,4.64893100203622,4.883464895764271,5.509812682601189,4.723966432703658,3.6495579669111082,3.812378245237829,4.749355628301464,5.061047811747652,5.926491362534303,6.33325589590975,7.132153938895749,7.2988264264873175,8.467978502195498,9.250177276631138,8.576691607021413,7.161485096481443,6.385850416178542,7.312714394677311,8.111790849160448,8.989979279278565,8.532908295868253,9.057763779825105,10.037357962686448,5.877592612636617,5.445650560817577,6.826308567568292,7.042159378636884
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099080726092047,1.095277725284778,1.526570569959753,2.1909431133745976,2.1888601169088107,2.499677227819989,2.8139362009152364,3.3958987315527294,2.635882463990349,3.3571786689427308,3.308827313661157,4.145668533054005,4.669655731868192,4.9831935617841205,5.594275617405505,6.133549451895956,6.598797391009044,7.341907958562076,8.123416380170866,7.220771424902119,5.960168539905313,5.306568135800614,5.829855238909756,6.9710804537358495,8.07592635692567,7.643896641405329,8.377621465791309,9.043714548890783,4.4822731452367055,3.736505447211045,5.445130654338087,5.464812952141757
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7683826313595905,2.1484116517641603,3.07722123129289,2.4565650017599223,2.799017010776967,3.3102442426699716,3.6602430352374347,2.531561649245918,4.301594456815994,4.048764434752546,5.181226654226784,5.748759013274349,5.937490191735637,6.4832354785958435,7.137758771317952,7.646058009919668,8.274050249224144,9.086488367840461,8.073307836955781,6.970421105865252,6.35239847977313,6.753170322694135,7.989086013120712,8.971301052007329,8.468342558373532,9.321268749031224,9.90952409381896,5.2876633455905955,4.500384820903392,6.1066706306374625,5.993395865716358
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1584399421622757,2.5827877630438114,3.0766186589928415,2.6471273564198934,2.558511888037937,3.6465375696172413,2.7614262907958955,2.6565619335889434,2.326093190955184,3.5540806024675033,4.2576766200182945,4.242680346488855,4.72519623303926,5.547789548343702,6.041962831584892,6.661447060678895,7.5295317546395255,6.534671522936808,5.616362057029227,5.111345148523386,5.498866363102763,6.680066356810043,7.259349844907267,6.737878964617851,7.585629863636472,8.217522933919037,3.696650856332937,3.1453144688372725,4.545656720974744,4.608469648050853
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0913071758525337,1.0932937811324068,1.520962263381696,2.1014482190546455,2.128783351236554,2.121130120198818,3.940725987031632,4.071030819236071,4.257769194172176,4.679552212729717,4.919457146025008,5.751290836723168,5.770401664373043,6.356648511868651,6.946027248194898,7.59867309478894,6.7287293670407555,5.2482072253461824,4.586801960789212,4.957139165276832,6.1889994817281275,7.927578484562559,7.649730020787836,8.316757618040208,8.835851675496066,4.2851474515319135,3.259829386833184,5.355781642861883,5.292927270682139
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.781405687669018,2.086250273056121,2.2839505006754908,2.4771319972706185,2.952727402294135,3.5362705693529097,3.93935647791224,3.554912003606245,3.834032367321559,4.2607827373861324,5.193621333430162,4.925193978369022,5.458632140597749,6.182806342411656,6.753885075596508,6.063206424983924,4.2911348502942905,3.5491644380128053,4.105955387074378,5.191071565590434,7.24402764533141,7.08808503097923,7.574757929443174,8.167335241802691,3.8520367876788293,2.902422364927913,5.066619308312444,5.1529912589565
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1210546411428717,2.9673559481379717,2.35824755623783,2.5380296407071787,4.921383189434541,5.113202349076603,5.222722090036539,5.528206777867464,5.939902838854818,6.807267676494379,6.679802466924577,7.238890861967047,7.873206956131603,8.452148763420515,7.645106616775415,5.994270182228941,5.259911963766473,5.680108747453512,6.849063794829073,8.926975324684367,8.696665605353,9.30620586587614,9.823726446473572,5.327475259977724,4.25241334861935,6.3974776506325,6.283547525460454
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0476085350632294,1.025664691239994,1.0257196655660545,4.514018636704564,4.330516990229689,4.698967349277332,5.303681529348717,4.9205748729687,5.715707854843724,5.752015056060847,6.548375375012518,6.6533608017947286,7.343359872470433,6.2064824444758635,5.259858766798833,4.879768731138215,4.6891348422004695,6.221382177639917,7.647948923044117,7.31552348608148,8.22186794746483,8.4392188893075,3.8691682709135846,2.7012748457248392,4.6955010497721545,4.384843366336009
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6723316030742055,1.695225254693046,3.9548343444625096,3.693369986280828,4.019104172933348,4.7231623994108265,4.0244271354397165,4.784676837809536,4.894905632338679,5.7483794925335845,5.706640388087748,6.453003970121834,5.236522409258594,4.564605291709692,4.3403869963192205,3.979935953994665,5.573701755848697,6.650257183152546,6.293005656240219,7.262205329035764,7.426614371524458,2.860047868248101,1.704927537601668,3.6517283785349255,3.370053920942699
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6584452136489642,5.319195290219019,5.229355768637477,5.30673818153886,5.820030042677075,5.425874038499214,6.301174919309663,6.024234443401051,6.870056799746049,6.847306351009639,7.423500851510314,6.326978616386901,5.309040724884109,4.968640707370885,4.609847083618471,6.166059955020801,7.976348092157543,7.746687275081648,8.598195090796013,8.700796204767764,4.355174210232835,3.1315131582114493,5.161005850575864,4.786073181518956
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.014807841987867,4.621470552749843,5.399089657145111,6.08425037895966,5.597801467326441,6.275163563942642,6.563626468523749,7.370547673089159,7.391366183105838,8.146210945260556,6.890242898532581,6.195017905509514,5.854792697288458,5.604298088374012,7.18018918390416,8.278488900560648,7.83846483900284,8.886080194892088,9.047078039806689,4.447711781574051,3.3704640851906906,5.0815966420581065,4.648027550101196
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2328545096148789,1.3642823812240408,2.060809016667856,2.4481334827642924,2.7322160660155133,3.7695035827258545,3.8980237174496564,5.018347237938127,5.865380731550627,5.297868988135008,4.3251548055713185,3.900299603537155,4.686593992894281,5.299599185386434,5.378029967085256,4.966475846707892,5.412536134035625,6.444252272734531,2.954947235937988,3.222968891857956,3.904718377841023,4.513911694753058
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.256539830119632,3.1546932103652714,2.7408975955285997,2.779915147410029,4.269577873220643,4.588814091087966,5.259537949465885,6.232929704761776,5.355202542075423,4.949771336191219,4.70355756993471,5.105057780957127,5.987449722116828,5.47005409943779,4.841592052924277,5.663432224174904,6.467248460322167,2.7477849915827974,3.070018410185539,3.382395132161466,3.8674094410529842
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0116837179659024,1.4581017319200487,2.09169698925016,2.479781225064304,2.601914914331995,3.855158998699237,4.6051296597068125,4.245496053885643,3.039695557903934,2.7026285035677944,3.552547791042151,3.9708135698106632,4.410782117122128,4.231032353085404,4.437049683223652,5.483590631400523,2.4428367172123413,2.8680915742489077,3.535774533885214,4.267982137298324
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.126099205041546,2.7467189310139277,2.556945264513964,2.336356889788109,4.052226636464544,4.6037007325258426,4.6147904290249295,2.9211519953012006,2.3988966960904246,3.6744206280011267,3.6675296677171874,4.675327812415466,4.699144379033414,4.521459466686231,5.744155736523211,3.2910688244293147,3.633866883237627,4.403341062113673,5.157603946527598
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0946527883562067,1.5601613211818752,2.1183725300899705,2.590316809496691,3.504359090453483,2.8813069383988195,2.581898706456522,2.8052241211876017,2.92142093087545,3.519386128712895,3.1431200620816204,2.933994586761803,3.4236387069287457,4.171910483628275,1.5249867398280001,2.4496441417860897,2.3652748745375862,3.219130711198486
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.175650018489488,2.4627792851911723,2.7467628449132158,3.749193020327694,3.1284869223845226,3.5099702626262337,3.8238607080574196,3.87459261475908,4.325211905512412,2.714489805390133,2.238849977186224,2.9139607999923296,3.754014929538056,2.1082617810620614,3.237829896384814,2.3850272512626773,3.343384374288685
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1013677612383406,1.5440596542896101,2.133879211551026,2.1762159428311514,1.5378780784176567,2.2040970409591623,2.189363237993647,2.169146768440505,2.605139653656717,2.9683001017117494,2.8339376623001273,3.5328914921639423,2.5621854986629256,3.285850376094755,3.2434460533044436,4.036388350078622
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.141072089056348,2.460814789843947,3.0582485692965795,2.1549383999644913,2.5431823196302923,3.078527222570914,2.4626109622298307,2.7826615888671333,3.264944935554837,2.5648235009073135,3.7411652366002572,3.455449415948388,4.201633606976769,4.132444063855197,4.998347763620832
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0973038582530068,1.0985887801177068,2.539122763935095,3.510428572452668,2.7930586769475485,2.778217783479846,1.5337279310174294,2.198620197939987,2.1871714581977644,2.170245051556023,3.1589575231195606,4.031591494804261,3.2368298549746704,3.966676326164682
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7503455528159135,2.662992587359962,3.6897135835076154,2.990875718169495,2.4455174622650784,2.155949541710446,3.0829310534898107,2.5577070868276475,2.4409639274091552,4.116055160192234,4.841343265609979,4.271871124900264,4.927794689858573
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7966014013918428,3.8050726045051504,2.6029830236806837,3.155679674512587,2.167775462243982,2.5136092018934435,3.0884266076882856,2.5270607396233937,2.8773774666815597,3.6301237306033647,2.736283773686402,3.2606398225626814
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095907042316506,1.095807512385793,1.0946856957298599,3.9397513947091243,4.386113971359527,4.225004430856912,4.697711629290329,3.0804764483139704,3.242061807426405,4.015040961774312,4.567822871547669
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7687847880508596,1.7682537861559076,4.789145719522749,5.134746820533099,4.945300618257371,5.642991336291398,3.356694172971496,3.2842659457757897,4.514552814403016,5.046201917551254
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7683972113851545,4.271654650309711,4.611305937847733,4.793531568221653,4.91362076348183,2.8462881716206874,2.7615796786424656,3.68962627534825,4.03179182859083
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.181733471642554,4.8526628410445625,4.365761486220433,4.787936420612109,4.111349067207774,4.298223734535024,4.920953494600679,5.471995052784647
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953501583648875,1.0971696335051702,1.0949823315164224,3.8456567721101935,4.950237268916877,3.548826051832334,4.367979107748006
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7757097242753754,1.7612445711202909,3.44996629152147,4.642624255660643,2.913398779030121,3.749456857589042
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.766702311892804,4.460004401926377,5.568089663721238,4.352302660875036,5.246607907621762
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.685079322275668,5.748316693920779,4.194136857287004,4.88331259076797
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2261322105413763,1.3316650333346407,1.8894750261251891
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2458955951477897,2.3142731821513314
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766232611096145
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
