 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,H30,H31,C32,H33,H34,C35,H36,H37,N38,H39,H40,H41,C42,O43,O44,H45
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036938226690668152,0.0004613703540776726,0.13154277121750102,0.008338538316259303,0.02659392819081663,0.0013442271170467368,0.005866577327632516,0.0328203522007926,0.002014331305317918,5.557780264608958e-05,0.00010818189416395008,5.528399972520859e-05,9.551290518639011e-05,1.6696426514917206e-05,0.00027407502867249356,3.498400597767848e-05,5.7151002097466375e-06,1.0426086477277607e-05,7.982659964156369e-05,3.992824952003815e-06,0.00011534221976083892,1.723562818956026e-05,1.9299891884649867e-07,3.4252680813917635e-06,1.1995426875577309e-05,8.898642847410265e-05,8.88870502668837e-06,5.158097181379162e-06,8.80361722410683e-06,7.1427717592831286e-06,1.4799712546587074e-06,7.302579607681992e-08
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7979647232484353,0.3293985983633242,0.027732334902620615,3.812580718749266,0.12504816131174468,0.0009973079955934716,0.0008597698311563623,0.00014131182113336083,1.4062068404263606e-05,3.610488280425539e-05,8.834827993076111e-06,5.470757435131757e-05,5.785915064393521e-06,5.429364492837152e-05,7.644099705930718e-05,2.1862956128382294e-05,1.550645282288876e-05,0.0006619051897980566,1.852243710187551e-05,0.00178724928698748,0.0014691881326456269,0.0006242248202759093,0.00022463026123609175,0.016476292563973316,0.029839539263527337,0.000571015406625186,0.0003441900599421288,4.283468557381154e-06,9.330785909061889e-07,1.77552233888989e-06,3.1738261374592014e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027212513155751572,0.0015018644788979962,0.12640416222410344,0.007763117445442447,6.948859919697625e-06,6.960384736021119e-06,3.977254077192072e-06,4.304995249171384e-07,4.226283167874101e-07,4.3734468047063046e-08,3.997579816061858e-07,3.1007565404195248e-09,4.832439712831871e-07,3.2202574695716635e-07,3.630813028010493e-08,1.6947885317364353e-08,9.749339677789237e-07,2.2389783582710265e-08,1.1451148185237514e-07,4.781742998671845e-06,2.5594239294601806e-06,6.969933399325612e-07,2.3137964863084726e-05,7.482354967458527e-05,4.777331257255213e-07,3.7332598288308816e-06,7.487586217713726e-08,5.401769032076231e-09,2.1158746199567702e-08,1.4696772687727844e-09
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1262349813151324,3.6125976925771845,0.12211117965210083,0.0016143444723952516,0.003938424643078878,0.0004754820695611339,2.957730306896167e-05,5.501390717985166e-05,1.8599561334653458e-05,0.00012230138122117096,4.918176768398119e-06,7.565455279390232e-05,0.0005649251955015117,0.00010527626542833346,0.00013869259175847137,0.0054362089216926646,0.00024185374411145322,0.013555302411005443,0.0019388933135200404,3.484558434385665e-05,0.0005483616752886,0.030367801819650833,0.08137890147536075,0.0006202079155634976,0.0009485920337127807,9.253409924275813e-06,5.084002937194576e-06,2.219680136153479e-06,3.424403204332904e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12448781322186808,0.007604304633813896,9.936636861396231e-05,8.537136988218119e-05,4.0234314728770926e-05,5.962577216411802e-07,3.5386892602851105e-06,9.071283026962362e-07,7.379791148953707e-06,2.0618427187812927e-07,5.855323614634145e-06,7.251321629553331e-05,2.541878893147498e-06,3.445438013938151e-05,0.0005088366780738873,1.8779339873153944e-05,0.0009422134548036087,0.0001382557179874233,3.2857398368779656e-06,3.571647176237036e-05,0.00039707763191110246,0.0010360818544103978,5.02337531258501e-05,0.00017519105989771688,5.031481464801146e-07,5.748705999009118e-07,1.368545707869373e-07,4.4469878668351726e-08
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1164161336303615,0.0009576041287500947,0.0007398134590730909,0.00027288063715223687,1.5071780462339035e-05,4.288716984168772e-05,9.089936712669555e-06,4.616472356813728e-05,5.285776668362274e-06,3.75260533478361e-05,0.00020948803123282955,2.9714220403320724e-05,0.0001197639908614434,0.0020282076299518864,0.00012197249942924593,0.0013765168465509348,0.003595898287905158,0.00030697780133959185,0.0007010413217377609,0.048208529223070645,0.17575891066837823,0.0017074628015866233,0.0012391354260367082,1.250164125132791e-05,1.784082146308319e-06,2.7946353630819987e-06,6.77113395686213e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3843169606907466e-05,6.720669409254754e-05,7.289308758817725e-06,2.126993632334262e-06,1.6579657418080984e-06,3.9011232244590133e-07,3.442647038776059e-06,1.9051297339700568e-07,1.356146228648214e-07,1.1244307186686342e-05,6.733252686519364e-07,1.1465712914660031e-06,3.713334422528192e-05,1.0889618928811018e-06,3.127131548352757e-05,0.0006783681496864702,1.0741053540375134e-05,0.00016047761520732173,0.004586549269896434,0.012771762472658654,0.000257106999376866,5.56180592234945e-05,1.0187451793264302e-07,1.0646990578067062e-07,3.019834404760502e-08,9.382736809726566e-09
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.842826908127464,3.63113901848388,0.14141366831073987,0.26741280555516195,0.020898773221664557,0.03727595035468939,0.0034156836087388953,0.01083555638796363,0.00658423745889572,0.005915114898046969,0.0002824874327842508,0.0008124952807086194,0.00018038989100044311,9.141779672616757e-05,0.00015838354127198362,2.999089052013737e-05,3.631707917950422e-06,5.569914085448713e-05,4.111727282818389e-05,8.323754995043231e-06,1.997997940872409e-06,0.02852479717924175,0.0062101633613001195,0.00607535723638189,0.0012631023535222274
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5542226539868536,0.023234595746309372,0.05870590494447775,0.01894943138483729,0.03562580303563026,0.0010599886263985558,0.04237626874224243,0.0034326473398789414,0.00176137974244428,0.00043276981203210774,0.0006450355168578781,0.00012322407672549218,9.453070188347734e-05,0.00013181398278053202,2.0573410528523794e-05,2.044000366518972e-06,3.3183892595045617e-05,6.282610813035383e-06,1.1996281263471076e-05,1.8308874192296543e-06,0.005641862682297605,0.003192338553564822,0.0011817429351835412,0.0001906480221325335
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7750315483439336,2.802426148992104,0.0986013412631318,0.17230945272970083,0.023645980366305386,0.007101744614462335,0.03572181677916639,0.036464974399980976,0.0006963237982771098,0.003941533535466266,0.0007330984598897805,0.0001361685880572061,0.0006032730478200965,0.00016929330097548156,1.6960420557987632e-05,0.0001349104067272927,1.9732473443667686e-05,2.113311670004503e-05,8.951236300291932e-06,0.18763979202289607,0.0548201671773942,0.027601011374244755,0.005220141037551196
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09803198160482263,0.013976099580602641,0.010094485669823516,0.0007748076856726183,0.0002126625928324799,0.0016460022382311923,0.0017473281697375498,4.1049908652279754e-05,0.00024435027423186373,0.00010422337919702152,5.536805068429018e-06,1.3867817477142275e-05,9.381225570592733e-06,5.138781782321189e-07,1.82570269580129e-06,5.965712597255646e-07,1.2499728008208422e-07,3.7405996589079393e-07,0.03162888161140742,0.06965383565456418,0.005126662404689064,0.00014825653932470928
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9104277015423126,2.7036240433533125,0.08986473512435444,0.0957895088166203,0.15786838843858061,0.015528226723692695,0.003730812044166365,0.03224804504579795,0.0007029003093148578,0.0009120251707601668,0.0061736264399017415,0.00021999657474258694,0.0001331819723233707,0.001422270911461937,2.0634956624632217e-05,0.00022682390163220045,4.7350536143797584e-05,2.485622572451007,0.28058392000720256,0.2286652551219282,0.0533025195588529
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08841761394419767,0.0038126967013765167,0.007334172137364758,0.0238746826581846,0.0027945528274775366,0.00020781850287332482,0.0027399212115563065,5.803900344236723e-05,3.041290965999366e-05,0.001080042380823265,6.127295057511972e-05,8.780711087785775e-06,0.00028162055637082073,5.208874835238575e-06,4.910631798304976e-05,9.539517804579845e-06,0.11119119652077969,0.03013988034105175,0.011240105195697514,0.0007071278136612236
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0303392752958045,1.7787524804477615,2.7032022275911727,0.08113860932850703,0.08426165335359626,0.17979186412030604,0.006817074355111918,0.012129817053419645,0.03566040585518912,0.0022589768779707198,0.0007377855190298099,0.005887369478565108,0.00011603165820217587,0.0007949611212418883,0.0001884713393518478,0.1845629689720724,0.045222575295749454,0.03011286953270978,0.0018299751658394925
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026710194464009795,0.08193539321294696,0.03140416545380442,0.007511230926665835,0.003816974352467417,0.001756924285068795,0.00014629816674704976,0.000594480395166741,0.00042878599243412197,0.00011148931654902938,6.382394818105208e-05,1.7077291781131265e-05,2.7080945959045977e-06,7.547344355263164e-06,0.008003028292900005,0.001303938956787043,0.010982174141800138,0.00022546036730286545
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08581001888310857,0.0021305291323081565,0.031201298774253594,0.017254601797181857,0.0002854835941596967,0.006860128334154503,0.0018541260174642638,0.00029000677075097236,0.00021750073536153103,0.0001207647300556225,8.265791850980975e-06,4.7017877089938764e-05,2.5865327909047053e-05,0.0259227292554689,0.004543706473811082,0.00366314237287213,0.0003091711642522199
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014205656535011,1.9713141696693852,2.838081384318387,0.07967951910936355,0.0863761691841829,0.19117361485260545,0.024759825819109293,0.004250870010272134,0.030052841848889705,0.000583732429822903,0.0031500675869284844,0.00174126735889224,0.019607699622687408,0.006413779002747477,0.0033022614433752123,0.00023147894033404004
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023714615834014463,0.08731850087264537,0.03303912219799532,0.005643626750764907,0.012500699071957833,0.008519590829624057,0.00012743218679944768,0.0007730701374779603,6.743608203252371e-05,9.65369406566996e-05,0.00022385698285454225,0.0012449350243310953,0.0007816381634598857,0.0002581945561435095,1.994827640050545e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0848120152348315,0.005155437386090034,0.03354639555155381,0.007826637403615555,0.0006861804271680594,0.00034308858753506755,0.0010827991481758836,0.0001633353467744847,0.00024016629443868176,0.0003342489771778201,0.006035028683986088,0.0020194924430902983,0.0005136606867450766,3.4993869798771726e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.034534815030197,1.955919046083049,2.694984013719074,0.07946801246032065,0.07859738618387158,0.166510600006575,0.009247502393891716,0.025760171085872363,0.0110201201090947,0.003536255164423796,0.0009618553001619484,0.0005150782565080392,2.8783250056063636e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024958800580110685,0.0936339771947925,0.026040533718510783,0.01125633065319609,0.004255733144292173,0.0001685421495332129,0.0002112880887803481,0.001555091822803334,8.928985824430136e-05,3.012274813907201e-05,1.2327576580206667e-05,3.2263046851888078e-06
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08914398639657017,0.0016583400361862566,0.020746141310579613,0.02131798493291659,0.006524612618339143,0.002846140641426853,0.0025793043949655647,0.0007925419011622914,0.00021418967849384796,9.806055656880197e-05,9.046429533476896e-06
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1655826973723764,1.8621709776163424,2.653199207809737,0.07453384683506936,0.07611391904849463,0.07773571524301881,0.0004500182545935927,0.00024358963475396012,9.755206584884102e-05,4.030311370195605e-06
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027537412415529205,0.09447070323750795,0.00599013230582468,0.004166726744378568,0.027975834581442705,2.8994290326211924e-05,1.0055864749891619e-05,5.698342287585589e-06,1.031311386956446e-06
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09062878789341255,0.022768071251865862,0.005317936854290828,0.004370134165508244,1.7253617733414828e-05,4.439304000625199e-06,5.302713641186507e-06,2.817609547900446e-07
N38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.616669660291179,1.756885136162336,1.9859812744527578,0.00010533630971903962,1.980844555303507e-05,1.7810187593447768e-05,1.0974886636150316e-06
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033246608133847166,0.03204287466296307,2.9377513492967466e-06,1.1903123932066606e-06,9.693651636943912e-07,1.0371738512482409e-07
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029659442008292736,1.7280412476616824e-05,1.4944745464484654e-06,1.978668769608838e-06,6.794391516073972e-08
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.833770871044308e-06,2.690843613262217e-06,5.341299680328149e-07,4.9347096853225025e-08
