 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,S26,C27,H28,H29,H30,C31,O32,O33,H34
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.043201456534219,2.057325192460697,0.026343367656541272,0.005768117673485854,0.005766987212957847,0.0007483781477913842,0.0013026149105764273,3.7050807352168036e-05,0.00011989638752499254,1.5539550347054565e-05,1.2294487707897872e-06,2.735105580722874e-05,4.061460362470015e-07,2.87255921493923e-07,1.036701901505066e-05,6.883750213321216e-07,1.0651773463266068e-08,1.7007707309169007e-07,1.8182035133040841e-07,0.0002020233730227472,2.1811429056620146e-05,6.418134291663602e-05,1.970370765103091e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024623610467988888,0.0012580188588664498,0.0002810552397356503,0.0008599438416345695,0.0001901698203199409,0.00019958771369732453,3.0208842840551142e-06,2.7699577827222654e-05,2.6101557795144004e-06,1.8521315081621026e-07,1.1247436383809983e-05,3.349223098858545e-08,7.116328171186126e-08,4.584665235118912e-06,1.6419334403217078e-07,2.4135824450155496e-09,6.151862286252197e-08,6.334995750201244e-08,1.5799169497343613e-05,2.278941563904624e-06,6.709678259775309e-06,2.3131452941971276e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018803965005025347,0.001217406866020898,0.00016668817475173903,8.958628303168403e-05,6.806435905204467e-05,1.1374975975586565e-05,6.286588419612826e-06,5.608094221454252e-06,1.3954787658754242e-07,7.469524003766992e-07,7.205308172331115e-08,1.3770300455462348e-08,2.86658705328513e-07,2.537411014635893e-08,4.605436032534271e-09,1.2015450856495136e-08,9.281804436156449e-09,1.865249320043283e-05,2.8596929440016794e-06,3.5836872533945296e-06,1.4782516792877232e-06
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.789992107135848,3.5030550526532167,0.1354471063581254,0.266683901162706,0.022061775144464058,0.03740750338837781,0.009378709123687878,0.0005750973322340425,0.004506860797474921,0.00038631847308279177,9.437038512816187e-05,0.0016731831041957856,0.00011918030952126624,5.827107804723397e-06,3.956693649453946e-05,1.3093746006553886e-05,0.028344094946661125,0.0068587133853661025,0.005478515918484639,0.0011937739761125332
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5405362292918885,0.026139758995252005,0.06601958332189961,0.028844270354878132,0.02277791433576566,0.018784558298900245,0.0007078010304050197,0.0026338538864218997,0.0002213148457362868,9.426453956151715e-05,0.0010050129125187234,5.63696885371931e-05,1.0338858627778613e-05,2.5664034733474672e-05,9.674479064636365e-06,0.008329539735943428,0.004020524685221502,0.0011963974481927625,0.00027336892742269026
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7381859157368504,2.8874990685276574,0.09698102893513916,0.19028658209453014,0.01100686068072032,0.004970047390572385,0.029976516521010133,0.0003982338463704993,0.0007984439435488877,0.0075098982466157635,0.00040941764525301294,8.504450169199984e-06,0.00014044722130135412,8.450429054740471e-05,0.19548329225770503,0.0590655697785204,0.028117221088960753,0.005405734613148083
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09600128513948525,0.019767166423223737,0.007298529538291798,0.0002606499029940146,0.0005806432284565233,0.0014254028408834385,2.286068154644383e-05,0.00021084060529319437,0.0006231232332816194,2.0128304452637913e-05,2.9399632106574813e-07,7.809032492867019e-06,3.3762032267681263e-06,0.033386912654960854,0.0758014546173098,0.005461074887618489,0.00016178405803368712
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7441195851554059,2.3387644809233428,0.09647062644436244,0.08246346692086859,0.1543097791228309,0.005141920041824788,0.008410804657617676,0.04722063943211924,0.002107502881597778,4.0660928574354216e-05,0.0010968705187863748,0.0003372649993278465,2.7247969429799137,0.28078459594439753,0.22106294199865087,0.054455034226610244
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07695236533877725,0.003974901585475088,0.031827802464865274,0.011207908834698466,0.0001914303058703215,0.00606801286313341,0.002224518826761779,5.2112645564483806e-05,2.165790975139359e-05,2.396704815943451e-06,3.5206055450931473e-06,0.10934570631987417,0.028878680005034685,0.010577665200183217,0.0008422627434263585
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7972034068514353,1.839776040415159,2.8832876147949094,0.08205403571301972,0.08113039522944843,0.20354139802817456,0.01573156571648536,0.0008631849501561373,0.005690302509529621,0.0016035976546504571,0.19580560633725044,0.044368515171176834,0.022544960323015298,0.0016426137927569862
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02551284280076338,0.08359238665238011,0.03225293284901154,0.004883300372027444,0.011614729827989612,0.007450227170746837,3.7287245690187376e-05,0.008847472516768429,0.000732577269010104,0.02659906451566174,0.005275189667073188,0.0030677660290641118,0.0007059987604498552
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07909071043311178,0.005250607128361784,0.03332442440968908,0.015379169221881539,0.0006144285870667288,0.0002695316526830638,0.0001253867708228551,4.307988277574282e-05,0.012788437935984609,0.0024839984269570126,0.0009407252313988756,0.0001443397010596481
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7796070416888363,1.8373152086177844,2.4181465405579092,0.11890012621919412,0.009897304596318657,0.006270900197981932,0.027705333614216565,0.011956414023756218,0.003377965816565201,0.02164168205131499,0.0011261824639573481
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025447015863365285,0.0967359981824435,0.025345088640424285,0.00041058363850021706,0.0002460234149095353,0.0012550148283010376,0.004570098780058762,0.0013288291917079587,0.029574710652911174,0.0008683821746666709
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09370038792306923,0.011293962447399775,0.004973779730143679,0.000614763074692215,0.0004965908920457895,0.0005899667437725409,0.00011534209831542963,0.0004245080879682339,2.2927323928945142e-05
S26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.725653589447407,0.09453223716995895,0.09713738778033554,0.09364352113864749,0.0031470020520399933,0.0015506998733489062,0.0030087721616422966,0.0003832964797084726
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9149080596475758,2.1348533435073773,1.7282434608527777,0.0007126142243217559,0.00023575796250165093,0.0008086670863527157,9.080458437848993e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024501196833561556,0.025615573881506037,7.641234344157866e-06,1.996686018079785e-06,2.477953303559044e-05,3.891704939418261e-06
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025326063041486657,0.00023220717222716125,0.00012283428001502728,4.747864204757146e-05,1.1310548017728905e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010187230497060717,2.7806984338130114e-05,0.00014939355782872532,1.391703567032998e-05
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.943317769601876,3.4803235361951064,0.16823793924569375
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5163036224930025,0.0643335804920745
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7729152977849658
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
