 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,C22,H23,H24,H25,C26,H27,H28,H29,C30,O31,O32,H33
N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.935606375418684,1.929062950044791,0.002280554772936122,0.0008091571179005275,0.004148817685880921,0.0077702599600251165,0.00047764952104037417,8.942506116693671e-05,0.00012076560911611356,2.09771147963167e-06,0.0006588025762632732,2.287865000716316e-05,0.000836360710745554,6.660773653521801e-06,3.741962018692646e-05,9.35447227901065e-07,5.40573500851238e-07,4.0532392246994675e-06,0.0003747325684814451,0.0017319842055675272,0.0001251402410643726,1.6869878701086805e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036463105005345664,0.00016066879443799031,5.506117308340386e-05,0.0005720113580773845,0.0003355974059970901,6.814325775617025e-05,2.7163407828378894e-05,6.306571165404229e-06,1.3510625085366712e-07,2.0890675611506815e-05,1.241509110183614e-06,1.3137198542123585e-05,1.9807968221208228e-07,1.3516125489942965e-06,6.094824467339777e-08,3.7442684952537775e-08,3.3520828712774176e-07,4.739344185200611e-05,0.00028425771464224425,1.847925857711985e-05,8.516407710157381e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023325048188449493,6.808654096890354e-05,0.00010918861029085569,1.1773029958028758e-05,1.649154939542541e-05,7.815802438804198e-06,1.6182527354913212e-05,4.748957160849443e-07,3.909423714032467e-05,7.485092397008231e-06,0.0001899079511247237,9.864492607203346e-07,5.037959288300975e-06,3.846500540305442e-08,3.493410205557268e-08,1.3474937416990684e-06,3.369757772797577e-05,0.0001604988056197465,1.233240398679225e-05,5.164288694459174e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.989658279858133,3.406355448975253,0.1434495531344947,0.2671416267741287,0.017274360744867323,0.030501249827584953,0.0018964646892360992,0.0028001262234255975,0.00035776615176641435,0.000822079628542971,0.00019535262269410048,0.005376436607102075,0.0009109947083973946,0.00018553642626506495,0.0002156638413681744,0.05286334759761255,0.017408551240761405,0.00795628355436015,0.0009748405328160459
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5309440244846061,0.02433752350177598,0.07092468514281797,0.02360905612736286,0.008589805422001523,0.0012516825547388422,0.0021699630757794075,0.00038536839172853554,0.0005568423834743097,0.00019398742091447652,0.0010301687220406058,6.154975917649352e-05,8.548458860713204e-05,0.00011572945831161974,0.03405806748594167,0.007539770658440248,0.003864595945645824,0.0006969810277895894
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7790427771141406,2.829582024606464,0.10348995865110022,0.17352984738652663,0.019372851547097336,0.01766919711072079,0.0016260442886120163,0.005053303916021212,0.0007080730678903358,0.027765830394812563,0.0034974986027769273,0.0006493931395064045,0.0010244738929554575,0.1983798148024836,0.0332504413584154,0.02800323210884474,0.004971201839074069
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09839218877380762,0.022021953763832425,0.012526874002151134,0.0014818768447946162,0.012917131430081108,0.0008964021328825567,0.014128503037433626,0.00029162458322984364,0.0011760928300904583,6.171996627379883e-05,0.00025888793529693643,0.00012044327452453985,0.004942122254634418,0.0019646556773934565,0.0010507155038691485,0.0004213930785168518
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.894310748884543,2.5109338033904667,0.09683535033233492,0.15724066618424326,0.03077188180350765,0.006888814020041156,0.006785707784097594,0.16123949744160948,0.030149113628661572,0.006077714015717328,0.009974690293336419,2.715983904999596,0.26991919987403773,0.21079284510114824,0.055293409724877285
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08551161258465745,0.0030534592066067123,0.02671234500291364,0.0010617994475274894,0.0006118913414532301,0.0003107592780298152,0.014517030810144549,0.0011593821913005176,0.0001764458154840387,0.006183941552443839,0.10527430320655373,0.026830918097437317,0.012092010632444694,0.0007455849767348255
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0075965040463997,2.6764287855148474,0.09255881751292194,0.08534935351343331,0.0832375718575491,2.815061611185359,0.0893531481841372,0.08413019417262135,0.08429683389207576,0.17716819528959352,0.040623052696025036,0.019945109233594105,0.0019110125722480165
