 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,H30,C31,O32,O33,H34
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09178710435785287,0.005226949198229969,0.03286181152942613,0.00989149146882995,0.007711404328202498,0.0007369812119091268,0.0007521183157221945,0.0007205943670272053,8.957025133127239e-05,0.00018678167972552284,5.336389795829177e-06,2.2361907583201557e-05,0.0032691996795961575,0.00033532530132818206,0.0005112196544558856,0.00011383633265760196,0.00012013452924497514,3.5569636869237087e-06,1.4557847755058972e-05,3.7354346280160655e-05,0.0001451101445060221,1.1766932764500915e-05,2.184342676070372e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.063643776329031,1.6856978459737182,2.7928290138456084,0.08656029171684243,0.2624595643442651,0.03958666997091312,0.02795639247000714,0.0021904245139624523,0.04427138297331748,0.0016145203182127421,0.0042483362141936265,0.005795571150755491,0.0018496186143448778,0.0010955044576485135,2.178163430932578e-05,0.00020389223839462067,2.084503575028318e-05,2.0599047191316444e-06,6.748041766102553e-05,2.7317834162626786e-05,2.004366837096705e-05,6.6797012457930904e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022385503867646817,0.09434077455262768,0.008718753477579888,0.022896356003341056,0.011862292261432983,0.007830889163614962,0.00013879557247120644,0.005958543050059606,0.0002914894105001675,0.00029833542407398106,8.4233061087291e-05,7.382027630353782e-05,4.22895085735453e-05,5.317567990381633e-07,4.7780445913137015e-06,1.719655637888451e-07,5.879075555270674e-07,2.4634519391053544e-06,1.1815752495314413e-06,5.550994655045827e-07,1.957086182002854e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09694126570489914,0.015774518763188583,0.019968425989340455,0.013543893318851419,0.00779571504752985,0.0002575902654293749,0.004788883884269679,0.00021380613007293547,8.611363829635899e-05,0.00010196506223092427,2.4291880734939042e-05,2.730249665561235e-05,1.9564535544969175e-06,4.678769092381074e-06,3.14382377464284e-07,1.2711507624274532e-07,3.735590660136623e-06,9.84580184004713e-06,1.2763125178949508e-06,3.8059109286336934e-07
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9575860517707837,3.7307095660768255,0.39142881902020427,0.008911759245065598,0.02708022098729801,0.38322262082227715,0.011181415324097443,0.026701238714691877,0.0016693132490050167,0.0005655192492009242,0.00036998414108661837,8.22422358304209e-06,7.05295268763062e-05,6.911483100058291e-06,8.992394773255086e-07,2.673592201327124e-05,8.093562466990334e-06,8.897299668395031e-06,2.7800327075944153e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16500414768396388,0.028382794787621846,0.001682035411276761,0.0021560420183910356,0.01291623359878602,0.007859045610894011,0.0009770722566917467,7.044394941035925e-05,2.983058591898846e-05,1.3871008444077404e-05,6.607748030962313e-07,2.199452079354458e-06,3.399996930664173e-07,9.693720226522373e-08,2.6326388545827584e-06,7.651620584581131e-06,1.1753102213685196e-06,2.1065486355276164e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8023578022897353,0.15371293904882222,0.1546173439145756,3.70523320429399,0.15258417186926287,0.15167298996103096,0.0003656765545155538,0.00013663401184123292,7.599229372151628e-05,1.7920357292533495e-06,1.4988188563658245e-05,1.6276212215782238e-06,2.3145320016126902e-07,5.686090245954345e-06,1.6488408387527187e-06,1.813815202922342e-06,5.970507315211648e-07
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8162261249845812,1.8080008069598632,0.36228390920449133,0.028485254767221524,0.01108589027609086,2.4640850043916585e-05,1.4642320097291162e-05,4.946465896382701e-06,3.481502838242889e-07,1.0247223239112646e-06,1.3924523634134545e-07,2.8675633090280428e-08,4.2845804179569846e-07,7.819552919757777e-07,1.5527057802000588e-07,3.51777913465412e-08
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03774890062211411,0.02740898115249002,0.0029108768822270203,0.0008933799610493232,1.2172925452968997e-05,1.1409622958646892e-05,1.3904946023490794e-06,1.3298124823535318e-08,3.7593555868298267e-07,1.2130311555225148e-07,6.60254251272363e-09,9.500396147554824e-08,8.685494368165791e-08,3.433630091365103e-08,8.550756769309942e-09
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011157891547893706,0.0009125084498007308,0.006471176986854843,4.167718629100037e-07,6.37918886825517e-07,3.2543300276799414e-08,1.0786872062240604e-08,1.2490684708765798e-08,5.734795527345682e-09,3.126245928797289e-10,1.6593504348350052e-08,6.90406495307272e-08,9.042676496484603e-09,1.0712390974276786e-09
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9964235926223548,1.7164919512791341,8.937509731035687e-05,3.35254643285543e-05,2.103009577578141e-05,4.3227852042360126e-07,4.380180606278206e-06,3.895275507703744e-07,5.3035332570061655e-08,1.4869994320043656e-06,1.7209821462360608e-07,5.156866848127217e-07,1.5464774805185044e-07
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03666980588424362,4.096875505510411e-06,1.6739768612383799e-06,8.825385215960324e-07,1.6392894597316854e-08,1.8059249240476305e-07,2.204630078495029e-08,2.236375529207635e-09,7.941428814550733e-08,9.382801180457534e-08,2.760177908456285e-08,7.724929806940395e-09
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.118522849803295e-05,8.52501140258255e-06,5.349883463234839e-06,8.241168281131195e-08,1.1161458018937864e-06,1.0054445853668881e-07,8.448231003654882e-09,4.200713128454936e-07,3.6814992498968024e-08,1.2590220832553456e-07,4.6543915388497226e-08
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9035735218201255,3.449102114752989,0.14014040701700847,0.28089275760276106,0.0248195313666133,0.02725914304446353,0.036843456198631164,0.0074924638601588656,0.007393346769548559,0.0013688520592168851
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5346661448766152,0.027212149675092556,0.07162949711207034,0.04683958648503006,0.003152154777617211,0.012269066371638479,0.0026001294718233856,0.0022454557043247725,0.00052212272598684
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7754739534649309,2.923415257021806,0.09608049680519748,0.104316137849926,0.20515592208828348,0.038696838375852624,0.03226961514908028,0.0053688443476517245
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09430291691533799,0.03237203489041085,0.0032212245395237815,0.00967946715260426,0.014989839909590796,0.0014112479106720421,8.706331631169739e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.916284401244881,1.8357476452183772,2.741606194894511,0.28693484814351655,0.23189568722821574,0.05552334290604177
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030656874391901567,0.1120186230200737,0.0319088433042628,0.010878462364763752,0.0003241972644356661
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1116607661814879,0.032200567698953186,0.011112369138817746,0.0003276043942221918
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.00828230901583,3.5515604774926404,0.1702918967325635
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5162768773191678,0.06054811534508486
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.740962359857793
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
