,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30H,31C,32O,33O,34H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.166519365634484,2.52118833725813,3.0798815205177816,2.6922483910319985,2.436579729770342,3.988437829032275,4.758329715739056,4.573483271768461,5.752605233717845,4.84021887338083,4.745556323698665,5.795710253297584,4.109931225905866,4.649013845892991,5.035251408411766,4.886941054020092,6.303722833204487,6.563277879262128,7.1349721792068115,6.569951960947349,5.937904069544348,7.872399338861039,8.16393447537636
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098288139610631,1.097481193768767,1.4781362305813952,2.131980769339439,2.4983575984090223,2.865420899863872,2.5294394038698544,3.8698771685312905,3.7179408934261584,4.039822713139398,4.5530323641659045,5.013731412047627,5.5427238298391615,5.704622532432761,5.4479459722001335,6.718273571607127,7.07901139298865,7.625812661417275,6.478795025016332,5.542828041370994,7.690477306945982,7.719340028119136
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7840348982709884,2.1101074479510693,2.8012261361528714,2.8351062344379723,2.89511372118826,2.35734567218729,3.865898618533635,4.096649631356589,4.5418984394417405,4.813774807955531,5.078144252741238,5.367390955946601,5.926343204455779,5.847958324269523,6.830268848472047,7.03480478166669,7.819079539982637,6.569557257471122,5.690625438847514,7.710677726986973,7.727926217302885
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.102957447851323,2.8809703068296346,2.7812255027762895,2.8182753994379404,2.336940241158222,3.7331097936312068,4.037726373063576,4.473791887588707,4.781494792671346,5.211506778238779,5.820102251838529,5.676903714279964,5.325478148816509,6.5582031578974815,7.023030454440446,7.435054166134631,6.098493601376866,5.042971565971505,7.254070197587331,7.170305654020989
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0127079547573503,1.3320586831077097,2.318021750577408,2.5514943836639064,3.2385759837854726,2.323395043929099,2.563542055774055,3.2430429198526545,6.2822154556453205,6.842503791392476,6.97941205345918,6.641510995928476,8.082299331115284,8.47214641451085,8.943412399839076,7.890581011700406,6.936709576378944,9.119537333691218,9.137499725762682
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0157625784362274,3.21876001542394,3.5493902270068785,4.0616351825116475,2.5053551783559684,2.3311693820182273,3.504686694462827,6.350329521832871,6.9593926358351315,7.0754635835458535,6.713071506468924,8.291805004079512,8.687787366688967,9.10051550030462,8.26875750227932,7.389913556402906,9.548611987249824,9.652270722152013
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.340929916794228,2.0535033941303054,2.0583650535484743,1.344616418521649,2.060419480983461,2.061878753573678,7.489708644718454,7.995124286013169,8.161964995317819,7.816374538548472,9.183591768584723,9.570720729661604,10.064918345510018,8.845683686616724,7.817557458485356,10.011667529864878,9.9260080367728
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0096571452690686,1.0101375249881102,2.317167197055541,3.2416565527333048,2.5515930584447606,7.78021905537801,8.191805635716468,8.415366628661344,8.12401891075056,9.270429867436864,9.623518390859445,10.196668769983837,8.7400869554298,7.660953474725289,9.799132126547098,9.600237917927107
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7246555084543527,3.2398737505000965,4.094234522675464,3.554287523036286,7.1534854118243265,7.50299691672528,7.777585476651795,7.550386823933904,8.533991661118822,8.849573520462634,9.489060451567038,7.936200761142963,6.864285772559158,8.946744056436925,8.724549688390367
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5489120405534567,3.5527750317824944,2.375521294315402,8.758673992507378,9.155391081430944,9.364430909818381,9.057687097132352,10.175094719388435,10.534983971931538,11.097790399707666,9.56724485201734,8.459159151497676,10.576514422538386,10.313484918638247
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0102276179094098,1.010180867937546,8.60394810138738,9.143842799623886,9.276955854488996,8.881595924406824,10.368662722020643,10.77963308073478,11.213398979666401,10.088531962793708,9.064376809437949,11.279171227558225,11.206305419277811
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7218193793001337,8.664169799687217,9.260690766816658,9.336332299047385,8.905758119167793,10.517468764293405,10.950437685047024,11.314566681688753,10.361748455806456,9.383913130883792,11.602448021738523,11.598012399921682
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.511689883414135,10.011270416683418,10.185516582662954,9.798865829474092,11.231366900976042,11.6302220490393,12.093589522997076,10.876214613830514,9.820788396704167,12.02772683230558,11.899327691514609
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2244969410335693,1.3697783341089993,2.0398708776937697,2.445699168421809,2.534993404882273,3.2930628063726615,3.299409472488901,3.414004499384492,4.477256597925463,5.114430188155676
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.286781897381313,3.1530968601733096,2.8124080507368294,2.3925968012058894,3.71312953181482,3.6544132638298605,3.9350633225336042,4.615526653490743,5.274843777008583
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0120712172871504,1.4460352268254435,2.0654945099153297,2.1086225202378137,2.451965004096204,2.765811754441687,3.629476775639549,4.3291298995188106
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0983296589202194,2.961131894927879,2.513233614646523,2.7257130347574745,2.745424648951906,3.96314796696204,4.542863891892882
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093715511228932,1.0956032220815626,1.5256148989955336,2.432883937133695,2.3672596191968958,3.2121424691634086
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7670977462581736,2.1502828990636638,3.1070333628326776,2.6618054463974277,3.5434104930281287
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1522013360988814,3.1487586007740984,2.595601709201037,3.4975117817835732
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2129620076354812,1.3442871342164366,1.8833181650949895
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.259359168707933,2.317080076531716
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766423136286747
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
