,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32O,33H,34C,35H,36H,37H,38C,39O,40O,41H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1603349217840924,3.0680154467670238,2.4653554165530815,2.745972438584695,2.712317973439197,3.9369978416811198,4.674356175848553,4.520812727661127,5.538319480232216,4.795628318691539,4.701684530568348,5.773837531045837,4.1408130743447416,5.030653761833632,4.653812934299548,4.251023901003677,6.024566558066571,6.686385434209723,6.6943929910200115,7.654902546329474,6.052735931212688,6.039320865862801,7.167661284671063,7.789218325360371,7.895169560243456,6.44354747349531,6.328709127971125,5.825804386290593,7.5544956533436896,7.892847327015348
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099814060586044,1.097520717947175,1.467373372520733,2.147335350931098,2.4709177768822297,2.8767517058179526,2.561466239144089,3.851205439595397,3.6973094772580932,3.981000544787918,4.507630291963009,4.87224773066221,5.337549769513732,5.7561714104675845,5.640330999778133,6.985671956201345,7.542985135255956,7.966354044127467,8.81055103570501,7.477548009790128,7.272071202569757,8.651069520694413,9.397768404390623,9.25662266679794,8.036670204008537,6.940954860893218,6.354138501024453,7.986269249699646,8.152262432916327
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.778180110665115,2.1111933795591646,2.7623876544976076,2.8756641122025077,3.0057587371424637,2.4971000421970495,3.999228674958111,4.144224136933285,4.515958508055591,4.807348233151326,5.109528314677593,5.410125839029245,6.024497260637819,5.996741099508202,7.1075323494919145,7.662752746451293,8.170847145861647,8.918236922615254,7.719173492498406,7.390201422714724,9.00989661197404,9.782871129586821,9.583846470434999,8.5046323012762,6.8323883970505825,6.168882619635255,7.780150788697752,7.82518483477745
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09979109824546,2.955427293670555,2.710516041834913,2.7452552767070073,2.264068858914841,3.593036460086307,3.977440313572214,4.4162670952113725,4.7304364647519135,5.849803460307628,6.391780814275213,6.645785607144287,6.416302287753391,7.911069892173074,8.516793653915016,8.786674409968722,9.652765025101083,8.17936573117207,7.980106292088865,9.431288302490364,10.112099811815591,10.096709141622574,8.774570794055439,7.888711720719891,7.237284389004117,8.978945437350829,9.128317548585656
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0609080552671006,1.3208143989835786,2.3356944775989197,2.5791086512948174,3.2306791739817777,2.316835703979655,2.5170659349709656,3.2016120231612377,4.771311388769772,5.055957797722756,5.857587940483138,5.9115978917749334,7.127160252771231,7.494298934462161,8.232195194798754,9.119246956814422,7.954804917278189,7.876263073223833,8.75041081810031,9.58375705584886,9.226005244211589,8.057368930250284,7.2652042208151135,6.903257868577732,8.22033054861637,8.494735173504194
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0621637410392584,3.281143674506131,3.61615306814873,4.107586029862928,2.5468739096081294,2.3123727660476567,3.483210201732229,3.9046923832496625,4.168403407394759,5.045741767606913,5.1913674224547135,6.322845890166761,6.6084117374342215,7.4624017461844465,8.366944244283378,7.310795646125799,7.313671318277666,7.898088273749735,8.771458106091899,8.311659729068463,7.190797325997688,6.597930567442878,6.3850431341901075,7.5305991047363445,7.89755226465364
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3476640395238686,2.0553222002433267,2.0556181711306807,1.354247327582238,2.0441748857049284,2.054217791199336,5.919050720607972,6.051532472390936,7.074864527714087,7.184526576513609,8.320132279876473,8.603782642202248,9.47839803135222,10.359010499623173,9.254391437198798,9.182289596885012,9.95367380770293,10.81111251608303,10.372638809150388,9.236332674131608,8.448295965892934,8.118642804318174,9.326105885770513,9.581742912719319
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0090529121506562,1.0104180775262417,2.313861782494033,3.228271548480077,2.5460990596280326,7.023777752405306,7.152180298713391,8.145663770655169,8.203573347128204,9.359355748210762,9.707103105012358,10.504625931034674,11.351524078084159,10.187027331564018,10.026621706728244,11.07755830224235,11.90847159580672,11.542475124310847,10.392913008661996,9.33966196593157,8.88321186715164,10.21091438786145,10.36528601007768
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7218049118953833,3.2388946759267356,4.078345427865838,3.539838091822415,7.110771681539504,7.307887303074965,8.15445370108959,8.14337551382087,9.338022467889612,9.780559817218135,10.434283205681517,11.24819530275455,10.014485702253086,9.77545669569252,11.110455191942826,11.901839375118252,11.640343031961349,10.47460193344813,9.19940813130267,8.622656862772233,10.101671674346303,10.181910308468085
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5341664895199867,3.536234990579275,2.429260218601793,7.92984459946598,8.023957930351017,9.071305371958168,9.136905808772237,10.298172599872265,10.608316300797014,11.44965903328758,12.310572151964495,11.147616635706362,11.011553538398333,11.971828394951714,12.806285738495662,12.41601451584117,11.254533830153614,10.313043755917073,9.881483316273592,11.16472046454137,11.328074029303671
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0105716601331582,1.0108539298364156,6.255031784952139,6.263119265676894,7.469375671570196,7.677391573635287,8.703811933033283,8.837106118513171,9.9016745127148,10.803029929280145,9.826405539820017,9.85541100755083,10.22190166848665,11.11932974936509,10.532992772471239,9.453942703721,8.984245909971708,8.821515438312773,9.786700934688689,10.129609624480986
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7160210535803115,5.675059834542045,5.664137804350807,6.88646678336721,7.146917750917553,8.113958379835983,8.170889651884414,9.305111564324935,10.221308956242956,9.323591683032262,9.430665844678865,9.522729553475907,10.435951998949049,9.777773214100618,8.732801988059617,8.525542315816713,8.482701496028518,9.30838870888778,9.73258843092462
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.09001018341578,6.979001898788507,8.3452015748296,8.607035436754447,9.52852718716079,9.60598868293667,10.779557012381632,11.653535132484867,10.75417728984136,10.763674834690189,11.11008273114735,12.032192931436343,11.372385573823749,10.359871485845218,9.759423940688508,9.613727738027537,10.486984177497563,10.800067649858422
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2290403289972722,1.353755320665448,2.064205368354854,2.4500874733781015,2.738652252893263,3.7308655952942402,4.567663295249774,3.9998451249611993,4.110276658354458,4.303866755696366,5.286282660948147,4.628892496759992,3.888114417479997,3.0460217749105105,3.327316555375986,4.001050781537687,4.630907402991332
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2790655911166833,3.1746817812578283,2.817753277869336,2.719823237889236,4.315998094381339,4.967811311716345,4.8559757665149705,4.8943569815633055,4.915836343466204,5.968710405920448,4.998382081735093,4.640631825808874,3.1609771500908126,3.6364384660905973,3.7454188932723254,4.351120915699583
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01581638170196,1.452627958376931,2.0999183918070887,2.434909875792797,3.361468553445414,2.6943294546109287,2.9427275881158717,3.073098227410998,4.002043510784825,3.5642971556030676,2.768258015494041,2.446618438932246,2.835007948787072,3.5568085663479807,4.276457370615732
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0807128069463943,2.92347054101233,2.4609775648549737,3.4771566428088327,2.1832814971045376,2.499757821791291,3.05755944705989,3.788206749163687,3.8131993380019087,2.648682872195441,2.949043347706656,3.0328909546010014,4.193143366064523,4.829338603427494
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0920050805600412,1.5610305907813933,2.1659857268782865,2.4332156962810547,2.602094756418501,2.5673805444875657,3.5070516463646144,2.847379395490182,2.805656360583118,1.52837952068227,2.4235526363497355,2.38244430423105,3.224092592649691
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.201917653173792,2.5918401511958327,3.37370417786804,3.6337258359237796,2.7487748772184064,3.7797798147057042,2.5962479371677767,3.0134379766103394,2.1549637952269585,3.2608481693633946,2.455189174458802,3.4149464051017087
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0994899150451838,1.4265895172285388,1.963725297128156,1.52339311764133,2.150405973307829,2.1657115112093583,2.172758523464507,2.4973337611286266,3.1382675805828932,3.234571393277599,3.983560780660704
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0849901247237583,2.3122320869941526,2.153778399655657,2.4998368830731517,2.4710443481939492,3.0728409098384026,2.5982411250961386,3.3058394475003507,2.938971458290594,3.599154949540421
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9740901955832036,2.3802210077470054,2.5962036827403385,3.338980112275147,2.672089572219661,2.9951672025548586,3.0784936653715804,4.034624794954795,4.576174974790718
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2320262561870834,3.476723183025919,4.085897695197824,3.578340097944638,2.624236995885219,2.404339908590907,3.6910660081637836,4.04989647211167
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093710481145552,1.0948245954474551,1.0948630279468043,3.8660538431692233,4.591321834438522,4.4731453108578325,5.322406368204644
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7782342472185604,1.774797453003852,4.640563373707357,5.245510864844859,5.22907474740014,6.003363427560439
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7787478524081786,4.144414801984749,5.075963096973611,4.460007244945389,5.372135685122861
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.247557362296956,4.873884753554451,5.033480028032274,5.899526163727167
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2163080428209194,1.3405827866711708,1.8828418354910623
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2592919091504076,2.318973694524688
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9776611515779072
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
