 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,O32,H33,C34,H35,H36,H37,C38,O39,O40,H41
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0860935816427717,0.033739220963075134,0.0050233667675319005,0.007586110175136107,0.0013257395618206935,0.0007216738731956607,0.0004033592907062289,0.00040926673481433973,3.0243903107907144e-05,0.00026303916698555696,1.012987443615998e-05,4.786752856711374e-05,0.0015866374874626832,0.0008174433963354932,0.0002473474624824501,4.372339009295345e-06,2.8862413219199468e-05,5.767826355196348e-06,2.3541477740529615e-06,5.610479878459529e-07,1.3115880928005197e-06,6.291005476555256e-07,4.61519996330928e-07,1.676718897059004e-08,3.188550001809176e-08,1.39908058693905e-07,2.6259958544327944e-05,1.8141084999978574e-05,3.179213325488206e-06,6.315998604122797e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0479359205664007,2.0132932583623497,2.739347817178089,0.08346418620391938,0.28646218767418263,0.04244820001653238,0.024720588047729586,0.002298254432768987,0.04762000528042498,0.0016668783141488008,0.004385976729092467,0.003271101999396675,0.0007213918884225595,0.0009344082143767918,0.00016009591088528285,0.00012860582146209665,2.4161033777336804e-05,1.2589691834902217e-05,2.9917774753140947e-06,2.8830086176573344e-06,6.433568124908362e-07,2.6965650146010267e-06,1.1335601080020297e-07,1.7649116834661527e-07,8.485665390356445e-07,6.493002231364176e-05,6.134517859525401e-05,1.8890863103623867e-05,3.0369628983839547e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02248199713332899,0.09691109508083373,0.004244338942814174,0.029397671727227292,0.010210335996224562,0.004044820461914567,0.0001441031100133383,0.007407098274593071,0.00022647262840869153,0.0008925274682050066,7.733414098320956e-05,2.331570234970215e-05,3.422311543710421e-05,1.2537709404014663e-06,4.2510530813277825e-06,1.0363316813588597e-06,3.2742589151091295e-07,1.0123629334835016e-07,6.423503295938104e-08,2.4185373259655307e-08,1.246388090514472e-07,3.763900968678513e-09,8.406086715595507e-09,5.0316021127372323e-08,2.9192936548128046e-06,2.2541218430705e-06,8.560231852250411e-07,1.562440266056342e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0963696187770905,0.0150071130760141,0.022622872507111813,0.016744934899011965,0.010863039536954444,0.00033872306762661175,0.004063097859123066,0.00021283239576974644,0.00011587658082956587,0.0005138942541897951,0.0001901136698780892,0.00020268137592238666,3.0627400265270666e-05,2.300926269460657e-05,6.541810182003616e-06,1.2732277179239304e-06,4.508080686527194e-08,5.318392021225193e-07,5.358754329165549e-09,8.244001228341347e-07,4.217192373090484e-09,5.8408214265170955e-08,2.7658693713128457e-07,1.9156473348713732e-05,9.106053718399565e-06,4.402287013038908e-06,7.91653117726554e-07
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4188217239994128,3.857795834041765,0.38806196071823107,0.008433736970925754,0.028463353734912378,0.3831980721289758,0.011517427603825903,0.03138308117393629,0.0043767461112011186,0.0010760089273994175,0.0007823281442018992,4.510598218043782e-05,0.00021308995923614849,2.037486048878101e-06,4.0162372771240795e-05,1.0125556417328596e-05,3.866736472263321e-06,1.6320296569727333e-07,2.1660045943644457e-06,4.818751698776325e-07,3.835953554798266e-08,2.7195172114247157e-07,1.8013207670031228e-05,7.955106081161678e-06,2.91661346796257e-06,4.37745738879336e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14455107698910719,0.0228254132109168,0.0012532200253232428,0.0016490072777375353,0.011886444550757713,0.008723449913944581,0.0008314007476741825,0.007537646494747086,0.0012724644501491689,0.0010332403620134656,3.641115151831187e-05,0.00029032292429376216,4.157316542352518e-06,4.73675044129207e-05,1.4257502394254828e-05,2.0976897341373757e-06,7.422982695182156e-08,2.394730358679098e-06,8.228328687298614e-07,2.0612988871349103e-08,3.884556671884809e-07,1.518958746282717e-05,2.1950123133551713e-06,4.0954234868939565e-06,4.6010004894903034e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.221956564618249,0.14421311250783353,0.14680548929316672,3.4554774233905214,0.14615649569589728,0.14416891324016945,0.0005000908157845874,0.00018319670546529387,0.0001027064350070106,6.180985169357278e-06,2.3808385794993336e-05,3.1607169859171336e-07,5.053883139705118e-06,1.0744512721760913e-06,6.371841164282133e-07,1.9236465531591307e-08,3.6337696585064805e-07,5.6376129098367755e-08,6.243307204556459e-09,3.211754662224564e-08,2.555558636346822e-06,1.4489661969291356e-06,3.2978054323451467e-07,4.2000562250343876e-08
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8094789915006246,1.9109950912283178,0.33760323970385575,0.028702539633020163,0.012980648004367823,0.00021450612895580756,5.947561098568546e-05,4.3862411371123344e-05,3.0092494290867577e-06,9.978308043168127e-06,4.1502090353251475e-07,1.9170024708331512e-06,4.889278913955408e-07,2.645223220881787e-07,1.2932735105053439e-08,1.5399328013102065e-07,2.2391026921475543e-08,2.3983444119579644e-09,1.95119610468808e-08,1.7908986147952e-06,1.4059391408929867e-06,5.179306441296938e-07,6.791848750076213e-08
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037061210727458826,0.028184499937605634,0.0029949905148505263,0.0008153238472534685,5.102651699273597e-05,1.5525276023331536e-05,1.1004393437263893e-05,9.69334535305677e-07,1.6317003752597259e-06,4.328997285085734e-07,1.1550477796440362e-07,6.444720668241644e-08,3.074344867570744e-08,1.965657192570802e-09,3.810532966941338e-08,8.06645861217703e-10,1.606269117715442e-09,1.0178165421592666e-08,1.0309477133096934e-06,6.438691317889322e-07,3.5449017443678343e-07,4.922035401477842e-08
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01339018863597874,0.0010104115507905131,0.005005321962086473,4.5801696187175445e-05,7.1353847440613904e-06,7.87219077036383e-06,4.813418887916754e-07,2.559395211432225e-06,4.4013569677758824e-08,5.454152285366831e-07,1.6266171654066852e-07,5.789927881583168e-08,1.447944208976537e-09,3.073882204329692e-08,8.888225044856313e-09,1.7852075373525622e-10,5.567674765671882e-09,1.8960415038016265e-07,4.261137787064939e-08,6.300666288705514e-08,1.1517103493119407e-08
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6443188223089997,1.989677866784647,0.0001606495129828217,3.0436493618224425e-05,3.7380837013392676e-05,2.072914585982133e-06,1.2100272433090975e-05,1.0797093463743579e-07,2.5744897734769623e-06,8.65978307729165e-07,3.824027644400152e-07,1.0519432991351607e-08,1.421193534384413e-07,3.759188249574663e-08,6.344621716891652e-09,3.2599439592218005e-08,6.740892633250173e-07,4.2561283380287973e-07,1.1738113488146684e-07,1.2378754243869139e-08
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03592507249832555,0.00048802320782104225,3.422545679743205e-05,0.0001171774163790662,4.050541460909329e-06,4.098831931131919e-05,3.337374889778033e-07,9.404601598816953e-06,3.3029518486937803e-06,1.376336092651087e-06,3.5454756908137597e-09,4.990857704889606e-07,1.211090747688104e-07,2.827216105671937e-08,1.1657915277574205e-07,1.4585260954547152e-06,7.141547437861107e-07,2.4149303878839845e-07,1.4126296798977478e-08
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.979019284505725e-06,7.485155394393317e-07,1.047271243836967e-06,4.6776260864689334e-08,3.0048690724537863e-07,7.409069135988489e-09,6.305270583428779e-08,2.5938153402904618e-08,1.069324173652575e-08,9.448128945876988e-10,3.728290787208266e-09,7.149627556657379e-10,3.4577918306410993e-10,1.8492947173598395e-09,2.410477095704522e-08,2.9943790891273636e-08,5.16846987430597e-09,6.035800748094289e-10
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.696138727179829,3.6459516603421562,0.14303313037538978,0.2809578842186061,0.015651096244963636,0.030829774821718392,0.004264159724404415,0.009507855971117751,0.0003343683271137543,0.003415628520390346,0.00027216690835851765,0.00015104892194672814,0.0013137207949893703,0.04505314912632552,0.009455748624630833,0.006459698781032863,0.0009436590698345126
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5479090877232438,0.02648563399671,0.06547312764368812,0.017309606521007992,0.0070032552620508115,0.0005384620462129952,0.004412349352561462,0.0005362779863379297,0.0019374789444008347,0.00020906398814168892,4.7806994712962236e-05,0.0011259540717787342,0.02570166095531086,0.003959287524790259,0.0034484178712918673,0.0005555225763745897
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7539557127038785,2.896973054453282,0.0975898685679043,0.17532430273967156,0.021255767425203853,0.0671853280820892,0.0022245247973237126,0.020603672628683956,0.0018156875227057778,0.0007253727090315021,0.012110705392152532,0.19622774818866995,0.034019399583956444,0.02866467292307137,0.004928357336384748
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09891226849564405,0.023425260173089102,0.024576797495779013,0.006578372514621789,0.11108435691688356,0.001848056226070982,0.0028410104204276143,0.00017616648943641344,0.00016552971670402705,0.002865662752356446,0.005210264988801727,0.0027272959929682816,0.0011894362764027777,0.0005723265316111004
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1031970486769187,2.7230063264691444,0.09401501712090288,0.2085199781295246,0.008961148748279912,0.16336572067068977,0.031105348574748115,0.006460821175793718,0.00968726577740564,2.7561207338740394,0.2772901967003675,0.22318253002516375,0.054599723600140204
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08389440136122261,0.0018038642038527009,0.022273627822088193,0.0005097383762371344,0.010452392776786223,0.001232835888737016,0.0031736090331788702,0.00010517823712974383,0.10285456356409739,0.02328778973964485,0.013067503446683837,0.001076166142640833
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1033801023017924,3.051157984263765,0.11383072156848162,2.9299085706192813,0.10196712385202589,0.10273501464207335,0.0906184867550981,0.20465647517795255,0.04305212696913066,0.026032004806358144,0.0020647001251224983
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10023757094180641,0.008222056161266922,0.08761126186636548,0.004822583726275864,0.004271883424876721,0.034656816467575347,0.017352729179190174,0.0020832581576618603,0.004856636201231557,0.00011072580141191501
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8635106667668566,0.19606348799247564,0.010174024969469508,0.028964066368774244,0.006860152133410735,0.027477701975649846,0.02214771683645351,0.004494171787718208,0.0002778350078969094
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03334756082135759,0.000756089808664262,0.003172075874081637,0.0008301549093419069,0.023796979741439017,0.06426911610697417,0.005046957883348413,6.73345877579834e-05
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.164860404334543,2.1471352963847927,2.13169546834995,0.03153648427812275,0.008797438356096511,0.004192434932425992,0.0007551171558944914
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02584242528458347,0.024912373615280536,0.004716540578012518,0.0014987451224683923,0.0006373154694674366,0.00010209185359455475
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024887015708154436,0.0008322811835106414,0.00045235685887545785,4.8753177625315836e-05,5.666197576470466e-06
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017358212697866637,0.00015541877168745444,0.00017561060223469926,6.713089808862982e-05
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09790270744476,3.519468067768887,0.17203855640432286
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5179504450962735,0.05930634397429502
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8450852235131174
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
