,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26C,27H,28H,29N,30H,31C,32N,33H,34H,35N,36H,37H,38C,39O,40O,41H
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8782370111675917,3.55994087856229,3.0115583078381545,3.1717434639899005,4.11412653640229,4.7426004319012085,4.1378886783023034,3.8164236249677326,5.230169184613153,3.9113450713578115,4.633754095367117,2.9612112923849563,4.696271473589683,5.668573557426138,5.060712534625067,4.366891318752166,3.839131701851688,5.133976596304905,5.933384755258408,5.880191988169629,6.795970197709719,5.517466017343127,5.458676574309531,6.11313681590847,5.150742641030436,5.229121234480687,6.301671580740948,6.9756963928677225
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2272094600596954,1.3782890341230292,2.0758931769504883,2.4631996984319033,2.5536670756095243,3.395852256044926,3.7738787161785945,4.331551547728797,3.420039823235478,3.5455966751259504,2.8000898828137215,4.862321824798957,5.603708031360161,5.260510982415252,5.350568978777235,5.261307804558136,6.25570404945291,6.610545008143551,6.111545116259498,7.554432472199227,7.135499276692545,7.334141506565399,7.76720491719156,3.613935402894479,3.9104171288607383,4.713790519362057,5.4386208976657695
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27207409217636,3.1659058964435953,2.783898142013546,2.446460429595417,3.491588578507332,4.136416815533087,4.308212448630163,3.107023818467908,2.8884844137159345,2.562149544664576,4.531058718681399,5.252718987259591,4.733042517943116,5.295665776125733,5.241403790961673,6.354584843626358,6.722710139438815,6.179736952717162,7.707873167186617,7.334360884993342,7.491028740883756,8.068447399266802,4.1363671861235485,4.70307100289888,4.990707078022519,5.821409152241832
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0147354513368125,1.4514467611604271,2.079343459724683,2.509939713350476,2.7172979164837354,3.4205699225572768,3.1119923126653295,3.485410832065797,2.786390478501645,4.523130758068429,5.117606968621006,5.184231948513242,4.888379650349608,4.97779057723111,5.557557767458863,5.719914045888246,5.17523702700504,6.598845698733996,6.466084492714114,6.827510449529046,6.9745958629204,2.405979422051487,2.6822032947289767,3.608403636080899,4.28524919780129
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.089939439227544,2.8584807410737745,3.1433188523903497,3.0649385663964543,3.9883211787721153,3.965465401323889,4.442626433984321,3.638277741496172,5.277372299993108,5.840807951411231,6.013616517339867,5.441880002904767,5.5074921658444795,5.940700983964514,6.057531673456468,5.562825404199946,6.856060796984543,6.730951275482171,7.126358565835076,7.11991633017338,2.4191395270335514,2.21055570642092,3.7540132069561856,4.234827685064051
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097396904689614,1.5515935189711065,2.157501398596874,2.1575594524037234,2.574218494294347,2.8121261276696687,2.7992745932436005,3.9578765691324045,4.275487613144058,4.735585149434147,4.580898339579795,4.9561528407571345,5.1507683522230945,5.025123085458313,4.292102952684205,5.877884030212582,6.2537935616946765,6.766083411454774,6.742659566891197,1.527970540117803,2.4271855475057085,2.3832316541732794,3.223263830958825
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160340192694991,3.0535911939152407,2.5082737643059656,2.7518202557209244,2.54054267023785,3.0448815082105147,4.196281661608217,4.456604052736502,4.807189428485281,5.104623322881509,5.491198133282993,5.8144824524672165,5.679050067757735,4.876919382104026,6.555100554634827,6.996501352707199,7.468627195198292,7.560963104352389,2.14454855772411,3.122750838883522,2.629478962197429,3.5129940593985154
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099768080670803,1.0994529178159071,1.5347200574941615,2.1657309809160035,2.174032653807869,2.576349205261863,2.8165786963571042,3.5077929773846375,3.173287295532789,3.727408519860611,3.6931625827690193,3.5544530869104283,2.840653915533713,4.457823944043716,4.886126839730172,5.444201178862224,5.422647218460012,2.532877659719579,3.482983025321369,2.917641417313445,3.803919520081646
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7791941725007514,2.179237445942792,3.0812984319786683,2.5507800763465136,2.8368228639603283,3.135195143452616,3.8589432377683788,2.8822209849800697,3.3900334352224237,3.126229578270771,3.034648117015647,2.5158661777182254,3.8866780165078136,4.169442626511054,4.782756211567433,4.595392503616897,2.7833487426895727,3.4428353971734382,3.3195589071649825,4.042868840783852
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1679316918059603,2.5036920482804446,3.077919802219942,2.825946952994089,2.6251756792432985,3.777611858726735,3.573426743505121,4.329645053937791,3.87945067810278,3.38284785940124,2.4664350430130706,4.1772888475629255,5.156500154634674,5.8318954648404056,5.616284351004,2.6757493613706163,3.7634076650300705,2.5122815618582273,3.386774522745078
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0959423276844846,1.0945338728139637,1.5329537207166288,2.1949986269573674,2.167016615670162,2.5239277122322332,2.9173308976921706,3.524847219963481,3.796278659550794,3.2889028544623287,4.796284834691776,4.708862604176144,5.0338194551452675,5.474898025707711,3.910103236872072,4.843688901297061,4.294881036732415,5.234347816163951
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7413380201538429,2.133366345035898,2.5521660661202694,2.3989960209059618,3.426878063420055,3.8140042404364167,4.457936838119389,4.623961639047661,4.0109964391622865,5.594419549835618,5.679412574722469,5.977254098256476,6.467643323087471,4.175547689735563,5.215100138702979,4.404172173346976,5.380402217081125
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.159471345899517,3.085987130960475,2.5191380661997878,2.741110039092975,2.7428390909952944,3.872286394659204,4.423306674801038,4.080763698000948,5.430516924915331,4.857896539458568,5.012943672199489,5.664076511822349,4.246101444063344,4.996032744937222,4.9091643165873515,5.819602838330816
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947597954927448,1.094667798037042,1.480971962106514,2.130688344296877,2.5241489441305918,2.947778170501198,2.707356832717575,3.9111353122939345,3.7175554878002197,4.005514599704102,4.568361918647157,5.105935301940148,6.034696010544265,5.293722774598282,6.1858971494014305
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7549191715059693,2.0929993722727014,2.97177933631076,2.645937513040075,2.6015419705701155,2.2031703407721386,3.4556295375590467,3.927420043092524,4.386966342454856,4.658375943027667,5.211761663445833,6.223643135379003,5.1213961025331365,5.971776217288934
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0721976579973838,2.37439108618017,3.2322802414029774,3.83009773141511,3.699558345255158,4.730659502895895,4.242062403636232,4.306065064586512,5.180408551855448,6.005759598098943,6.951430234908636,6.206162659543322,7.13093113728811
29N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0135762025006714,1.3328746813751664,2.332123845428849,2.589238087448522,3.235459994307532,2.3178608449316016,2.567197573329932,3.224490850389519,5.583464069366484,6.307412778370156,5.922511974572004,6.716915122198247
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.002017579447354,3.2109574826532334,3.5503358724098972,4.045551162541105,2.4835191451351,2.35785952185027,3.4438677307723427,6.0611219192979355,6.684283416555819,6.574834528581033,7.376525566852543
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3416633181265671,2.055050355260386,2.0545432594653787,1.3450772774851165,2.0610102208092473,2.059633738150836,5.849953870035914,6.484092849717386,6.0713458361570245,6.737339441891654
32N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0102031232849564,1.0106408049914466,2.311815057580987,3.227009350086917,2.5551144584329233,5.444257717294976,6.1290041368736325,5.4057080631093966,5.980600577478335
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7300633637854328,3.224812677781132,4.088355251001215,3.5179740378959496,4.656171905986234,5.447892532294704,4.493286040407056,5.100259332006009
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5462666676734695,3.5146501333673945,2.42975388167023,6.123776067699973,6.740679652060464,5.980867319542416,6.441876920373498
35N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0108403046694028,1.010845066846861,6.898349662017281,7.38276875526756,7.212563420291506,7.811257466937707
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7264431472414852,7.551628269283959,8.02337329279928,7.960940628248349,8.607145661607055
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1934849806827845,7.578984014905913,7.466108160157287,7.959732531681266
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2113767105798345,1.346523518285526,1.883133989558556
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2571163408605153,2.310199502338954
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9776370124264925
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
