 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,H27,H28,N29,H30,C31,N32,H33,H34,N35,H36,H37,C38,O39,O40,H41
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025054133962709058,0.024090656102311092,0.0007627275016746093,9.778397640503034e-05,0.0004004816257960897,0.000545456716090742,6.436890070715684e-05,1.3901966677831723e-06,2.0246055556061293e-05,4.936124446297541e-06,1.7856166367735682e-07,6.6153078328579085e-06,3.431149977473069e-07,1.4547999072966888e-05,1.8058579056567936e-06,1.6954722115158916e-07,2.9295109960081334e-07,1.000634034076242e-06,8.240255296998455e-06,1.2209564292930963e-07,1.5432130118231413e-07,4.82113968081066e-07,6.2028047143058984e-09,2.842923518819873e-08,7.199064899765517e-09,2.9592461814331728e-09,2.2223645228747202e-05,7.775431783985098e-06,3.426200918421607e-06,3.1810591605285765e-07
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02406052806805392,0.0015427373775662723,0.0001786321442354133,0.00028961104375091473,5.801039023056731e-05,3.693164590679032e-05,8.969451395834938e-06,1.794897414164609e-05,1.4783328430301168e-06,3.150493174564062e-06,8.482944987342478e-05,1.1163187205731617e-06,0.0002460068589975606,6.592138040550921e-06,2.3180560995150756e-06,1.4664808967168597e-07,1.3113155661326203e-06,9.59054496507683e-06,4.02406855393167e-07,2.4185997171688456e-07,5.350620937427664e-07,1.7489275361270984e-08,6.474792380029015e-08,4.2066104377624924e-08,2.8570608101574635e-09,2.028511670637556e-06,2.384710638847487e-06,8.150915629112632e-07,2.0951440116157016e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008138186288898952,0.0009580991266480154,0.009273010656519531,0.00011340408231630406,0.0006389367019934422,0.00025841697628048443,0.0005161049097053283,0.00010512559580688752,7.26036231490923e-05,0.0011259404961516672,6.161019497863407e-05,0.0025910184705950634,0.0002093596669052733,6.432748791618259e-05,7.732215370204187e-07,0.00016501090234943838,0.00021454950510180204,2.3150324850895743e-05,1.7673405758644734e-05,7.476257733785019e-06,2.8113253192074694e-07,7.809077485987359e-06,2.1042181019836903e-07,2.2203602290105096e-07,0.00010832674112704055,6.563227006761707e-06,2.8568136863471594e-05,7.559681448165989e-06
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83636584997489,3.466050846706751,0.12678531519321679,0.26519916635925644,0.027536234443146457,0.028427841970422724,0.000976504292515612,0.003125067699074613,0.013483324680591852,0.0012919103896178452,0.014020209269762551,0.0015442842742469376,0.0004274060149964676,0.00012734753473964133,0.00011419174647397945,2.017202582649258e-05,3.7722287704294866e-05,9.032478905660057e-05,0.0002597685718055409,5.41029937528581e-06,1.3187645268475379e-05,4.524486462154087e-07,1.3727119474449267e-06,0.02827079370837432,0.006441617301321534,0.005642056956801034,0.0012095116428937347
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5350602584371411,0.026799524253317886,0.0734030651284578,0.042418704950153874,0.011475527762425664,0.0011730296741372381,0.0014724230650788872,0.03285455281550291,0.008155342613960448,0.015664113357062748,0.004702266331308519,0.0003603376498994004,0.00012285985920745812,0.00034830338393206095,4.717527775965902e-05,9.907771129498422e-05,5.6317140977722724e-05,0.00010317583730479196,4.078976802768253e-06,3.467747989260861e-05,1.1833502272518004e-06,5.1642591283318495e-06,0.010580222647496737,0.004846761374491131,0.0015607385193883508,0.0003290424167481376
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7141347225162984,2.8051320862525038,0.09791357542343382,0.18473377660969614,0.010900134871268508,0.025830694290509548,0.014811911157416008,0.000864414142771941,0.003969185149579335,0.0021520618278218218,0.00043497522634317054,0.00021542943910324297,0.0002459647372214935,2.541545763212749e-05,6.542791579425278e-05,0.00036428942962946076,0.0012365908888447574,1.8162744861660585e-05,1.849076511194203e-05,1.6749848277264334e-06,1.6546590871913125e-06,0.1909827584902338,0.05974120431919443,0.027905414571361656,0.0051961294818719805
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09829472062557332,0.018864562529863127,0.0075344627332761815,0.0008327642345509201,0.00021214730443142038,0.0006602128713611988,0.00013875387145256823,4.4235109633916636e-05,0.00014145961903277993,3.213813947744448e-05,6.2272228396054174e-06,1.9811699839222818e-05,2.1932081535336323e-06,6.4055627895243106e-06,9.638865341887737e-06,2.8663610499357617e-05,3.8531976565003845e-07,1.5315716617170239e-06,1.8454408201584727e-07,5.740336324056017e-07,0.03598674008649616,0.08383436367923669,0.005659342786861088,0.00018261176753475716
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.043916891164545,2.6132213065773446,0.08098304814934298,0.08720668979365276,0.16670052360226098,0.008632088174354458,0.0067087133895271656,0.03245578202760571,0.000783582384157322,0.003310760323053441,0.0023059520813502876,5.0295113432130556e-05,0.0008100593792174926,0.001967760762762394,0.0034242113660339912,0.00014765987191689423,0.00018716885377631498,9.040750035937961e-06,1.6589216908946547e-05,2.5462922129014673,0.27831623979640907,0.21860738077929134,0.05234210605111156
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08009324238293092,0.03153105624204189,0.0032690051731543157,0.0117411964681996,0.00445842588032308,0.00023201748459800164,0.0007971233870852634,1.1347136437134253e-05,4.522410549001599e-05,0.00042145756769096376,2.4818740757215352e-05,0.00027381868615750093,0.00026698429151095215,0.0006555153705039007,1.4751678058644302e-05,5.0238560046156344e-05,2.1512483112662295e-06,4.231109002050815e-06,0.10761663700216206,0.03006366577476738,0.010488337387806523,0.0004875962962507252
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.099761473904667,1.9957896694601847,2.5881376151858064,0.08425093909491022,0.0844864410795283,0.1717664644563756,0.01080070667197508,0.027019437840065663,0.01497020031748951,0.00021561169977757366,0.005159215206646139,0.009116694621078225,0.02097479055741236,0.00047891424874202393,0.0014528947737292713,3.392255481293738e-05,5.642272449934982e-05,0.1887969379026763,0.04158491973932363,0.035584263877931815,0.0024262157356512715
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023403909084689367,0.08193122599063685,0.03429351877190823,0.004470700396635552,0.00718168700907551,0.00022269509437466972,0.0006843267722340673,0.0051383753820246625,1.7659835227057386e-05,0.004434062994823851,0.004420023085117686,0.0048231607505824226,0.00013126078705893995,0.0013374025027057534,3.301661777843634e-05,9.680175333537377e-06,0.007988351393219073,0.0012276522825345193,0.0008299740396398025,0.00018639208055626355
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0836480203938037,0.004912338116837667,0.0328259197062295,0.009211330715172661,0.003880930593223253,0.0004458054084541807,0.0005456457750279142,0.000122232850469306,0.0003680957484639702,0.0023089687983165463,0.010476851021793854,0.00014955577532882458,9.504541252058907e-05,1.1807472993119461e-05,2.1249279518187336e-06,0.011837535311070013,0.002013590020720546,0.020182438702435745,0.00043250232501534924
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0650812538277297,2.0033507692595705,2.7459488674450085,0.0800985393203788,0.09029498558000726,0.17684672272808244,0.0055952521018084456,0.034843477233462955,0.007167503282713261,0.0025256540151307183,0.0001711182029351388,0.010053902874372411,0.00029114514008565795,0.001244666332473554,0.029274812155870744,0.007443244604526195,0.005652204465799324,0.0004148967134122161
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026206716083174264,0.11262382911675606,0.0026589919171380316,0.005719155929633235,0.029860604416096947,0.00017928264190891774,0.004920872829206946,0.0009246514372903691,4.7684326146546496e-05,3.60656277944571e-05,0.0014619832862025062,5.676432664625253e-05,0.00029961174706638616,0.0008464301117159234,0.00025918181507422755,0.0001150261425032495,6.985165188266862e-06
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09207299594185736,0.03313118645949387,0.004136584107618635,0.008672601125286228,0.002873275378829865,0.0006805927360222785,0.0008928065497301185,0.0010078430475177758,1.4919280957315095e-05,0.00019150464859507554,1.2555124621282943e-05,3.2595625010678475e-05,0.0007431680625771264,0.00016055641506440566,0.0005033014372923805,0.00015979086901962702
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0442531135227524,1.7084841898959326,2.791822256061062,0.08752027792017736,0.2622655017421465,0.038321008488610614,0.015928929241617373,0.0019448745095602682,0.047533417302293074,0.0015506040409882793,0.004049460116776649,0.005733627046668438,0.0019921185046005846,0.0006495831162201815,8.729539752161397e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02934615872974744,0.09661008977584173,0.027257293840725394,0.01587699201832593,0.02010810648424677,0.01355615235876484,0.0002522142264533844,0.001484493673015952,0.00032675718791619346,0.0001029471238036539,0.00010485926788983413,4.665615792120992e-05,7.919525532851246e-05,6.1544542353519915e-06
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11329214137145616,0.0062054412372243295,0.026772234472385747,0.005617642355949526,0.000613182597909212,4.1567508192841274e-05,0.005643307070481884,6.139574892038979e-05,6.884155773945189e-05,0.0010808009031428867,0.00037602250013091254,0.0001385166725852427,1.238350735266458e-05
N29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8546980238684951,3.647087575063483,0.38668085249160705,0.008712401470130193,0.02951682920206844,0.3909280012550447,0.012398273622920342,0.030233020918714493,0.0003093196774415774,0.00010457821595795391,5.3943439495926504e-05,6.449044883227728e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16716665814061404,0.029913660239478723,0.0010048365918857716,0.0017148781911842104,0.014914182834235512,0.007024309442705157,0.0009419681601503527,2.7147221867140914e-06,2.642617935144642e-06,9.154800199029367e-07,2.450647973439857e-07
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7688785968935856,0.14916202819885604,0.15572184075214002,3.6436871240585105,0.14835669647891514,0.15294037172931274,0.0001471655785765802,4.995575703770072e-05,2.116120824632861e-05,4.104147299455185e-06
N32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8384669430631053,1.8071148399874,0.3760728130237126,0.03190914094548525,0.012588151049839458,9.342574911719304e-05,5.898121988458238e-05,2.5828229723287577e-05,1.696574472687118e-06
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038695722826411316,0.030659909822551845,0.0024266277610138776,0.0007289262547049979,0.00012065255443416412,8.361946839208212e-05,9.593847167888025e-05,6.198319739247893e-06
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012971395981738243,0.0008034246752217644,0.005110059506079567,5.7269621591693465e-06,3.5332109880048534e-06,1.2028342758485522e-06,1.4056246477878176e-07
N35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9077766947859351,1.8642490981110176,5.45259899917272e-05,1.5201884756149697e-05,6.347818525806459e-06,1.5330706502059144e-06
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03752825503521451,6.42188700217261e-07,1.728272541745568e-07,1.999809363661953e-07,3.635735668083839e-08
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2596860490841095e-06,1.1452464750982827e-06,2.4801054487877394e-07,9.437199421924447e-08
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.326536138097244,3.443625201315883,0.16816681659474242
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5182704657995536,0.06036093051964153
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6068364267496267
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
