 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,C23,H24,H25,N26,H27,C28,N29,H30,H31,N32,H33,H34,C35,O36,O37,H38
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.840042945293315,3.479515717777947,0.14291077255028106,0.27091791419420563,0.024513392294205794,0.031068041258346585,0.0023455066511888223,0.011195651866723999,0.0021459261063995483,0.0004269168267152512,0.0005653459171519604,0.0066442436788956005,0.0004334997408594887,0.004793613032042954,0.0011562485067502515,0.00018450749743348371,0.00010861380451487879,6.686981968709316e-05,4.0260299298378044e-05,4.532076390728612e-06,4.5757573138488494e-05,4.168353125333368e-06,1.9632653426304714e-06,0.029019129340409205,0.005591105107571159,0.005261702559332421,0.0013470518342443283
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5393623259942992,0.023867211907334207,0.0633712297420627,0.022161662953177452,0.03434214597537398,0.00078113676701419,0.04119564623477767,0.002762865502760725,0.0007276983410209326,0.00031051579047047806,0.0033145215986668114,0.00010618833768150093,0.003124286395232101,0.0005068522734759523,0.00010618209129564793,5.8185031512308916e-05,3.064797504054306e-05,4.885656753095269e-05,2.2125776120152096e-06,9.773901922333073e-06,4.346742720540142e-06,1.0260831084796251e-06,0.006958234261963514,0.003030957643287646,0.0009666310566610187,0.0003441085503607111
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7893530782020033,2.806791887440056,0.10153623578882243,0.1679898821492256,0.02555527258749013,0.009141354656363343,0.009407183580196696,0.0006474915482543864,0.0015213134710083676,0.03570568304504035,0.0005840408158337418,0.05063609370345101,0.004733388196176136,0.0006945952139579825,0.0003983278667614998,0.00040910903107378715,0.00027109097234834234,1.4347189151053819e-05,0.000134733073302723,2.232656540690492e-05,1.1725966798104004e-05,0.1962932037533648,0.041092625602918015,0.027172387465901046,0.005401460976553474
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09356338470756653,0.008468884272163413,0.01422479260458076,0.0010610778403359333,0.00046668406498340254,0.000626006546140756,1.1906297780139852e-05,0.00015848056009226674,0.001955190812864105,5.375004374030823e-05,0.004080984670908894,0.00030076768279285737,6.73370712975796e-05,4.9429961147318124e-05,0.00031377345597682904,0.0004001391916887975,1.4395758338725528e-06,5.168816324396808e-06,1.2127670454553652e-06,3.955825826906789e-07,0.02516741166595393,0.029005736941285276,0.003441652131389805,7.008937706265428e-05
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9384808485167175,2.667613935170002,0.09676244793674638,0.09641319480997179,0.1433189994743395,0.00806136615110531,0.028285679818079945,0.012546225291751978,0.0003529830948523216,0.00466114269009954,0.0017048051553919807,0.0002642676955618706,0.00036561050412850515,0.00046288441584986517,0.0007726748022012231,2.2331039347567305e-05,0.0001207999236194357,6.344110806910663e-06,1.5760771820749753e-05,2.726369902258093,0.2652807803718789,0.22467299150476733,0.05356735770955223
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09218588934524719,0.0069037538129623766,0.0042253985281544,0.02366542451893683,0.00041373247571963034,0.0007217232771132842,0.0020066390269549705,4.2672254877418325e-05,0.001395666154696551,0.0004760333763592639,4.688560771892725e-05,6.704286754088962e-05,7.32062098854902e-05,0.00017055623203865444,3.12214903841479e-06,2.188593587770793e-05,2.698528525080235e-06,7.504456800644377e-06,0.11339360160894785,0.023034737233246783,0.014951382231982446,0.0017022364894121456
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8632246164349109,1.9740965958438395,2.8130083359997307,0.08519500686630566,0.09397749140668976,0.16527284675531287,0.00463415477834217,0.007546479716852739,0.03292676211918155,0.0006406315665508089,0.0055376791095614886,0.0018144345860535982,0.0007919294329659099,2.3173646226504196e-05,0.0018159574910689563,9.255370169758415e-05,0.00032331005563279724,0.20327860231382971,0.042916557446653396,0.027818846798245034,0.001999123451278617
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027536389410038442,0.10064958107459276,0.004251646659894304,0.005903364447067183,0.028434679699015697,0.00010320106808348051,0.0006585466997552913,0.003348886324046174,0.0001280030194952264,0.0009269604394186448,0.000275930592558149,6.507247521714277e-06,8.779742002307245e-07,0.0002613985932149454,1.804889554457567e-05,7.473932866153277e-05,0.004977384358516801,0.0007556046161385499,0.0030579121877176707,4.801022100675567e-05
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0868484956176181,0.033509514783778505,0.0038159341299190963,0.007591412291387378,0.0020520994733859155,0.00016021687904488324,0.0005904819882859291,3.175225930829306e-05,0.0003253730374981334,0.00019756645497615022,0.00022577036892301727,1.3979607077052592e-05,2.9853005222735263e-05,1.1606752885473526e-06,4.111881059420952e-06,0.028227170795183998,0.004778154725775474,0.003999768675920334,0.0005949893897645442
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9857119979940803,2.046684896418392,2.68859101274923,0.08305952396970062,0.08124645179173817,0.1831844850136927,0.0044441080951893586,0.0354848014648034,0.00990147878508256,0.0034997127238661774,0.00022024664618081058,0.010580082330257784,0.00032412400855796886,0.0009094186992312236,0.03075145474948149,0.017370451620215235,0.0034078359957829124,0.00018970336056822745
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023745127291515677,0.08757966986846366,0.03143421643705491,0.0032708000433210316,0.010074138110709452,8.880360241114715e-05,0.002783901022047841,0.0023539418006401913,0.0028942257694353213,5.768616470924748e-05,0.0010747782870896838,1.807540380371897e-05,6.223990827813886e-05,0.015610970000308422,0.012349057311204392,0.0003466705900577738,0.00013581348269342541
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09116531598933819,0.007943303332551332,0.031351627765640266,0.005170390721090046,0.0014284679161833402,0.00039487707743313116,0.0004794961291186839,2.8628617740444895e-05,4.737635966201026e-06,0.00013751055841804138,5.887750562205696e-06,2.812742674329627e-06,0.0027863569731043647,0.0009797119099435037,0.0007433598501880301,2.1828256705047622e-05
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8986619727798273,2.061590508064952,2.7696466011390872,0.09028820019974448,0.2712671495334481,0.038996169490241483,0.013647934506586856,0.002263233023652167,0.0469430103109726,0.001644555878898002,0.0042208313008894605,0.002673437671333684,0.006191355347634986,0.000768796771637284,3.4678768491058776e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03151241388519899,0.11001311344157316,0.006714446240247529,0.02441354547038066,0.004317749626091438,0.00024408374087769857,3.072128241776717e-05,0.004049028261668641,5.7338403264717286e-05,0.00025121640668612777,0.0004604554879048539,0.0004788774874611157,8.578088812805085e-05,1.0859787711314794e-06
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10125851037129718,0.02452060870203443,0.017232116091493,0.019484232283351055,0.010938286088779003,0.0003333850125339932,0.0022177993476295566,0.0003066117450871708,8.997057101112205e-05,0.001091558459079156,0.005827005542968888,0.0003550597246562148,1.8271847771478278e-05
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8372058094638832,3.812203957658313,0.3997061558548979,0.0077945879783218874,0.02977575866281057,0.37208885546812775,0.012097528447369332,0.029073822322332576,0.0004482330623438169,0.001055084103629464,0.00011070555901314394,6.388484010355633e-06
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16148643606517532,0.029933496426471473,0.0009196521023770998,0.0017541039541073555,0.015163559871107735,0.007360444867538174,0.0009151780785918717,2.783862272448534e-05,0.00014732008675932828,9.994797684931278e-06,1.739077562179503e-06
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.728018868059586,0.14771425769256263,0.15744238536455113,3.534088597391821,0.14739986284691842,0.14868516199685078,0.0015490753330746898,0.007760671441973108,0.0004578856630208794,2.118925095873081e-05
N29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7479430051428446,1.924803242775012,0.37567906346593444,0.030402203644770975,0.011897039497352435,0.011509536295345096,0.06705277148704872,0.00365381093066032,0.00012237758403976784
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040114668982702106,0.026460026488021593,0.002466155296519057,0.0007229326712803186,0.025029823476500512,0.22271429338684245,0.006462395694089684,0.00012577385231904437
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013689351186980336,0.000983749384561472,0.006260471728573913,0.0003167505766629164,0.0009205986230639285,7.173912357150147e-05,8.17207575098955e-06
N32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8085002751653596,1.9379580510098864,0.0005287422930164987,0.0021569116487739903,0.00016530578812608276,6.915160661868924e-06
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037181917136294595,7.819238469153333e-05,0.0003133122084094664,2.6744568358716414e-05,1.8887046091542459e-06
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6632042610931208e-05,7.878970308761168e-05,7.034502608749271e-06,4.166361764479376e-07
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.987527682355247,3.6260788808273907,0.17667570535842836
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5130317541805471,0.059722305295820455
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7497884762911147
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
