,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22H,23C,24H,25H,26N,27H,28C,29N,30H,31H,32N,33H,34H,35C,36O,37O,38H
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0976703945410797,1.0975342848213256,1.5383578928636295,2.1865325878431245,2.1893349557999247,2.5062358035010637,2.972977886812355,3.3645763244407516,3.5386850163125865,3.024047419111136,4.527182088692348,4.565999055705546,4.9558818670739075,5.2893230638182995,3.0045140362956153,3.194216237693835,3.8510872957940947,4.360158611834001
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7515264408876074,2.161984950358166,3.072179855138129,2.6101728240870905,2.6600409489482955,3.213754341836134,3.1139841429066473,3.0744321933319325,2.5290224624441784,3.984809853908919,4.271953398105449,4.819927223772558,4.8307626500851,2.680400802511126,2.670081322158829,3.3952262924480285,3.688378198627631
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1595062885564884,2.463608381862062,3.074480618455536,2.8135606862594433,2.902091869616275,3.8397883410344296,4.294262521811397,3.942159830717622,5.284303491829127,4.85393597346942,5.068904863944892,5.6300008664686425,3.9822578440008507,4.227781575647881,4.648205610577961,5.146352390104492
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0937651490286224,1.0896666644484618,1.473845036118523,2.1400754199768617,2.4942329285529996,2.8859944530016275,2.6431130928237088,3.874158257759442,3.7055448547921794,4.013850121068268,4.5448560722320925,3.6613267677924304,3.4750671659669417,4.806179742031281,5.260735965834243
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7452976694588438,2.079158122781069,2.37415479497603,3.2803997551093658,3.8466871754454544,3.67621221879051,4.79766761562718,4.326712361411293,4.414873501177515,5.255009102205781,4.469867894818166,4.430427164813784,5.5989832576294685,6.159707013110478
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0815759605592183,2.957596035557433,2.638378572197091,2.5920982278236147,2.1892289205037994,3.4817511682202364,3.925289898936502,4.384935212817165,4.65214132257905,3.2397381496715933,2.924096433891537,4.520227840639924,4.963679600864494
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012396330572439,1.3367883909158016,2.3323053777955223,2.6300266438520468,3.232803000687551,2.316536786159095,2.557430648355249,3.2299444524813548,4.5895645061762025,4.08119249493995,5.686790019630312,5.933139472959864
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.009661951131928,3.2129717720274216,3.5960137039757294,4.036972511752669,2.4841762632104136,2.3449434973884147,3.4565389490544165,5.438291158565249,5.012596478957718,6.462373477864675,6.722375871751271
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3355424008942076,2.0852153505918363,2.0360319066548307,1.349294114442141,2.0643598794626805,2.062755398990072,4.702921506276014,3.8830321424912215,5.777111037011864,5.819035653322402
29N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.024684379980878,1.010613501800652,2.3163291205730356,3.2302986634357524,2.558849633553729,3.9114417122845047,2.8849881506038777,4.97466681714672,4.907165872243191
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7317666643943812,3.2603537386476495,4.122085615830607,3.5521330508357782,2.895534237513184,1.8771184293159102,3.9905685593496107,3.984440458085359
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5235308964817893,3.500715615365698,2.3840015963317067,4.5166085956289015,3.3622073788992934,5.503444046504902,5.293188212346442
32N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01000411332227,1.0099038456783969,5.985451743949705,5.09763246953005,6.998784031290307,6.944370483715641
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7250905757503525,6.7403555357764375,5.938964582057671,7.774256877116774,7.7868956533245175
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3504009318927706,5.351628512485241,7.28621819261614,7.099148080164832
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2250451410594287,1.3319301854389525,1.8849737423299624
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2451073047792662,2.3055804615147424
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9783654264636391
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
