 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,H30,H31,C32,H33,H34,N35,H36,H37,H38,C39,O40,O41,H42
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8580950055357122,0.610177060035196,0.029437594190393712,3.458545294180252,0.11021516150041033,0.004419301435356432,0.001086024079914663,0.0011637551186585715,0.0008465685573312287,0.0006446490608075506,0.0011804546779181635,7.595040604184422e-05,9.784843410853838e-06,8.08105785110591e-06,2.366435973283343e-05,3.899112198668675e-06,2.7852541257811225e-06,0.00014982377466737917,7.577225044519409e-06,0.00021380258234948712,0.00036195533095562116,8.323731132375833e-05,1.1258993534601913e-05,0.004116472363162704,0.0001291946332867555,0.009823686481180482,0.00012273844934007627,5.9558474651721927e-05,2.394129718842619e-05,8.619922695407567e-06,3.2954766796544632e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03004878280828316,0.0008551562396086343,0.10113598110204614,0.004565209498989642,0.0001049252739182549,3.4071519739331535e-05,2.45621762573478e-06,2.936469809755593e-06,7.794701960106565e-06,6.664926843313879e-06,1.4767244784774647e-06,7.45834719761973e-07,8.53438095749226e-08,1.5138158027117044e-06,1.6232555632988976e-07,2.2298552959654216e-07,1.4146386033253577e-05,1.5040388146037031e-06,1.4176373757779359e-05,4.218474002826156e-05,1.5928257652619848e-05,2.9488776944752715e-06,0.0005484254093229834,1.3548985181355278e-05,0.0006088976954241598,9.197894528245598e-07,1.0301096708964508e-06,5.63955682819639e-07,1.3955813038535325e-07,1.892944423431686e-08
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1598958489835933,3.546154397101983,0.12167845900377616,0.001924041566972734,0.0012576899435377403,0.0008746005775717158,0.00012773723556092076,0.001966959992072026,0.005072895199692118,0.00026484199301606004,7.702498607353725e-05,5.010533091986957e-06,8.754437000815796e-05,9.92457834936289e-06,1.3976134462634349e-05,0.0004341011929933358,2.6345156057594465e-05,0.0005385950184637611,0.0014190700906043519,0.0002861102628923806,3.0060923283503627e-05,0.012780706963536753,0.00032143011744578676,0.030576308243960737,0.0003610099963882174,0.0001327631184370459,6.556494960023584e-05,1.5149734646155433e-05,2.5737338591458325e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10550549095793871,0.004589750269016424,4.86211573458295e-05,5.764168128141733e-06,1.0740255125929465e-05,1.6971087886119562e-06,3.655142300540426e-05,8.172291140007282e-05,1.547916741229116e-05,3.971959140924852e-06,3.8380226530243533e-07,2.0927534195580577e-05,2.233061987100271e-06,5.117539019217077e-06,8.795760579372036e-05,1.1843619476481493e-05,0.00011525304662551861,6.267986952601667e-05,1.892196868658047e-05,5.193960555871513e-06,0.00048288094652548796,2.0444609380998457e-05,0.0005098140980788202,1.2607049439061768e-05,5.14446468247165e-06,1.812439774484531e-06,5.171388036684377e-07,1.1273681876922126e-07
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8904868577530043,0.0024009511523716276,0.0004980472034828987,0.0007666175547312026,0.00012176258101337378,0.00040171731061036664,0.0008109975914764034,4.744263340621113e-05,9.089111556837004e-06,3.988981103431044e-06,1.357226031206693e-05,1.978004253500032e-06,1.8778250094886317e-06,7.303425268453956e-05,5.770556842366048e-06,7.757539905739463e-05,0.0004224724142726233,0.00010138474381837792,9.8787265632172e-06,0.004131652830678387,0.00010640080508883543,0.008365655927633608,0.00013593073290896207,4.6362473228866996e-05,1.9585845318567663e-05,3.7893397408089724e-06,6.730473069982423e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0357068313310336e-05,4.93535783357979e-05,5.031465145854952e-06,8.361454477689989e-07,5.6978299602938876e-06,2.8387025661213983e-06,1.3662536857417251e-06,3.6559057736695877e-07,4.0267247092273806e-08,8.857840372300529e-07,5.9221264336883905e-08,9.847432003162737e-08,7.341894489809597e-06,1.672783648709597e-06,3.9772710562768765e-06,7.365732210018461e-05,2.7640137658213604e-05,1.7649689678655989e-06,0.0006512814766745922,1.8397159814442787e-05,0.00040587998962759997,1.4855815271941353e-05,5.43708271294463e-07,5.502350002295486e-07,7.510840627222848e-08,6.86016443651738e-09
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.421029290980063,3.4638478382043116,0.14768076578123657,0.2660456229823348,0.02916866445977684,0.021011071791727925,0.001672897025790654,0.0021562801139964893,0.00849638014114959,0.008276396903809324,0.0010714519282486457,0.0014511640756487976,0.0001050899114061199,0.00044384732653846015,0.0025519986944850803,0.00010047954735692421,0.000772531341247662,0.026022396679241194,0.0009461758759319316,0.001834224731927958,0.03483848862321359,0.027883981927384283,0.009150977223277498,0.005679415015698797,0.0010510838459362182
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5006154579880872,0.02440992199881109,0.039464043038362845,0.008870185452914292,0.01273801959247614,0.00047262325989538834,0.001319216290569969,0.05264012354879931,0.07332411312584819,0.0033526419636825677,0.003803625100616964,0.0006247446073834872,0.0004326689717714105,0.008687195838674847,0.0002179028080812051,0.002044117251309485,0.11996079671123584,0.0025632043666105053,0.004104400053732915,0.3047465219135004,0.0037560376516357213,0.0034250902412558716,0.0008151002383503941,0.0001476833345810391
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5960588112531084,2.8131238783505617,0.09558891158592431,0.1521997593863589,0.01007964294434327,0.023910505413021643,0.008163679274069469,0.0009882737291929677,0.0014619707200207444,0.003102384220920837,0.00015086507567818597,0.002532419263905572,0.0009287724779827172,8.164612519834247e-05,0.0001887126021917762,0.007734953890122617,0.0002692431431219333,0.0004147814654008597,0.0070767564743073885,0.19386900846677707,0.0781724076660378,0.025523427785753727,0.0050734728984632715
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981160562813127,0.0053858811478064705,0.01772803006038981,0.0004930700730541027,0.0005320741387362382,0.0009788527752466747,2.6822381490987368e-05,0.0003148090766378342,0.00026249305803127676,9.916406571219838e-06,0.00022638939568087046,3.8652293110841285e-05,4.459241277565695e-06,2.1791066038279183e-06,0.00010482364272779154,3.0859407245120707e-06,3.776321995108134e-06,0.00012336132512080766,0.04844873217865597,0.11978481079648307,0.00802522555065821,0.00024261662501134929
