 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,H32,H33,S34,C35,H36,H37,H38,C39,O40,O41,H42
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08700994143556129,0.003268270434790388,0.03196443490823686,0.01689525317792573,0.00016094519904008564,0.01170157858868337,0.0010565126111025114,0.00010035132310148853,7.647089045592637e-05,0.00032639300242909286,0.012402217147409633,0.03116394244675269,0.0023358907673698415,2.4428264389086962e-06,0.00015335596201482282,4.473432851304082e-05,1.5052714962715541e-05,6.868401341009189e-07,5.13072975505402e-06,2.5419450040420344e-06,1.629048316242887e-07,5.554246937933272e-07,3.259071902350641e-07,6.990139644891258e-08,2.0064230277228035e-09,4.242496731698964e-08,1.3862101244654923e-08,0.0001791777612221157,0.0004145888621582827,2.6357047327896233e-05,1.7426127876252195e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0575895766072234,2.0601696560851424,2.9202547242490713,0.08043259702231953,0.07946421948120475,0.17139739512977298,0.02628471179216818,0.010616372521197959,0.011790049204419839,0.012972448099694223,0.0026264309509122716,0.01612976549802507,0.00029549900963732334,0.001503363732289681,0.0006781326547475874,6.627008361184683e-05,1.920622672502148e-05,1.5632647516028442e-05,1.7082603727736068e-05,2.115983379402664e-06,6.108889883948976e-06,5.435087487203061e-06,1.2133807149178333e-06,2.690872696886615e-07,1.1609668582046595e-07,3.14235255594042e-08,0.0011412782601356863,0.0033601372980687147,0.0004287344438584362,4.3011550821869804e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02601558288388639,0.0875145006539737,0.0202828405666875,0.001589319114149168,0.023822889876800035,0.0030839887573403946,0.007456104033183308,0.002990932904250787,0.019118729827335645,0.002694868754278823,0.029986815357757934,0.0005413792838944165,0.002082619540240138,0.0014890995749181624,7.630256856616668e-05,2.145163309585918e-05,7.440523858215364e-05,1.6169387488274012e-05,2.026750006267619e-06,6.102959323905921e-06,4.687013447246535e-06,1.5650075939621644e-06,3.6617384413517584e-07,1.678378103164846e-07,3.5946258636343487e-08,0.0015397241422252517,0.004542910483457563,0.0005007698391215065,3.924934867960417e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0885206506494709,0.010917816932942248,0.025972519039125785,0.004203445340680734,0.00022504860914951408,0.00020904325242998567,0.001502129206355507,0.0007368701923087251,0.0005492413064392965,0.00047085784241263084,2.7387352061314374e-05,6.974902855616527e-05,1.8792413581936174e-05,5.12055578916204e-06,1.512539250514422e-06,1.8290318037905706e-07,8.232673287533743e-07,1.4811072523990276e-07,2.988248415380923e-07,2.668305590924902e-07,6.75797091620467e-08,9.900392283768156e-09,5.388403057082769e-09,1.6943668690316827e-09,9.787427314988939e-05,0.00029341792674686396,4.5100661419827937e-05,4.70595151580433e-06
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7281222697104721,1.7983436774829702,2.520525791404821,0.0789809550188123,0.07852751253910562,0.07809840814416102,0.0010942952049792232,0.00026838090059046193,0.001136328917532417,5.470645083760495e-05,0.00024173700083232608,7.861133435793644e-05,3.2546341796502176e-05,3.6001855481249123e-06,1.3548505008342815e-05,3.458763231406481e-06,4.579292405271218e-07,7.402578154902528e-07,2.0951725022838597e-06,1.8306615946761529e-07,3.071808973853507e-08,4.8674425823236334e-08,1.8615457619830522e-08,0.0017393562474642132,0.008890295779802236,0.0005873826755055656,1.7032063744593096e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027656809916026814,0.08607647761806592,0.005210856362779959,0.021049457500386337,0.0041730276175624414,0.0003017340808473268,1.2288613747912791e-05,0.0002944623225307197,1.3601507099947341e-05,3.6572729767758716e-05,1.99764588526552e-05,6.837153209149349e-06,4.7422150584175427e-07,3.379615247656176e-07,4.494340247740425e-07,1.4065857278922067e-07,1.428524696311939e-07,3.0188906319228437e-07,2.3466049214881934e-08,1.907425106750793e-09,1.3926035657974012e-08,4.257754371295164e-09,0.00031388659868669677,0.0013433163443652418,0.0001187626478940107,4.553225068759659e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09440613788149865,0.004146787622296699,0.0072017245011810616,0.028415340517560672,8.359488020270867e-05,0.00012082899037701988,3.500590612071086e-05,1.0400029650803333e-06,9.680994077021499e-05,2.5789980387935785e-05,1.4720977365878518e-05,4.316212689481347e-07,2.657958830809548e-06,8.854017390369506e-07,3.394703826931078e-07,1.479495841394396e-07,1.0915524187860015e-06,3.6169544248565444e-08,7.733840234891431e-10,2.2447026015726124e-08,1.1906896357771757e-08,0.0006360182248250634,0.0027866661854480945,0.00019430781678686504,1.230403583285522e-05
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.022838745145632,1.4952757254608664,1.6755222286882745,0.00020026894143826413,7.32251719490623e-05,0.0004048749858221873,9.941431486804042e-06,0.000417062468855936,4.7226633426711295e-05,4.5576320304052675e-05,1.0327851667657484e-05,6.455241608283036e-05,7.157035873520123e-06,1.9710132680428316e-06,1.0972945243548082e-06,3.088466259654199e-06,2.762617662965816e-07,3.412632909594038e-08,7.369527699196965e-08,8.774091686536423e-08,0.01640311650953649,0.11674134590205565,0.004444137909914839,0.00021079133418688834
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032559714040554244,0.02959342698475509,1.7738952525103713e-05,8.441979740370087e-06,3.451072012072842e-05,3.812696720562059e-07,5.5968880981693836e-05,1.5483182234099502e-05,3.3697816851363527e-06,1.8506742733848114e-06,3.386515024850212e-06,2.170929960243484e-07,1.6217997167444764e-08,6.790103523890423e-08,1.1009787681537375e-07,2.478233596114876e-08,7.894905618144321e-09,6.155109089078792e-09,5.146885140305812e-10,0.0002871240289046284,0.0013367401203753237,4.7173840146519375e-05,1.336095063630971e-05
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03223623625459493,0.00032618899651282174,8.104863315039346e-05,0.001333795099908719,1.4904235228874185e-05,0.0007702876990774987,0.00018096711497905815,9.616518693311704e-05,6.1366352812619596e-06,0.00021012650794305365,1.9252117820611758e-05,7.252956075731731e-07,7.817135821763799e-06,3.906041488810352e-06,8.891437609515052e-07,8.626642000741924e-08,2.8263323281763064e-07,2.466570614423347e-07,0.029703656031658365,0.3312105392088983,0.007670537562294855,0.0001856291137027899
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.055979157566945e-05,1.729273434303291e-05,1.232679277807236e-05,5.178485638079877e-07,2.6222408254006346e-05,1.2277157021012286e-05,8.520644011356104e-06,5.321198166541308e-07,5.1991819811636475e-06,1.5160678141779016e-06,8.631572923079034e-08,8.29712042627051e-07,1.920499906882256e-07,6.818578801581765e-08,1.6536244373810405e-08,3.433180695289195e-08,4.999933800320377e-10,0.00037378256506892527,0.0016894385239120124,6.999073338398443e-05,4.8718961866978105e-06
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3418175663110885,3.376850199990406,0.12916480107592243,0.2729135289310635,0.024374085205569163,0.030088704710427572,0.0012316791105808633,0.0008992884933753942,0.005759056241240235,0.000228408097722399,0.00023683139066532632,0.0018679024253656223,8.866797634052292e-05,1.8159657786620542e-05,3.6873841036566546e-05,2.452531695062987e-06,0.04370469832499971,0.008571128870279485,0.0053631339550741786,0.000319514945610444
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5303810165535663,0.029285515059178868,0.07704513879674499,0.021107102167730485,0.012268070523754934,0.0010113855701455732,0.0007359811649629844,0.0014198601645193515,0.00019978646120866195,0.00012697198464017845,0.0002860122472083757,4.0732370359147785e-05,2.5713049586206793e-06,2.1326965060075587e-05,1.2406943836751338e-06,0.07447160396842882,0.013856475054955244,0.008267577175557955,0.0002814582245564967
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6036752234001244,2.905609232808954,0.10197692267032277,0.18276927905145365,0.013579472225341171,0.006934974060629262,0.029649028667953922,0.0006891362776643151,0.001009470484417907,0.007135223161321404,0.00039501063996819075,8.746050512131731e-05,0.00014170368230059793,7.798737866049343e-06,0.20121682849438513,0.029750620973916772,0.029375853099253113,0.004694791297555012
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09814733391723396,0.00671609689524133,0.024822022358440887,0.009685324345451551,0.0016137942245462167,0.0020544617386191177,0.0007995854177114126,0.00023960108459930574,0.0002747403359191214,2.1551928009233556e-05,9.352013283780991e-07,1.0519036679923488e-05,1.881533511660649e-06,0.017916780890783857,0.0009485721482151988,0.0032790742961023023,0.0014193124920842681
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9236363719104772,2.7156220600155736,0.0986029400742423,0.08475015206392333,0.16138226390728355,0.004943778190389159,0.009190739682861881,0.0465700601529357,0.0024695621566217796,0.00044689858669189064,0.0010070861199600323,4.8920692409470945e-05,2.6952622725455475,0.24966654345434908,0.23164724030062994,0.053226018773511075
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08102150301640021,0.004064464000696155,0.034042180428190294,0.009896893302940524,8.775203129562925e-05,0.004805587030535241,0.0014535678660844153,0.0005924359934329493,0.00010635672439374133,0.0002184480302200864,1.0725963881963452e-05,0.11428469053472501,0.021637987880963938,0.016833741291369053,0.0013898924892861153
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0417637722515414,1.95104770190435,2.876859554443322,0.08434408140289396,0.08550723281157613,0.2172253377989617,0.014374911752466413,0.0014739352948258677,0.004425863826275522,0.0009507005946860492,0.19404134500950376,0.03692780745669558,0.027589540046006986,0.0022403211038500848
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023349621362109163,0.08282488595929172,0.03305229399768406,0.004750197208609919,0.02156727610138942,0.0007630885039210389,5.6963335585358266e-05,0.00014631791200447886,0.0003791765598231134,0.030870228062931826,0.005683466457899078,0.0032327686667215083,0.0010413772647908104
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07944178636429577,0.005244510282432557,0.03261514597135906,0.008916534069512982,0.005512316590817523,0.0006736115359247119,0.006361669358756705,5.024549834931058e-05,0.011773588326542628,0.006220175464490274,0.0014152321365729081,4.853411712502087e-05
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0769030497266048,1.9594507199568056,2.8242564490904067,0.11873835181984749,0.027881216291411715,0.006163422743028946,0.0101440202514953,0.01623025738082015,0.003010023633859424,0.011478525497684841,0.0005969441440765166
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025844336266278578,0.08951899457240653,0.012732599079744,0.0006391263425724603,0.0005342509931769435,0.005176537552259219,0.007931241325566774,0.00025977706144164614,0.010420923430181195,0.00041233996550693597
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08908203236834,0.024709061488107475,0.0012908618053613097,0.00016724719119687315,0.00043910593064366843,0.0009339591435124639,0.0002597841857340244,0.0005102333664102066,1.9704862918246135e-05
S34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7806481621362398,0.09242118319135861,0.09754935122594033,0.09612241628315887,0.005927173244271319,0.0012828763559085445,0.002407653832905747,0.00025957229947237703
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.038492961009071,2.1456753811100677,1.9324945694080047,0.000342904296645935,8.764763665405906e-05,0.00012349455851318192,1.0772951099413675e-05
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025415396004526247,0.026447685691074918,3.680654802962202e-05,8.445023655490047e-06,1.2617734946651638e-05,3.5788557168903168e-06
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024093650159831892,7.712107760426967e-05,1.4715558618538793e-05,3.413914704730736e-05,1.257652326724923e-07
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.047526765613377e-05,1.0736989620729886e-05,7.014033818497634e-05,6.871480103365357e-06
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.244630235862128,3.7038328734123875,0.1758926367935454
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.498169268187479,0.056534346753127074
O41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7896136955509439
H42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
