 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,C34,H35,C36,N37,H38,C39,C40,H41,C42,H43,C44,H45,C46,H47,C48,O49,O50,H51
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03014570804942318,0.09832660946663863,0.004976990666771153,0.027585240653312804,0.002960632663326024,6.487659254039713e-05,0.0026974725824755463,4.5788735119289825e-05,0.0009692968960952619,0.00010981240455198993,0.0009100540231077314,0.00010519621906124321,0.000584064930143624,0.0004141580128333988,0.004248326099652866,0.0011920040681545618,0.00040407567828282254,0.00018686027396608296,0.0004997380831908149,0.00032410330848975377,2.7893800730316443e-05,0.007950535584418494,0.01024415692960745,0.00018139573299214007,0.004189519096711614,0.004107360545160255,3.1444492656573786e-05,0.003384376587081128,0.0004081420803976332,4.275701632083795e-06,0.00021613973180500956,5.43400518537851e-06,0.00019985242134579195,1.58548603157449e-06,0.00010309966972199547,4.40494170206307e-06,3.4544074445364004e-05,1.6347963542329147e-05,2.648651937009472e-05,1.1784985467500064e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3906826946994046,0.029440089114141754,3.31159594904747,3.3680191210864945,0.1256324405467042,0.2901122416404456,0.0268254323795174,0.33964914877244423,0.027459770326408117,0.23165108433424558,0.00389365381930884,0.0013435066609201185,0.0002317822625203525,0.0008069935259445993,0.0005894716177541337,0.0001292096963035616,1.4087163860532215e-05,5.2308937312714465e-05,5.349902670648277e-06,3.5406696613504707e-06,0.000217856499650948,0.00016404084614835002,2.3834551727830444e-06,0.0005345579545000811,0.00011860075524239289,4.479400146362167e-06,0.00044541441946141513,0.0002958193502916595,2.384500576990689e-06,0.0003086755757376325,2.3367268136009756e-06,0.00020590541972995147,1.9292409272342326e-06,0.0002558786816627412,2.8031376506643113e-06,1.5109415246211677e-05,5.999349160720757e-06,3.482543131858029e-06,3.4602918008719286e-07
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8716663420593158,3.2402207353589545,0.047092145085401244,0.004011156608092037,0.2550237590744848,0.007109779743171396,0.05115630568673511,0.0004387904490290584,0.0663946210879869,0.0029842442594101293,0.0012552487644554022,0.00027962502605820283,0.0006624881992532555,0.0001519008129927668,9.57545745141064e-05,2.5369261502206086e-05,7.622894079012399e-05,2.0953072468410383e-05,1.0847957475523806e-05,0.0008891178269402333,0.0011814639065628185,6.123891584497443e-06,0.002487122397360486,0.0004994709758889687,7.465019305707976e-06,0.002208949432323165,0.0037655426723895435,3.308622360509439e-05,0.005336013033550108,1.4819863961346158e-05,0.004974631339290131,1.7416820803584088e-05,0.006644836862287118,1.98549897902911e-05,6.8659490221056885e-06,2.9668715117864286e-06,4.003717194736578e-06,6.699197944159963e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11491112299771011,0.0032660906153461067,0.001312138188882317,0.006699535903350151,0.0029971863150326516,0.0006197542882218077,3.05876737660693e-05,0.0005697838129178345,6.991010692236621e-05,1.3650030318945738e-05,4.972947668546723e-06,7.592441258585936e-06,1.8128628549440862e-06,1.2884776280364107e-06,8.378540579112581e-07,5.042892038731317e-06,1.8742446976638405e-06,1.3569879611097235e-06,6.67804581164777e-05,0.00015686979745033192,8.944335891936106e-07,0.0003713664747163614,0.0004908122491364963,9.51836745199941e-07,0.0022505109564454617,0.0017541877893024749,3.245019933761917e-05,0.01827899656063625,8.282091470412922e-05,0.012762101576419216,5.101149521880011e-05,0.028307049966284192,0.00013560065816697886,5.190101596275198e-07,2.1098845659484056e-07,1.870940641301999e-07,1.3712562196843692e-09
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29981024768171793,0.02748424856895082,3.583313520025746,0.12982994400470993,0.23001141255375812,0.004043849609055128,0.35660977106462466,0.02804777386004309,0.0009498413236805059,9.494814645277794e-05,0.000615950614110905,0.0001884231383840751,8.041304839404018e-05,1.682098657895814e-05,6.115374425816333e-05,4.5427390829022585e-06,1.4136595859026713e-05,0.0003222239964945084,0.00035935044224916224,1.9591881841307668e-06,0.00045324870948248996,0.0001669944962493508,3.56356075503772e-06,0.0005044080338754975,0.00032120028785292964,2.6680135012391304e-06,0.0008126168405540868,4.543441240123514e-06,0.0004431077228436997,6.889970418200164e-06,0.0007861015042930075,6.641806158169672e-06,6.0661774023418324e-06,2.7529856102270767e-06,2.5058078036432896e-06,4.262263236798347e-07
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.016553383031063,0.3046604768860289,0.0035151102195363215,3.936543623638367,0.1277932084165181,0.32436677846555073,0.025941135099383006,0.0007433263926358569,6.0801663796475336e-05,0.000387938860817158,8.782619073377518e-05,7.059133319595179e-05,8.670145803635343e-06,2.671919605407025e-05,2.2845045228869765e-06,5.3696120975166295e-06,8.246754440313642e-05,5.0346808136314536e-05,4.6334365189082405e-07,0.00013058370077592696,5.048874531944636e-05,1.222961283464663e-06,0.00011183424030966616,6.024273630819699e-05,4.436637379701125e-07,7.327114898975085e-05,6.369732210576018e-07,3.3060427543946114e-05,3.660333984800701e-07,5.746085482125074e-05,5.21881358794829e-07,7.740108642850796e-06,1.661117112153332e-06,2.5911995116395525e-06,6.301728214808122e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034424292672896595,0.0007903363218533244,0.12521045018991872,0.008456846530810136,0.027415628463308472,0.0011363497739791395,7.872750875215218e-05,1.0181721211699468e-05,5.585291196941178e-05,3.213447491878796e-06,2.014234672165216e-05,2.1788090576180252e-07,2.1203549247506004e-06,1.0625345789883056e-06,1.4087591337919037e-07,5.17426590906922e-07,5.991338103417121e-07,9.679366197445916e-09,1.0345493040020415e-06,6.175876250402723e-07,1.7282975051102767e-09,4.398440678121673e-06,1.3195439307889245e-06,6.420006082308305e-09,1.3834910914223286e-05,1.11461490037712e-07,6.242616004792367e-06,8.932630901625771e-08,1.4782322696804684e-05,1.7895874293571978e-07,2.151288168050769e-06,1.48901092122955e-07,7.627890100669887e-07,2.3887295519386953e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0157526043111833,0.3207707252217088,0.025932618413994968,3.6964670969806157,0.12693954150361075,0.0001651811669925174,1.952172183093681e-05,8.750055621889463e-05,2.720866117345011e-05,2.2152320810486792e-05,2.5722310849074503e-06,1.1129850094826477e-05,1.4952559488357053e-06,1.716520552919043e-06,7.74730050699668e-05,5.3362499607384484e-05,3.7061157120987787e-07,0.00015055786697409923,2.9539576148276958e-05,8.040035873735363e-07,5.275719519820532e-05,0.00014246640014287104,8.178774300038327e-07,4.397717849585758e-05,3.0175913767749307e-07,0.00012381968579958103,7.243439832604892e-06,9.29251026120792e-05,3.2214799157159746e-06,1.2332568385120535e-06,4.959851967467621e-07,6.495009750306924e-07,1.2114148162378768e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02724616376582989,0.0010673223566979306,0.12241304854704471,0.008394043385041572,1.7705755641639342e-06,1.0644779502300139e-07,3.0772952952506927e-06,4.74261768546036e-06,5.946402323875333e-07,5.741410258330859e-08,1.4202555465026023e-07,4.594707170291201e-08,8.240034876649815e-09,1.5308793681612087e-06,8.533900320850663e-06,2.1387729143285128e-08,1.756860946411365e-05,3.420830720468615e-06,7.180414041130234e-10,3.002553414921394e-05,1.4530044161631395e-05,2.9477392526899848e-08,2.1237553105013518e-05,1.7975663646474516e-07,0.00010182556521587394,9.03392921558499e-06,7.718988726690412e-05,5.016581259953412e-06,7.851001848635519e-08,4.7846076212110233e-08,1.2101765811678433e-08,6.512461681040804e-10
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8010360981221891,3.6348775284391994,0.11897994606973006,0.00021469474741980799,2.53909687818743e-05,6.975521739951973e-05,1.5549743463960652e-05,1.7680934028929673e-05,1.8068525466929941e-06,6.251498792672616e-06,4.4103157148533967e-07,7.520575404651453e-07,3.552668104761514e-05,1.4091474972000029e-05,1.2833819540425395e-07,0.0001181738797715326,1.4770424440688212e-05,6.344478005182452e-07,3.350102720445225e-05,0.0001013609380274838,7.279771629953302e-07,7.462038898217727e-06,1.1288614887305926e-07,4.2725676829835635e-05,4.1643959503012695e-07,1.8814828677035655e-05,2.712830267093125e-07,1.6296548461247617e-06,3.8162075040315546e-07,6.014610558491285e-07,1.2395972104339847e-07
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12185783815032813,0.008107090112576598,9.272706469332093e-07,1.639083357929394e-07,9.507524960650215e-07,6.444433751084944e-07,1.7895829107494876e-07,1.3374036322844063e-08,1.3886861993661626e-07,7.414176161901764e-09,3.3943570176830917e-09,1.305975473986365e-06,1.3430228771316166e-06,2.7637501398558584e-08,2.1391828743944075e-06,9.982621620441279e-07,3.714755703043693e-08,3.7036718891769738e-06,9.237582503374142e-07,2.2001154231787723e-09,1.3706181805073214e-06,2.04453314278652e-08,5.59137719458036e-07,1.0857159482569045e-07,8.234596609035805e-07,6.937555330210898e-08,4.156461530513411e-08,6.652478123925221e-09,4.487019644727752e-09,1.6043166795043362e-11
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.981100457374326,0.00036071523692562946,2.720336857751915e-05,0.000256870984089011,4.920299046451415e-05,3.494423473482389e-05,8.474628118482208e-06,2.5457567985179286e-05,5.628776635902e-07,6.221857068333669e-06,8.080044781740015e-05,5.138595236899024e-05,1.2242162483744323e-07,7.438829263681224e-05,3.977865084350829e-05,9.317837851297028e-07,2.8360304271876635e-05,2.978253190903668e-05,2.2866279858479999e-07,1.1354815942873908e-05,6.69909139272562e-08,2.535576734449818e-05,1.0117328332892583e-06,2.799765990912917e-05,5.248019740999865e-07,1.956164144834016e-06,6.896363283076523e-07,1.0392980523271644e-06,1.818641915951602e-07
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4430730907187836e-06,4.5530365122559147e-07,2.6046724403983035e-06,2.1315848166558737e-06,4.880590505074167e-07,1.07236582946868e-07,1.0636285296961034e-07,5.960183457887069e-09,5.869108754552599e-09,1.2282866150847838e-06,2.4842936641178426e-06,1.993938725242117e-08,6.638894196608902e-07,6.365169817890148e-07,2.1670131467033116e-08,9.877836248950445e-07,2.161359744512481e-07,3.5375951057403654e-09,4.128968427163926e-07,1.369189206457122e-10,5.538799721094279e-07,3.343467303018599e-08,9.975864603273266e-07,6.17230302424332e-08,2.5497891131820438e-08,1.1379317266246858e-08,1.5812802289794092e-08,9.321497351777452e-09
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.019223600087172,3.4246043176755654,0.13025422731093728,0.2675001114185878,0.025041083042024015,0.03181638731712877,0.0029102591240481868,0.005490314271229035,0.002656916277870708,0.0006095422417602969,2.4911437518371216e-05,0.00044423234356330554,0.00010288204384742428,3.010071174647244e-06,0.00016677691591809873,0.00013793750394922033,2.0076070084584785e-05,3.2276994037461204e-05,3.2922987780459323e-06,2.3918068708578266e-05,5.531699671657009e-07,7.142948855901055e-05,2.1562029872690402e-07,0.029894695930034215,0.0057122844949696605,0.0055663564291094925,0.0012434901760565165
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5483082986087118,0.025818738496938054,0.07602925959752678,0.042438264171944184,0.020180625624631673,0.0009698562072686379,0.01788919574429082,0.002296373221140527,0.0009123695088692069,5.298724589108961e-05,0.00034525900934830045,0.00011320470431332164,5.22122333623809e-06,0.00011265632347456922,8.450589461017621e-05,2.8011471121636156e-05,2.1941995406837833e-05,2.616147648959455e-06,2.6499477956506978e-05,8.279119427800907e-07,5.221272096508911e-05,1.2759101342130208e-07,0.01019991638482931,0.004260733287241386,0.0013945944520341869,0.0002752896611644129
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8878198117598486,2.8208265011196914,0.09919635148759032,0.17721916361468248,0.025958154180867776,0.005863631559905991,0.02038384847704372,0.005624434530941885,0.00016447934177787893,0.0022488784912459703,0.0009954705657730656,6.3387856125141084e-06,0.0009087759353256786,0.0004265393895593883,3.771979831701522e-05,0.0001520992296721313,1.2768553755426737e-05,0.00010429569304448716,1.5531046952954597e-06,0.00025395286318749544,9.94046137847704e-07,0.19684696017948752,0.04975932177416534,0.027941626463699604,0.005301230352014685
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09619476500427349,0.022036917319493643,0.006857152919427456,0.00039690582311302514,0.0001482553819849297,0.002747642602353162,0.002888086053264849,0.00027477914357132427,0.00023447479119687031,0.0002574355856975741,2.6588508534874933e-06,0.0005563309977885122,0.00021273092724272136,1.890114818214883e-06,5.0042679828110614e-05,1.2742667898635318e-07,3.746656508341051e-05,6.071317004696652e-08,0.00022259410146263647,3.616523631677637e-07,0.026474752256950285,0.05997020685004373,0.004253402423991748,0.00014171452274025498
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9259221275294591,2.6294077778957807,0.09581973214259087,0.10112512404646123,0.16159303370846437,0.02791822977356137,0.0012478337325183553,0.02658952282782584,0.006163415925300675,0.00013673532316638148,0.0050172077560927675,0.0023953755418813782,0.0007109425464453256,0.0010294969893150374,0.00017303979230787192,0.0008262601052620444,2.525109125239844e-05,0.00045983906636759553,1.3492226753841763e-05,2.7109171496148057,0.27679832118022246,0.220854688294161,0.05329275951267942
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091876438691329,0.004372116649738356,0.008644903906412926,0.022382373412316192,0.0028708997045030493,0.00027683881295970103,0.002056919776920685,0.0005488604394461305,1.611515425592458e-05,0.000713915318977798,0.00019971939986851428,4.1396110106450834e-05,0.00014290279113404747,3.610856487235026e-05,4.920858247337012e-05,4.136594190295995e-06,6.647935254888715e-05,6.516974009329601e-07,0.1219068375305985,0.030848747399598753,0.012305662562160258,0.000879949845657757
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9342436660557805,1.9937764352409544,2.8201300395541735,0.23733714744313067,0.005316135634175101,0.19729383773459802,0.04839525581283141,0.002545099937058093,0.03170307559625188,0.018590370914737184,0.0053758851725898005,0.0049252483927969826,0.0010498535463812075,0.004242756231377209,0.00015845990015894706,0.0020053082176743203,9.28320928663684e-05,0.19564809260346808,0.04361052872059079,0.029954072597271814,0.0019368202575256177
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025042953221621866,0.09114187002302132,0.03821949520282941,0.0002342165444464417,0.014266996454496805,0.009938792451521294,7.171747389111971e-05,0.002357093337371552,0.0008095886172687639,0.00011661049032229975,0.00038867401563247306,1.1581100231694563e-05,0.001157380334579905,7.741216940804208e-07,0.00034088005184518266,3.139543063301886e-07,0.008850685076831732,0.0013526837955337712,0.011817201003698208,0.00024012504908377252
