 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,O19,H20,C21,H22,H23,H24,C25,O26,O27,H28
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.132494657719112,3.488345811952512,0.14041203862103513,0.27433147304084005,0.027878202057158408,0.03370119358611326,0.004212731001932868,0.005256531126435954,0.0002453740405281568,0.004087154194758996,0.0029059077806383726,0.0002460660200618303,0.00015196663863137339,0.037402198739232784,0.009424599696216868,0.005342485470984315,0.0008274665210550314
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551872511515263,0.022370649753166605,0.06852607366192273,0.05188286129773223,0.010561405922798126,0.0012781856205730247,0.003112225808763358,0.00035432540829083425,0.0010719358887239933,0.0005651193892348694,5.455559428135803e-05,0.0002362645939200103,0.014766886157523945,0.0047357594415363,0.0026669158954431976,0.0006784550389211663
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8633846486966945,2.731257624907613,0.09831517474419094,0.17876222555619112,0.024391412527501988,0.036779406350824606,0.0008548931489273937,0.023554142396750702,0.014420358772719188,0.0018310906988174835,0.0004864512212461314,0.23189671197203995,0.04412876906769658,0.027505706015407666,0.002840993429098604
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09485322562666842,0.02860492969666195,0.011589507359253681,0.0029301658607161496,0.047087338193329,0.0005209673837678341,0.0011494317272335852,0.0011326537759150934,6.738307964271328e-05,0.00010509622722842948,0.005667301205676822,0.0009921617553573236,0.000467054580531423,5.5726091016339296e-05
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0601403701960876,2.4045355256832495,0.09971313290678308,0.20817863181289675,0.011006198164756453,0.16666162352570496,0.009357158740335825,0.030519681040324542,0.006886774756825753,2.538599241746658,0.25163897575958327,0.2094145167727558,0.05532854501716433
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08716370436077236,0.00233988903474569,0.02467820734353221,0.0006110960406695565,0.008005348144818014,5.438129867485486e-05,0.0008477375474986726,0.0029356167130714095,0.10362574685145987,0.022749589048658647,0.012060150862929109,0.001183401100201209
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9157206783839078,3.0821603959692254,0.11455337008497946,2.7395924957758266,0.08974227549039515,0.1002686295756221,0.09664268818795585,0.17542098894913452,0.034328329239798894,0.024870792769432937,0.004617251147516321
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10120677311122983,0.009573098671899372,0.0854119574649832,0.03655542523614019,0.00534224374870873,0.003937913908083734,0.012589165837320726,0.0042618837654953,0.0009916825148676978,5.713467427548302e-05
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6205240687981788,0.19533006546630916,0.008398460314568146,0.010056842701289703,0.029090816856693014,0.0219835230981148,0.05987895173035625,0.004469028857228691,0.001498410208215506
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030403757552484256,0.0007942034291423816,0.0008206131447259235,0.0027743289904869073,0.029247634985946735,0.15919200066501216,0.006428631887630987,0.00031857394215517587
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9529253519774854,1.7603271870647483,2.1353156901601444,0.02825467691421668,0.004942921237306636,0.005215847932244867,0.0016364501984200697
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02413367358999796,0.024500633614503498,0.0013046573931090322,0.0003769761914079739,0.00022846293024736397,8.671761085410346e-05
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024866789331242423,0.004211411085617955,0.000346428931771281,0.0011955391680192884,0.000253611419210209
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008984035654828748,0.0007127472652883604,0.00011856975165458472,1.5647327237244824e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.784066284700045,3.3091554171189306,0.16535984969347783
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5133776677331493,0.06633492333780544
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.618769378313398
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
