,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19O,20H,21C,22H,23H,24H,25C,26O,27O,28H
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2889673779415918,3.168453919663511,2.846855863332797,2.3816000534690644,4.080296417756509,4.771504066300725,4.921700219410576,5.2267979312309665,4.172270359480522,3.8445433819430646,5.259996370356638,3.9780774717837297,3.775106557283666,4.913861730400008,3.637225309210657,4.5473497787053665
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0162338096587549,1.4510475968054102,2.0547781304261505,2.474075608373676,3.395211866674274,2.8376292760487165,3.0937876166832874,3.048950298588415,2.742054855203933,4.019372534589462,3.4623464951406766,2.4218979264445903,3.2221819319910816,3.056150192703317,3.8495325281251818
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1368856103323233,2.9671251688302123,2.700312968541151,3.7072212986602313,2.5294965254641752,2.793319161347573,3.2824214815783965,2.8312496838558134,4.081826033405407,3.9514151736710152,2.8659568421124635,3.324388633242108,3.6916869172467264,4.337312671270353
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0941723663148357,1.547667876092311,2.1499547280804885,2.4333773676755204,2.567787140411543,2.5539629071216527,2.8088670946381398,3.4946506289322996,2.820568297170843,1.5321284942666642,2.4434140696961477,2.3956871131660393,3.2287356643160776
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2006728732613,2.5446412867388974,3.385757845107017,3.5861075745582944,2.7818636727115718,3.1016946628219886,3.795887652387316,2.6059782064015495,2.1485681832706716,3.2410489540878364,2.490400944820561,3.4349691640895337
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1027379729733848,1.4222712354753442,1.928678985960375,1.5229439485739076,2.166656618437759,2.1511858360297937,2.1715782140194317,2.521553344385108,2.8478272698494154,3.682798688710364,4.366382387935256
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.080646068048848,2.270108872776625,2.1509901469666244,3.068328528671734,2.4878044484421213,2.485316540569766,2.6748305219664834,2.8450506874128054,3.7598786925456653,4.33688184943247
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9759045222509555,2.3804245121223264,2.6558697375615496,2.607181048644473,3.342486948731895,2.9676040365963336,2.7976956330339644,4.286400495762122,4.7841079693528785
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2132067756860723,3.5547197368040373,3.474728786096715,4.063522981530708,2.547411751589713,2.0313719627135813,3.8823327727532893,4.205712114586041
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947366391162054,1.0941847282283537,1.0955240801091848,3.8892058926607858,4.357521786994627,4.889847129010351,5.689352047332332
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7730816679305643,1.7786765019001465,4.2428835510912615,4.770115423174186,5.194782522294727,6.027486749143028
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.780843980705378,4.6682461261771495,4.919869235025299,5.768877528625932,6.496488733876341
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.190293595902694,4.850091884848965,4.967908304394132,5.831043648989446
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2194282827668388,1.3433029833358636,1.8746860298372727
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.246944231989682,2.280257548014706
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9775402013178377
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
