 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,O21,N22,H23,H24,C25,O26,O27,H28
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.003673250464687,2.553537483629043,0.0868741659518848,0.07836665692652134,0.1588033685925522,0.04008279287200188,0.035121824178488956,0.007112331658113424,0.002055181280735008,2.471291449714577,0.27799337124803825,0.22032003246971393,0.05386666749648905
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07238233681540751,0.005837471889646562,0.014659637075110421,0.022833245243375933,0.004021280964061291,0.02811500940770517,0.005315852949955291,0.00024498626878211027,0.11967031451890242,0.031129213302781955,0.011064690328649762,0.0008224470017501595
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0905421539452407,1.9780501019620127,2.514175476534704,0.30069340563101216,0.2209876576538634,0.011773681312524098,0.044929260756566336,0.20310867234350433,0.04270485316221351,0.030714016256272555,0.0016340424187658575
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030597456426399106,0.0992452008761815,0.03206718830313127,0.011773733778873141,0.0013920059134340246,0.0001993859237654494,0.013137914996548261,0.0020886906723550647,0.004594153549288493,8.048569817864504e-05
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10484165808582646,0.02202459324212136,0.020854941888828638,0.0014146188894224032,0.0016343855993317113,0.027461428754602224,0.003062414899964727,0.007234295330417528,0.00011761473188687255
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17633443740325,3.5529663227881154,0.1368719295256482,0.1454273471497779,0.01241491872250608,0.003934194437718558,0.0030846480069957882,0.0003032012056648492
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5731069161163007,0.027467237202471795,0.027563044677698212,0.004034555521346683,0.0018791653632285812,0.000886424687888257,0.00015586041261983485
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8653848400434245,1.7916188986492458,0.0046211464739450425,0.0014022289205428695,0.0005261443890387865,3.7253911714385524e-05
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04122231827524714,0.00038346095404984126,0.0002892079403237213,0.00012390033438425263,6.5535506781344566e-06
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002679115244097474,0.00015216583234722858,5.026153667464506e-05,2.1881339220541918e-06
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.754060686024501,3.3755259029529876,0.17003007404881
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4982119791211142,0.06178953366760165
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5298633017884753
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
