,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21O,22N,23H,24H,25C,26O,27O,28H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2389731847877283,1.353592993268481,2.0564219676662314,2.4483007266711807,2.6578141956221195,3.2121503786111325,2.885710291068703,4.113535165687494,4.064398974880947,5.2682620150081965,3.7603915472385383,2.909979608232778,4.654645718699267,3.6703732257817805,4.021025307073283,4.75095931757672,5.509687823721225
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2780557562342962,3.176437731509468,2.791738594058032,2.637518040221177,3.2331159351417718,2.9323196208183027,4.286491652987784,3.607331553946634,4.8215714644721945,2.944765022483725,1.96430658185617,3.706435192493532,4.232340865935783,4.852786309298031,5.0673413812570125,5.940466264688612
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0195123006319187,1.4533956837564563,2.085512276685649,2.530503628754699,2.5009492456718294,3.2123564904258433,3.7131926769765657,4.818817321851381,3.8219003291522973,3.2463237816012938,4.81268875485079,2.398906022884477,2.6922515880609224,3.59308432433151,4.2726848450276655
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1338005386656724,2.854759969047033,3.253602584387661,3.2253267027982933,3.6925758426926927,4.578027553090148,5.607489960234712,4.807655211053057,4.263969986517933,5.804226229242205,2.4594127266045356,2.257663016853306,3.789881834136396,4.269579598435421
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096404688109656,1.5674389312523107,2.1649481863164604,2.2158572515966037,2.617215762133633,3.6168434148261976,2.987284021868727,2.7738645188830207,3.966457209792214,1.5208380655534104,2.431018777552597,2.3671124308412423,3.206584304200278
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1762730432351547,2.847435159311698,2.9570661830224805,2.586425717664353,3.6150693235906,2.5481280543883975,2.3251512485209345,3.426413137279282,2.1263909185941112,3.1314876345484106,2.57020430848306,3.4747326391230966
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095421913410357,1.0920403772891303,1.5362523236776027,2.415788964880655,2.4362091361615783,2.5748720869903563,3.3629564208652885,2.539782795052841,3.475713622786728,2.9407611604819164,3.795745686393945
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7666822585248212,2.1492660552493925,3.0444900946189493,2.7708859198900497,2.6612826718010085,3.6764744083665626,3.2927929897795125,4.006957405377143,3.937558875279661,4.74506036820839
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1224736372133925,2.4927519012806942,3.319447255825266,3.6215315579133125,4.141829404289498,2.546577360923394,3.365871340560565,2.734582193435584,3.4155354669395903
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2233614818246354,1.3628701716780225,2.07752389134072,2.03611486023659,3.6074238876569034,4.723907841722286,3.5392390133645506,4.458852661680105
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2844843289146355,3.1839737717753533,2.516182561860562,4.290066976118373,5.4079469823107384,3.897922712039421,4.701751033770046
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019564353360892,1.010595318350199,4.242863165047709,5.3522513456200915,4.297429001472729,5.267981348355427
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7576130650534196,4.2061082948288915,5.199132822789128,4.544044959772875,5.515655225147642
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.150495313969784,6.2938791429992715,5.045351870477866,5.9970490195741375
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2129772327323693,1.3454911903584816,1.8787139006049502
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2558611820317265,2.3031515785634555
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763074392625912
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
