,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30C,31H,32C,33H,34C,35H,36C,37H,38C,39O,40H,41C,42O,43O,44H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.396874158908356,4.2980063577600145,2.151970096743485,2.4728703245943544,3.874806224490873,4.961882316106648,3.4031284535728816,4.3001304065334205,4.309279852030651,4.383797908760053,5.497831728490848,5.706928042255114,6.725002682606837,6.612860016111046,7.55543715691315,7.871548184026597,8.513523200341105,7.113027144274301,7.14581491030201,7.450927828559415,7.0917447040632045,7.348502385001796,7.169343602359048,7.4879067365467025,7.10736941618606,7.37407424988256,7.141990831910946,7.526231457079583,7.700632806168942,7.741041378195126,7.802143479337807,8.842108427656322,9.491684601493425
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086648687797138,2.785885535135775,3.8732666426915823,1.3964880623906955,2.1492091193873146,2.4191385197196458,3.4063117884667875,3.5722153124275082,3.5841690568700084,4.291748349234307,4.779146043763068,5.185358016185913,5.144906113415706,5.357095234660784,5.704429305332811,6.306722155801438,4.4120331571213605,4.149933251576739,4.64700204489239,4.3748087809549,4.993438850419332,3.8632153533340747,4.182120986353179,4.0978691136341885,4.558053258745785,3.8263392899980144,4.221259676555449,4.558901454341103,6.594498769769042,7.034202060166374,7.544373485760807,8.385009139139296
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.872513216762379,4.959903749216182,2.151228948426038,2.4647970679886866,3.400466702209629,4.299692033563262,3.4556585833346998,3.6332999434785864,3.831115019087288,4.300753938285791,4.613666130821655,4.717973939416156,4.542379382180616,4.805890137807408,5.508766293705467,3.5355423412440254,3.107348189548706,3.572741873641187,3.713903477219379,4.4838751508686725,2.886804390933546,3.2288746596706583,3.5284752753110697,4.208644382403408,3.1121323021094933,3.7190100155540873,4.227071047990505,6.047596988850658,6.52919717507317,6.97627589316576,7.825799449295114
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874033688330806,2.414141705567939,3.404914438056865,1.3975334541852127,2.1586685806075576,5.070200623675246,4.768802732794854,6.234395918220484,6.698640472439088,7.2160810192053875,6.9322395339153555,7.756846089936009,8.220504822118546,8.643899905200824,6.933947250242462,6.88360622244261,7.41838390214761,6.599438136471317,6.929298471237536,6.523044875397914,6.807179723114735,6.212718547605652,6.266262539810948,6.166709092696706,6.220364609447418,6.235191095298803,8.489344899123207,8.828695619151041,9.428175344579113,10.217557928456001
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.401625719129322,4.307965590169189,2.158851560947651,2.488564191649053,5.912134239720126,5.551063037783212,7.144135885372536,7.5924074714475065,8.13055845915231,7.790946977736339,8.755962058518735,9.244110059433597,9.621871213957109,7.967220464276582,7.961138067533337,8.502471799891252,7.571609542255715,7.827932553663374,7.587389432714928,7.863110029225859,7.167238169548687,7.124473049571365,7.170160783222883,7.148881916907027,7.086519374368198,9.349722290980415,9.65553551897895,10.275045870764421,11.04092156854582
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872099024357869,1.3957961122634903,2.1591804043247596,4.695939072061529,4.409951140463818,5.495708527462348,6.0847332451065235,6.222555850319782,6.008991073069766,6.3069250599797755,6.768522234918389,7.152317915284643,5.171858749875003,4.915181191386987,5.571185397206727,4.8098227160213485,5.393111895740361,4.286915656711776,4.548829559007939,4.157573526066107,4.330580643928277,3.853901798582748,3.8292888602411095,3.954654648656021,7.685534415083684,8.234325501343767,8.51205113973169,9.399308964148918
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1622517199856413,2.497870890365694,5.328030936594442,4.99157737907321,5.959673660504504,6.60022370878782,6.498375736446615,6.272587297218079,6.342628125379689,6.822586243144879,7.105627422520475,5.037897842696116,4.6794539930066215,5.423729388288348,4.570424422711802,5.243939532898836,3.796462131742111,4.004770938113974,3.653902742950355,3.7666969908238097,3.1717842072659583,2.872074926581961,2.9647796497584995,8.009146549835053,8.662657171643152,8.728477106193468,9.653178692911483
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873549134258327,5.344689636640766,4.942325514520681,6.362174194904978,6.935256432934384,7.166772727652525,6.8515124849762055,7.4540853193578975,7.961793108922997,8.287258427311237,6.410549154960166,6.267492913368689,6.914277394165866,5.947265035525972,6.3760093872771195,5.6764481252418575,5.928590344443628,5.311017189841611,5.292352987099733,5.154267527466263,5.011101974042126,4.968881868152017,8.568512275646963,9.061256678625154,9.40756077659872,10.269372213910302
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.328214411546659,5.81531136784321,7.342167582043524,7.961871825875777,8.05274948042846,7.663000312589778,8.274638859237763,8.831844324466465,9.04611295624286,7.144369473902133,6.99664330994266,7.708909260840216,6.539238451071589,6.940578479430154,6.259249760518474,6.473278811408525,5.733117095034971,5.542166275779981,5.567989951251797,5.188652772948162,4.995564159032396,9.477682014521708,10.032054837473817,10.241615364999989,11.12646268355796
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246141115213698,1.3703180675401572,2.0242330167118627,2.453043870885413,2.4737842403378574,3.5764236091905444,4.017353063974364,4.441525194716635,3.7294768066245125,4.362614514754882,4.653316533197629,4.012025702793249,4.0464657369879005,5.127008404235421,5.87650555844501,4.822082571689888,5.3870397240526025,5.324372160010288,6.404108081712608,6.673742232020366,3.472750276761273,3.774485316553797,4.551651551877961,5.245610305041358
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.292549953331624,3.143858308790233,2.8228071285003367,2.334832917251597,3.89397775875064,4.597658228582033,4.593112372085313,3.8279329577619006,4.649218355656421,5.184859622019294,3.6655563859058065,3.4937991474932453,5.233532525532445,6.088783520969481,4.367510823050928,4.711329926807062,5.104447234246699,6.113201734839034,6.2080739599811015,3.9364547466957935,4.480804992507529,4.743495333260399,5.5170599390565895
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016983285964111,1.4449787193647428,2.049400233160459,2.512525164095557,2.7686053459720905,3.4188588670042437,3.0758154777571067,3.7405675666143376,3.8309186080659194,3.7612149035902216,3.8683186215079526,4.803285222189183,5.554004529300895,4.812860995589943,5.55760428112474,5.257376118358643,6.488085714924677,6.872835756300464,2.4244505809740136,2.7456060563749576,3.6168656538897617,4.294440661738954
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127108011528846,2.935747430856673,3.0343934080213275,2.9274024942291996,3.9395128448968695,3.7543141752355504,4.193148754689176,4.0204373424708075,4.636945930153872,4.816376025680028,5.315623707646445,5.934057205133267,5.668845314028505,6.477647638691393,5.960360576120995,7.1735281543242655,7.643887600181438,2.595072535872052,2.4699431163877588,3.9235216029914093,4.425480756580062
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0952005962558722,1.5565376366225223,2.1711981026765192,2.1570846349618447,2.5715021636056323,3.6406880028109545,3.855383279020681,3.183868011950135,3.0531955933624233,4.824264609586538,5.716851865438914,4.481222539288563,5.186728920980091,5.1655157889350765,6.495366114227162,6.805229382840754,1.5260553504876258,2.4382212450520324,2.384907915015549,3.2171383566829603
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.172970276649208,3.0686841273823253,2.5054822202286475,2.7905092234604374,4.043768925420357,4.505829387804324,2.8831132454335213,2.436647750587952,5.035932813902455,6.022433891615511,4.148171674242545,4.656743238861228,5.076000458600792,6.353538817914956,6.5095182111913426,2.1393208827612678,3.153968317757511,2.5894542654621446,3.4916150857393
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097428496881084,1.0971187318289,1.5138828969558928,2.539842528722897,2.7402208139739423,2.5380352144944074,2.7468764084458255,3.830056820417946,4.706723095939178,3.8247829709926133,4.691883156832959,4.333163921179278,5.703316962565253,6.11185720015279,2.5229455767141267,3.44312366429456,2.956079062606759,3.8042198198536905
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7613406796519282,2.1481078226230452,2.614956738469202,2.3558315243606605,3.4306590506759864,3.8003432761714637,4.0076258752388485,4.694179435760462,4.58261219888034,5.543723484128539,4.814369490128832,6.150503990011331,6.69150953130963,2.7599494020967987,3.367536373270776,3.353324433849143,4.019822648255109
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.156725132937114,3.2647942145703728,3.513627879444036,2.832703477290343,2.77572972006502,4.464198766720385,5.370552520701172,4.15354212198202,4.90157091177787,4.822157144359897,6.17537261236731,6.497769061168384,2.6709545121678087,3.7248492357608547,2.5627755514185093,3.3975554164404205
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4011838651651016,2.1544949399724334,1.4012787788830863,2.160047491665155,2.4410934159495015,3.4287184662226307,2.4359691792805425,3.4185488512384357,2.8193062634669293,4.189533697432461,4.617472635252503,3.892716629969131,4.799598735386025,4.322343173658541,5.231438540087845
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879477690365995,2.399796471634108,3.3920580958427258,1.394851957772786,2.1679129053968356,2.77996353785099,3.8687517478995597,2.4131143512920183,3.6477666573885714,4.3287841832655145,4.911149796098607,5.625824367651486,5.492964977358987,6.337399226335663
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.389016864802189,4.297412081340499,2.144991525494679,2.4871579064779836,3.8678772807028445,4.956674937127634,3.3941033913112166,4.512597247747897,5.2805775887248805,4.919502716966089,5.448928747486841,5.605262709465282,6.346632964304508
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872619999763766,2.7869711568351057,3.872761078950656,1.3928162048255541,2.1545347500850727,2.416593325442525,3.68779026680833,3.8327322313127725,4.554544961482073,5.59406049542455,4.776546322781025,5.746001925258029
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.874092943724404,4.9598090863480815,2.139594709224052,2.459857847716282,3.3939662021914936,4.56413602668468,4.535426302801168,4.269652390776821,5.397061072076028,4.282956705550133,5.253792779668028
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0858612934847154,2.4189344208437844,3.4070380518641796,1.3978612898536544,2.36957561197888,3.176827414424186,6.194481958213813,6.936304210242009,6.743841674152158,7.62801312029827
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.397810403764876,4.297045041529502,2.1471236554297417,2.576957923459976,3.5235988313165256,7.040363898311753,7.682742208755501,7.656966302579953,8.505145326988439
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0888303536717754,1.3988797594816114,2.4293761047420572,2.4502986371564184,5.908923257050598,6.905626986079974,6.166112229995486,7.137063412849074
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1609100140326567,2.6912916776671856,2.292593833621486,6.5785605198812265,7.6213860272870155,6.725980328615509,7.70017742653072
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3711296418820138,1.9176950036185203,6.6166786590607485,7.493136488002432,7.030106209173497,7.975142670478137
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9703230515858239,7.966062529300179,8.826206735607641,8.382477035367314,9.333449570312506
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.279145694342597,9.203009088309008,8.607938477729268,9.576350687901103
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2119983029508032,1.3534734285186745,1.878193323787901
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253575992814978,2.2857897370798588
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765735317554508
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
