 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,C25,H26,H27,C28,H29,H30,H31,C32,H33,H34,H35,C36,O37,O38,H39
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09025123527353773,0.024591481642922353,0.00017566155495085667,0.0006145607537320075,0.0013048227853926786,0.0007124006934160487,0.00025461086154388024,0.0002737773347247785,0.0005629283265420337,5.221251301446017e-05,1.396253575713935e-05,1.005253382801996e-05,1.2909953130968432e-06,1.9358570781946582e-06,7.217387667513009e-07,7.739067853229642e-08,8.945544642813275e-07,4.9881075270263864e-08,1.2939650306798e-07,1.3465913162313825e-07,3.3845293556655776e-07,1.715044994909931e-08,1.1731240645573848e-08,9.401096723316016e-08,0.00011122242863037535,0.00030367682800280793,2.5546323820124783e-05,4.366588981286057e-06
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7859940239859315,0.09886881638022793,0.09333536667236642,0.0901300074824466,0.003768917065247346,0.000910688735220079,0.0023515014145959537,0.0022929403758433775,0.0003376656310015991,6.414755744299505e-05,3.484396555240854e-05,3.906877563908395e-06,1.2754772958187277e-05,1.7514749962588283e-06,9.012146879872063e-07,7.097753500800996e-06,7.485098983961436e-07,1.3224664419109189e-06,6.624933559518098e-07,2.7399321938029186e-06,1.5934176722520732e-07,1.2800943949287102e-07,2.1525785930398555e-06,0.000904674201967326,0.002432385563027724,0.0001904339825244336,4.8939516031576424e-05
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0917894230280134,1.819631828646886,1.941721459412036,0.00031271648439257227,0.00010249186175720348,0.00014753668400726422,8.994017978847246e-05,0.00024029304470984947,5.777916573945774e-05,1.996294772778351e-05,3.5258175422603344e-06,2.4886999464429627e-06,5.180618171118923e-07,2.3997418696630746e-07,2.7977248352878403e-06,4.672647376802175e-07,4.7071839004431126e-07,3.6815613380092316e-07,2.020084410261913e-06,5.875098709751114e-07,2.9699492309909203e-08,9.24688928094497e-07,0.0013470973826117116,0.005693520034416685,0.00025000776593996077,2.9670718818874953e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025036409000296134,0.024616360554809535,6.0940860199698577e-05,1.545704473460141e-05,3.109837688874961e-05,7.386321815516794e-06,4.9452613148925906e-06,3.8046818229275914e-07,5.67269631712719e-07,8.100863313487139e-09,2.035327129057407e-07,5.1060975003736075e-08,1.1243203479338604e-08,1.3983298918773812e-07,1.3102336549053462e-08,1.5359880700671624e-08,3.2037694719377896e-09,2.629221662608927e-08,1.7463692714159151e-09,3.8391068102328063e-10,1.922122105924018e-08,2.0479740254319978e-05,0.0001510107339124378,1.7438211477038834e-06,1.1115487541513147e-06
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026602117731919783,7.554680999755092e-05,4.347383186742437e-05,0.00021475140548954386,3.164721420878536e-05,0.0007671243422402441,0.00010973283091497699,3.109049924998608e-05,6.085257682864054e-06,6.193782211338927e-06,4.4121109832317984e-07,8.331088396928976e-08,5.3229502134932716e-06,1.1084303936925721e-06,1.0335466780198033e-06,4.023803139574511e-07,3.245689165320975e-06,8.205641581771062e-07,1.558933249157235e-08,1.11290447524226e-06,0.002719978142328383,0.017552941588726223,0.00037475673765885453,0.0001612092508946894
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.210860110576142e-05,8.70000142538796e-06,9.37716523674581e-06,1.0890811545705148e-05,5.26486635643586e-06,9.495470494336189e-07,1.691099159373266e-06,1.2633458190691726e-07,1.6297377447571648e-07,3.405366988395997e-08,2.4619427829719598e-08,2.7954562553667017e-07,6.568758048608458e-08,3.808569659646821e-08,2.8954080910637003e-08,4.7797756086431775e-08,1.7416955655491506e-08,1.9988499744272303e-09,2.334309479046226e-08,6.741248285435653e-05,0.00017746651919969825,1.2859149556954108e-05,6.57776777934771e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.880685901631999,3.5344364383768014,0.13514562759391335,0.2675020424408602,0.016547420689441372,0.029955379211452887,0.0009495205208891466,0.004561240838764552,0.0017791126197308493,0.00035792564550773953,0.00560066203400883,0.0009998115279949982,0.00019384448353920725,0.0001976302867370272,0.0005297541539382722,3.220433446893267e-05,3.872583783270933e-05,0.00022239304443472108,0.046719008822908525,0.00961781823321571,0.006410718966637197,0.000883028955271925
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5326822713886454,0.029361105790252084,0.07226769942797964,0.025015316090747586,0.00864416964728354,0.0009544204264622103,0.003055416315007886,0.0016000299124353523,0.0005331839227031843,0.0011090839089953064,9.06766710714324e-05,0.00016297881314863982,0.00013542197793547928,0.00028147461286025244,2.0937839040446882e-05,9.957881482169917e-06,4.8159610674280984e-05,0.032743391423942544,0.005589446523646506,0.0041715383578304205,0.0005823455868226857
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8974981533789617,2.6135363958536733,0.09974583794324621,0.1728108466229929,0.009616558200371661,0.03056030666022702,0.019482124074791107,0.002571365443187812,0.029244444886029494,0.0038627061214102643,0.0004786755608769955,0.0008283118376286591,0.003328911277893226,0.00023576279222647933,0.00034325473289231745,0.0010625059479929533,0.19849662621889458,0.03439207089798116,0.02729004794818403,0.004750093933933552
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0970277521928059,0.02693251404643715,0.017406246475334952,0.007912421512754397,0.005832070777155085,0.005625690988231291,0.0005827036096237581,0.0010535743973653089,6.275972737612712e-05,3.301325071936034e-05,0.0007924249118353988,0.0004902578593234397,1.928000292306109e-05,0.0003030066045583979,7.496926023509154e-05,0.004479033600656157,0.0027105801190131507,0.0010750084932540371,0.00046772478263146233
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.935552617765752,2.620971872360556,0.08365213257805815,0.15211729288856599,0.006588006157456361,0.02789565196740873,0.16488785595590785,0.029822516785691366,0.0050989649952017935,0.010213068686581783,0.02089329163288095,0.0022047536525429123,0.0004706261394136213,0.007923981709704986,2.6386184775974453,0.26772120273903766,0.2130042555032877,0.05407746983423978
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07863226715520644,0.03374513884977515,0.007767778163337513,0.0001272580747766483,0.0009009262096979498,0.006526130361334315,0.0002478903419753653,7.19309210561736e-05,0.0031955049000362834,0.011369251832311411,0.0007727279734448533,4.967611674056016e-05,0.010418929997669357,0.10168279467298746,0.02276268299415196,0.014350089482149442,0.0010611385338925583
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9885679705134214,2.759835952962411,0.08812795680619057,0.09342207909394062,2.5299204486718376,0.0909719138393481,0.08856172098796944,0.08301332949128093,0.14549400863961698,0.029844805506756167,0.006623257498191926,0.006374195801596372,0.18216927517958414,0.03741782977858055,0.022878232819405403,0.002446123302335068
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08587130753285366,0.005411052833463659,0.004847048065136805,0.08383021060779883,0.0032466234436401287,0.006363651217945465,0.03311342219009905,0.027856724632556062,0.0007178013020949781,0.0005266887929455955,0.00041176099034245794,0.009249888513367832,0.004905908937823278,0.001319944722877442,3.778047918046035e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7385156610277555,1.9879392061303434,0.16592631031341473,0.01341356904818558,0.030581558621801896,0.005165084986581858,2.7821244946691435,0.09093887885383078,0.08434688162705184,0.08233593260282435,0.03124246964630953,0.007162521738580646,0.0036421210630753625,0.0010542109750961703
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023037221928189577,0.029651665544192074,0.0008985087037807205,0.0017883579430493235,0.0003299302202348642,0.08734460557370838,0.004737861470850646,0.03323140474688868,0.004979438972928518,0.0010777461839375224,0.00012137304105686031,0.00014147308810552595,3.1656956920311785e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010659839075867872,0.006033133274228053,0.0004923861319117151,7.470196829140185e-05,0.08214976009710195,0.005108067404763217,0.004453265429064324,0.03357314332512251,0.0040550270973160885,0.001299063140586143,0.0006946295702170424,6.956216728593034e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9602337184425465,1.9889581021615117,2.1235501652985604,0.020712883208836644,0.001959734951075154,0.008979066677059944,0.00040043360746588874,0.02553718718243539,0.004791817853703015,0.019286338910224632,0.000877792061345195
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025006714990884138,0.024242002606875923,0.000789661209803505,0.00010888268138287138,0.00017284399713268783,0.00013952470059752642,0.0019485662830349693,0.0005253146942257869,0.0020946161635841953,0.00018444257007166343
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024007501770969775,0.002507217110263804,4.565178713944462e-06,0.0006008610271563963,7.285046007687868e-05,0.01350570312116961,0.0005858511807222966,0.010268265978091273,0.0004617583483026433
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007403368233042995,0.0004331960533223711,0.007984375156957269,4.798264697480903e-05,0.0013461113809516423,0.0004532770032542599,0.0028218980201306643,0.00010001282332905426
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0775113823291433,1.7613961834652028,2.0610009006320196,0.0029382322470163924,0.0014893649304075496,0.00036216161920932244,4.9726940625771654e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023778032983392317,0.02388312516789104,0.00043276836117067674,0.0002903247211143434,4.797916987486772e-05,5.543134690366713e-06
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023876856437938798,4.9853357021900635e-05,2.8726701030934443e-05,1.4233943838926066e-05,2.5507184628903445e-06
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007094481542084807,0.0007678240905344413,0.00012991748620638788,7.191036615283863e-06
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.012534921819783,3.4993477659041154,0.1717942270308629
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5217492531122355,0.06692863023907958
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7363750803621876
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
