 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,O23,H24,C25,O26,O27,H28
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967485700105114,0.02898203902467822,0.01267944592982806,0.00260983750306365,0.00041469431717078287,0.04839615482088677,0.0003875727909969928,0.005499216040072752,0.0006946745875079374,0.00041511944780725507,4.6007897716249246e-05
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9120609417793832,2.542322883915826,0.0985446673651107,0.09728777955751311,0.21281071136585689,0.011146040966886206,2.7079905449936743,0.2592335835729793,0.20909120171070658,0.055894288020373994
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09214435747893057,0.0026954657334092857,0.003962099696317889,0.0250297762922449,0.0005809318634317773,0.10710415895361591,0.02440070093954405,0.010980012714498444,0.0010087127590419076
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0369735654753143,2.0971525606859953,3.04340414153049,0.11145740923875536,0.1782338210846622,0.035214811205437596,0.026798648719332005,0.004703385859357034
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02683252589943108,0.10952144758090498,0.009535951309670443,0.009699119903245457,0.003734120423440457,0.0009069204114422469,5.962208566367977e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10028600721006709,0.0315772164377488,0.027575788756922348,0.004088501201784167,0.0037664920620914533,0.0016098046560435453
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7421631627722873,0.02209320910303772,0.05420724800773381,0.004423756912743881,0.0014644507025725062
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02770650330720259,0.14381654305820302,0.006196871066592391,0.0003060555813318988
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.133157175761213,3.2632548578174605,0.16716564742805995
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5209821698120708,0.06547084192286956
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.787349620215155
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
