,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26H,27C,28O,29O,30H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3952904142471336,4.29608150270749,2.156170994739543,2.478627957651127,3.875289315985104,4.962572512520708,3.40576800393435,4.304595549499459,3.151054701258001,3.121637235672249,3.6897300215974953,4.1163251187028385,4.1434344044283415,3.5382154353725186,4.807530816544108,5.215218712240356,5.633578440372499,6.020848121398142,6.7529201060620885
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0886554446657966,2.785519130012636,3.8729346722894933,1.3961390756154735,2.1541953615358027,2.4199233658814787,3.4060295964467646,4.026622994179592,4.906650152018017,4.1471923496462715,3.7354147712733354,5.22318501403727,5.206854422498179,6.139737918111016,5.6855154591812855,5.355377388854764,6.870161227903183,7.270265799093505
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8741201720199028,4.961518519404137,2.153823943353783,2.4754384116622794,3.403965683950642,4.302026879065441,4.375782173170136,5.352170317973177,4.542554950434782,4.016720780993259,5.773510825180353,5.927423702263536,6.627093287917526,6.192539672260749,5.728994969581272,7.455189109769496,7.814967306688328
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874511583060722,2.4136848603778507,3.401280143693744,1.3966489496909618,2.1592351160597087,4.441066498721725,4.838396423666087,4.4113159164779505,4.405542673049413,4.785193728438271,4.200612301067482,5.7388936397331465,5.295826640149065,5.403291174670124,6.077431000336173,6.559537880737715
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.401262669933933,4.303066985865609,2.157651272394569,2.489330374917883,5.029032388362727,5.227958133290722,4.956618505993873,5.077214926575261,5.042195910110695,4.263665014194627,5.941949857137853,5.535657010856141,5.803324716940614,6.0998296796823785,6.594699838673984
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087312911265284,1.3968843748601598,2.158906029354908,4.985681539212072,5.8297638284540545,4.831668928709094,4.34673409286268,5.648826033518323,5.5038177019982975,6.673971627222278,5.850196004613785,5.45156479576727,6.906373104200277,7.184349710749811
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158039971872469,2.489109365234083,5.868374964885656,6.79559791213197,5.611441477962492,4.985407654823643,6.440628172675873,6.381192519120155,7.482728499585844,6.4538370458739065,5.882655598916376,7.509182370625937,7.667553833068133
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870914815763473,5.162757263201071,5.804881029394743,4.950636857992517,4.653403425067388,5.453539592219241,5.057162001615889,6.495437557546585,5.6657124781418,5.47663045606831,6.524732176583588,6.833831782531237
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.134031572006108,6.756401166391602,5.792075797328402,5.455292098639143,6.1320794830072005,5.683295969980304,7.195997640593242,6.152297660353554,5.922828707753783,6.872879977982985,7.072380253534481
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2306115793224204,1.359486153822288,2.077459519087771,2.443590489434375,2.7732230368060984,2.771556743031161,3.704938764450638,4.067158268945617,4.789964298359434,5.552881701395674
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2689539651800144,3.177940368767857,2.773844596086435,2.8181626836052844,2.773019503418209,4.24865337621691,4.879545661296307,5.089861049752444,5.967888611616394
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0127422564130246,1.4441653261651244,2.1147809539353553,2.10540038296721,2.411734175068607,2.710412730657377,3.6072404766534096,4.285209167063121
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.10037299825442,2.8016517261592973,2.8828202008848898,2.455806277172285,2.2692265645696312,3.7892600290205682,4.269663502961561
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0992293009268312,1.0970653780065869,1.5135077418958816,2.421847654997902,2.3661113698889693,3.201213491278677
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7541994892643558,2.140747866349795,3.112321268090494,2.6318020711213626,3.5129612080598016
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.146317684520989,3.139012329654819,2.6122086150580763,3.5072654015100304
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2124498280497247,1.3478613089400353,1.8764860604520848
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2570298548882652,2.2981797369491526
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763977417615269
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
