 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,H26,C27,O28,O29,H30
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028336297072529604,0.0015085288899157057,0.12832190107850527,0.0082390280762763,0.003867026443813426,0.0005126879463197564,0.02687926824604936,0.0012391722374534009,0.003952960432794139,0.005954792810240028,0.0007724029275291144,8.69563529293238e-06,0.00015281313690240772,0.00032702368847736807,4.016645382498574e-05,6.116560002267235e-06,9.559612974552323e-06,2.667439722103815e-06,1.7642186755928435e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9965527551874913,0.3164527825108452,0.0035796917636934378,3.703569533494772,0.12968766358780104,0.3315271759622671,0.027332476696420915,0.0028436941195498777,0.0009046034900699884,0.0013589461851186702,0.002094271945290327,0.0002297229149441915,8.113461534486888e-05,6.324940736546214e-05,1.3290996672771227e-05,1.4079770533179103e-05,3.5904172609318996e-06,2.1633188341807497e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038820896022775386,0.0005349732016981523,0.1274453008734875,0.008249485301583093,0.02711593865745121,0.0012414500594539746,0.00012983957953860426,0.00011967127672662947,1.1823323347481818e-05,1.4540854069933218e-05,1.9170355676223494e-06,8.98895569978464e-07,6.179986331567022e-07,6.354984802836583e-07,3.9418648078992646e-07,1.0543909823024222e-07,4.440862433341408e-08
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00197077417585,0.3331695568691616,0.027377342336738497,3.8589287290312786,0.12796359529690915,0.0012882034517808227,0.0009332661004060605,0.0007709663982235632,8.995027091140972e-05,0.0004101470701419613,0.0006964936168065705,2.0396376184228515e-05,1.527722900551698e-05,4.477394570975846e-06,3.533325638335749e-06,4.617937028328356e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027441474630534923,0.0013653030781288766,0.1246994159315602,0.008018040047095054,4.31023271900699e-05,1.4695017277577271e-05,7.278389509091099e-06,1.4287640610621821e-06,5.153950734415602e-06,6.816203196979842e-06,5.550434076795341e-07,5.253506183411361e-07,2.3577383667650054e-07,9.741900386384117e-08,9.928763144984032e-09
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.992751094090273,3.844704515157015,0.12833968017028385,0.0016439472258520105,0.0006552690703999636,0.00040250021649207435,0.00022969767220193393,0.00016890140214206872,0.00022110142156595014,1.5309880634362116e-05,7.173878531496758e-06,6.7718330036548036e-06,1.2048392563912547e-06,3.0188966204658385e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12481623060517766,0.008014876684786065,4.185371075493549e-06,7.3741133510552e-06,1.7949533892558378e-06,3.103164587070495e-06,5.562229781208572e-07,1.025092046802456e-07,2.9344698004862835e-08,4.6688102717240554e-08,3.81519393855001e-08,4.9339616836618916e-09,2.522635433876985e-10
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0310262380094875,0.0013095398634090927,0.00017661016147786646,0.0005272001077527427,0.00017785113963508792,0.00010909781079160297,4.4841930182504264e-05,1.797936409408951e-05,1.0011014998284606e-05,2.065134143351688e-06,2.9005017299493785e-06,2.021765040938206e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.560933317474756e-05,2.143904719542622e-05,1.0665571827939146e-06,2.6210109616009447e-07,3.960170789074624e-07,1.694651730055341e-07,1.3712131452514598e-07,3.335302656282124e-08,4.81497351989546e-08,9.591433980382646e-09,1.5170034117772957e-09
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.597587778811896,3.1891780655377717,0.13346359935780372,0.2737649079050395,0.026037113163565717,0.021437160720279902,0.0291662730580331,0.0061075805309394465,0.005852512126919854,0.0011658328229721127
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5376427097228922,0.026343998814279068,0.0785256502382338,0.019215390187513837,0.01939707760880549,0.008162953150644775,0.0040116540558559,0.0010239583250728213,0.00020204653512312376
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8135327202207923,2.824150212285476,0.10683067354948439,0.10540949760672991,0.1898495719145339,0.052394650220439036,0.027838323561974673,0.005204528690762267
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09603440428228327,0.00945341115260101,0.01683385408943905,0.031513789119757996,0.07234455815185836,0.005205408283640023,0.00016034674655829306
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9551573862108267,2.012796855149566,2.5520650422372264,0.28447948487153146,0.22798640659339886,0.055044208615194434
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023599694378802383,0.12612280995156233,0.03585760911234215,0.011737506400060438,0.00035214958388762874
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12279501944446203,0.03469908751743633,0.01147127016603644,0.000513061697617001
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6692248446302935,3.3745691591259526,0.1706887381552662
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49739025257840036,0.06365428335625267
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5396041927665336
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
