 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,H20,H21,S22,C23,H24,H25,H26,C27,O28,O29,H30
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5452326919223329,0.02596230507496622,0.06989807568636647,0.03288920661319594,0.020703128215618982,0.015907603449949792,0.0006536976886023504,0.0026559611008824535,0.00019371817682334314,6.57841036770801e-05,0.000750420885470289,0.00024033265771718215,4.732006807839362e-06,1.99086063124021e-06,4.095766598488648e-05,0.009092741339569638,0.0042229640067485835,0.0012255999605805118,0.0002981765442799933
N12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.829421935589612,2.8682792929539223,0.09881775411483129,0.19551380052651032,0.010899294420731342,0.006053681781995612,0.031701832917884254,0.0004443196544310357,0.0008482444624480223,0.006374135839868553,0.0016797978247457962,3.883224612288849e-05,2.9429442457873378e-05,0.00032584872638397044,0.19979674261790156,0.058139759345323755,0.027706774394188616,0.0054391696643009135
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0968482229645764,0.021373997088922403,0.006381498029914834,0.00022447979957851416,0.0007533925751637138,0.001275364619388264,2.9166413517023315e-05,0.000215535011024226,0.0004400905171454417,6.38566176460742e-05,1.0215813468494872e-06,2.8767762272341457e-06,1.9398971565998124e-05,0.03235832825621643,0.07377362825923728,0.005203470421018208,0.00015637520819899997
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0211326326144246,2.755655729206237,0.0969183742663986,0.0820757378666439,0.1612194915630399,0.005352705118338852,0.008477082673230774,0.04073621026152768,0.0071219507681994365,9.577708214369984e-05,9.872497127827451e-05,0.0011918502923116137,2.790851504550988,0.2757827056531232,0.21570905314827415,0.05396215944032601
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07723551709709364,0.004446813125647875,0.031975136537953475,0.009895625344772618,0.00016642384975762425,0.005275006236240554,0.002081276863294179,9.312714260922839e-05,6.734844091083048e-06,2.8240520959510462e-05,3.267699388720402e-05,0.1099707548172062,0.0272903076408334,0.010891187477012898,0.0009579532317864903
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0339027402346535,2.016627236209082,2.8191177640107217,0.08395311921343906,0.08409865744282974,0.1973269779588494,0.03362534504745113,0.000817377624989124,0.0007914051361370689,0.004233082420058931,0.19093604651014306,0.04288495200991008,0.022128956145413048,0.0016869457155724854
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024195661605331598,0.0859148557639633,0.03376694899200494,0.005021362993414158,0.018808095027396332,0.001499681601963121,0.0004751489944379017,1.8653971465054653e-05,8.662103527923293e-05,0.027665533584586344,0.005447754876030886,0.0028546051280671225,0.0008028977595857523
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08137951195345106,0.004801101781131356,0.03438845287491277,0.017520653923952634,0.0012508814676827074,1.5446117023421024e-05,0.00042714144781941243,8.161789886895754e-05,0.011932235541600944,0.002778900847685839,0.0009667979615640698,0.0001269470123173022
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0317141507210237,2.0124745895475282,2.8388721497918494,0.12219935452580942,0.008692756219705666,0.008423259190824206,0.027084671565146268,0.012781621632659085,0.0033669117919865738,0.02114332664912115,0.0010708726284469616
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023611201091021883,0.0892477413463294,0.008262679133183903,0.004266923040256776,0.0008596937491416323,0.00038868323283014483,0.005156864283632379,0.0011783499013136023,0.027925282470219304,0.0008684244859249457
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09380707798046328,0.007452618944520317,0.0009011839472792271,0.004055928529362873,0.0003193370283105512,0.0006615854010707523,0.00012110657823682924,0.0004948432033018424,3.1455213681752525e-05
S22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8807381010331548,0.09975224503178848,0.09821639271283511,0.09619482181969663,0.004056673559596893,0.001431127130204199,0.003863197636230574,0.0004991224839322461
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.108606341145536,1.9888753267657142,2.091413753795427,0.0004808595730946552,0.00021590552348010883,0.00022817664543822724,1.5877426660537708e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023532437329324862,0.025172717160381497,3.445802042145729e-05,8.553381809828231e-06,9.091009671569061e-05,9.419361615803368e-06
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02521122509478846,1.946849946299345e-05,5.732174793937617e-06,6.646976916324654e-06,4.507880555504329e-07
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9998982360577315e-05,2.8144000542407177e-05,1.437623131084198e-05,3.5047987292369243e-06
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081984446044827,3.495115143087573,0.17450713277512409
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5179166730886058,0.06692245778841532
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8340608984757
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
