,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26C,27H,28H,29N,30H,31C,32N,33H,34H,35N,36H,37H,38C,39O,40O,41H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0935299221036776,1.0969523499328657,3.6548840061739667,4.069702851804814,4.7265287993374425,4.78748822503091,6.0953079482557015,6.2120463218510364,6.98492190503883,7.126800423374224,7.988912998531063,6.8510693395148925,5.92820644701804,7.65104859714765,7.374558525056313,7.761281141159678,8.293853544708423,6.534685804721236,5.543193539365603,7.123465260610941,8.409233460006527,8.927311298432203,9.015063046947677,6.6358225938337565,5.694226412247049,7.169846786546621,6.93274077701774,6.796185036267204,8.107427230857315,8.690934404890545
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.765086791134046,4.447363346792868,4.626545048803904,5.611684263286463,5.771979899991241,6.9247214054656805,6.9507318067229376,7.7431267800403925,7.945335699511127,8.742888790652954,7.437313542808447,6.478642005796097,8.219127798538233,7.820549858842963,8.0913995614757,8.782706317959182,6.9197790272844815,5.985531412234636,7.38641221595547,8.615910895270137,9.162718465456388,9.171016173121352,6.839562236760991,5.944443712166423,7.2496384827088525,7.867951628240543,7.8116009410541185,9.00064635633623,9.631197481456901
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.168191375904066,4.807623985087919,5.0243049491251215,4.8831815885261,6.462920171961273,6.747525245078143,7.26794454126312,7.24489573051814,8.310949217887181,7.188864402064207,6.229968510955998,7.892335748313693,7.8986939546021855,8.272010422656068,8.829384994599645,7.215047872969505,6.2238365856979545,7.932306311357251,9.213390061802972,9.656847000029014,9.880022339603496,7.555934214047097,6.626933848402603,8.147687806806994,7.198910705245629,6.91046441906288,8.451595175259873,8.973350936941701
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2501705852681364,1.3493294424403965,2.0364383808126796,2.4891200442557433,2.589397045156054,3.5261138460676267,3.9200219747238267,4.431241038131391,3.7170423803923596,3.1537294014594828,4.696319808111585,4.277993868841843,5.00741771579021,4.99716880098655,3.565518124567501,2.5601554785572747,4.430427317689704,5.735102575054663,6.137035406629432,6.459829477272605,4.3116572105863415,3.4941282150579975,5.196550515485741,3.559452263841839,3.848976265107287,4.62370281497264,5.35120748662196
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.279915358827329,3.16904459882255,2.867878117439018,2.499574385824955,3.785446273898248,4.453390837985569,4.55335796678021,3.678203159451921,3.209668107034332,4.734482382682759,3.769154674484005,4.447188511433412,4.496879281960724,2.7182794793749245,1.701604708026449,3.352253590636512,4.688959601710973,5.207219941549621,5.350634261921531,3.1025540139919774,2.271699987568029,3.9616547305023424,4.122870476653851,4.683757487124814,4.926251584009558,5.757107436219406
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0162628145132837,1.459043289375271,2.0808648257452877,2.525153749968082,2.752596874268732,3.431204343539265,3.1748992779516665,2.8583489248641496,4.06349743869171,4.064493183704216,4.919231254211421,4.618996379911029,3.74876308300374,2.9314671838022037,4.800572914877495,5.994658062483472,6.236349130038502,6.783298998934007,4.951242253161606,4.293877388787712,5.921294845298337,2.4019295153068225,2.679433384182171,3.5858605962734957,4.274522104991251
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.094459074059573,2.91122209204273,3.0267089640341345,2.896515944195992,3.9083721600533985,3.84997731042899,3.508435121597061,4.584795239040199,4.930108402973559,5.758655808870369,5.449755470437918,4.740512099016113,3.9362759452043106,5.814364094396939,6.994938672371626,7.201521104794972,7.788725342713888,5.948745557171669,5.255502541197477,6.909190113616074,2.4572856473463065,2.2544020146789356,3.7843112866742494,4.2835407724885
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0928542254507934,1.5548528697832253,2.1525702115402043,2.155730897569847,2.649093150005741,2.8752982181277926,3.5347408312388384,3.3801199245558444,4.3969570490810534,3.6232207971777597,3.2850602865426937,2.8004895659292353,4.307950220021075,5.330975007531646,5.478060874611286,6.10351241503201,4.674504862645123,4.258559583004472,5.675117348839151,1.5323504596344655,2.423478172590924,2.3789279685086138,3.2245488385289764
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.194233210125362,3.069571488542252,2.5181004960928695,2.9353864789092516,3.2267753451508785,3.93721960157406,3.1404017199081076,4.202351525235906,3.3002907417400134,2.6906234107486586,2.277467992002932,3.4800775742014043,4.526428423165275,4.81023669066521,5.209634803546748,3.731508182576663,3.374395566031474,4.7115101016405045,2.1460313285441384,3.1696936602178862,2.5535259982430016,3.477316907813854
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970630525924387,1.0967048623794937,1.5399228544749968,2.1843190713395466,2.136925336432936,2.620401296259505,3.522813018219978,2.793875014240978,3.2152506443708453,3.0914034974081637,4.408504335109085,5.172221658308451,5.029161595948961,6.059926589477695,5.174161357092489,4.986976278828227,6.168733310274072,2.5044417594726736,3.3552672580608367,2.993020557059217,3.8205367158107864
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7582915922378235,2.1441991304168844,2.54346626098731,2.3439576747271302,3.511674131154693,4.261258204799728,3.7294242295456956,4.2060756577405005,3.990039240598668,5.44934721449925,6.214817867457688,6.016723157965036,7.124899465125462,6.195815373110512,5.93449139576856,7.1964311726442975,2.6870311998387995,3.189942043154091,3.356942247695374,3.993209384059491
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1696988379334683,3.0837468296026764,2.5242160279550028,2.80879904969671,3.7346635297646142,2.5357372724315397,3.5470681435423166,3.6726624660594815,4.56494729295486,5.114536187945928,4.88252222478759,5.934061494329921,5.416143626072976,5.386022557087917,6.3708921162035805,2.6651695193078004,3.6630270095099045,2.628362833820843,3.43041710025286
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0976824068086286,1.0957831469056254,1.537428398482781,2.1588343303107482,2.1769450238085635,2.4676071226844942,2.551810086903973,3.750991863850354,4.411779934233851,4.152249657113923,5.393931684599083,4.722894071897925,4.661405185405161,5.658400302155655,3.9407653729466596,4.764345506395719,4.417933370863808,5.301888574713397
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7487346304840472,2.165040574448011,2.542790705829564,3.0754763172463635,2.6486527054875535,2.402648489501587,3.9554746018228895,4.7938810723379985,4.660530743709501,5.77828898082536,4.752091185705426,4.5248263220605605,5.672356695333016,4.273821495655867,4.920099058485901,5.008972135779679,5.875833208619907
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1261364245697205,2.343428412706988,2.55162503599166,3.369609854822611,3.5882880944886146,4.579089807945588,5.020525152344764,4.561449512289813,6.010746739084079,5.666947633775288,5.686240544619431,6.558717281671792,4.634356886647353,5.384243735169499,5.035658079077742,5.845758980704348
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098430232466168,1.098977547153193,1.4652093359292118,2.1568680865764356,2.4992683378466922,2.9217431903679563,2.616127810529879,3.9129002638448855,3.696666473861141,3.9339758302691417,4.531964140691266,4.713699478370692,5.726207429168452,4.90039831172013,5.853908389955858
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7780287316512786,2.1047124345051844,2.835453456827408,2.8776632061610203,2.9986207830956637,2.4854516027199103,3.9882755063351394,4.138078179421549,4.475082083754594,4.832372334000202,5.758871338554132,6.725487182768478,5.974375983555068,6.917676538877279
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1068419223468267,2.911679355480125,2.7833095531510605,2.8722920371338923,2.4147795312620968,3.757427900496411,4.019152156197669,4.4034986625235195,4.802866652297231,4.716721992948838,5.827598089559558,4.599842927464054,5.518935447361632
29N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0351951938807629,1.3257083871454334,2.3340548971594366,2.577411413382776,3.2414226343381785,2.2997391184635037,2.4724673484226005,3.199179721344788,4.695995739746497,5.696614888399342,4.958200185367937,5.9349987755745435
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.994214964030985,3.2279529086381045,3.5901396522704077,4.045566506168687,2.4190370353952826,2.144558761481163,3.3839860358292753,4.267814395496706,5.13820668559386,4.770173238852604,5.721802657510829
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.344711449415206,2.0550621944212035,2.0573516053762653,1.3496876933531385,2.0329110178120042,2.0545317818723654,5.589562602772592,6.6361986317817605,5.666168415737767,6.62120947358757
32N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0091900444869701,1.009993533930331,2.328585839305403,3.234338435178068,2.5704863584297635,6.533865786132092,7.652239798976617,6.409924226459776,7.345822045439785
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7240192820126627,3.2496258813755485,4.07388385342554,3.5667129843576135,6.674312585414614,7.810152875385489,6.508686452512032,7.440428423204103
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5593127788393004,3.565879066130871,2.4366491646841353,7.217171845283164,8.34725918755842,6.9918937580838465,7.891185911453487
35N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0157164011125774,1.0104016836945793,5.857051101219428,6.8120299986775965,5.995107141669372,6.898794494996583
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7292646760083896,5.4320608546171165,6.267982182642725,5.753699914902825,6.630623073195595
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.818958737863197,7.768351524045286,6.8998457425258755,7.781059446095607
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.210101319954966,1.3426126749805314,1.884996811565809
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2620748589685222,2.328137192664232
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9780603451743216
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
