 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,H27,H28,N29,H30,C31,N32,H33,H34,N35,H36,H37,C38,O39,O40,H41
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0268415683613783,0.0037743726121697296,0.000503027768778197,0.00133591504311259,6.534894845455774e-05,0.00023587488219334318,8.903099297796757e-06,8.038332554327621e-05,1.289340144872142e-06,1.807875735670983e-05,6.353439658046689e-06,4.82624892983452e-06,1.0207841971698883e-07,2.649228791007374e-06,2.2879989591828576e-07,4.904487123091883e-07,2.645643463217162e-05,3.340842748222883e-05,3.401531164959337e-06,1.0220757963308458e-06,5.5754041605737825e-08,3.4381002933514537e-07,3.711550085050419e-07,1.84775617251276e-07,1.2253977832443752e-09,9.083064426373966e-06,1.51038141571469e-06,2.630001143422156e-06,6.09142668084317e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001015592210442895,0.0010088692589508286,0.00010276057302627262,4.580795742170629e-05,3.07387746623089e-05,1.2427728078412414e-05,3.130696740183403e-06,2.3513709823674844e-07,4.412496759087503e-07,9.06072539441638e-07,4.1055537725043223e-07,1.0535391892219081e-08,1.7818375561695632e-06,2.404778018938458e-07,2.132971173018916e-07,1.889009527844543e-05,2.3716351189140283e-05,2.5968834140854824e-06,7.620025179733148e-07,1.8962905468100644e-08,2.7284989823073147e-07,1.0865304331808545e-06,2.1601983841712524e-06,3.638779277892468e-08,5.1424596452243065e-06,1.348287496316658e-06,3.5955601973558515e-07,1.0774822079007151e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.457209403886469,3.7813172054183117,0.1486747141199104,0.2798490911113092,0.021812408986086496,0.03500796853591717,0.0007439409632026273,0.004052078310208707,0.004938856393094521,0.005101749706780234,0.0003519631567407977,0.0025309599039722297,0.00014343785217207916,0.00045190906744263515,0.019907767509824092,0.039411798743305027,0.003266435434017778,0.0008754770540865542,4.369622721234201e-05,0.0001558340399384628,0.0037226147950905897,0.009376013747204759,0.00019137171474559178,0.031858075838098715,0.006749678445212154,0.006244671736955532,0.0015356256530769663
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5239732851705188,0.02586339879781907,0.0558868054771436,0.02853246503089457,0.009643856663966319,0.0006830900017975594,0.0013411327679011542,0.0033988727600128554,0.001044312351246357,0.0004516920026704785,0.010192294828749754,0.0006936133445366588,0.0012248107640809858,0.12281447197183505,0.31629792731800954,0.014198243596293,0.0033820988807627267,0.00013494923333423614,0.0006568055840280307,0.022921355582787024,0.08296691692509572,0.0007999268081746447,0.00900943519512383,0.003709127726541559,0.0014274526958753878,0.0003692726839599203
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6774463801552348,2.7617746876513407,0.09546299364173094,0.17354137508584644,0.007729928784414364,0.026095680939779764,0.015455108450944166,0.0076070755681760804,0.0011176308362487175,0.0015372981606254638,8.043621929421096e-05,0.0002718237991564676,0.003486995428783987,0.0030167911993822516,0.0007075021351031774,0.0002503538724829002,1.6493677140738683e-05,2.4081608576032032e-05,0.000752387491022688,0.002647966574045868,2.4614528745137143e-05,0.18907407394618442,0.057509179939526936,0.026756487901715434,0.005193970452037844
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0965109762701053,0.02569400232867869,0.004909277176313287,0.0015470117049354304,8.928667546670432e-05,0.0002470738444062537,2.7860712889848926e-05,6.180567803548698e-06,6.819628114318466e-05,7.640539235964638e-06,1.479752034416748e-05,0.0003080303341791435,0.00028115254891236674,0.00010424872873715518,3.303416840905182e-05,1.2665300641589994e-06,1.950338586631517e-06,8.735511800816997e-05,0.00022572927927000386,3.815081079050486e-06,0.03147976338943992,0.07698856268285226,0.005319500834336632,0.00015176164549712823
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.945910387881126,2.700316396061436,0.08781562844385116,0.0966951259672173,0.1472188112776477,0.008168314480621053,0.02715071862501528,0.008745316243281148,0.0014707987316424642,0.0004806065081688349,0.01338602436668715,0.007990408329428433,0.0027302027324948575,0.0011031241047205487,2.4642174904387915e-05,5.227853110456593e-05,0.0006697322697239855,0.00017879955786714863,4.4309173637735455e-05,2.6527256977766576,0.2807610596972885,0.2250700034936272,0.05401961553154622
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07621564395894431,0.03225254067460592,0.0038017021913601123,0.0062341068152365064,9.215780395099848e-05,0.0003351771060822184,0.001237802132643795,0.0002722725892532196,3.6678468658957186e-05,0.0173215879244486,0.007413222761185834,0.002206594558803676,0.0014712710569884102,4.1580795253626235e-06,1.2094957909880577e-05,0.00020258706957465566,0.00010669770398696876,8.001029911275381e-06,0.10372885378248298,0.025572640481556386,0.010935888425935958,0.0008462971625051718
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01294095625338,1.8417574232233882,2.8607963791505524,0.08328072262708741,0.09810330009115953,0.15375492305313387,0.025572813123546756,0.012611725186320921,0.010391130369780607,0.0007459768144322254,0.0013416198920767897,0.0005912074766308978,0.0005936108513082683,3.801509189182983e-05,0.0003809798184101487,9.847876596125182e-05,4.008062538196633e-05,0.19373006252237515,0.042727184088012786,0.031782405188285456,0.0020036581257312225
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02503491960213,0.09826223768296005,0.002739063166183886,0.008244992139772922,0.027188707323478667,0.0008643171317002096,0.0006638658808926223,0.0017429340143864103,0.000117291680554521,0.00033450145709901236,0.00011440957229391646,0.0001230742687792219,7.248231865375487e-06,4.9607590370648325e-05,6.483403023560541e-06,8.978588680763622e-06,0.012446718192939299,0.002834619530677651,0.0011262184907211426,0.0001641105581107194
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0826826237211955,0.032835819280822465,0.0030512806049207697,0.010981464137630903,0.0005338982524765168,0.005643410663194182,0.00074019625231736,6.489499809902988e-05,0.0001630646163015559,4.7249063466758834e-05,2.1650992703348138e-05,2.0426717561861096e-06,4.515321423470553e-05,1.2015670964871106e-05,4.287735748675914e-07,0.011535788470119934,0.002095790351673954,0.013880446221803733,0.00024457263278865327
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7975162136315155,1.8337974149222673,2.7642791169697634,0.09058256339340343,0.08162549941546515,0.18586312296252222,0.018791458759691126,0.02827677153388164,0.005359704230647577,0.0029652444399359545,0.00022658799166430654,0.004422593867287286,0.00014447224378832946,0.0006219878915791899,0.030855586594346673,0.008197595347907267,0.005396091093707936,0.0004485465869606964
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02554073815365654,0.08859310888685812,0.002893222680291796,0.032598708270228816,0.011492802108762468,0.005538002830986821,0.0009362043452791902,0.0006491996079091011,0.0006670167833420226,7.142098340628955e-05,0.000303953353514852,4.703957670049164e-06,2.4460235436229993e-05,0.0008840593968089117,0.00018068215568134427,0.0003768682360213438,0.0001251491648550651
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10769590365144599,0.007544761025151336,0.002161231412978637,0.027394742702048003,0.0008350592009995772,0.00405088395961406,0.00023619318084644458,7.32187352263658e-05,2.600887058035184e-05,0.0009899627169244196,3.856767791554638e-05,0.00015237555646385736,0.003211880308445769,0.0012143246903303373,0.00030910221350866074,4.482806804473327e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1175939883948933,1.8298261485003036,2.7776179017201104,0.08784909613815495,0.2739703391612234,0.0362823775305007,0.019725060194449417,0.0019053427055683025,0.047059464185106425,0.001535601364023309,0.004327721281034536,0.0016133265248275963,0.0007078870686097471,0.00029025010451043387,2.4247746495453804e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022897311018361455,0.09863869632300482,0.005907390728691508,0.02583247116068077,0.01036501222509556,0.004728212032850898,0.00013220459081186853,0.007058443276466653,0.00011008927649491795,0.0006777313839878563,0.00045299181068170213,0.00015541443597766325,6.262956389535557e-05,6.233437086278215e-06
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09789999632509094,0.012260940203865145,0.022435876248305675,0.01296873610156224,0.006220496926432562,0.00021522977507038021,0.005132650367564939,0.00011919039975705203,9.839655269638925e-05,9.754911764892071e-05,4.108550925741028e-05,5.769368879027237e-05,1.1951816547561833e-06
N29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6265529300343835,3.8279775488468624,0.38943736801339096,0.008276196375580747,0.02764797602153113,0.39759471865061335,0.011739147033014818,0.03052525964895325,0.0016560592956758324,0.0007738819540418357,0.00020043008837590526,3.493725600345332e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16234824099650857,0.023207574768300154,0.0012684573660639575,0.0017695105644859321,0.013842057865805835,0.011590437613166582,0.0012798550561345934,0.0005888607215247532,0.0005814113944443422,0.00021777066696959668,1.876416478507892e-05
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5767386437261504,0.14994823797265067,0.15045634369862426,3.650690295472908,0.15311364108786152,0.1484618107279333,0.00041529704497692,0.00018576873575447406,4.3800947166411364e-05,9.512802814359844e-06
N32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8726500594561049,1.8930018649012497,0.3457183774132093,0.026786612602392568,0.011314502786639924,0.00015261719913861604,5.550200150408746e-05,1.3401410632302158e-05,2.4917787055933616e-06
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03671849416864381,0.027371594012252976,0.002729840919051707,0.0007697761601548336,1.0271584770515929e-05,3.613597863605378e-06,1.9163605169403297e-06,4.6426802735588524e-07
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01166967872179936,0.0009733886453371365,0.0052497991256754695,1.3028367361722637e-05,4.450314509352182e-06,1.4781788644224747e-06,4.689931538681691e-07
N35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.754582941526397,1.959000259023509,0.00011860684633974161,4.362678594200392e-05,1.2221936874973194e-05,2.5395263282268488e-06
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037670324020901536,4.580896880135299e-05,2.733996744974654e-05,5.779465282906848e-06,1.3885467695651244e-06
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.539038137800326e-06,2.321123856119378e-06,6.952776845370323e-07,1.928947745977183e-07
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.681849144516893,3.580190361345255,0.16184582192962027
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5147131558433495,0.05520608738334887
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7541653621395072
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
