 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,C30,H31,C32,H33,H34,H35,C36,H37,H38,H39,C40,O41,O42,H43
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02878875100729572,0.0017277954580745547,0.13531007202438494,0.008697030477204715,0.003492803078847251,0.0004171556778642671,0.026870916978269932,0.003102199804114414,0.0013048988441490827,0.0003107210971058372,0.00027339394693015606,0.0001072863319303563,8.820768597006534e-05,1.384074800947488e-05,1.9459274724908937e-06,6.534789428247478e-06,6.55058887133464e-08,1.185167641137852e-06,5.715654058935371e-07,1.856253819543241e-07,2.5338821063591865e-07,1.2889603828725171e-08,6.764965698735637e-08,4.1027422348349774e-08,1.5885762291167893e-06,3.775963075547395e-08,2.4431059397755917e-08,1.3996528531734498e-06,1.0720889358051267e-05,3.88105246248438e-05,2.5013572232390757e-06,5.672880931673063e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0404734554590225,0.2952352116320581,0.0039837221300838,3.6301690547797265,0.12801615470746008,0.33459205071648546,0.042801665694025645,0.002702887248088759,0.00348808798611816,0.0014331332583373269,0.020290545886929925,0.058282830008171915,0.00208679113222926,0.0004447802565930026,0.00020421219134053592,6.652799105388851e-05,2.5440090678729987e-05,2.195410379854379e-05,4.879272242908073e-06,5.0846820024014194e-06,4.3787746184520415e-07,1.034632955976278e-06,1.1282921337230079e-06,1.041444589020002e-05,6.408088151221847e-07,3.5015541932637007e-07,4.547484265149393e-06,0.0026331728735650706,0.01445457142471357,0.0009904875633758026,9.229474266947424e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003514340039744601,0.000398111884372776,0.1333896498790903,0.008577423431716413,0.025931879455983076,0.0031148883844568376,0.00020199147578892074,0.00025915124974984494,0.0001591894834924723,0.0022753029825889337,0.004473479953413184,0.00023067436145884912,3.970961128252348e-05,5.218795942041332e-05,3.98789948441447e-06,3.770062474650615e-06,6.345048882527848e-06,9.627270025625023e-07,1.4459763619800725e-06,2.5175591167325706e-08,4.257808356999959e-07,3.003809148083292e-07,1.180007342393985e-06,3.132970127772694e-08,1.5615926995948826e-08,5.864239900343904e-07,0.0038817900729601895,0.030128620343149337,0.0014988441708078115,4.604542607111739e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05589229272713,0.32661118378767834,0.028252957411322388,3.7345259262039368,0.29830492587441754,0.034283923656782456,0.0009396150112689072,0.0006091558670411751,0.003131899649612288,0.005231327412497433,0.00029830173105974134,0.00011305396035854454,1.6961658489106357e-05,5.680035694677343e-06,2.9677574089337355e-06,3.7972274579134435e-06,8.62620729957797e-07,9.400157135880383e-07,1.2184274034154896e-07,7.209641594840832e-08,3.559199601710361e-08,4.617371354084798e-06,3.586319805570781e-07,7.981220284669632e-08,3.92025715556521e-06,0.00011768357378291738,0.0003390579078186712,3.914088342749089e-05,8.416847994463517e-06
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028019230757532876,0.0019424747531084918,0.1379298077943465,0.012543136708988323,0.0012593442014678935,9.825954491615718e-06,3.779889167221384e-06,3.732942092993241e-06,1.192172956376858e-05,1.368030896564676e-06,4.333013592372481e-08,1.1914241770938361e-07,5.695246718673275e-09,5.1184302130025117e-08,8.852623523125658e-09,1.764006896110004e-08,1.9756595248665576e-09,1.2746648181405362e-10,7.138325486266694e-10,1.609823385706477e-10,4.7613805120860775e-09,7.807487989452966e-10,5.226421517789959e-10,2.2316195558147456e-09,7.719600645383906e-07,3.097184159805977e-06,1.457376911373487e-07,3.305481199866733e-08
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0867727882926443,3.640396551730798,0.31430173336647294,0.030726006889384205,0.0006827724994646067,0.00043578842339667134,0.003968382525935149,0.004875817019423967,0.0003566550354717757,0.0001319963803184665,6.744707921868542e-05,6.949344840179172e-05,6.475160162722204e-06,5.3079515120180165e-06,6.4371396457652e-07,1.0555484955682148e-06,1.6474290887025234e-07,1.6459374907462632e-07,2.135090699795228e-07,4.061648024744624e-06,2.887967363029986e-07,1.0094999147725048e-07,2.2656330798120905e-06,0.0003988488297954895,0.0015755193824549124,0.00013981517485917028,2.5991614392428808e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13089255213978568,0.01267136531708224,0.016913073768524134,6.635939210575259e-06,4.4133861136774755e-06,1.1333888568554329e-05,6.661297457699611e-05,2.838522533021859e-06,5.518693220185611e-07,1.4803725445489135e-06,9.155870344113026e-07,4.8351912695920873e-08,9.022732117003329e-08,2.9183365279905615e-08,4.648961904329951e-08,1.3786929375925183e-09,2.7990270101696524e-09,1.0339088252209194e-08,3.438109963393998e-08,6.58340937320645e-10,1.8256582912101749e-09,5.887377696467411e-09,2.5931522437794285e-05,0.00010233789060998255,1.0439083238500402e-05,1.032234582254432e-06
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.122507315003266,0.13923359726855322,0.0008356151583747695,0.00040170812338558015,0.002140555210572298,0.0028719503003756808,0.00034065681561873395,5.505207017841851e-05,2.7552427609628394e-05,2.1783649808204686e-05,1.9812596310231356e-06,1.8804826163176802e-06,3.59379598968701e-07,5.618378221133868e-07,7.678448010750571e-08,6.005235397843478e-08,9.1324584561292e-08,1.1650666428414391e-06,3.7576085776258594e-07,2.0181020010667794e-07,4.762323799756274e-07,7.67987846576057e-05,0.00023271369217568727,2.8274251823501295e-05,6.045142516564184e-06
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8924106863319767,0.00020871152026252782,9.31557823711654e-05,0.00048474037607058873,0.0005995813158112817,8.618027159078279e-05,1.1750040912583692e-05,7.741588507553798e-06,7.3234988982040505e-06,4.444411915160984e-07,4.0845693263791283e-07,1.4200820352971988e-07,1.4702292440438303e-07,1.9838991560661157e-08,1.4124645231206046e-08,2.1961673368764423e-08,2.5601702248467806e-07,9.641084242062448e-08,5.802057856385545e-08,6.074235203712419e-08,1.2739738705080939e-05,4.0128493039678914e-05,5.415639364347857e-06,1.3691507823043736e-06
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.433905005094772e-06,1.053812614282279e-06,1.335319881001773e-06,2.3809409588348984e-06,1.3977632173922672e-07,1.5166366384988805e-08,3.143987947762383e-08,1.3273349086517783e-09,5.417473802893369e-09,4.952079746267657e-09,1.8238079935173346e-09,7.371128152300344e-10,1.3251844066530793e-10,4.471643055836694e-10,1.3407452925662255e-10,7.0755137304701066e-09,1.2444467678562887e-10,2.1808843619908203e-10,7.494349807402045e-09,4.4448462765966923e-07,1.9652569580586032e-06,1.568689351749697e-07,2.1087821933107875e-08
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60026688368274,3.3026975613471454,0.1320568239475035,0.26805257300000723,0.026666148308182702,0.033767413232101945,0.0007489352013916317,0.0038635763467740336,0.00390772031612352,0.003208754019730531,0.0006753178601266591,3.597110497888245e-05,0.0002668870731266093,9.418065837429879e-05,0.0035616867950565706,0.00014630464199982818,0.00012353662603126203,0.006424881435640906,0.03184921369987692,0.0038767734004573895,0.005773671720899737,0.0012801977504030004
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5278657293274508,0.02454115640930632,0.07102066885521433,0.05623270261997548,0.010054860734708682,0.001223174900295998,0.001397331968315596,0.00141165373527527,0.0007831074701833973,0.00032697131862012563,5.306865011789341e-05,5.743419648518433e-05,5.2687203350165746e-05,0.010895005834601151,0.000208830114282188,0.00021414979513934007,0.028469157438376635,0.011510500092109327,0.0025808630151091805,0.001882761396441321,0.0004166268458301037
N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8617147652540948,2.6301288705449704,0.09465817822958755,0.17948665359842364,0.006645504082545273,0.026339857205437744,0.022435213134116228,0.015964280273710885,0.0034297651744331914,7.524673632164358e-05,0.0006638900450632867,0.0003098466547182266,0.00183657647089365,0.00015781923037194723,0.00023187802770263666,0.001016168446521526,0.19981995824218035,0.03696718868628536,0.02987057502601642,0.005295596470283437
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09752221832773211,0.030157180794323057,0.005028676437093371,0.0024646505502474714,6.472844802463129e-05,0.00039117068497929175,0.00025855152198217546,6.567896491893599e-05,9.534469729066686e-06,2.9866026585168015e-05,1.153456909985806e-06,0.00028345208355329277,2.807829207385204e-05,6.01135370676964e-05,0.00012332942254489332,0.010498340237436343,0.016938094747165566,0.001484911715590287,7.90453159011939e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.860197514440214,2.7754240733089737,0.08551155537569533,0.09530145570995607,0.1490981899569151,0.007243408007914676,0.03193963798114574,0.0010705445784289225,0.000665703673425222,0.004592257765842156,0.021134873748997793,0.002343785002280052,0.0008214253640985714,0.007599689838100776,2.613271685734079,0.27234858904078146,0.21813645038795576,0.05345096056431664
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08106603152446601,0.031580048110641856,0.004254095934338453,0.007573560153125269,8.230515218787815e-05,0.001186102037931458,0.00019686913763061753,1.9925968802070315e-05,7.250272410330716e-05,0.010927884580960834,0.0007672806894714057,0.0001830880448554506,0.011287447506547643,0.11618669114323987,0.02822123324308201,0.011161831944889955,0.0006544680339659603
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9294605917984764,1.7690341634326159,2.612751190633496,0.08661467979206883,0.18046964345734068,0.010857158175480164,0.009390957147111356,0.030500878200872217,0.15955988562287687,0.030995339031152147,0.010189738539983617,0.005202622295005455,0.1953374756122774,0.04191849716922637,0.03167252810722605,0.0021063977135002965
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023018485982648773,0.0847998552695357,0.0043993438841749555,0.012309344208962125,0.005906225284439515,0.00020940063853291946,0.0007844268372478869,0.02977998797412762,0.0015421261980301804,0.0005172052032247354,0.00029489352298650573,0.01022784452878378,0.0017260026770691272,0.0008652494478369466,0.00018091728851499234
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08350069750644717,0.035357578265329925,0.009481623258281835,0.00020700212769719784,0.00439126552819924,0.0005787946285180645,0.008775671992993561,0.0003965402971719545,0.004522561377470868,0.00011223209312194449,0.009962014497774119,0.0016956874674413092,0.01503268654418799,0.0003270534499109079
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7299361350722344,2.868949748054421,0.08279819374597608,0.08262015061170036,0.0833632289808881,2.7406166715077704,0.08688108438010644,0.080656816832813,0.08510928878604918,0.030769928262629448,0.00781333610008872,0.005377773942415148,0.00038001342873505983
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08297391172369317,0.004264700408144639,0.034985713563790766,0.004812818535955721,0.08123817897500007,0.0036529576917780915,0.03481576751310134,0.00530356729248993,0.0009934637981758865,0.0001890950174640027,0.000462605424041973,0.0001624198892649087
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.982739634175012,1.777328337069033,1.8428625214438696,0.16886497794722635,0.011871391289518973,0.007763607304681841,0.030143974833312215,0.00583749833545108,0.002001151336215437,0.0006424623124000189,7.820435692085237e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02275208741474355,0.02399654641215765,0.03151154128091305,0.0009142009862146416,0.00037928192751124357,0.0027589499682998397,9.638240807330334e-05,5.069647464361893e-05,1.6066295932315455e-05,6.079502308242724e-07
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022987980248723172,0.009229219989185244,0.00018938444536931165,0.0039230969036823105,0.0005566794894562577,8.575485558370843e-05,2.7049963898795326e-05,5.553055563534137e-05,4.124074716393977e-06
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009553171774086211,0.004841527629404485,0.00013823056690798197,0.0006020105688233635,0.0014413275458584618,0.0004810756837139163,0.00018056712416991694,1.8311914343982494e-05
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8075851810997816,1.790608871444195,2.1255149052149993,0.0033588677529370337,0.0013243240699473552,0.00046118118207073844,4.5354531352681526e-05
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022940065282911926,0.02554867731774202,0.0005065126389887098,0.0002820963361649387,0.0001027921837186696,9.137999990027623e-07
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02436541414368043,9.395649390642191e-05,2.9651670448327394e-05,4.945425565194839e-05,5.839080829961318e-07
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009082193752840695,0.00047502510066455006,0.00014726470805759284,1.2272240969224413e-05
C40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.30181997284428,3.208048767519492,0.16815726012280963
O41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5129717998462948,0.06878368553861569
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6491138481697925
H43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
