,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31H,32C,33H,34H,35H,36C,37H,38H,39H,40C,41O,42O,43H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.392596549035758,4.300532127704731,2.140751632418309,2.4822602276219903,3.8697420369952327,4.958742690811585,3.3957291831187035,4.505560989146971,5.278579106061068,4.3720711600153335,5.445741528934527,4.532647736416604,3.9405302104640523,5.931750979691218,6.523163113496423,6.43267447582088,6.139568209694073,7.511855079066736,6.3952919668160675,5.403021320437923,7.277228640423659,7.002096996013818,8.27448139036507,7.500306650315205,7.2155785729991,7.500431396964428,8.195747915759407,6.854779186509221,6.58957633726012,6.231881382759446,7.9238136303811855,8.38138118777254
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086730856842422,2.788554278736328,3.874280645476729,1.3984145438602025,2.1576976336669436,2.420670502692982,3.691838860111358,3.843606322063958,3.9851525900693523,5.158328996633839,3.389792693435025,2.4569031295705805,4.370636921751054,5.224522777265307,5.093545377364553,4.60179037614605,5.946311040064887,5.873994811086714,5.3163545642564305,6.824336592440949,6.4390235435836125,7.533842509774276,7.508944742603913,6.898881244233535,7.618974898593266,7.561725596429261,6.5843627740503905,4.242236029539171,3.436697403478269,5.547067993326134,5.7014848948447225
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.875122994190317,4.960789533078202,2.1462822316342205,2.465435685468522,3.397863469131294,4.570152046676365,4.549600004536972,3.893226104312823,4.9460924071417125,3.261162844742562,2.487048149409202,4.0235365927110305,4.8182701763344715,4.950925023089702,4.565137364832157,5.675766287431509,5.939988308035929,5.54414803831748,6.985918413967714,6.688294193020771,7.575764916609346,7.764490594754644,6.855646025594229,7.685055193996562,7.400783594599707,6.476561578868766,3.5863786795658137,2.6200038998698076,4.834397425609434,4.88075760077029
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0858323746584362,2.418583544082978,3.408430627192988,1.4015517054902473,2.3663443020351456,3.1767766873504724,5.353172285118038,6.562483007459877,4.945590425559268,4.050418371578689,6.102368811897778,6.962598231463726,6.335088357093964,5.7007239373570995,7.338984361806107,6.5604981286695825,5.7035838387842155,7.157557019607947,6.5878491608292595,8.089224923211269,7.534531351332111,7.728374218944033,8.128327503202435,8.596250993610363,7.595288614090818,6.464784844528778,5.929512315835642,7.765005546347803,8.081574715496396
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3959960621707266,4.297035605888649,2.1482056250599926,2.5696033023380855,3.517667621717177,6.162136896047115,7.338402396235339,5.814824348656118,4.971571203949272,6.971605464257172,7.814205336564734,7.067907873749156,6.416314319013638,8.084583224510233,7.120466457152161,6.207228978782928,7.574330696653767,6.9602701917698955,8.552161481105077,7.827626315378783,8.296924775316105,8.579442160120529,9.208264136390955,8.226012168065198,7.437838168981008,6.962772156041917,8.72108841190045,9.073235332071057
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0890132398742247,1.3966589546512562,2.429139478310703,2.4559957680105926,5.146876249863894,6.342286668913985,4.352978157724841,3.3461429362860895,5.161540255070443,6.140312973715606,5.545836251408642,4.807783523060274,6.353646770377007,6.3253565262575435,5.7888749265920945,7.00302931093936,6.412259776149277,7.705422100876546,7.694066120520307,7.551780559720687,8.234734246185864,8.19080167012716,7.41543130936844,4.967488187944874,4.149633735000587,6.1821343641468145,6.267403186560933
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1601028132381836,2.6965411979479037,2.304259830766741,5.826703572984617,6.969803035680619,4.887973777852976,3.920925501859502,5.443552419955312,6.459762114678006,5.760182880734626,4.942697561044111,6.423617836163552,6.72178595063564,6.3362778631567735,7.306200327173299,6.658484591296849,7.890235157509362,8.091632716038706,7.990156951487118,8.745633632789529,8.513636724382742,7.914811009967391,4.978658232732775,4.06418873595084,6.057282889453717,5.995503717943032
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36766702543041,1.9165397708007548,5.738571306851347,6.965551575671465,5.047540275985934,4.051763189978945,5.979946757846414,6.953794390457928,6.156065835622368,5.367604328792359,7.047695845473306,6.658042327514665,5.974258123926814,7.170636342579355,6.490127634797923,7.985107037544042,7.709742698616737,7.947470198246869,8.478842962464011,8.690116892727763,7.888342935306376,6.051402141836974,5.378661527158503,7.282371114238611,7.465281451571563
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9702464769881475,7.004636489586191,8.222807145406598,6.215602326841425,5.226408321570292,7.010828548788917,8.0347778770316,6.9712160365593006,6.058200623133391,7.790377596580585,7.451698578794072,6.8201404556322585,7.722306171791044,6.898372766191014,8.499269225274055,8.237722861424334,8.842688354560213,9.333560180601143,9.54663020832507,8.910695473619915,7.025537833806473,6.359506274790969,8.165468887981648,8.296091503231612
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.339133990674937,8.54108840902516,6.43365216999765,5.438565463778306,7.076032683758072,8.133711759081939,7.022148649529872,6.0550266915720625,7.742393942152622,7.668473347759275,7.155047447537357,7.90459566070764,7.047403938071521,8.585214751402782,8.516588047809362,9.08958550902996,9.659085893752874,9.70466261356305,9.185092648462811,6.899921952335539,6.166553082780742,7.956416730314284,7.987142882443122
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2294532505533589,1.36772440521027,2.057489578762727,2.4642790682717703,2.485588245078644,3.594434565970759,4.048409137463943,4.455312562508364,3.780774730420035,3.2904707926197525,5.259192555860098,5.55824714291948,5.926220535738878,5.724579620849059,3.9521097426524574,4.599771579056855,4.708966991108672,3.189504071175421,3.4629036133902527,3.768553558616905,4.535105010872366,5.225328838854807
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.278209060135377,3.165576698960244,2.8056025881807125,2.3075935991287824,3.940599851414399,4.654315075649404,4.611140150724428,3.9817684658831833,3.6949883459671606,5.510235665130334,6.021853203372471,6.051024247965331,5.905674210498455,3.6685310487955527,4.28109546051053,4.315295313088367,2.6833890711229547,3.8491484270991565,4.386438570983994,4.640569113127339,5.395211664612676
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0135146825717616,1.450425680854066,2.047860266264492,2.5015934342654225,2.774779327971234,3.417882473409666,3.071748613701968,2.7229233290997206,4.45265676000107,4.592070139093538,5.075715399942793,5.1132719955229184,3.6829076035402175,4.494518775101903,4.341377271740319,3.2302010578341696,2.439333518633779,2.776209932357904,3.6239223002460217,4.306823778339208
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.120186542477625,2.952737240452788,2.898684981020157,2.773469060138712,3.855960154460187,3.5673309900977976,3.098309497705347,4.751524251072517,4.655245673410013,5.439495237634567,5.439980049278502,4.459424723854301,5.224048130305029,5.13399680786083,4.141322632751753,2.691820165403335,2.639458528345144,4.000455910230871,4.535016012085865
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093015778912133,1.5495202772216041,2.1661957578494557,2.1572919578019047,2.604127316000929,2.8174465490528386,3.9327913975349933,4.198339982537828,4.2683716216145005,4.768203139136556,3.1175567939262003,4.135393566045194,3.4433314138576177,2.8385448627973364,1.5269546188839886,2.4456400908994946,2.380525744881035,3.2145451969028778
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.175671005966205,3.07046487133791,2.500737198248141,2.8518389989881334,3.1755592543070796,4.272390724057024,4.7753191100241805,4.502398959866197,4.995350759741153,2.7799134032791106,3.8082450125133915,2.9900481640696452,2.2414531697148683,2.1295865006830996,3.152393791464203,2.567731080143881,3.4708604617965704
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0999407099350764,1.0975917926410717,1.541425923166244,2.1469300365249797,2.5151727992440236,2.749185537566082,2.797435056109738,3.4795267484506356,2.56100198969542,3.508700433885379,2.805999078855151,2.868045175974406,2.521103413659135,3.43828415128531,2.963682355517023,3.810831325863159
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7625977054037487,2.1664791260783294,2.4840043817420128,2.693560990086628,2.465018173020883,3.074716742957133,3.700783530198405,3.5000300301766294,4.324366673362867,3.801233338144082,3.8646525598882464,2.7409819141205474,3.342666793333798,3.342091146958825,4.005272170689776
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1708813988015265,3.0589207939928205,2.763997204775369,3.096844185556241,2.5951607710640086,3.7817484846469496,2.8188876129804035,3.798652656048212,2.6189440147901957,3.247486953132466,2.69412839603176,3.74642883163156,2.5971046607450363,3.433288533789355
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0990139770649654,1.5372209517117215,2.192775336039131,2.1865305839524085,2.1838914700931316,1.5371363632693025,2.177525285252002,2.186294342477177,2.1965205621585633,3.9274279050615406,4.824132010204575,4.37201136248041,5.27751475943582
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1469159935776547,2.503800326788781,3.0720325526449357,2.491559332205044,2.148326234537939,2.5174116428979674,3.0724122933061913,2.4777710306963234,4.222232755993259,4.927439775783312,4.946540126260705,5.816566681114023
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971488935642113,1.0982342743299611,1.0964261076595403,2.533430491131559,2.7307159153625857,2.838484422139844,3.496463842416947,5.032120477579359,5.8848176856205505,5.308238894822763,6.140774078367851
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7729936049881958,1.7724280740772644,3.497873964574554,3.7485939290676558,3.8443970538186445,4.354309645454156,5.123806020841185,5.802746080131605,5.5102046963323295,6.2422635772083
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770788095405121,2.803672559093979,3.0777954909230063,2.666012816527571,3.837033800182658,5.188867972472533,6.13816966457607,5.181837636797764,5.9846513384498214
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.776083524558436,2.5190543280075834,3.196092944740584,3.758855904148941,5.993428026768052,6.8433794938951085,6.307631567489548,7.172048852474499
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967353819948344,1.0988330362818883,1.095091547329398,4.494775172935808,5.543387658717992,4.712515736247518,5.68504519670641
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7701409322135742,1.7672703472866755,5.5583665668268045,6.568648433128652,5.807859315860795,6.779482533505088
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.778359868940963,4.586378518070293,5.738575312727069,4.47998222744488,5.43337027553321
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.245337846950691,5.250589476243961,4.567653294255443,5.533633149559219
40C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.212619480458781,1.3529525052015055,1.8780250118577901
41O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2512112000875,2.2821268889221358
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764845188484385
43H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
