 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,C29,H30,H31,C32,H33,H34,H35,C36,H37,H38,H39,C40,O41,O42,H43
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028572017187660448,0.00168314298929495,0.13352997639225728,0.00857613175368499,0.0034879019642382048,0.00039101892804604965,0.025843154417907188,0.0031266619826283426,0.0002021351149079642,0.0002932239216197896,0.00014779965577071952,0.0017915921606951324,0.0020279138104875027,0.0001940557427124734,8.243462477275365e-05,2.8617428140087497e-05,1.5773583934564073e-06,8.607562627305221e-05,4.934350765317674e-06,0.00011674927768923204,7.890487272121938e-06,1.3479799079174626e-06,2.773535174860342e-07,1.2865205800682844e-06,1.8580900776776765e-05,4.871053835397987e-06,5.382432972655948e-07,3.2091645429943583e-07,0.005226754084475038,0.04043669020488161,0.0018848620178395503,5.36153385291005e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0441179274297463,0.29863298407141126,0.003936678533973614,3.863097858938143,0.131619956603648,0.34255133184927955,0.04074377889649401,0.0038656671657065766,0.0028102370888773986,0.0017268582888826378,0.0038533547852201977,0.004715778679666771,0.0006742051792070491,0.00019040983731222205,5.333696088061224e-05,1.2579806146550965e-05,0.0002592840001435226,9.847181675382011e-05,0.00013607902858892018,6.943587755020575e-06,4.702915646248584e-06,2.694117142709729e-07,1.8774972099233622e-06,3.181432262047701e-05,1.9348885926806503e-06,9.496558694754853e-06,3.2668529705848215e-06,0.00011115120359730946,0.0003969745729358459,3.668689643475387e-05,8.13891063611294e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035062416571034483,0.00042219533994147795,0.13380680131112332,0.008671906270377283,0.026779204386995437,0.003048023437517866,0.0013134115139092906,0.00021816909434457799,0.00026268115052319185,6.485803440647864e-05,5.7779432754090365e-05,7.859724571401827e-06,1.3869020789591957e-06,1.5959491466155384e-06,2.834987540278888e-07,6.576756441667442e-07,4.294041684449468e-07,3.016278431466901e-07,3.253508475964395e-07,7.642628174764354e-08,1.4187077956862026e-08,8.015847319242653e-09,9.279009005602745e-08,1.0350402757097754e-08,2.9608787421864236e-08,9.541038403781954e-09,1.5754282596036617e-05,4.4968203148920693e-05,3.944452575121993e-06,6.829473417901966e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.031356460251917,0.327217989897862,0.028051904582175657,3.692941783875979,0.3159576387539432,0.030691574900463925,0.0006557534623349848,0.00046376055966203256,0.00343606341955556,0.0036975992341156116,0.0003143639364711903,0.0001297462894845891,0.0003499277839291992,5.625774438811071e-05,0.002508919697302714,0.0030583021769241547,0.0009235601805681615,3.572430889449418e-05,7.28802437044429e-06,1.5726487947453904e-06,8.939634617899372e-06,0.00025573505340814595,1.2684831157239174e-05,3.99803049873082e-05,3.905985902386e-05,0.00043994716720124893,0.0018760338218053313,0.0001552561050238016,2.820641070799823e-05
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028133641693642852,0.0019496422293907578,0.13022583558744882,0.012668755799041254,0.017053174532173587,6.0794611191905545e-06,3.0117350759972794e-06,1.333219615418102e-05,5.154502324611343e-05,6.034034434110325e-06,1.2832405094087562e-07,4.661113488269031e-05,3.830889496958534e-06,0.00020523056098697978,2.430121639229732e-05,0.00019090357849149697,1.4351526526068525e-05,3.168972138034576e-07,1.4923689772849968e-07,4.1579217260334644e-06,2.720558555968644e-05,3.5118108081544364e-06,6.793705879415413e-06,5.265654909880624e-07,2.6050253111309374e-05,9.673866058901304e-05,1.0105226844192572e-05,1.467116730102802e-06
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0377347977239753,3.6676957601977738,0.2973138469582698,0.03433741858518791,0.0010110829998106752,0.0006570964680314151,0.0023578805086922894,0.003442047341666976,0.00021514668247177293,9.053467554165362e-05,2.5997044746511877e-05,4.560443977563722e-06,0.00016190636046092832,8.645200245971374e-05,9.9107190570491e-05,5.265249423361262e-06,9.887782916884191e-07,4.878913695272047e-07,6.132406371595067e-07,3.09274850623098e-05,2.9136394295026236e-06,2.587352331273607e-06,1.780832565190238e-06,9.674616708246764e-05,0.00026769920774721845,2.8446592164249607e-05,7.674467363494308e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13681015761379633,0.012508031769657646,0.0012572141047344498,1.1419190255601563e-05,5.596579988109696e-06,3.1080037070640998e-06,1.6150920190804996e-05,7.813987952243195e-07,1.8820380809358994e-08,2.7876817054739433e-07,4.142173337662314e-08,6.95155419228044e-07,1.2324325542323322e-06,1.5096070966613695e-06,5.431235927666478e-08,1.4797766567653525e-08,7.878131480509865e-10,1.1209368988573942e-08,5.575730854801009e-08,1.248146763721536e-08,3.32167691130536e-08,3.964099715147995e-09,9.953487272174044e-07,4.655631198113852e-06,1.5116834328754436e-07,3.4783927072012943e-08
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.191170251753441,0.13826593993498726,0.0009174428054389838,0.0005412776167365851,0.0018351610967481113,0.0025343623884076516,0.00028261357457640135,4.9217911244903156e-05,8.767075635829347e-05,3.0129675589130045e-05,0.000605897021030033,0.0009191103409249557,9.353264990097365e-05,9.262158723211122e-06,2.4719066520351163e-06,3.029945099264353e-07,3.4135856403771925e-06,5.152433323732386e-05,5.4951404191427855e-06,1.8838916607810674e-05,1.2936539381724899e-05,9.939541403283791e-05,0.00033012678378295524,3.321372610580464e-05,6.538959462010219e-06
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8171294223177534,0.0002372159302943544,0.00012910769065566097,0.0004116672631587909,0.0005154063826603439,7.137330190769287e-05,9.953361829073692e-06,1.6037715058772606e-05,4.7146264512409886e-06,0.00011955136299694746,0.00020015428721031903,2.931761099655983e-05,1.4286800264079469e-06,4.404349109865535e-07,6.481849246231519e-08,6.48204742659253e-07,8.639445486083308e-06,6.09961497533007e-07,2.8025865227432334e-06,1.6954319435047438e-06,1.9065967879816625e-05,6.524479348649082e-05,6.8751112615589305e-06,1.566170985234372e-06
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8652585076495143e-06,1.027460948099801e-06,9.514745821226356e-07,1.3958956743831408e-06,1.3573260393417996e-07,2.2083078921042443e-08,2.5912046430764946e-07,9.599360284440195e-08,2.0703404143285198e-06,7.482324770879956e-07,8.344849087293937e-07,1.073309772170461e-07,6.667182361752566e-09,1.2220202627588606e-09,1.0062750854800129e-08,1.4208444473196025e-06,3.078060750727474e-07,1.6049712854293574e-06,2.0476960127524535e-08,6.394125231512504e-07,2.9826164102964015e-06,2.0759499308464768e-07,3.6215535903494356e-08
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.90485725636514,3.144082031458715,0.1347779169236194,0.26550626540493283,0.022666504436966273,0.03187697653024876,0.0034478799395740722,0.003073724529134514,0.0008928456704331289,0.0001329532418943291,0.003411591055590496,0.0015732584124406035,0.00022024490698524524,0.00010146265663646403,0.0006558164980272896,4.015155057990327e-06,8.211234628641151e-05,0.00013448292408435591,0.0376986076448006,0.007853778649748233,0.006681176340946213,0.0011611413855106
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.519580706391233,0.025601392820935875,0.07529193931681916,0.04622888508902723,0.007755924587337815,0.0007496034300689125,0.003535587491758599,0.0007819050607975608,0.0002601096902656863,0.001994582901352765,0.0012233451539180873,0.00015120630665177437,6.686468353178654e-05,0.0007264304041387781,4.230360451717985e-06,5.0691389228640915e-05,2.2688241014590105e-05,0.014765356196370455,0.002306697550388162,0.002421714506626295,0.0006176379461991788
N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8290035003091263,2.872394203694635,0.0986967387847204,0.16691594829753892,0.024061049413182434,0.019703707962211242,0.00625183248251604,0.0007572102259187918,0.024541871652527247,0.014724375221834451,0.002277749884333602,0.0005726652325555026,0.003578051640643426,3.8219700932540235e-05,0.00022393402363740655,0.0007572161548063949,0.19633018411649147,0.03157553569642353,0.028946961341546583,0.005310487766832517
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09871645852295075,0.029299071990932735,0.0069284824605442275,0.0007774527840067602,0.013732667924098996,0.012718226050812964,0.0002867811890809868,0.0006430116873886726,0.0005867187233241644,2.166855611829277e-05,7.965915595575801e-05,0.0022637110091886514,2.835774840459493e-05,3.487450583850027e-05,0.0008892620409701735,0.004970090353597856,0.00419932050520333,0.0008190168811268439,0.00019959402428604278
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9659736473987488,2.5893891280914025,0.09566909721847061,0.15505944034878055,0.004638834887887855,0.01194781990214877,0.17216334248105059,0.0077629093356930134,0.029093045261637807,0.011417413916216868,0.031526408763885794,0.0006467987507028372,0.0030859150172384275,0.0006223893201537933,2.36519499204202,0.26319102118118104,0.2116337532005485,0.05396101107202844
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08763238773959248,0.0041981049576345075,0.025394258270446723,0.00013551694303415296,0.001217643528298895,0.013082384427693494,0.00021139651900425882,0.0009483758838730871,0.0058330363898364546,0.0025949985446164225,0.00011982865662774067,0.0006717270344376303,5.397315572075456e-05,0.11636996873940064,0.029696392499797164,0.012106632887921798,0.0005550530702584933
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9842339279139853,2.767307199186459,0.08151525250594127,0.08730360564324768,2.5305810508691797,0.08365955357367527,0.08860874816931164,0.08744636467853018,0.16343246534995226,0.0057294081371404015,0.029020989036140588,0.0101613404612102,0.1879524934033631,0.03972205577908054,0.029858417775973242,0.0021822994878870627
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08000475246167005,0.03453129501762686,0.0028281621748820207,0.08204178709662335,0.03388188691419591,0.004806606114095224,0.004309168637805838,0.012320975575636384,0.00011588694608910544,0.0006410364631146415,0.005699498210870235,0.010811228034036002,0.001910294765545717,0.017303716246902523,0.0003527001699190624
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0210711259234193,1.7658352340300218,0.15852514950184834,0.009013587395652944,0.005925384147101198,0.030716674817032663,2.7077159758799874,0.08495034761308329,0.09026684025297738,0.0822193705369283,0.025763043464191837,0.009049363737264782,0.003254410034079974,0.00030979583234469477
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02328760067896729,0.0109270057177564,0.0047763022836506686,0.0001417372386878224,0.000581122053961769,0.08204359416394968,0.005249159187141528,0.0039396334297807645,0.03347081806557317,0.0010230444476322376,0.00016952232638656195,0.00037514698712604044,4.025868717860703e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029742123281060406,0.0003915033211110419,0.0007519672416071987,0.0018891955408710803,0.08735589099628216,0.032702957740252225,0.005565401654383351,0.0042343809091742735,0.018810661766797576,0.008915256402114546,0.0005014349810750218,6.827743643755824e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0803173033990427,1.9836375516226519,2.0572406023900167,0.020534840889548794,0.008869644835569623,0.0022062596097627285,0.0004434983124059766,0.03202077253475996,0.007308278958405731,0.0048034391190553,0.0004923877936090504
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024108276152026376,0.02394674313929057,0.0004820890540595535,3.19625654523481e-05,7.119311775971582e-05,0.00020657235528687146,0.0012460568207717237,0.00018381578322390624,0.0004946710494037054,0.00017454565769736696
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024553935025834805,0.010023083140578537,0.011517553113238987,0.0006155532950866682,2.2062132284617064e-05,0.0045285294519457064,0.0016896895795667222,0.0002994477297451059,7.637959744211109e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019348868036881406,0.0005870252106381368,1.982623694085639e-05,5.384557666121559e-05,0.0009460475418219261,0.0004575440249487972,0.0001476073397641553,5.868255608998396e-06
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7753693592515885,2.095484316811403,2.062108429610851,0.0030890963260668536,0.000801469987644049,0.00037442963381756345,2.24835170237192e-05
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02376264651313309,0.023370619610085352,0.0008921659908773805,0.0003859580673918339,4.395316577787689e-05,3.286264512292192e-06
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023332015804862438,0.0002464792621297285,0.00017259553751725054,2.7458552757098076e-05,1.7599599475559558e-06
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.686189469757743e-05,2.6277473957891928e-05,1.7827136499670715e-05,4.184774619053755e-06
C40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.917824967284864,3.3701300284851117,0.16240121617147374
O41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5102835209461916,0.06795651298975869
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4695711402612932
H43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
