 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,O23,H24,C25,O26,O27,H28
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5483728789522734,0.02247590227845453,0.0703423571811695,0.05661333297044302,0.010579413157851533,0.00156656818827694,0.0002857144319984295,0.00275095257932427,0.00020871017758039567,0.01503179034500593,0.004889427875557059,0.0027723865158947175,0.0005251605979144092
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.680669851079127,2.7980428638489965,0.09854581183015332,0.18519228900910525,0.026777177333950686,0.009984433300688211,0.026717346119651708,0.0004924563841534058,0.21695515704167873,0.04293313940422522,0.027511396156470164,0.0021529862807718736
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09612294618298278,0.02827221529174606,0.00799383687876154,0.0017491611011151154,0.0002935519002147391,0.026911440497676242,0.00017943469700965053,0.006630504461157205,0.000651700322607196,0.0003634088856823148,2.9096947167461806e-05
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7344909809078153,2.39908082773801,0.09966373626727765,0.09934718746464899,0.21296329289303367,0.01028637880822536,2.7700063935871104,0.2639661701285942,0.20854545144287576,0.05571813839606776
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09234312028113179,0.003476050659280805,0.0035912599076748375,0.02580016051047196,0.000511958758479869,0.10907287962360956,0.028243581544819873,0.009624994982819324,0.0006501859802812149
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.969717132375817,2.1326132031574483,2.917118539778441,0.11191984817827416,0.17950660956027092,0.038286878705951224,0.027554427496767023,0.004716754318190408
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026722241287924886,0.10806665984053643,0.009931782900041375,0.008521117182614724,0.005171649692550462,0.001025098453789397,5.419498485137453e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09879493799124972,0.03240855804278797,0.027753109857913127,0.0037901992280948704,0.0038642822592038772,0.0015640537681000932
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7838754928653775,0.024517374439815248,0.04763011128068681,0.004235583901273737,0.0012301448591777175
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027607973534008345,0.124127537286148,0.006139430240370003,0.0002458880993381207
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.163968954263646,3.1992508413022454,0.1697674799751585
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5223095150796737,0.06844595722713898
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.80569199273914
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
