,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23O,24H,25C,26O,27O,28H
11N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009387132862032,1.0111574147858202,4.532249520718609,5.4697466925267,4.520424689544159,3.953494887427701,5.607135215129879,6.2420410227682845,6.590385803083714,7.4828335247117295,7.000872903271894,6.247097935798358,6.1631499241708685,5.386418516353189,5.8971449552089705,5.029001153964684,5.212990001706947
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7353528514971097,4.958351010788595,5.75770513030187,5.174306911444468,4.733759982118352,6.279503223293269,6.795032046341864,7.3767331929925595,8.254269808730799,7.757641862885221,7.145017548911551,7.070310748685204,6.0552684081177395,6.649478714183393,5.514076085895436,5.681013000774244
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.264927017796751,6.269953330954877,5.03594975744158,4.332408031325716,6.029842899036608,6.782348331985262,6.862857841353731,7.735310414781674,7.336379014940683,6.323150274633855,6.158785127558679,5.691465667412142,6.006058901819552,5.463728546571743,5.530477946129234
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2292588474172312,1.3604382888178386,2.0512835196427406,2.462971555116883,2.4933255529032645,3.607189822623455,4.462101475237887,3.5843875169919563,4.232151120650292,4.622782394463054,3.416803875199305,4.521891974367425,3.404466608938609,4.320300422755655
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.284594885855745,3.1724279512956506,2.8258802325947485,2.3418885192954417,4.043531182323098,4.685430118939141,3.9678812752904253,4.969059379974241,5.335740631556402,3.7609823912436595,4.954358477038386,3.5442183215440806,4.492325467067215
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0190986419833983,1.4516965119181795,2.049165329187246,2.469300811418986,3.4066891035066362,2.691241198166911,2.918888732293341,3.2678987279588916,2.4464740385648036,3.39115025968996,2.8964182521729143,3.755036128194263
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.139355743659156,2.9743856456599054,2.7812859735103292,3.8060177099368473,3.0509225610375013,2.708248436018969,3.0322975573990525,2.81152964933343,3.4973406477974938,3.3562988233110453,4.060125641194027
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096174490863085,1.535992895938375,2.163626077446345,2.1504733513683236,2.4482637183723632,2.629586719222641,1.5318529503564813,2.443433776456672,2.3978908877054983,3.227633688720733
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.181024312861337,2.4932431426369304,2.4971666689074845,3.389869248002802,3.613667072447268,2.141706386956457,3.1584036785703997,2.59948096990214,3.5015992286818696
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1010689766577908,1.0939387629255397,1.4149323624010899,1.9189902055329158,2.514167307088732,2.797454549718056,3.7191421317609334,4.384231800591782
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7780497210398596,2.0914166809287784,2.2807086033561124,2.7589076209694547,2.8058343531047436,3.970171022619311,4.523171081124255
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0244186839571725,2.8105897820299584,3.4549280995899214,3.8767143688574146,4.528645726036571,5.294119290256776
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9736736628075325,2.9627362111607938,2.8378172727336093,4.238744752652144,4.730438477972464
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5949936954757638,2.1198579833898403,3.8889619678867646,4.200127519536831
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.217991730329609,1.3463535057667377,1.8725684829291385
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24709156768654,2.273934584103291
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769883891010706
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
