 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,C24,O25,O26,C27,O28,O29,H30
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.633093157475932,4.753163761446712,0.002053690630145183,0.0004181662702213984,0.00031251303513551987,1.1466534097670511e-05,5.5115837051367134e-05,2.562473500722362e-06,5.550392836006779e-06,1.1213501289741856e-06,1.4866650179801155e-06,1.1863853995597307e-06,1.3861349115462662e-06,4.7479222176072255e-07,1.2979576592547781e-05,2.1918127462716708e-06,3.259949851633359e-06,1.0069601623641233e-06
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6003382120127014,0.0034653776265273772,0.0006670969790695397,0.0006215841970867442,3.125673330672818e-05,0.00012070636680085178,2.099869655824982e-06,1.4667805229615083e-05,1.1517775346803205e-06,4.824394681968158e-06,1.1534717223316004e-06,2.1367985479914253e-06,4.1111372614532904e-07,3.81962316899076e-05,2.349311973584567e-06,9.806741497656035e-06,3.9107941164351345e-06
O14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006132361084182358,0.00010625900444263814,8.483220973103112e-05,3.304445119867161e-06,1.792940363001816e-05,1.1173062692826363e-06,2.0603408337482865e-06,1.2190293818825637e-07,1.6376677607343737e-06,6.63995107175186e-07,3.6844196817098496e-07,1.0285105009333328e-07,5.5920778545826e-06,8.143124609200081e-07,1.5598477095118968e-06,6.194562680583715e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.747841398986085,3.627108025908254,0.1349993132643602,0.2768975658319963,0.02610299207353095,0.03578433847775128,0.0045066771882915635,0.0025507304576541934,0.002805624193940953,0.009411985282666735,0.0009664734123820407,0.03406853081179659,0.0040865802435100795,0.005815360285101004,0.0013051886155616144
O16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5532369500223295,0.023980131118153003,0.07284147278138704,0.05868114101487487,0.011868109850533007,0.002139419958438249,0.0008733511600511612,0.0017310126346554988,0.0037040887565764624,0.00048703066545038864,0.0120701599668592,0.0031844945854905965,0.001629529679969599,0.00017717491468549618
N17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6690682340723475,2.837744817899751,0.09303270334705283,0.17932615992221174,0.027391230621865548,0.008841710445310902,0.020093242576938508,0.06400581790867876,0.0066947800182387,0.20120770512300448,0.031555703498716045,0.028263328097785742,0.004421798178059655
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09957481582010486,0.031731850659384886,0.006739210717728428,0.0006086708023564924,0.00011191168038493515,0.02272861023433359,0.13454735703654586,0.009611952984827865,0.010120060664957964,0.004801226279235071,0.0010756819840992415,2.5384364194414033e-05
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7820951665578944,2.74156267108657,0.09134599720033476,0.0956100671992981,0.143614027707973,0.05288824388780036,0.04381218012489345,2.383728649784737,0.254172201330578,0.2050708730613594,0.05443354176059556
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08142453944731831,0.0043397752152838365,0.0045503736820973195,0.02341972559762273,0.01064704868811317,0.004373789572290621,0.12419581245131983,0.031261739538468114,0.01058555741145173,0.00011864428607455402
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.001763411459022,1.663374707210743,2.5059949187442907,0.2931055919606643,0.30778511795749514,0.1817239493585403,0.037464679840431864,0.03748336842682373,0.0033155906053667916
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564983279420674,0.07727022023134422,0.023826703015843886,0.01601738538859987,0.005755529381618052,0.0009470617351055033,0.016854970023231552,0.0007157438664799898
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07852794511953132,0.022986536875903463,0.01617294285006854,0.027899458802751242,0.004437603805751422,0.004849019116936026,0.0003221889535374167
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.515675751625375,4.76118299975318,0.034220714034683936,0.007063181916847322,0.005632015697363477,0.0003101779291150297
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5893239485370877,0.09622638245721332,0.019624490782427048,0.010497300615511816,0.0004490908697152296
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009992623834152337,0.0026711444786333832,0.0010210191327044982,7.225243151998129e-05
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.874256004783902,3.265312553145165,0.1631952332174441
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4941216864107343,0.09064866033033536
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4808908512915349
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
