,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25O,26O,27C,28O,29O,30H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.177083147864522,2.9523822652209444,2.824522913983289,3.526882939753314,4.214361897372723,4.095270768071312,4.119904069777202,5.392970068227262,5.578755605908158,6.566352425783031,7.501117814868123,6.611545358491702,6.864264971936799,6.1488631916988945,7.983211732059698,5.745319117101665,5.2202663729295855,7.111505791536737,7.391847298309659
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.260507316804901,1.257542003094562,4.774310322540982,4.989495832370526,5.728405574032261,5.986303711676176,6.935882419514216,6.8351796363758215,8.130341687231002,9.00632222719093,7.999965111351527,8.670721825900271,8.11512699706997,9.759686112552338,7.4401146183177,6.992026209892675,8.760919555771508,9.090423150012628
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2728868097123605,5.3140377338095846,5.534192962496985,6.364767754837587,6.565920068755033,7.646905210266656,7.573686011226935,8.695846591446626,9.620944408538339,8.43458880911583,9.18279942247995,8.679829330883017,10.188309464871548,8.308766687015044,7.952582903812568,9.637149143253634,10.035338304742112
14O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.531542427673035,5.662546947405545,6.379133419416591,6.6779400892437355,7.4674865792524106,7.304624444158635,8.787809037161445,9.594306450424664,8.764014849074341,9.375554780953868,8.766620401398217,10.523316273344374,7.7751788954123695,7.197310472696686,9.058431247523542,9.284763826718743
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2366966035826925,1.362223694919407,2.0954263742301897,2.4673640423118877,2.513803573534606,3.4132810233303372,4.308916017443599,3.2389216384232475,4.201200171210636,4.075674587680461,5.247339063060709,3.587148070880989,3.872264821096052,4.76509204534568,5.432440397966466
16O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.282286432497406,3.19877665311387,2.8248532476453194,2.3576935363934632,3.7490669074771628,4.431252134716441,3.436224539141086,4.878011401666026,4.97807679557666,5.85119102173751,4.014787567952275,4.428486033947273,5.02009253169814,5.744568822814834
17N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0170671191578573,1.4489270931455078,2.046139784966886,2.476242332615447,3.41781606618332,2.6965890196744002,3.065747456693128,2.8126233420097453,4.227584635403567,2.4275775451523103,2.8033484441772307,3.632092429245432,4.27446091919402
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.061638460634336,2.925439614797031,2.7256940525450353,3.7429668978194104,3.0421788693433958,2.7465535775894176,2.1646278348451067,3.9009668171746053,2.690870981046307,2.9000599584371,3.8792441075132102,4.419564229302653
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0982535320151832,1.54099527887598,2.181978205709267,2.1537693908126787,2.593638186162448,2.7191782948997574,3.7194054367869653,1.5239962387283423,2.4602926837864842,2.3950414791770402,3.201523646506224
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1768873060292484,2.5000425887181486,2.4847736924414217,3.5402711818297825,3.808519916408197,4.5497848083208545,2.1218467889609665,2.987292558822498,2.773345751800299,3.5893531024182224
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096631115894068,1.0984853448033685,1.5695043049611173,2.397838334265089,2.3930349422275126,2.545546129356852,3.641340669944578,2.792846675147878,3.7050717994323277
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.760487415809025,2.1873880380557744,3.1359794318413723,2.661882161685096,2.8214914650973344,4.020597575291348,2.530972625697816,3.469564051664716
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1936370244765193,3.10180690453788,2.7123935544793927,3.4760064275826723,4.516380349293725,3.8223103268813152,4.758255968558658
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.268589833857386,1.249272938898318,3.084327070705481,3.936208702945671,3.3131852288131136,4.0002971547527455
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2760120526574408,2.825410040349675,3.3131932403996998,3.367045542296349,3.832632168969681
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.228360451174084,5.122394258494441,4.194849016400491,4.863017632029869
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2110789677300906,1.371188270254513,1.8579361447653284
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2424228043011527,2.2149174050171645
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9748340369613014
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
