,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15H,16C,17H,18H,19C,20O,21N,22H,23H,24C,25O,26O,27H
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09943751764407,1.0986389365829476,1.5302679049547414,2.423381718716429,2.445483273626236,2.607355172516185,3.368001864647706,3.066884203842704,3.5969666383318923,3.618994334093801,4.2347568487082174
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7619800100050054,2.13687318032366,2.959790124869436,2.8848403549299344,2.87950771349046,3.74805143972978,3.3181240738212616,3.564079314209409,4.195525103012272,4.759653515956913
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1657155896131486,3.243886214888532,2.56168282357121,2.378625829977286,3.5678255301451136,2.807081341414352,3.175369164896129,3.2011331892888113,3.6044974733003063
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2217400309362314,1.3710601349177367,2.088052272382077,2.0449309577387194,4.527137627778649,5.106251870429188,4.86444744847271,5.480895941258343
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.270872833811627,3.174430844874382,2.496765812781526,5.214542448710674,5.946385377755963,5.489909485057091,6.225022933591389
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0093936283664005,1.0111734410514608,5.309817383803264,5.69910165396641,5.581254614193582,6.017044409700471
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7317508781452726,5.171757417701632,5.361407290980536,5.502463392449727,5.797095488631851
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.293193229955116,6.7065766335384485,6.526103317474444,6.976189917195698
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2145927734935023,1.3481619530867228,1.8765726633534496
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253055030260749,2.2893399528943936
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766070156190446
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
