 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,O27,N28,H29,H30,C31,O32,O33,H34
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0946816036471344,0.02458459555118475,0.004026245568522602,0.0016962414866290576,5.269124558271443e-05,0.00024880663429271976,4.289255445111273e-05,4.118719136636528e-06,0.00021219120059534635,4.783820045040077e-05,0.0002277398999122049,9.629159575275104e-05,5.987634500881356e-06,0.016982781117185874,0.03031840563642918,0.0025703986250636968,6.920952541111802e-05
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9306001485382285,2.63073021464512,0.08753472583842203,0.09033538570205812,0.16249551008119445,0.010453091977768114,0.027268351489343923,0.013691174240198917,0.0034385582441645995,0.01242232881459189,0.003241665920045489,0.00026516687663491467,2.677849951384385,0.28026894495366705,0.21957755514500593,0.053581615531777205
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07986852523149268,0.03181605405075949,0.0026866511246599334,0.01073284464671076,0.00028660299210270246,0.001158573548165398,0.006565791427914025,0.0009147420593065281,0.023542944938339416,0.005002334081060988,0.00010823238878376884,0.11245549677184097,0.03015342061221915,0.010828338416014827,0.0005538404792879703
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0383707083953215,2.0162352218544353,2.745555356194352,0.08238179932641332,0.09704688933644512,0.18963268686510049,0.04322503980852195,0.030780260837120668,0.0004884130505703466,0.002301113559673884,0.18821997100128365,0.04171208591978108,0.03319093661132547,0.0023026280625425555
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025613164992429605,0.0881195883903263,0.002478838265943306,0.007587792512864233,0.02747351954013233,0.004876582883944991,0.003460278763724123,0.000134333995911895,0.000959838272907243,0.0071160755519190655,0.000993490879625969,0.0007825657115190232,0.000204820946211548
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08399305703230331,0.03328937889526995,0.0028598340513374954,0.015331757923279676,0.01055628990944013,0.0020885639818776225,5.5191794199327404e-05,5.263799517751799e-05,0.012201002099823777,0.0020264654552334394,0.018213083101641603,0.00038288892337656755
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9952357858135552,1.9346007496020223,2.704380738953192,0.29954692163331903,0.2317637270386727,0.013414317237757989,0.04574985713608948,0.03144530429990497,0.007760902614542063,0.005218236791866296,0.0004357468774631723
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02594309280221463,0.09070487465945609,0.025240401529791234,0.010417713465378675,0.004754610480497856,0.001337123289703701,0.001183907328636602,0.0002999776879883953,0.00045085192499083604,0.00018635393035171255
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10498756444931945,0.019882653113162174,0.02403733984616474,0.001065513149590469,0.0012349606581874006,0.0038326646508595186,0.0013816029236944916,0.0002527247567786217,3.9846852260438936e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.094259332260368,3.5488333615424694,0.1295049790554863,0.14604709250748704,0.00205073270175396,0.0007945078043150727,0.0003648440588957247,3.5693846158535436e-05
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5665580905795291,0.027372671133755078,0.03032998438017942,0.0007709172491854599,0.00021932111454153053,0.00013531274834398255,2.3026965539685307e-05
N28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.784622681569684,1.8679349643718923,0.0016302935745743236,0.0006874207963143766,0.00018761331880774723,2.0591695212401895e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04077817589975208,0.00032514047303122684,0.00018908355109659158,9.573919124172825e-05,1.1737260622313173e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0696536355522284e-05,5.337171920971606e-06,6.391156966656375e-06,2.425426930185992e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.057505875496583,3.520640885413688,0.1674266556257039
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5203245505199432,0.06647640782514486
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7481238591464123
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
