,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31C,32H,33H,34C,35O,36N,37H,38H,39C,40O,41O,42H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418194855409,2.40606966912281,2.5048224322434858,3.4451342788208548,3.812632635437629,3.730118930492497,4.68421225773533,5.483996805292108,4.880766568014537,4.920409587974014,4.177637798797028,4.147650039675476,5.38066342391065,5.736209571098577,6.549193933131678,6.394566555571346,7.308371638594021,7.593250806865157,8.298287168956076,6.823313646332889,5.88995470268123,7.6188677663915305,6.929437575297306,6.531546488763783,7.850459693753562,8.38678289912744,8.188811067652283,7.642498860516055,7.75245946920294,8.708135711675144,9.410139900680036
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0985577526584114,1.0997639796980374,1.5209195034707281,2.1706993909303187,2.1802515213042497,2.5565196614037724,3.4222845075957062,2.833715871048492,2.8111282876949204,3.9027382027550344,3.6238379485129957,4.900537847331388,5.50736170711841,5.800778398894717,5.58943217897388,6.185542908379296,6.565192693026567,7.137032930428851,5.335308407320896,4.410736713911116,6.013928812052571,5.276284915964894,4.667597888474793,6.332784838079805,7.014546456124797,6.629359904370529,7.165097019084892,7.560232306869508,8.088768993064702,8.92755837410867
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7675923274661003,2.1581642689408125,3.0737606227952123,2.5461429318588227,2.798021251429931,3.7441250749958512,2.6620360551463365,3.1237051652406342,4.731325537405745,4.239007532655573,5.81430930525056,6.47657528248383,6.616955791119259,6.265174175944532,7.026894091326271,7.49949101212948,7.915956978336519,6.109513274923401,5.266961468189526,6.786185319211937,5.81571120708823,5.0523933188758665,6.786908293435115,7.54582562436791,6.930626507993674,7.983865741194824,8.433279844368341,8.826990146539378,9.679660096976322
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.163897214236983,2.5079150768417966,3.084980148518046,2.825715710572948,3.755289311627272,3.206349719710443,2.666728546739071,4.536855472968244,4.477024295821785,5.373395458708329,5.8636218559978275,6.352506516291671,6.293423539537355,6.5740915107537665,6.803473468865166,7.571682363617615,5.659208880897839,4.647827881932089,6.186588518076157,5.780469519532157,5.151204576268113,6.953405605816943,7.628631347883833,7.314490151144642,7.720115144266599,8.050124717308172,8.705695379365636,9.536476137668403
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0908608719633026,1.0895105529080762,1.5137315385845962,2.0679870543721925,2.120245345155873,2.128358989679457,3.378353135370154,2.936107436471055,4.141385792456298,4.919792910095649,4.749003801561425,4.480805101660415,4.94259227970546,5.441431988061079,5.823289086908789,3.9533182009703562,3.13346368386975,4.643893939360825,3.7686831646927836,3.160278288958973,4.854011242175478,5.571179794820495,5.172669661297578,6.218025798264206,6.80286663332184,7.004978385740051,7.904404396514783
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.753387313479603,2.079120697197153,2.2951274622296687,2.955937472004657,2.4305990327546683,2.86156137847005,2.7699656318989154,3.354171008105631,4.0682373671265,4.03280626291085,3.98976670735354,4.117959843169606,4.484058467633108,5.081095637730154,3.200166823779053,2.2409011958697067,3.8756928253670218,3.4133336501587945,3.096315894800031,4.592503886716623,5.182776279653177,5.1113217782019325,5.501162191684178,6.036408685529419,6.369438933179903,7.250832280797602
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.095265606531401,2.3161082015269048,2.4237302991160323,2.974101781514886,3.0798297164499617,2.2809232604159577,3.948389652917642,4.837582378023646,4.368769750031361,3.8762650594567285,4.7563867657099514,5.431999226586601,5.533142128091832,3.9097304796006673,3.3079050360879294,4.754735694698563,3.454691106048425,2.937716904696222,4.313082691460536,5.026327153897415,4.532709691849487,5.793624763108386,6.463222250221108,6.467801181019325,7.369675301622187
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0635705840832128,1.0251408319991364,1.0248848805939148,4.709844139278566,4.196554039267655,5.2458170034334675,6.058818152778324,5.589514100440078,5.29414568447248,5.41207179282054,5.934902601069205,6.165467521307339,4.101490239404953,3.4424329922448598,4.515012864557868,3.653706155030076,2.6639773729225085,4.795211467430244,5.659051698723357,4.971621542924246,7.1150240335585835,7.835493101484706,7.740238699435091,8.688905794910031
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6999124500225928,1.7165779336954352,4.686086863883931,4.1403104491456775,5.00483429182169,5.8725298324802395,5.085217924396049,4.767705576109713,4.72523152108359,5.326677689425913,5.365022905798724,3.3273175016674865,2.891411428092684,3.687126012448559,2.705450040121794,1.6444186677389834,3.847182451745413,4.734816151963848,4.032888112076513,6.606602740412689,7.438360769534905,7.096770062014593,8.063943469783505
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6545876945514482,5.371372109186365,4.688269981678204,6.040182645705126,6.891698264697066,6.338664653627084,5.907417698676634,6.2427480367842385,6.848185135957504,6.928719090626408,4.9429370541213355,4.379647966423933,5.371825128072023,4.255306014575596,3.1394713473402205,5.240588545288869,6.169602609699765,5.226849757704892,7.848203633081195,8.603186055766527,8.40497833402404,9.359368771892964
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.267307728441194,4.943278005116002,5.708817432085604,6.420500657906362,6.150291522928887,6.003942162731535,5.8305800190438335,6.196276211303143,6.628331392800679,4.471654808130764,3.719278082834844,4.696829320018911,4.262979392348214,3.321221390491158,5.497882665949493,6.327686249951601,5.745402715182152,7.6712996934381135,8.325776550865374,8.361839370883894,9.298474578481365
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2318833517232268,1.371436010409726,2.0319628394602587,2.4615401494086266,2.490701455338499,3.581183738538354,3.9636320629043356,4.4817799517451045,3.7912954265860974,3.2554871715180633,4.801853145346784,4.243960453103959,4.63505844592829,4.84591114865526,4.9811415774234735,5.4897534487236594,3.469319712057462,3.730776480755168,4.552849600968119,5.2542477994926475
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2791159111125903,3.1381752710285227,2.804154343745258,2.3265622129209675,3.8590372332805822,4.514671827056151,4.625269073206547,3.8119932427871435,3.39902873648649,4.884775864688857,3.796446795865443,4.02950405842039,4.2857288953833885,4.574470897397116,4.746386798060835,3.939127460027823,4.460548712341754,4.752922527304816,5.538515190983512
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0149950818759914,1.453683014902681,2.062481187368436,2.506886261244162,2.7144471381128743,3.424073991846704,3.129594108059674,2.796705746738294,4.0528280532948635,3.9637772403877722,4.658959700853985,4.504136933356416,4.421639086902855,5.325183149238455,2.4186462859974958,2.7053989913819714,3.6088715695851468,4.298497614116933
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0943267281309255,2.9033064979291754,3.021842760831417,2.883113641523193,3.8914782582312313,3.8421342150899656,3.489223888942794,4.628464134662188,4.860453467637913,5.588662835087812,5.390735115775662,5.206104199889319,6.253537450212974,2.495432457725464,2.3207165157638108,3.8226378968111003,4.3300778505845665
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0955089836741796,1.5507515719023675,2.163935533374285,2.1705780199916753,2.597380623767317,2.812979467299507,3.5222005695042355,3.289832869733551,4.271521481618538,3.472065111850047,3.164164255003161,4.337423879721336,1.530178212887731,2.427837153041958,2.3785966033560144,3.2236507604542046
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1823590089512463,3.071539929614041,2.574987578664903,2.8123610328497577,3.0878978236033867,3.8424866228025385,2.9566026165082326,3.854790962003184,2.927166520114183,2.7392689048493484,3.6332120566622574,2.148272206995682,3.1471864567757866,2.597050278556399,3.503299217859309
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968190852682016,1.0963398412224665,1.535305893934659,2.163755855053499,2.158240415630659,2.632667773042334,3.7483903086995864,2.957671653883505,2.625679102284928,3.9609575485574995,2.5177168311650417,3.4234918696678385,2.9472489271115987,3.8034502818609304
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7458137630614226,2.142543249407905,2.5006735403634615,2.3979056677906554,3.5243569101483945,4.5460778280793175,3.982383959588772,3.63029738997618,4.994008031623092,2.781760995360516,3.3669750747063842,3.391697491351498,4.075010449257797
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.184066993465102,3.0809930413451765,2.537502796607719,2.900084470971541,4.12890055882979,2.762106342017159,2.1080080594921844,3.7266604549869933,2.6525861952806133,3.683694204922441,2.5512115792988106,3.373328023636492
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938578713037017,1.0991373018355761,1.525425218126536,2.421393062776633,2.4636719387835586,2.6629560048407868,3.388808058300544,3.916316295007994,4.814443923372306,4.323759071407461,5.2408717828759634
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7516198682141528,2.1214321812166688,2.5642963465003312,3.2892288815590702,3.6232267034920667,4.116581416508855,4.246704158355207,4.966817488716401,4.926074943626546,5.822031134299109
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.110161744076575,2.8314918652581698,2.974489136653684,3.1343631881157155,3.8432109616524563,4.675135903903231,5.529698843013145,4.980867009605655,5.841961271581208
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2443794423537897,1.344515075573943,2.075938471844878,2.0338460990626843,4.624133203127473,5.6781353072235206,4.768396766059016,5.738832825227675
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.244913648135355,3.1701302119591794,2.462372377366755,5.698817656041834,6.6973635153736755,5.930913308767136,6.907620056415311
36N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0094476655365516,1.0125708711809709,4.508044291087606,5.680444699793512,4.279850502518162,5.215725470358942
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7356146054684385,3.9130029167089813,5.112894876094356,3.47525791257185,4.367809441088623
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.329790537467605,6.51293332807027,5.000702616516194,5.90374782399762
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2101132444307447,1.3467429492690333,1.8875126145307353
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.261345157074973,2.323578877927383
41O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9778214424815395
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
