 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,H32,H33,C34,O35,N36,H37,H38,C39,O40,O41,H42
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0517696133815395,1.9835655723333665,2.8705966621633103,0.08542292282386899,0.08611829722207753,0.15468162616295042,0.018463358824392206,0.008717691524978033,0.009636077478010319,0.0016701044268258025,0.004151256751677823,0.00041381207664459296,3.384570878894877e-05,7.085224872038776e-05,1.0333772732407098e-05,0.00011168934733826741,5.120525912838403e-06,4.790524126052631e-05,0.0009813705840879816,0.0014176197055157935,2.6608724802645867e-05,0.0009336961108445119,0.0032595621628525584,0.00033964429215496694,2.0724175495145936e-05,6.022330362065453e-06,1.4482745825772358e-05,3.5734539300669166e-06,4.878993626694639e-06,1.066482966050053e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02290878984355471,0.09331803812475625,0.034182221861748685,0.004731492221990097,0.007212922085727103,0.0003815823748518632,0.0047651271010609175,0.00013342208046940307,0.0002776029560074278,0.0001658725536481942,5.858154647464531e-05,2.9721066705512555e-06,7.528534566869638e-06,5.218685548147306e-07,3.521857924870808e-05,1.8903251339796867e-06,1.972380307613264e-05,0.00043965862170325387,0.0006343529369472467,1.1146506261994205e-05,7.06813718465149e-05,0.00019519378541121846,1.533282744770048e-05,1.4611150058740918e-06,2.060227946243387e-06,1.5883671951044676e-06,1.423837260317029e-07,5.181395302811254e-07,1.743292266098706e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09347314615722335,0.005828309841154233,0.03374349078691807,0.006371847477981918,0.00023254253551696635,0.00011199651954219014,0.005045494662291983,0.00025151676580192905,0.0006110784394564028,7.020934780532784e-05,2.709480548146459e-06,1.0457548045739173e-05,6.4648025210889415e-06,5.961207073967856e-06,7.918936080208994e-07,3.723286645218593e-06,2.634529520517681e-05,7.606706207141656e-06,1.633283654101092e-06,0.00012505883378399751,0.00024498748868340137,1.1059335650709379e-05,1.750634119890293e-06,4.7440706962831314e-07,2.148073733110323e-06,3.6722817731149604e-07,3.766379197411851e-07,1.67293365604948e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0353225111281663,1.9524887351785583,2.7963926804240193,0.0870375028395356,0.07997968150824242,0.08162191179181544,0.01906452876849804,0.05185732486509767,0.0049373742848846935,5.3849604273903395e-05,0.00047025193244396024,5.0932539303105706e-05,0.0007990792823173165,3.559804377917253e-05,0.0003898270415134686,0.008250295777443906,0.008481063505104025,0.00019117141195401643,0.004962241895540759,0.020314858071584938,0.0023550364296240633,4.022812092019379e-05,2.659735352883441e-05,0.00012387379717082592,2.1755848573806746e-05,3.322310569714437e-05,9.981834172001491e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027601208148808176,0.09875718173271164,0.00754247603824254,0.02909070644693479,0.0046381483190787165,0.00828429094205485,0.005457816924585024,0.0014846751374595346,3.5529358131114464e-06,0.00019435837913150955,9.486482559273313e-06,0.0010357283258650707,1.5600340178112404e-05,0.0005142826933877132,0.009357249212199159,0.01747799203207312,0.000515096862828468,0.0013378539389621302,0.00164106744831638,0.0005547741390936611,3.3492425239867174e-06,1.8551470451155794e-05,4.955398167472147e-05,1.2333169844502834e-05,2.0403912449840078e-05,8.283166567091271e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09714573150629413,0.0066765297393733825,0.00510338890895512,0.02913055715252244,0.008189224029473419,0.053284181708654454,0.0018253630557688583,7.836693495244518e-06,0.00015536609266164625,2.173804406324642e-05,6.723900465055443e-05,6.676685668782767e-06,2.950184480488005e-06,0.00014722826273982914,0.00024280399760368,5.5660429870041384e-05,0.002070417187074236,0.00602431448526064,0.0005386108053493377,4.264986410706939e-07,5.458715187867114e-06,3.92870305523374e-05,3.0349528820083904e-06,1.0609167493402794e-05,3.394315845950402e-06
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.646811278201307,1.8745734614716612,1.8255459858622585,0.0025187453431931295,0.006333213050476183,0.0006122515974390369,4.94704720266359e-06,9.295920918725442e-05,1.5074741276932535e-05,0.0001889862658178143,1.588000008712065e-05,3.323704568791719e-05,0.001566672439683614,0.0010575896134856766,0.00010647788039797046,0.021671829504684298,0.15119500288482224,0.006829074352099507,0.0010907724110823525,0.00014840849162167657,1.636903965870906e-05,3.796955256749057e-06,5.287214751528713e-06,1.3302266105297278e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03160103729160868,0.03224997997811263,9.02040532034798e-05,0.0001974627856479172,3.491050244730509e-05,1.0451194234484262e-06,2.1674188669051908e-05,2.4490279557642936e-06,0.00018918995814276585,1.0613893983268952e-05,6.836519141351083e-05,0.0013119671769846741,0.0010125944451970792,4.7713846309749286e-05,0.03445336999864468,0.3805279247859862,0.009043185516643737,0.0007514803532135961,0.00014565257136633925,6.552082652988567e-06,1.334586282042416e-06,2.787093790868056e-06,2.1151334750335593e-07
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02890950044524576,0.0002830791870744864,0.0001766529961984009,3.748961183902555e-05,6.541660313441611e-07,5.33308577921332e-06,2.8651314964989183e-07,1.0405638912192039e-05,1.5957694454726834e-06,5.337529669358076e-07,0.0001127789182757688,7.46550515482447e-05,8.775514983128119e-06,0.00037982034446704116,0.0014138438142899945,8.794912539322741e-05,2.8557619404789847e-05,8.453427915444678e-06,1.4867132751561485e-06,2.3989195097051663e-07,2.699991582533201e-07,1.0187905408187703e-07
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029143146011012533,0.000673074768641424,0.00010036859495876627,9.988265741167623e-07,1.0064897198347467e-05,9.460225596225058e-07,1.3683834182431909e-05,1.2792035459785467e-06,2.235526909144525e-06,4.2700117935501325e-05,1.836552444611783e-05,1.1001609673266799e-05,0.0006167970682821045,0.0019890065038394855,0.00024239650197033225,2.3834930480859384e-05,3.1101632729235718e-06,2.3754517907148553e-06,5.664204796307359e-07,5.157571500991054e-07,1.323062110980544e-07
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.434824687156606,3.464993791177338,0.1384976294981659,0.2762781890201699,0.030780790496045984,0.03369185398485222,0.0010031282919162887,0.003637942271804251,0.00382068425010626,0.003559308123556315,0.00018781458289285347,0.001024814025058024,0.00024649324651737636,0.0003298232180199423,0.0001043950067289856,2.51632789427525e-05,0.030967549163625707,0.005902246835764208,0.00623206885763819,0.0013666917602861428
