 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,C24,H25,C26,H27,C28,H29,C30,H31,C32,O33,H34,C35,O36,O37,H38
N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9077180126867597,1.859823883643251,0.0028504512740968324,0.0010658276075979495,0.004213174026588676,0.008283707670778129,0.00044675806399965823,9.249306266523316e-05,8.474087084441029e-05,8.092189521025084e-05,3.993775368194008e-06,1.6638703549995415e-05,4.7816768151895395e-05,9.321703261644387e-05,5.466870991843731e-06,4.41634154579873e-07,7.442774466154267e-06,4.2215868845119076e-07,2.7204210426012843e-06,1.4455732033624713e-07,2.745198658837822e-06,6.308322721693127e-07,1.1233522412279484e-07,6.849280582713058e-05,0.00011385011595026195,1.931112102995791e-05,2.609563468203291e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037354466374117434,0.0004545204586257068,0.0001821573728617576,0.0007766188127535933,0.00033313714500482483,8.925826001349169e-05,4.335013926559661e-05,8.10302601061963e-06,2.0907250419810453e-06,5.312758482034496e-07,2.6845733503977343e-06,1.0023013671478509e-05,2.352606040734173e-05,1.0159133826403988e-06,1.221213175028879e-07,1.5574439212739932e-06,1.013394943516488e-07,6.239982631717211e-07,2.0194832694997444e-08,6.060090614878888e-07,1.1938872268579814e-07,2.1316751253053212e-08,7.224970730135283e-06,4.768223035744867e-06,1.795665705683902e-06,3.967577235641784e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004724428920183099,0.00021650283844520946,0.0002663014514144857,5.831460383842746e-05,3.227411862760654e-05,1.501041115070656e-05,2.8647793580693914e-06,1.7261465350415506e-06,5.486881422545054e-07,3.7113409945277454e-07,1.6120768030480903e-06,3.5099111415082263e-06,1.9909926629591013e-07,4.685539312099252e-08,1.6797757307340788e-07,2.323069314691395e-08,5.128215763150479e-08,2.1507380321139635e-09,8.72752112801578e-08,1.9549351137904125e-08,2.6538198305559035e-09,6.464464943789494e-06,6.7826195012665735e-06,1.6559948943228875e-06,1.9529734673895405e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.055297694958161,3.535281239984707,0.14515654820905566,0.2756878433058517,0.017860828247693528,0.031512578937352514,0.0010100339075351794,0.004086536387791995,0.0026907129934908014,0.0013903673267830485,0.0002565878325866411,0.0006889440807083813,3.374256119270669e-05,0.0003584900765512544,5.870845598998642e-06,0.0004072628956326707,7.208901700028747e-07,0.00022567730086700544,5.015703716752806e-05,1.2066803573018703e-06,0.049016150015859655,0.0160798538931375,0.008035185697417707,0.001087818915015748
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5321881031248034,0.02383536118316265,0.07302195583726796,0.025780451810624716,0.007985157295917311,0.0008690888547318032,0.0008181496640018437,0.0015677684118352853,0.001049599930989742,0.00020477800900187138,0.0006605842975728193,1.9789662176084022e-05,0.0003308661324528811,2.144399138814812e-06,0.0003153649313000495,5.358172672220718e-07,0.00017675512354910217,3.8745882206259186e-05,2.785135386762505e-07,0.026732013143563216,0.005975563108856288,0.003340329566659833,0.0007396844342781872
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8049681374603121,2.8927877911473785,0.1023717804955121,0.17266356478772515,0.008302042662525544,0.02492785023079369,0.021024787763008035,0.011078142734981047,0.001650223132183548,0.004067659054786149,0.00021959247667502346,0.0017982948227161927,2.54353903925697e-05,0.001514418690454447,4.471279135165318e-06,0.0009548040682907377,0.00023018375334749042,4.634341134401865e-06,0.20093386716287281,0.03170191372069757,0.028961912999732595,0.005160083808609217
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09972257576155708,0.023252686500060626,0.013472916604267193,0.0051938077709983155,0.0004650542623745313,0.0020622966627545924,0.00529219061590136,0.0036687969013959876,0.0003048543612858001,3.941113133176799e-05,0.0005678562401828513,7.427653398339729e-06,0.0005108901265318266,7.546066065566848e-06,0.0003611817098190251,6.763150194111223e-05,1.2063914933246878e-05,0.004318994531993359,0.002659781062925637,0.0010218815414296811,0.00031240805652110737
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9338594794735595,2.6859706933003444,0.08467416507401238,0.0921502548958768,0.1742276179682316,0.03510701454891599,0.0007525858964396726,0.034888631202549175,0.0010662852543967816,0.005005117819990718,0.0001875965308471006,0.004464256013546747,0.00012503595841617532,0.011404461203441879,0.002853248251092802,2.2115709025549712e-05,2.522965785947847,0.26369343228372394,0.2151473337169164,0.05422272583180576
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08306214399925571,0.03331261782679018,0.004251256816646398,0.009876523443443697,0.0009379564909797189,0.0001761375498290363,0.004117424714915718,0.001214023372889672,0.0006060009333053173,1.9346828497690538e-05,0.0004796285232623321,3.636284525709854e-05,0.00035038358658012747,8.530040140886097e-05,3.4313666690266587e-06,0.10995077666679087,0.02778154116864917,0.011698811761255201,0.0005999575815869296
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9664389935881188,2.0597927305107855,2.633248330258958,0.23588155694879864,0.01441808467107597,0.23842973681961874,0.014039037823023293,0.03571858102379612,0.002471372607059541,0.037331795540117785,0.002381786566462596,0.02038593952413778,0.005142590851500817,0.00027897119198327935,0.19579543109745048,0.04026933678318237,0.029744305824525377,0.0020908399501264885
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024957953946023403,0.09527856855860062,0.017091467104564106,0.006238819514520877,0.024809031365731204,0.000728474794871703,0.001534298510591281,5.7569622302633405e-05,0.002837582410982309,0.0006699274387338416,0.0017914978528958958,0.0004124954159864247,7.252708177940548e-05,0.009353931950135452,0.002176026848621837,0.0008867087837853838,0.00015218103235548064
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09455494397687692,0.026146271698067047,0.0005399632986453629,0.017390344312309014,0.004507685551271345,0.002823459235434256,0.0005372097769664741,0.0018558221898978822,4.6483514213546684e-05,0.0034912312362285203,0.0008487349912615905,1.1605795312563671e-05,0.01131178246185871,0.0019677969662381667,0.013282212100357738,0.00024320098524244216
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.629690176642163,0.12092058003006301,3.6020929721305746,0.12124268317747489,0.3299858563370696,0.026242103877769485,0.3284554733961249,0.025410478748395526,0.26498212609633676,0.054490588082694066,0.001345494044487805,0.031393197040580245,0.0075476224151538734,0.0046184753616855395,0.00046831156494819837
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8565452741317254,0.3371762679446825,0.028830294337560458,3.7057890339061768,0.12859773352593107,0.2944337069615123,0.0039505928554341985,0.3463953525160071,0.043355410185352355,0.0038586619562457347,0.00698025721564452,0.0017559921486665492,0.0011327473190610032,0.00021011459544673095
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028308520733802744,0.0017029766159795123,0.12980290419655915,0.00857526143733911,0.0034870507292489306,0.0004063328826979795,0.025959369111444364,0.0031590618892137767,0.0012851928863124584,0.0002052738734210635,6.924401876162722e-05,4.4392531129644475e-05,2.4318744913376378e-06
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.007354210860575,0.30583831346076334,0.003923188368651687,3.6656573540808193,0.12411047459119207,0.34903922103392626,0.045694489345522046,0.0027408082072745144,0.005128984176883511,0.0019316776654904472,0.0005545901160451255,0.00015156374811142737
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035153034904764624,0.0004278682418834556,0.12885929484598635,0.00854116276887118,0.02644051554700111,0.003278980146452115,0.0002080900559400245,0.0003127585917395148,0.00014295509484973934,5.577483604723987e-05,3.3637285847820664e-06
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.006531006534223,0.32715836015420185,0.027283414136168416,3.516343142285011,0.301204673816861,0.034002364740141844,0.0014423650367989538,0.000317657952968578,0.0002261672421492028,3.6715457252256556e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027954841956361887,0.00192118279174891,0.13073255645197723,0.012515454202022158,0.0012785617075778966,9.940960439935864e-05,3.1170120945001045e-05,2.6606700251785576e-05,1.7765442117401165e-07
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.858832036523033,3.6279211760545547,0.3120345348658209,0.03089746675038907,0.001045676948785601,0.0003822361158638543,0.00012462293641794797,2.5697898570431477e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12478112077222359,0.013085434131768547,0.017116409491472417,7.510004912147927e-05,2.5408574099050618e-05,1.027202280634576e-05,1.7289242837392749e-06
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.075383561679656,0.13579715954214766,0.001771078369977086,0.000674323944359595,0.00015797046074650378,8.44814270212213e-05
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5730096776497988,0.0004908729964024083,0.00018194618583859679,4.7185995736775954e-05,2.3541254697612146e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970452898328986e-05,4.132504632159417e-06,2.018944446402493e-06,1.753103462398542e-07
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.915642450514688,3.4360481149229347,0.16578086852532647
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505957546447217,0.06856238877564635
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6162443056378182
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
