,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24C,25H,26C,27H,28C,29H,30C,31H,32C,33O,34H,35C,36O,37O,38H
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7615663213444033,2.153468302259848,2.6731507114380464,2.462050813985762,3.3973379895986486,3.7346443837308128,4.049188031032872,4.752937282793183,4.564466107561307,5.51179701775416,4.8261556764952775,6.160420144441803,6.690660050435644,2.7585197312984047,3.2777276287987553,3.457997314601902,4.106443445289844
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.154069873654009,3.370308186739718,3.6883384246939706,2.70722183933859,2.5314026607759454,4.54241328612039,5.485703299441595,4.072361450140361,4.775643869414834,4.825001441480522,6.176292574071965,6.464693734626882,2.669131704077621,3.661028358584588,2.6566645295153997,3.462258890828444
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4029041821503145,2.1579770900534374,1.3999900127130236,2.156872892194582,2.438528036727774,3.426494910156626,2.436649573123132,3.419932124701326,2.819055363562241,4.18667609546922,4.618495962795779,3.893543950555062,4.764085497209568,4.36753389308988,5.267100831327767
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087966532331625,2.401596121987554,3.3929351832478325,1.3924337647508815,2.1649378705153683,2.7828702459373873,3.872010221999773,2.4144491984951486,3.6445034977917636,4.328892525110462,4.801389461285918,5.445663704841746,5.515884270218948,6.362504915264687
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.391378776874178,4.29825077077073,2.142689960368389,2.4833773739760265,3.870789276198657,4.9599329489188735,3.394961145934363,4.507903025997741,5.27910096469022,4.729408474573391,5.1446808073712536,5.625753209517001,6.375460738095603
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0883356597985796,2.7858166366546158,3.871478487923141,1.3949816469121623,2.157723100813838,2.4175607025337453,3.688138826330745,3.8374186375733665,4.661786191296815,5.701754322608434,4.822832917766442,5.775409421290126
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.874081633930547,4.959684664523958,2.1454619426013233,2.4688783335796334,3.3979825380704063,4.569415974179689,4.54636050175817,4.476943723509118,5.623487258904805,4.343284857819092,5.2855351427997395
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0857439965801738,2.419287614973414,3.4078930193383163,1.399038552776128,2.3667995430976463,3.175897900877238,6.09770525833002,6.781617672774413,6.753103295532664,7.640431811500132
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3972659229059317,4.2967592281172085,2.146689967485808,2.5718189948759567,3.5192777469380463,6.8953270712631864,7.458072551836882,7.657862517954244,8.51371627646916
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089161498178551,1.3989228980584356,2.429309731902393,2.4533400947651254,5.988814360508138,6.991732343106222,6.197101014634735,7.156844912893631
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1611001806337207,2.6932569998451656,2.297792744181626,6.713502138827911,7.784712272881907,6.760365807175751,7.719474956502121
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3685427074594636,1.9167804823516568,6.60648224525095,7.461939983890759,7.045952474927304,7.9881322028709345
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9700841650260722,7.951599180798054,8.794281379735807,8.389553003331311,9.338856906399785
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.314246036370355,9.239877139673284,8.62278316241389,9.586042187177762
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2110178055904381,1.3544086933662487,1.8783883679142799
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2538468162570857,2.286002122295788
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9762857784624985
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
