 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,C16,H17,H18,C19,O20,O21,C22,O23,O24,H25
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08065082157297343,0.034619081557423215,0.004197972671847516,0.009965403714309984,0.00028470411114978056,0.005786788842319979,0.0007942701476064684,0.0008537053034567421,0.0002789413715604816,0.11454707053853208,0.024135069029463274,0.015926296347996027,0.0012098498357429044
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0472540148313536,2.0971114014231227,2.8284715221879617,0.09426801744061786,0.08165774494382494,0.13874208302819127,0.03509001358723806,0.045616236367012925,0.20414971685775216,0.04340318041188128,0.025674932758851104,0.0020229224254314504
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023682677148125997,0.07737123802092283,0.0013252689631946257,0.03127223660054668,0.014064083121845705,0.01408374934750356,0.002735657784728951,0.010646543710655765,0.004299089882900287,0.0012260243648378744,5.251710295084422e-05
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08626311013333665,0.010174983076144617,0.0014297406364158771,0.02198591989371823,0.0041513861699413734,0.004023888764412065,0.011585316471421914,0.0016670016566144863,0.0061725495494242555,0.0001248304595486971
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9777929511189793,1.8349550770173988,2.564846652677244,0.2594672155305604,0.32549880854360996,0.03450249780155973,0.00902326565584749,0.0040689063041567525,0.0006655886767779062
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024520448899567615,0.08819104953607115,0.02340910566896448,0.021050525179530766,0.003491660664220131,0.0010600241243535757,0.00045008521691558556,0.00010821806649952137
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08700344055994491,0.01736749555413941,0.021391062518804738,0.0016141192683072347,0.0005626388238333391,0.00016544122286599183,4.0714260958196746e-05
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7253499166148965,4.669252824275233,0.002428775263275701,0.0003882324347988797,0.0005351755778047751,3.97863081926797e-05
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5533455202593422,0.001658729309671994,0.00024699778902004255,0.0005551622203580908,0.0001929509404997587
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018740111047005903,0.0004886363952041339,0.00036321667310948436,2.2647626970684342e-05
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.947106736440596,3.3785517129961047,0.1712700179083535
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514280999401861,0.0795476677780238
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.816559815960268
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
