,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15H,16C,17H,18H,19C,20O,21O,22C,23O,24O,25H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098885211349131,1.549338153578708,2.158599166031265,2.1498763938953003,2.602566854775011,3.490850278343645,2.711815571945244,3.4817449040013493,3.3648356943474553,4.641639572931736,1.5272465343829469,2.4569843323649887,2.3890420753943236,3.2078488334482698
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1759676563394175,3.066230289814675,2.4819649761357527,2.852333057093988,3.679277362333493,2.534228227165951,3.915951784266317,4.023188875326624,4.940542101756834,2.120626978891342,3.242261144386033,2.410958422233143,3.3542497331875074
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970789667989036,1.0986577111427291,1.5434534010292678,2.1668889909969056,2.1764223988650513,2.677139863166507,2.933474448315921,3.7440902357647667,2.508899279456836,3.249304741273979,3.189268580205497,3.952068644345829
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7691009270357079,2.172923075364969,2.6583248968476245,3.0624930545103846,2.792196708545158,2.7485346790343343,3.8886659386632023,2.7261801442605287,3.05663376569266,3.642306877618679,4.214104297387554
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1742308215199273,2.3503122687887816,2.650191908961301,3.558233385247284,3.984351035036822,4.470640188880793,2.6640797394955817,3.5011148484362242,2.8868973274021563,3.6094565227619335
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096690018945234,1.1010508040136395,1.5718603436976706,2.4405122310520078,2.3808210313215965,3.9184970751146166,4.691180177262963,4.531713867185755,5.381586321179485
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7478317318876317,2.1506481748601916,3.2218005130384997,2.504927727388726,4.639076766120561,5.408881851188618,5.081426143344642,5.8939051200164805
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1718107204280264,3.0340235334496817,2.7615953727451252,4.143933944719267,5.085230850817698,4.579693686736816,5.513816663965465
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2818815192584376,1.240288918957403,4.822115491793038,5.3468344343202014,5.713491006153133,6.511444954775988
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26320529565159,4.554393077006106,4.8378372738233555,5.668994920304115,6.374541236027152
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0136793181292765,6.574414448230166,6.821726075681173,7.646877930765603
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2104198108188304,1.366503333187523,1.8688011344460422
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24892191449404,2.2459478035040803
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9755824636904525
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
