,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25H,26H,27C,28H,29H,30C,31H,32H,33N,34H,35H,36H,37C,38O,39O,40H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1383887511171733,3.2422849018810793,2.462964387687709,3.713542627384275,3.591889962219316,4.974265644211183,5.411245013986619,6.058702237261354,6.065407373967863,6.4015868328352425,7.320044750150664,5.694769833754195,6.898592606450003,7.338084150056731,7.819467273784006,6.125588091973974,5.161954794944252,6.811424365237914,6.186418184030127,7.2633983269056035,5.750831839283526,5.957119683348371,5.010256879622617,6.546986348119918,3.4096570437699376,7.335748188679742,7.5720586954487565,8.407850700791082,9.176528256113286
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2161654212605213,1.352010883991704,4.334919640191686,4.266471501055859,5.29004107843938,5.737333358117736,6.228880866795546,6.4741058087391945,6.080290177848075,7.0280843893244525,5.299415457280364,6.214552511423936,6.8050897100415195,6.981842589450579,5.09461430922086,4.298580214752298,5.6644733066033846,4.802951053642072,5.843825255944075,4.524926939800884,4.1972769628370825,3.2048143588674973,4.7601579745112055,1.875326862754103,7.5538101888382645,7.841754364171167,8.588352662310717,9.378536084024129
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24681557513157,4.692529338224815,4.794519885036161,5.385316149616478,5.741263346920367,6.273840431929208,6.696693501624684,5.93132473110282,6.90141564222297,5.234616870446421,5.770655177209208,6.3545404636899665,6.462384780116143,4.459716936099584,3.7718739527176695,4.864353885131992,4.103203396481516,5.106913140232765,4.069611209476932,3.258756839466412,2.2458483118403527,3.682994627727951,2.2697464059372447,7.51433968212957,7.751431870088373,8.549275347556872,9.29891224868016
14O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.378707889539204,5.095070761805832,6.4501124724878585,6.964099790906016,7.322211713388887,7.432917651174428,7.147506791913506,8.021184994043978,6.266217245985142,7.394122224342873,8.055170504032558,8.10113174005471,6.304837325912664,5.578115076775692,6.905855592411254,5.815188412911816,6.789536552344636,5.4189743038763245,5.116777522403092,4.180245374505088,5.7327747569246705,0.9768908370654931,8.710401815651542,9.065581975783882,9.687383433837635,10.517341503541529
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.231993467735696,1.3608042235354267,2.0637544202683955,2.4577835361248863,2.5985095073289615,3.3016043795808585,4.198765528161768,3.069563942562916,4.065647371882185,4.266160182296131,5.092835761762661,4.042995962393684,3.1949489566885116,4.862706988323162,4.785225285771362,5.707197367920672,4.402280969739643,5.427989472289387,4.901560859272072,5.969921112094413,6.115518746487219,3.641296313291078,3.9733842674755584,4.734897120713644,5.471589804473624
16O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2715450202787806,3.1675299208372065,2.7914989268577206,2.5231387794741975,3.373551550010769,4.103549386678245,2.831638518378231,4.435876261068225,4.87007106424748,5.3330626913254875,4.469074689744141,3.7650448511444004,5.437166586486421,4.8667967676164485,5.749487362456109,4.223118523702755,5.532305748889888,5.023246695149904,6.242976794948307,5.855196305485909,4.182299242334167,4.784892481921981,5.030852020992988,5.8814535410946105
17N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0120812963967,1.452507099933778,2.0763250137862412,2.5242287795545817,3.420042575375368,2.7567456882655277,3.138862933774428,3.102872365681253,4.187888989513553,3.4655244776384944,2.804913127136111,4.188144679178252,4.533315215167913,5.309758627220256,4.338515709338762,5.414889422375121,5.09534935747351,5.827053281771033,7.08858529920672,2.3935899331074237,2.6809489140452074,3.5982668651727128,4.265492908047425
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1080105013248365,2.8600490550686435,3.189032731304546,4.063701396243428,3.604596193469753,3.437509204382106,3.0881907471522845,4.499361816511923,3.7166980235972935,3.0299756921740446,4.202437978878589,4.995215035072487,5.749282198322495,4.995268943857778,5.802140995780283,5.483374841998898,6.055425973858932,7.585875388820579,2.431125146166303,2.2263253024571794,3.767820957526747,4.234203922529157
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0973154334135475,1.5518295907296897,2.141306844454264,2.1362538784951015,2.6201845971820332,2.6786846059105325,3.460828200218804,3.533335153889161,3.298056625823232,4.341713470045707,4.491118274493792,5.028154231746037,4.193785824693948,5.6657047566524685,5.573614604565495,6.1392823050996075,7.906989857227929,1.5211723269094994,2.4299198516200793,2.3813131815552,3.214249844046553
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.148401041230288,2.4001513547618183,2.4065180808406454,3.525857558108789,3.715945777737633,4.243522956985612,4.417638836874072,4.154696516807314,5.317429409573159,5.150103376264704,5.684005685444629,4.643605205836854,6.311520512231008,6.17071381279658,6.901998948244975,8.08322417482287,2.137648177088589,3.1401927532716103,2.604316346804539,3.5025944707414225
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0958887403869666,1.0947937821358162,1.547101131417485,2.1784904632117854,2.1640770654346264,2.610653209170517,2.80647241617722,3.524852865236168,3.2784428276000495,3.6341564195162754,2.968495091789526,4.620855166666135,4.7542074417280995,5.140778749193745,7.573868131001613,2.539898864504144,3.4797289181211473,2.9549446146482135,3.8157101393493305
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7566135861355183,2.1833752683853964,2.7332296501892275,2.312600713077201,3.466932485646745,3.841213666702774,4.303408166351152,3.9386402708012787,4.037562358728925,3.561040866122091,5.359212009013616,5.613049330813294,5.894620754550844,8.432183576963357,2.7581146684126514,3.8571539245659716,2.6349948960700593,3.509306944313075
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.192681524390637,3.047247170517339,2.7495499661498153,2.683760916304747,2.7449302985560218,3.7518316773131635,2.9055326115323767,3.415055090805467,2.278779550682857,4.132291655941736,4.17275744004755,4.827749093579006,6.684794290246373,3.452072183539231,4.373844776132031,3.9051128768584684,4.816857863894513
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0990043573084838,1.0987915537731543,1.541532792678703,2.178073867526647,2.162341618373737,2.585684018770009,2.7938556045865353,2.8324663027968495,3.9154137288830637,4.234572891832211,4.168659520072065,7.681065333335545,3.1130659968388805,3.6599947222239466,3.6417262465145552,4.256901981398482
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.749178650768357,2.1663182501197813,2.5879911295063276,2.3811885595086,3.5020707501443584,3.7031243669349405,3.871585601687167,4.697301598283547,4.958417384168717,4.777721343014806,8.383815395742493,2.6494231041430285,2.898208603006643,3.287377815307176,3.6980330318693064
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.153989244118058,3.0663988307391388,2.5440174599817085,2.733803347316459,2.4896222690146885,3.037735243551796,4.122479733745568,4.666505914877116,4.332300410825049,8.301582072370998,3.790364199358029,4.404604226757192,3.9807797306024457,4.5317506296424375
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0980363204881893,1.1003924845105646,1.5418969848486668,2.161008580655887,2.1783734119243565,2.5529245589976974,2.8119662490741315,2.7341156361368086,6.48270493896356,4.287794348869112,4.629267082469128,5.054107057585783,5.669952169670299
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7591149315818364,2.1694900510066826,3.0683585631284784,2.5378323891499655,2.8035945250383336,2.6503226595679057,3.048045072320756,5.861244817212835,4.19242301634132,4.423441880437613,5.177938878020576,5.816092522502405
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.154597273720954,2.495637281428979,3.070086120201925,2.7867270100452375,3.1519929706039687,2.546668174623601,6.999810846933108,4.82537518015199,4.948412787339067,5.602682174843849,6.075417517372711
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1000986709928153,1.0981158785638918,1.4626082926932247,2.0571236647866944,2.046594763794968,5.828014943820818,5.476295455168559,6.005163642495687,6.073018178088089,6.788266163500492
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7548047547896297,2.084972822283984,2.944995371643197,2.42838880240212,6.729703396521795,5.853147218840571,6.430555019198862,6.251212523175147,6.916317140525246
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0742160985007154,2.3769045779203264,2.9304300338502567,5.514961452365436,5.380567448576429,6.076202305948945,5.907108263069385,6.725024454536332
33N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0202497666956074,1.0196933054330006,4.92966680950104,6.701730133491195,7.105455628773381,7.424016644250143,8.125667652682075
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6319293531958368,4.047707347957097,6.7045035146374214,7.05586778386795,7.555109956908871,8.282012892798337
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.490903189227858,7.011081281750754,7.27399626511945,7.770884740189478,8.383962159664879
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.287551872966974,9.648038339341525,10.241990419997489,11.070713069786661
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.215010637416944,1.3472506721056206,1.875984193544908
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252771204635841,2.289244239780786
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766070096988819
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
