 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,C24,H25,C26,N27,H28,C29,C30,H31,C32,H33,C34,H35,C36,H37,C38,O39,O40,H41
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8931764985269377,2.117186564982104,0.025545608751010085,0.005573144470625638,0.005962232505912324,0.0008955307697584569,0.0013230221004080223,4.768062969240372e-05,0.00022631608895856692,4.737096464491053e-05,6.534052718221162e-06,1.7157937028555725e-05,7.422889634539631e-06,1.2499643089469714e-06,2.0969750827992684e-06,1.8608513605022914e-06,2.7525164147945702e-08,7.426037864910473e-07,6.723538792940964e-07,2.1440773756431497e-07,9.854178031898364e-08,3.286936944846275e-09,1.7733426938004726e-07,2.600609283476274e-09,1.935483612269806e-07,2.8199320656341342e-09,0.0001282875307460074,0.0001715374678340903,4.462519087021499e-05,1.1559170659758422e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02448049597414137,0.0011123118668012744,0.00028175833061749866,0.0008556371864614221,0.0002363466382535595,0.00019375422454737112,2.0991729439145956e-06,3.4975620007093866e-05,1.1788304725257603e-05,6.941050811892779e-07,3.4695197443923576e-06,6.346880114804776e-07,5.324923897376266e-07,2.950434125903456e-07,1.9071182921770458e-07,1.47197234401375e-08,1.4543184967408251e-07,1.5518531282232573e-07,6.324873691454513e-08,1.6391950241612108e-08,6.714704348098621e-10,3.2867248922485715e-08,7.261116152790237e-10,7.599094575816423e-08,1.2902430235328666e-09,1.1857728194453188e-05,2.474832293930529e-05,3.336585210123033e-06,7.279187983488811e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001931412531055443,0.001208880692684211,0.00016754411952435433,7.611034509213965e-05,6.659244620110805e-05,1.9903058879444657e-05,1.5223962283927861e-05,1.5416809775459228e-06,7.449478776067053e-07,1.357455879702485e-06,1.5892966491737326e-06,3.9841314491972923e-07,2.8872952873015834e-07,3.2688251860868434e-07,5.628172594640546e-09,1.150335995347973e-07,5.568690575330493e-08,1.1982129732857061e-08,1.830349072307058e-08,8.528500128335281e-10,2.4484662963786263e-08,5.724265506046322e-11,3.815724047839808e-08,4.766942396372542e-11,4.762084898635166e-06,8.942931979283308e-06,1.7716246047960738e-06,2.4254982911031675e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.968823885176983,3.484920253761546,0.13741801547043364,0.26811466580194354,0.02445493383792874,0.03344738361061958,0.0037009422684894933,0.0008940713594929317,0.0038123619715860757,0.0021918069857006783,0.00030882859224812265,0.00039577633562731807,0.0003958069772267703,6.141179656804496e-06,0.00027359097183238257,0.00017146829988584633,2.716895066967595e-05,4.167939100821472e-05,6.724858532258793e-07,5.16947572220261e-05,3.2147398987270037e-07,0.0001088043742032696,9.382022958526193e-07,0.034827793031469156,0.006409729872722841,0.006920071305347469,0.0012806108190015486
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525848928046868,0.025926541957585036,0.06907590643010218,0.0505441862641729,0.007774727099744069,0.0010899328648044104,0.00038849324223233506,0.0026413850564435543,0.001708647287451584,0.00032906043242109106,0.0003264961973427488,0.00026599853543940455,3.71303446611293e-06,0.0001483965662960468,9.014896900590152e-05,1.4318205701302489e-05,2.7611930381588046e-05,9.68914131815879e-07,3.753231597376783e-05,3.203488374570185e-08,5.944663530801919e-05,6.701202409642448e-07,0.011592679574479764,0.0020590901964436803,0.0021651030571326405,0.0005271618304617531
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8179476573974294,2.798351026337362,0.09667665919468116,0.1799423760882767,0.025594897324930255,0.008930696486074141,0.025210125704556163,0.017262221379985676,0.002623303360795637,0.0019777391273278627,0.002174278370121907,4.6107436513787015e-05,0.0017928562243682833,0.001065026261162616,0.00012331167902734919,0.00023776092291323547,3.932717444810052e-06,0.00020253929358630962,2.6497118463808533e-06,0.0006928802377358934,2.8205382092139075e-06,0.20161976999061862,0.036774863397103355,0.029269812268494635,0.004988344149177704
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10227570078696746,0.03433191983971584,0.006600032590594274,0.0004931651596622455,0.00016720748251186635,0.02325250033383852,0.02556422659443358,0.0014091144121495258,0.000987499999173913,0.0016208061617293268,1.6808320590921966e-05,0.002412923133551681,0.0010531230824153415,9.045510913630039e-07,0.0002730812154742024,1.9616378410525215e-07,0.00013763674670086434,3.9659223283194933e-07,0.0010236296470996775,4.058391778194448e-08,0.008861677792299738,0.012960513961920661,0.0012163805730556199,9.609712272706794e-05
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7702343590089173,2.7622862853544614,0.08991516807677069,0.09513289627975285,0.17221470725440632,0.05044555286530214,0.00045499921697778056,0.019270519742596803,0.013200249958063431,0.00020037348986801096,0.004112808285942543,0.0017920505121166164,0.0004702327091572478,0.0007203680649678912,5.342498284388597e-05,0.0015002768679721612,3.92552986050454e-06,0.0006761129355676021,4.934800940326056e-06,2.674139034426475,0.27629623648566937,0.2152692227182409,0.053557025977101325
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0890356012080663,0.004166719193234192,0.006711400309485915,0.022720204283873002,0.00371080745914365,5.9289067829260134e-05,0.0020108134001785016,0.0012674029275920873,4.45428481472554e-05,0.00040665417943830384,0.00010448378721716889,3.534546732675281e-05,8.019009257631549e-05,1.541611826194611e-05,0.00012182171057417701,3.146302915979504e-07,1.9626594077504222e-05,4.0291093794664334e-07,0.11872519907396062,0.031118679090267887,0.010364540093868224,0.00037320989124123294
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9518858971320794,2.01146313327766,2.7210753072917178,0.2542629946985287,0.0062310353272188035,0.18896423379412372,0.04874103440088255,0.0025368894963747612,0.034259283529540385,0.014524516674813831,0.003063958015290691,0.005016054714216095,0.0010845782487718392,0.0038648145911482634,0.00014288335121848128,0.0022462089682199204,6.105370626352524e-05,0.17749816493215037,0.042082025412095186,0.02841862917718184,0.0020447869090821635
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025891710669142753,0.10670662554415222,0.029972260893428526,0.00018124639122030217,0.011243841956875,0.004913961548873025,0.0006861886283267005,0.0015026123478523168,0.0037169841014063065,0.003535799383555416,0.00046942670270477826,4.86362793714612e-05,0.0008202613048322593,4.90102610464227e-05,0.0005669851957773586,2.360107235022113e-05,0.007330175258269067,0.0011872339609809712,0.012739473184876338,0.0003284216727639233
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10207141290797983,0.01793672176026817,0.0022965814491453518,0.023129372336387455,0.002945502097586039,8.209628062783025e-05,0.003119166754907976,0.0012319548731541952,8.51126729777274e-05,0.0006364871591783006,0.00010029232098407448,0.00060374446218181,1.6250855390032015e-05,0.00020791039748602191,2.9975012347804864e-06,0.028019105107860875,0.0046371631627522,0.003647963535586496,0.0002784453704243184
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.010299398551768,0.11534625531176346,3.158430052208098,0.48729589666666595,0.02560340897833724,0.34251498845639927,0.2283601200814668,0.007916129024803098,0.03928803915348725,0.0036836699209512602,0.07155668488780241,0.002895785633438841,0.025732271825795044,0.00036527274816178235,0.01612600181026483,0.0028153486135056305,0.0022371101095353396,0.00028784656729996527
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1128359717877467,0.391798325358124,3.080275111035232,0.1107628666142777,0.4619118547763734,0.10920348250289563,0.0007923578664250641,0.07312896749889558,0.0006833988271064406,0.03125063072130031,0.00094308972222934,0.07753646458067129,0.0009003932827946759,0.004016115762519867,0.0008001696580840351,0.0007595902781517422,4.212791360236334e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03071359528480966,0.09895806394392337,0.004833917295614443,0.027646825011891307,0.0029837093723099617,6.6204136964787e-05,0.0027243287707492403,4.549036411427565e-05,0.0009680831802404422,0.00011313699829829105,0.0009416591637987359,0.00010914192234290354,0.00026268954227259833,2.942757293245002e-05,4.213200837155373e-05,4.632757589551062e-06
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3832457135347861,0.031043186685028923,3.41948063278001,3.5413456710398847,0.12766833055580507,0.2866990900464943,0.02663262321737081,0.33791604469459235,0.027804297320581206,0.2341936292448751,0.003946934712630634,0.005889908680879047,0.001470022360187881,0.001412870990311496,0.000314264466363845
N27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9339372205624303,3.362201845826902,0.048035181528246776,0.004135436666266035,0.2523388371670532,0.007325445832304434,0.04928372973092743,0.0004523815303174583,0.0670863663995382,0.003033797280042494,0.001392332036663585,0.0002097502097156423,0.00012843254833969087,2.1618072296614166e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11530728291748327,0.003455919090370796,0.0013892972235090006,0.007013982616933312,0.0034118882964317976,0.000535327008319042,4.151040269273487e-05,0.0005911394178635954,7.028120805330218e-05,7.698846134718274e-06,6.134208089259019e-07,1.4768632597639275e-05,7.707638353782187e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29977409958002343,0.02723008549065775,3.376262337264322,0.13157182456567695,0.22882985520482524,0.004028498098610278,0.3538584547059175,0.02808276947145094,0.0007161544272057396,0.0004726895954637045,0.00027082366801935154,6.199479849966494e-05
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.076651292773856,0.3084698583568146,0.0035361805683133962,3.736998804341093,0.12910362344142445,0.3230727337170691,0.025617266613031875,0.0052447646487908395,0.0011126144011874006,0.011981309859504394,0.001740350985763417
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034575752846688346,0.0007578035046589271,0.12670445981984768,0.008500836576040616,0.027053340146549365,0.0011079276707814945,0.003098653388441175,0.001287003515866969,0.02364803642431912,0.0014059020285035473
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.082307550474177,0.32103839111606325,0.026123533759715212,3.904934347672553,0.1294553393080382,0.00039753777895451536,0.0001264782672564524,0.00024117926963347636,0.00013516524410606134
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027422456489029745,0.001053296239742929,0.1252989938713347,0.008415307357370505,1.5550311432965813e-05,9.532341359475005e-06,7.64446219736481e-06,1.745927906471323e-06
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0067494693919623,3.751601103564268,0.12197442929359115,0.0004931183007292339,0.00024018911817307032,0.001562157578079676,0.0003508591636289804
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12241672438959994,0.008121834727698563,1.5561340570124926e-05,6.2910345961508796e-06,4.9851477245344e-05,1.0652650777265293e-05
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.806701379564294,0.0006050358003508172,0.00023345161815079007,0.0003680592638458102,8.80337955931898e-05
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4333357705398342e-05,2.3812523993749224e-06,4.428709485315707e-05,1.0601940526600018e-05
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.243807861673164,3.3709219630147174,0.17155900593275908
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5055776757053588,0.06717711851335317
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7204878342645968
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
