,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24C,25H,26C,27N,28H,29C,30C,31H,32C,33H,34C,35H,36C,37H,38C,39O,40O,41H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0951955867249015,1.100138990109549,3.512995170384999,3.7377177428533606,4.703790898091732,4.854619402804344,5.900469426491443,5.907103399450863,7.160366895074578,8.017810082410753,7.151812026866745,7.601457328072414,7.487283433472369,7.067119715717025,8.582448277055061,8.357066354335462,8.676233834293484,8.997505378189107,9.383834025633965,9.335198252940705,10.099039488588033,10.56422352691494,10.428708992814304,11.143744359463074,10.75343517667286,11.670257464809636,6.294916888646076,5.897340116236058,7.48624152804043,7.835462255700445
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7677603978358754,4.172963661996586,4.0925199066832905,5.468212622847057,5.75357522272586,6.552540467974566,6.396878022350769,7.862124912460083,8.656367097191021,7.805635809238643,8.44432095653587,8.404201429064031,7.966608669907055,9.461210512304207,9.339875937996355,9.691690451655537,9.960100864123776,10.209607486895152,10.076583356761422,11.085543890971785,11.588922954880356,11.294552445712654,11.969263213882487,11.695335855402176,12.624124767269588,6.948572811676644,6.613543283124128,8.048316574319115,8.394772757887552
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.273177141634981,4.677614448155315,5.3358611831781415,5.316655366572631,6.639235207607598,6.75842139124277,7.797264297488669,8.722288686190662,7.766895429762147,8.073308856509634,7.788448789754139,7.307247669389511,9.027809401232627,8.551206952405417,8.748225899733423,9.283035089203526,9.913017441752192,9.96939800536586,10.338947634554694,10.699599001614642,10.893487658529693,11.658085823773316,11.086757577555817,11.970990310139195,7.052209958573326,6.580135162293186,8.304975840817756,8.641603259433069
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2272456779506076,1.3710185705007785,2.048119131049384,2.4581349533059043,2.521918218808795,3.6893259077928575,4.520150044879922,3.7229326938550336,4.381330659317114,4.597968930071831,4.35699774725353,5.497248932544608,5.718054590416055,6.314325928651363,6.209205349095055,6.274700449560226,6.127349613582032,7.459572276103799,8.132713704804052,7.491710712421426,8.214732532807744,8.010912299235567,9.031436513657372,3.277931979439734,3.420317629224776,4.434335320536461,5.0481757741583015
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28215034404994,3.156428816483872,2.814070971915703,2.3682948354851683,4.114134923614893,4.74312068871671,4.060611631528618,5.115844941395892,5.516659188081433,5.285430887503764,6.244414820332909,6.715791999487368,7.374385453821571,7.1220964010729215,6.871916538821906,6.543753934990283,8.382629133932104,9.129512546033094,8.148826213158717,8.779039728536194,8.820792825573172,9.850877606049801,3.601144793903714,3.9227482435293686,4.505225934067872,5.143791280872506
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012967946784251,1.4464834312873658,2.049122698199318,2.4823562225940705,3.404141847078838,2.714809599082074,3.0223764281574463,3.3424716603819777,3.2956522532854513,4.132115377665084,4.462366524365493,5.151101160387324,4.874788891654749,4.965375722962736,4.901230953121853,6.144260268662797,6.858100460856404,6.190612589314974,6.960260025370533,6.693482221794788,7.731963165588536,2.4389666249727577,2.7589783409160975,3.634673138622525,4.312204327996369
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.094376516292439,2.9465341145005945,2.7908197260910925,3.7794458491579763,3.143456120542484,2.79093215186961,2.848982559609689,2.872408739908088,3.7543842199525455,3.7775487926540503,4.391723196192472,4.254780262501756,4.713754529425473,4.859492566250366,5.475022640837153,6.10086816296049,5.813432935856024,6.657192796286925,6.13424677441022,7.142453209792444,2.7339559954434556,2.7489676991275864,4.010144979177069,4.5677503148220415
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094521461143136,1.5551380951354687,2.16405115860629,2.1380382857973665,2.578826244855582,3.4582201010845677,3.7187758217229034,3.55752770747648,4.5746270340883495,5.444347117621097,4.649592155729313,4.096635249230795,3.788487238123292,5.877789204643405,6.753510193984594,5.420690792330802,6.069734025381188,6.178816416461931,7.228292093526837,1.5302597092160521,2.4429158640170523,2.387176164566942,3.219559223412518
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1674492993134016,2.478917973734946,2.403354682304539,3.4920793497824674,4.369294308260565,4.4947972494220565,4.505035677085806,5.567773194814438,6.4277638904323355,5.663363515039016,4.918906935610627,4.432294136376918,6.89583028560746,7.794008485310026,6.270613528391557,6.828270825996228,7.13331057693727,8.17858174522972,2.12619296083958,3.1047769021629743,2.614963189796141,3.4963229140846996
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0952395875108099,1.0956807761794147,1.504649264070108,2.5689237867806916,2.973587329062563,2.648564701907716,3.7162195973567442,4.634431437458902,3.7777124509566185,3.3502272077798354,3.1743605955002057,5.062703618620029,5.950272361240391,4.718188567942166,5.455854300625598,5.422001006770825,6.501680563595654,2.5695642389988844,3.536021013687659,2.959709716606489,3.8378088937937527
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7612360674643017,2.146667271693055,3.393794682763783,3.9209007035146857,2.8308054571480645,4.367085434187535,5.331210038194869,4.142213019823719,3.096921391687366,2.637658600236662,5.278605100705823,6.253988879483297,4.4683753375890225,5.044135194533395,5.38697246913576,6.427756564842276,2.775404099330428,3.8838779217133603,2.6252201437708447,3.5080747723312147
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.140998289428631,2.7501497807413795,2.7810310592010783,3.4649681111584374,4.05434042419418,4.85323423503859,4.402029941118135,4.300376840456511,4.16134489449607,5.748011478382195,6.5471174055138945,5.640586293990134,6.410049273048135,6.2470292523531326,7.329285028078802,3.472743051139583,4.427782961193273,3.8899024331568395,4.8177999900869795
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3763477538453723,2.2257807879921137,1.4461124314626868,2.2603784644228195,3.2265601443948544,2.309798241161978,2.6279226847244024,2.9643735643621856,3.651951490814612,4.479765818255456,3.8234619188429804,4.7499024850986515,4.21962777245612,5.304613994193657,3.165825670451704,3.7715081658238727,3.69448694188271,4.356601992251726
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0821811632755953,2.25766610222641,1.3815248135430431,2.1289196602582403,2.2523216997854805,3.6518488827391153,4.214240363369553,3.625218616995679,4.164742533659125,4.596667576672963,5.63053137153842,4.586479173328943,5.614451955250321,4.208627364718443,4.593559255140026,4.957981419913236,5.590105549963991
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3217558071324134,2.144637482048856,2.5156329125088646,3.270019469986949,4.698979765931247,5.178246355389674,4.597450340558542,5.00520419493512,5.677729695693708,6.707161965305787,5.636721247669779,6.64455849227838,4.735138580861534,5.1246097826503165,5.595064580940794,6.300596601381098
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2565555305766387,3.232111453857366,1.422873063205058,1.4076665705730966,2.1693797739298795,2.4738722824950217,3.46095184146014,2.4111848301996788,3.398265634106175,2.8042617118376003,3.890847559410146,3.5572948116924152,3.969828942774255,3.8234053468384968,4.224637588392345
27N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0081370966763539,1.3805669932781448,3.5781815239704744,4.425890038442142,2.5234082052453854,2.86169520020936,4.125639016556003,5.211487189627025,3.7196057293836877,4.643090753910104,4.999156732829787,5.180544162298886,5.685211901457662,6.151890754278591
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1300509540527615,4.497730667114935,5.395664437883341,2.8823417281331905,2.8347453781129954,4.87551996446387,5.957770207679234,4.227165706766682,5.012647123945055,5.909142390798262,5.998792771855072,6.661501055828817,7.109641905049226
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.434538793746852,3.4266681255249893,1.39961499550808,2.1733783634478137,2.765914497892155,3.8526191970849726,2.3844983996544635,3.3748995137652025,4.7072434450276335,4.8790268154877054,5.149611204645847,5.471201763799813
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0864312755567158,2.8491928171096577,3.93645584041336,1.389203841980365,2.14579736748873,2.4391982326900306,3.4142051409536855,3.6604351809443227,4.081279156649673,3.473574267317989,3.647401206365643
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.935580422511989,5.022841803875734,2.1553150583794314,2.4791967120188403,3.4250312342083022,4.310152515831236,3.2367773246498124,3.8516461697497983,2.6942021156280704,2.8820250726182013
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08726421385593,2.4397823042728843,3.4131837177875326,1.3899918109420506,2.143774267879178,5.689432481359456,5.719428486090306,5.994969504517032,6.133772287693293
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4305436315110063,4.315118082540652,2.1633271974340738,2.4865944836851885,6.6253400183495925,6.5672524098380975,7.02386913260697,7.154802236648893
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868946647312956,1.4109737510300444,2.163287540796392,4.826977426736137,5.027244163740278,4.600723051639571,4.54804658822103
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1606428947594596,2.475516567741118,5.304654387126814,5.497466703240746,4.844136337314371,4.630478940696112
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0867741351882323,5.717112523769051,5.762783347238747,5.743046553164997,5.719964167964142
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.677389614616297,6.642684432468527,6.64710055937061,6.522476177595092
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2101757923271375,1.3556986595340346,1.878478964397504
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.254043604084902,2.2847163367206234
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766482809326991
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
