 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,C25,H26,H27,C28,H29,H30,H31,C32,H33,H34,H35,C36,O37,O38,H39
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09159942440959212,0.021699104642066258,0.011383166035297099,0.008783010520988066,0.0015574942885527854,0.008066177637594762,0.0001456770262958651,0.008896885200357252,0.0007196370285291742,0.0006452187939947063,4.175505936232504e-05,0.000454608444505622,9.502597347221808e-06,2.6029099136293254e-05,7.867874673550546e-06,5.3728504152417145e-06,6.273124637723448e-05,1.0081504056014268e-06,2.4280210256133472e-05,1.1207608359153909e-06,3.1214152397263106e-06,1.5556361754320847e-06,1.2703254661516894e-06,2.511278889283375e-07,0.004104431834939248,0.015749488115567645,0.0015252165210239976,2.3788941733604574e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.051756448190613,3.454623881777813,0.1273766736038774,0.13838405737008952,0.002488280079825461,0.001153045470676503,0.00474391518743969,0.013723413178632349,0.0006030579562794347,0.000135912843958641,5.8595730071636654e-05,1.0340435282474303e-05,8.327185509915402e-05,3.414723724803892e-05,2.2822006123801586e-05,9.366444550434894e-06,9.844685668891628e-07,2.6765904768133453e-06,6.88537054038818e-07,1.6061395362171327e-05,9.408277856781666e-07,2.7978053918076284e-07,2.922068771393782e-06,0.0009368806459622292,0.00499489900610442,0.00028001899041291134,3.368173868623092e-05
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5496570603453788,0.029721894662790738,0.031370834336386766,0.0015068537500723678,0.0007240926199453476,0.00313272256371587,0.00897966430777486,0.0002584291981831549,7.075322753258284e-05,1.9091872593746118e-05,9.969142078514182e-07,6.64610247756714e-05,3.863024992489805e-05,2.537231041344068e-05,6.494066005835464e-06,1.591424760971627e-06,2.6995921704742187e-06,6.091113307071794e-07,1.0435287636875734e-05,5.689597978308925e-07,2.865904820126275e-07,1.712887459204282e-06,0.0004459882260841319,0.0018874379573397132,0.00010784201018607109,1.7319652795055873e-05
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8881815648770606,1.6119222937027393,0.002850205019767821,0.0010767295550772119,0.032094521344168944,0.10412183435663458,0.0028033660691318962,0.0006548240530209748,0.00022717476506979584,2.1180286151389893e-05,0.0003993847877367396,0.0002699483565435923,0.00013715413963311107,4.022917024561201e-05,5.514915320858904e-06,4.2461232666601845e-06,3.4202035508190676e-06,5.5827987513565325e-05,3.945056401666314e-06,1.0700512127481687e-06,9.00500164913165e-06,0.006477619914942792,0.04542561877214628,0.002437696388182857,0.00022354468687457718
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04023490004914154,0.000365196703178583,0.0003808922547204885,0.004246124731578593,0.007684343172126962,0.0004780301149653887,0.00017357999764455734,6.591275013945186e-05,2.4511263727600152e-06,7.836242718883835e-05,2.658999039395482e-06,0.00010110324274448246,1.91055213960567e-05,2.7198910450554337e-06,2.5406310113496033e-06,6.281389905993251e-07,2.010687007703016e-05,6.44307231034702e-06,7.129129508953724e-07,3.216791584215173e-07,0.017378843082450524,0.15150975951848422,0.005068077934570092,0.00011966579956679269
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010133260640865505,5.287467048220584e-05,0.0005750434657665338,0.0004031653357565723,9.454692477794957e-05,1.4858215953150733e-05,1.6750332728521222e-05,2.041764014304448e-06,1.4749843386119288e-05,1.1454402656596585e-05,3.5125052915141453e-06,2.8382710096641617e-06,4.947410050526457e-07,7.152786025699243e-07,5.80783885428815e-08,3.6713711916158687e-06,1.3453120195627832e-07,2.3691375639067758e-07,6.456415342359634e-07,0.0002775509585687397,0.0011720235622123543,8.011091216642008e-05,2.5582085252162656e-05
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.523708298339005,3.5811430280853958,0.1327581328105465,0.27418520819318465,0.03044854554320986,0.034510922364195284,0.003453183514471103,0.003249614131856121,0.0009533687108200795,0.00016556149755952987,0.00548779205988198,0.0008310215322127057,0.0033287997712203587,0.0003040815440200628,0.0006070231384388142,1.0436439747074644e-05,9.729814256198566e-05,0.0001667309226840441,0.031079485889223324,0.0036171998967887697,0.005714514011545907,0.0012568065726653588
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5326388210379186,0.023341095296660397,0.07381506086100247,0.06606724544029552,0.009986604268765964,0.0011885495566140714,0.0033445834367676897,0.0010800355543680862,0.00019556388601937869,0.0021328403158260775,0.002286421572269215,0.00033682754967467865,0.0002035525803184557,0.0005075505452329099,1.0368001391425352e-05,4.662955472967134e-05,4.827434708587486e-05,0.012128792586434387,0.0026886906192504986,0.0019455667623153525,0.00040267352958911484
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7359581273710412,2.753896446726011,0.09562863794451659,0.1738445974200983,0.024568159542003754,0.019683881993676752,0.009645065300294853,0.0006929746021655525,0.022562019872226446,0.0006263916974478256,0.012036196671171506,0.0019165972843910861,0.0031673775189594022,2.962691311125809e-05,0.0002940496439740592,0.0007221526844709558,0.19354570812686217,0.03176016593274458,0.028956858665775895,0.005071362096661924
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09876841407863979,0.029447068778866603,0.0036406206151546883,0.00036665957824100204,0.00589974288879358,0.005931970946016829,0.00015864012981325892,0.00023727140302576277,9.377777844643553e-05,0.00013205049015851955,6.50868256624193e-06,0.0011340225987432895,2.4136152422249424e-05,9.097491404652658e-06,0.0004563017590628604,0.009136838517916468,0.010141037415087317,0.0010234175995863515,8.78000789199529e-05
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.615715094672032,2.729731093722359,0.09269377937045875,0.15928349616300036,0.0056029153550896105,0.011372720195834463,0.16813718387715676,0.01200914842233658,0.0068736520586092364,0.02943527388558298,0.032971598129906965,0.000607663386269941,0.003165949239580357,0.0006430908290724346,2.464881044335208,0.26580380034247797,0.21776680994001307,0.05313861182297541
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08327596033108287,0.004295023401158726,0.02411684222209265,0.00030131864704951994,0.0011802125914812667,0.01278962819156193,0.005733633066623334,0.00019801471398128712,0.0010018009110133175,0.002710993402100237,0.00011755712856587053,0.0006693717993653259,4.6970133910528844e-05,0.1217680731918449,0.0292373209090242,0.012016480577444089,0.0006450225957101985
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9263937664617974,2.4054193184035335,0.08343675637163228,0.08692891018897919,2.59564102353123,0.08695338554436027,0.08334487881046293,0.08889738856298512,0.16150073428830608,0.005543397079589729,0.028859111437206764,0.01007473545694193,0.1843884938782211,0.04106265749364876,0.03193099380310083,0.002174566207394424
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08063362960115183,0.03531343696904421,0.0033700155767371065,0.07944808825904637,0.003706182744280362,0.03414536968793813,0.005327549641896301,0.010571244811254488,0.0001047784020098419,0.0004874038781115253,0.005139834521692865,0.009962220921206688,0.001663289450828942,0.017647453233228694,0.0003933605793038364
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0012877702193235,1.7486618361174409,0.16008805172974097,0.030502944213265604,0.009962947676925182,0.005375617393802878,2.898876433813893,0.0828761349853937,0.09011079778175324,0.08005920775578779,0.02849122320932393,0.00856983684408645,0.0040392335197822204,0.0003508242093160918
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023095850901900583,0.010216374096162717,0.0004669120016282946,0.005105664491638073,0.000123985522050285,0.07890977014932721,0.0054184582525109715,0.0037750690642988083,0.033837691465039565,0.0011860834389785246,0.00013553730718696144,0.000460583816247917,3.959899013628032e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03038077047822929,0.001849189864637335,0.00048076678761788116,0.0005969576344750926,0.08437002642952107,0.03253288565098034,0.005750837316770063,0.004063775417929794,0.02007090025767022,0.0066110127802974095,0.0006541641880553062,9.258590179261894e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6808728787394132,2.0303633666404397,2.1008072011333003,0.021584255501337968,0.009121083765010418,0.0024429712736884213,0.000528779717827943,0.030827924398287493,0.006932268524336163,0.004924924087817195,0.0004519525682314951
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024103497234958082,0.025013665847204436,0.002266151977935449,0.0005934190326233324,7.380662250477954e-06,6.69184679282786e-05,0.001001086690980868,0.00041130109277598415,0.00016105085802431418,5.92606007598917e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023834505299103137,0.0005693607552862412,2.815275931333794e-05,7.833697801284956e-05,0.0002085606393651407,0.0010048892044147717,0.00015605008370500606,0.0005298978786294484,0.00018645024850205694
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01002159953045667,0.010577412569691358,0.0006232515779565073,4.383974952815173e-05,0.004688514471257843,0.0017323094896384283,0.0003181808619663329,8.084820983178531e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7190559083765595,1.733071827762731,2.0172920089153505,0.003364908204704281,0.0007467813514944882,0.0004151589277642531,2.8022501460167604e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023936383408035944,0.023365487720997447,0.001091968589106429,0.0003856068424383796,7.763851215170092e-05,5.1516061216894116e-06
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023404482575426266,0.0002503510968181466,0.0001877088844093322,3.4326911471538324e-05,2.032289314168878e-06
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.236476203376085e-05,2.2481624871284467e-05,2.067044118247985e-05,3.965496473856689e-06
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2323483349372335,3.5239604249681387,0.168011708518349
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5044003589876955,0.06727476645092778
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5251167743310339
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
