,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25C,26H,27H,28C,29H,30H,31H,32C,33H,34H,35H,36C,37O,38O,39H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1794144908905357,3.296696985915383,2.5271022607494897,2.256115096023771,3.5255246483011744,2.8222318844428718,3.5183477875437053,2.8524345253232153,2.72028996210389,3.6286564873917673,3.9276517185055195,5.0640957074642925,5.694410091521433,5.3923166110536025,5.118189562691381,5.094739261906367,5.838331942822389,5.949431580072069,5.606349643177237,6.877482263569444,6.923572912517484,7.438724942999807,7.331572847124599,7.403197657132469,3.3981275916778193,2.8166825767826698,4.541056478807175,4.730268402839219
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2221569345718295,1.3782496956988115,2.089451692573364,2.0349077960725106,3.7688367649748753,4.843584495463527,3.612171245170527,2.9033661233085875,4.7440839609152645,5.367773098665525,5.810365027872761,6.649586153917227,5.616636218520267,4.991175032447854,5.337094302145561,6.495583220491271,6.8925443108327356,5.987302041592494,7.421697516411155,7.032296404963793,7.501399591477987,7.167023786904591,7.748384795931814,4.673339769679775,3.8939256977165346,5.974517258598144,6.143035511586268
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.278523148568691,3.1747271651738056,2.4833126022681515,4.60814859582447,5.695726498524101,4.582898537168544,3.835736734590996,5.8198581135966405,6.446331816529809,6.779653644518946,7.684494476400615,6.4744450221869565,5.713773424097338,6.259951585601341,7.332585395292995,7.76916990051346,6.693885543210363,8.215979483247967,7.805833635191263,8.19948368822679,7.847299138645007,8.611084420282912,5.8549392847728035,5.082754669794006,7.169760837717506,7.34449103509602
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016462996175637,1.0131915914172285,3.907114810614422,5.0295651146888165,3.254877530855396,2.367768041016745,4.133489996081987,4.961153937478713,5.0079192243851045,5.790340210864166,4.577640570385478,4.031715407791829,4.152957191742841,5.905430809019937,6.44920306712494,5.520908432212425,6.742737656447572,5.94092526154602,6.528349176101386,5.990454154887731,6.62579287006567,3.8807342395065323,3.022155958693295,5.16192410618766,5.283190876407513
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7359748323747808,3.808787175667364,4.809347914824019,2.991322295267092,2.26198317692448,3.5593316254217133,4.383096530101692,4.52168993131644,5.168180975783992,4.201905975493311,3.8934019076029656,3.6323638256999313,5.604033785277729,6.0972970054491435,5.404377786173115,6.4532832603978525,5.610617998935507,6.301605943326806,5.739803387012594,6.156319071234552,3.0209019904460406,2.0475009487306757,4.245378441098681,4.29740615736491
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7728386285067135,5.934627543603822,4.025497347641516,3.0536071814472,4.843718133871772,5.76149396010773,5.4940166390017575,6.276251021838956,4.789354442686513,4.175295892070687,4.315267019684894,6.403268439837263,7.06669140745668,5.987064165241783,7.136167681415842,5.995053936745008,6.603860433499551,5.859611553703779,6.73303240601028,4.561865500541612,3.677399463550372,5.79038153558674,5.855641470963756
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2282650208887604,1.372925274765693,2.0567576370564975,2.462070142982297,2.4649142228205747,3.5893212264208487,4.420624151263359,4.360184475052367,4.01139850167925,4.668568718342687,3.6593794761525738,3.6039318520397234,3.2476393819507368,4.734596424936101,5.759531797411248,5.893813523877124,6.435115275045713,6.315428348986834,3.478166428974457,3.8014263511947815,4.545713847649985,5.242650410833788
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.283344562076601,3.165739232938239,2.801847507822149,2.284729680137268,3.9117199610874294,4.5440861310571465,5.010876580415337,4.851257627745924,5.375108729554879,3.7821133159613924,3.3627695346686948,3.5705134660681246,4.845469104646115,6.323340593438325,6.391824031724344,7.1308054443529425,6.734531337997618,3.8578622876167503,4.4072053808581035,4.647920091822871,5.405760965831511
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.014738905066153,1.4493329902756467,2.039486790720119,2.5211842335682992,3.413316471433,3.080457113851838,2.80590238609078,3.3026647347316853,3.0302209819366297,3.305213650593191,2.7724321942009915,4.062416317894391,4.5506891770648314,4.839590457530228,5.17724296427925,5.108403441628421,2.4484849229374834,2.8020568773148824,3.627383611545436,4.316364088528521
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1313121386375857,2.9521976209372607,2.959599045944505,3.898485526971797,2.9971851696718,2.4914778592045432,3.060704042202252,3.615861325843505,4.105460369735185,3.2358327247093106,4.539705815570277,4.4796617281935704,4.855858713167642,4.905139296749027,5.1598334815315425,2.7127743543315477,2.677768969028158,4.014779016562709,4.556705165712408
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0954141059949996,1.5614043068319672,2.1397058826203064,2.5728032122884255,2.853001948350728,2.726664836491853,2.5327974344255924,2.728848413457458,2.835803958874699,3.4952361278655095,3.956541439865858,4.370171529839896,4.739690595961935,4.230097701206476,1.5254470137298,2.4551867300887626,2.3770054405649024,3.2145038329282762
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1673488714351667,2.454567895868009,3.5003778377990837,3.8245030339679333,3.736403598211675,2.6951540007698727,2.4305107659829157,3.113594837705472,3.682965400156838,4.738817906279746,5.028470152639612,5.627081898205499,4.883864253722432,2.1235115821776027,3.1468066198870175,2.570820418899195,3.469891372202157
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0985185833018978,1.543537080694673,2.169048596191101,2.1715741595982103,1.535720666915782,2.1850582658628968,2.1821771542066712,2.182679264137784,2.5838953482547997,2.899336055062688,3.5263277993182793,2.828821679567668,2.5465343427168334,3.4969188703438103,2.958759690754081,3.8219188267320523
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1534536004671514,3.0615376239462666,2.5192473542066276,2.151500961647705,2.513314669434636,3.0719529854247636,2.486194454524125,2.7738474672428794,3.1894186062203147,3.7617664444742336,2.5708523437876427,2.686407649511993,3.7724395597767963,2.556810290560313,3.4134601307128922
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099345590140001,1.099559592730137,2.5635509580603157,3.5168501354870467,2.8157668137821865,2.837815077880005,1.5340829433382748,2.1935946814223892,2.1775879193886545,2.184299309926861,3.070964748131769,3.6042992301652506,3.6474131293536156,4.266926460351326
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7583721638804135,2.787928379026497,3.787708304748267,2.592387726886251,3.1651329139621884,2.162090993976829,2.515359216665952,2.5150326820641973,3.0827773081655816,3.5248035015500205,3.841578962098542,4.3873111085910415,4.993142095243824
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5014679263019155,4.334518883081747,3.7879951069748725,3.85440198857443,2.1509980592107087,3.078368501642421,2.4541995264617036,2.537535905459398,2.6346576407871445,2.925856355637606,3.195819924505974,3.6024022678178644
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957027959310315,1.095978659074036,1.094594570362225,3.146031060065133,2.886533128877548,4.148830047949727,3.5010886192358517,3.8858294804951985,4.838028693308518,4.292244944954489,5.22188034495117
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7701679902344927,1.7697658694314524,4.143656897758514,3.892994433807661,5.1835327276993395,4.332509067679136,4.114066566216258,5.167793639594798,4.374043556305133,5.3475033995967305
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7722536022420232,3.5143781488834773,3.150571379561556,4.356585347503658,4.13672133054649,4.274644024804831,5.041768835917827,4.95286624757138,5.848501269377238
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8411011796012886,2.298539369466828,3.8584309350143036,3.0967712750312546,4.703775390022135,5.664290473751703,4.944490571687893,5.8432595154265465
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0952345087743065,1.0959392346616388,1.0973435092786366,4.418081836956261,4.990207613757312,4.690113640637556,5.25858724274763
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7660762963744552,1.7711696603517222,5.1245932349524494,5.7827201335675955,5.432885070089531,6.106719210500477
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7706094077796777,5.018920080464506,5.373091237239546,5.362433063492736,5.793762631117857
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.513941460959098,5.200766911037659,4.461437352908737,4.983824177410931
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2179385887528371,1.3470576587971923,1.8781683948702255
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2423101696198264,2.2729309425259454
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769436463506324
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
