 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,C20,H21,C22,H23,C24,H25,C26,H27,C28,H29,C30,O31,O32,H33
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5387569870405755,0.025608777417618578,0.06987009905081559,0.05550259469965524,0.010031411216273267,0.0010082681536305316,0.0014680226058331192,0.0026135923380687515,0.001770425932801245,0.0002486016358000942,0.0029446287023670165,0.0001096627011272222,0.0002968578730453836,1.69817150674767e-06,0.0004806609545797008,2.3714102604932563e-06,0.00020625870727757067,2.3267359396950127e-06,0.010985382671826693,0.0036724144416704005,0.0016219272940878743,0.00037841339169564225
N12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8325543176663963,2.866238680417844,0.09782133651893121,0.1799434172646439,0.0074142714587583924,0.02605976360993667,0.017719249376234147,0.011704915562013488,0.002530781024962625,0.002881176702689503,0.00014703308634556045,0.00191906845971615,2.542281132233981e-05,0.0014817488488212405,4.365263568173461e-06,0.0009694676177610106,1.1937632985237201e-05,0.19758418411468706,0.04802246859278138,0.02819276548923494,0.005324149923414456
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09659603130098349,0.029004571937953694,0.004816704458327936,0.001696320225288206,0.00010980726648712746,0.0003005874913379891,0.00019806425109347714,0.00017899068803717277,0.00019149150334207832,4.73648186294362e-05,4.900979285316076e-05,7.170427986924466e-07,0.00010090882336333262,3.3915468586886988e-06,2.4294668138802322e-05,2.8575471198166724e-06,0.023585290592755492,0.0538962364323029,0.0038837765144135172,0.00013393648278414716
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0785671302356823,2.6684860308763194,0.08280391644930951,0.09097316417737855,0.17003487319264174,0.03673646638890368,0.000767292576114853,0.034221849600493626,0.00115785688855774,0.004674082749092229,0.00022414957815231062,0.004147014549012673,0.0001220347114021525,0.013246279693462704,4.294537718663172e-05,2.6921282637448645,0.2717240577823474,0.2167187626668218,0.05380397506876822
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07871349063658739,0.03077170141523511,0.00446921965055469,0.008820980423757008,0.0007385248211482232,0.00027464527463960664,0.0038074033920888484,0.0014827707627185216,0.0004048121813170491,1.4467097973591692e-05,0.0005025670918866743,3.0007242252105826e-05,0.0003439347290472572,1.1969898933816836e-05,0.10851260099715665,0.02700412653671269,0.010515409072333615,0.00080669105804132
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.150456566346408,1.9660567195198713,2.7699429034844547,0.23886277778569473,0.015281947740229729,0.23443943735610287,0.014044866307834969,0.03439487110304079,0.00265733668571011,0.03662757174415522,0.002656661795792825,0.021593581369937262,0.0005266330942748088,0.1955928689277844,0.04328269632944172,0.03067203875086537,0.001934281902204238
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024634052148869268,0.0985501160232356,0.018289463476307333,0.007618364749380824,0.024358039478757254,0.0007785623064626712,0.0016038658774207848,6.152288177618814e-05,0.0028127176629140216,0.0007436090780077453,0.001885895423777706,4.3643066986343015e-05,0.011111649583358085,0.002266073352508169,0.0008830594075780462,0.000142611348831867
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09519804465093706,0.02710588823501936,0.0005192890505447689,0.017041259864548075,0.004145701676147029,0.002805359673032637,0.00053268764529113,0.0017997681900439044,4.706348303007424e-05,0.004611707092011086,2.2238916965289235e-05,0.009914066164386615,0.0017931885393234204,0.012715828878682611,0.00024283565799199103
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3776748248636443,0.12154545360446622,3.7604034585930086,0.12638480295929022,0.3273257301280838,0.02590510218601838,0.3389229468319961,0.026336843263627507,0.29915708794327267,0.0039868639435372,0.028914550885563023,0.007470054085234948,0.004997339553056632,0.00041487656614980217
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.034887161972361,0.32675287410814646,0.028111950518109774,3.797161944950539,0.13080173964621844,0.31136383371750137,0.0035442348482730424,0.34058506106242004,0.027262482867776994,0.006661659103410211,0.0019203404785567285,0.0012071927395763543,0.00022865951610262503
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028472991497957345,0.00154130801290564,0.12580237908515035,0.008198584841585088,0.003832135264248082,0.0005168842839267107,0.027027567963464394,0.0012420074304808626,0.00018789489134052317,7.521636061225134e-05,4.461055001736547e-05,1.47843904829692e-06
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7202817561247175,0.31269373546798157,0.003583038618802936,3.8178519941779796,0.12977067728141867,0.330032657290908,0.027043681062386526,0.0053474317140118355,0.002072433372105449,0.0006631511257521039,0.00017748498619984954
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038687999121516103,0.0005235702340962156,0.12830384945897477,0.008317431926979424,0.02671691006302579,0.0012154020029595536,0.00027675056176201807,0.0001595406741223826,5.133276155255828e-05,1.6426614062314826e-06
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7264216720027907,0.333043020084415,0.02735240160899266,3.8661978228040446,0.1261120322984215,0.0011572034678017928,0.00030816694979116793,0.00023270891465569654,3.0617999837168064e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027131443504081032,0.0013534647733774996,0.12712824483282348,0.008038196700974831,0.0001032710464441422,3.530735201817681e-05,3.113619943184709e-05,2.3580708741199885e-07
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.035850853740777,3.4441061878554025,0.12206765842085976,0.0010392672802723157,0.0003946976183632489,0.0001463440199844096,3.0824888449410004e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12243639342455581,0.00802066237579191,8.426668372307766e-05,2.9685046255889525e-05,1.1439765332466045e-05,1.2172487044992408e-06
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0037167441765242,0.0020792868081039306,0.0008668347458184594,0.0002191152963453985,0.00011379174768499922
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0635171207917793e-05,3.558319964125367e-06,1.8475234377923755e-06,4.80466799679391e-09
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7733982305808915,3.4493270932401643,0.16443948480953963
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5125777763560551,0.06580907052456231
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.741611023196452
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
