 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,O27,N28,H29,H30,C31,O32,O33,H34
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10565784728000449,0.019462053557451675,0.02211994749051671,0.0010915716662649455,0.0008136961626274974,0.003494753276404916,0.0013463270583634612,0.0004374698477490613,4.424602333408245e-06,8.57858678113832e-05,9.191028472521623e-06,1.0638811485774724e-05,1.0300606922974964e-06,1.1635738128568107e-07,9.208517823822149e-07,4.368067921811658e-07,1.6836804471731526e-06,5.407134648915957e-07,5.6644135826289244e-08,2.8231932664990467e-05,6.238567381688931e-06,7.673410933994873e-06,2.4175834387740736e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.405946828723952,3.5914672739688864,0.14126681249216466,0.14469305397979715,0.003257634793377956,0.0017107940989542492,0.0006141553117552656,4.191150412902189e-05,6.806979631754362e-05,1.7365711056704924e-05,1.610910589439074e-05,4.240701148017223e-07,1.1120092608951637e-06,4.150649718592803e-06,2.5934284074435876e-06,3.126933403735377e-05,3.483441008622634e-05,1.1758662660232844e-06,1.670269209580466e-05,4.725768780494688e-06,5.407351820002626e-06,1.1932108057166602e-06
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5504396907818699,0.03329499643345457,0.030014818660738296,0.000840730260083522,0.00039158985779028793,0.0002352014778594369,5.293226692359987e-05,2.3111952573123817e-05,1.9883084347860347e-06,9.657931299894562e-06,1.356812987518552e-07,7.067639465896391e-07,1.2825034838015448e-06,9.157304807841382e-07,8.551742762409609e-06,7.3371423857659934e-06,2.5884929644170995e-07,8.467725436764328e-06,5.1995599319107355e-06,2.65255199194403e-06,5.818781981803411e-07
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6674992986554245,1.765927210828939,0.0015105963996446259,0.0005649067883838899,0.0002519000187056891,1.0100777974364483e-05,4.691717028772191e-05,5.305285218581979e-06,1.0195345282112966e-05,3.4911623836286765e-07,2.04448839513649e-06,1.4573970712472573e-06,9.035179941857541e-07,1.3259425395290014e-05,1.999604220626061e-05,5.320404057318484e-07,9.17465490718472e-06,2.0123139005956414e-06,2.1590819054978505e-06,9.358880705967465e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03723054223945055,0.0019636795185529188,0.0005006040225306041,0.0002613197467057349,1.6435503512157723e-05,9.346783767127942e-05,3.9231799104921805e-06,1.1250688534358844e-05,1.0787282778146334e-07,4.24656994790773e-06,7.862128854618788e-07,2.1750509215934244e-07,2.4432083928216386e-06,7.681103753043317e-07,3.513843904734415e-07,1.0975932939305544e-05,1.3520347005302469e-06,3.443679884918005e-06,1.0168901236617955e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893909192549284e-05,1.4715997782355217e-05,6.6130101693540055e-06,6.353376664769428e-07,8.455381491634384e-07,1.3820586364232668e-07,2.7459783891181644e-07,1.1021838552949248e-08,7.935708867812252e-08,4.917241325230748e-08,3.3154837097981726e-08,2.9368072373969767e-07,2.9524463629471143e-07,1.0155686291923871e-08,2.435519697030486e-07,1.9645070759022332e-07,1.9171136123041777e-08,4.530901431820666e-09
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.858550360918642,3.5732391169526343,0.1384260374607026,0.2700800802535348,0.02474100621509767,0.031377363900231575,0.0008782214809011091,0.003805262236889817,0.0031141030371881206,0.0015073954297597503,0.017916608014708638,0.0313104827017473,0.0005447511094905932,0.030145204709494333,0.006213714839849088,0.005889670927110041,0.0013769098151100723
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5343374519235647,0.02598019129439655,0.06116095086594195,0.036523561100418545,0.009812708000685066,0.0009151889351655118,0.0012703721116121836,0.006889950067640649,0.0029416872266017913,0.0674564765372139,0.18587532554595088,0.0015277284719404927,0.010199917468149744,0.003871074691362525,0.0015492957184017886,0.00039274072619743805
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.818241450089662,2.765511756230247,0.09440502005493034,0.1793172417195647,0.009820122102378925,0.027277115338276703,0.008915358111771438,0.003300380704147801,0.003557207401042678,0.0020900689712768372,0.00010899756513749193,0.19519201605812492,0.05656629865602868,0.027797402038254565,0.005325323743667787
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09817157198654736,0.02505666881929347,0.005327460835832909,0.001462708099093435,0.00011168388936511064,0.00022500287909887895,0.00014143050505444066,0.0003926591802662083,0.0002984051412595612,5.022413389177416e-06,0.031225872152338074,0.07482503092789428,0.004941224615631623,0.00015989138671579362
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9503291724652239,2.6914886051500475,0.08929038588182814,0.09623056430761523,0.1485980623920445,0.0434833849986823,0.021959108106537298,0.011746691657969377,0.0022781237413355138,2.577326701429711,0.2763764368913923,0.21572021523502682,0.05282282333742383
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08098749494659296,0.03205403321375999,0.002639772359106507,0.009136159918488707,0.0016402790782996668,0.010748858084604795,0.009553050972288313,0.0003139395465243666,0.10726861548144928,0.027275448576843053,0.010878407304565463,0.0008334894633112988
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0066876118275547,2.0200406105405397,2.659942945872619,0.3284121050805843,0.21087378329583045,0.007167170936507539,0.046242844395800065,0.20399242715329896,0.042089715332877156,0.03248132327523716,0.0022083797301392094
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027465801201311812,0.10178018800787836,0.019671852781223187,0.024460578142668776,0.0004118835064363946,0.0007949463582288541,0.008390061154122996,0.0013216617272741038,0.0007851238449992914,0.00012979981208749436
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10565367368376521,0.026039369640759702,0.019901095311806283,0.00042181516209294223,9.157357202282945e-05,0.015255812594886287,0.002841442714296205,0.016388749183387064,0.00027256031838107653
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.656025977361542,3.667260281722009,0.13641522283921337,0.14991135355008045,0.028817965838926873,0.008029757779491359,0.0049543247675498114,0.00040201550745389003
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.582589029675918,0.028654258234629304,0.031935060527374604,0.010547523886523025,0.003672248324161992,0.0018497100238897835,0.00013294591328016914
N28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7165607892243109,1.8755942090280155,0.004400884478466566,0.0014514159005018235,0.0008761463109618894,0.00011963716284224546
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040000932523976074,0.0007106438549714378,0.0005585262882364939,0.0002629931379161121,2.0452050108366038e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046556044293777354,0.0002147457616475945,0.00014053966089988545,5.105753192458096e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.123430039839914,3.4599957657294476,0.17128579702538704
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5140607249428668,0.062848949635119
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6370497117083833
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
