 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,C29,H30,C31,H32,C33,H34,C35,H36,C37,O38,H39,C40,O41,O42,H43
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9302175055195037,2.1655454985627363,1.9271195941665702,0.17408097286690855,0.03188047572798758,0.009647744110016676,0.008977245981741877,0.0037133414540002907,0.010638203100549262,0.0010595378144648004,5.686432100593386e-05,0.00016165696019457276,5.880608886166261e-05,1.4577532749415756e-05,4.102152783458379e-06,3.265881113767577e-06,2.0061287159089947e-05,0.00010590961150915013,1.2377280768749443e-05,2.254122100039946e-05,4.3267639426858295e-07,0.00023806613441915148,4.7741105069665224e-05,6.010318095260592e-05,5.882614646512963e-07,0.00015574842528459643,1.9595762588794918e-05,7.003568249785985e-06,2.5662628967360046e-05,9.294296063000473e-06,5.155350162169836e-06,1.1534702556437182e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023477250223281843,0.025202494519981578,0.030487137375042606,0.002653887000531041,0.0005992416294580138,0.0005124220930750045,0.003640893615513008,0.019590496318640627,0.0013276413670171294,2.02185965412216e-05,0.00013377557019689235,4.15226876542274e-05,1.0951435553518962e-05,5.024309877033062e-06,2.1554803897316788e-06,5.099842297351387e-06,1.0983302135780804e-05,2.1212657408398172e-07,4.803020426047411e-06,4.0628973319023487e-07,2.1508781110401998e-05,1.258690608008095e-05,3.2372019749260517e-06,5.9574379651650133e-08,1.0410635042257255e-05,1.6048156943337943e-06,2.918305225918516e-06,1.3983646982573816e-05,1.1194120101309935e-05,1.7297443968278259e-06,2.6739731828762103e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022708577817685427,0.007022326915646859,0.0002860380595015588,0.00012412395640781781,0.0035735066696742646,0.0003296984247842527,0.0002767483025005735,5.335710904730284e-05,4.058729305755904e-06,1.1240513875021563e-05,1.3825503946129913e-06,8.861162588136295e-07,2.3149099748209778e-08,1.8144445723677904e-08,6.8190381918853404e-06,4.097929971225156e-05,5.775593094892173e-07,7.15154688801789e-06,9.838926118277413e-09,8.435030992681725e-05,1.861767980448903e-06,2.2958519427573876e-05,2.2328325188780695e-07,6.101572839289915e-05,3.917837190003937e-06,4.470020640301442e-07,3.3309839324591195e-06,4.1245652782073705e-07,6.335086266684442e-07,2.0247897714043006e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01265842735453937,0.0009970198170332623,0.005092806991544352,0.00020061554598904685,0.00022133400871915399,0.00016062229394520067,9.305721800245692e-05,2.4032265586448887e-06,2.5093503419837404e-05,3.943567181252661e-06,1.167293928849844e-06,2.698975360981848e-07,5.936744869039501e-07,1.1171245282159958e-06,2.893625714817105e-06,1.9095117325118593e-06,7.280005638321541e-07,4.168635792112241e-08,5.945928018169511e-06,4.049054607158098e-07,1.202014019874298e-06,8.154270370042127e-09,2.82716214883294e-06,1.7496817275031162e-06,1.7981179678550063e-07,5.436101856437503e-06,2.201367100829188e-07,1.607988248109038e-06,4.4695161571794984e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7533306950125853,1.9136151398267174,2.0935672615432344,0.0032374905511019514,0.0020818913899314506,0.0006480460777290448,1.2940451391330043e-05,8.747562874825143e-05,1.2897087610541647e-05,4.1200339663843843e-05,2.1723512231286435e-06,4.68318361668274e-06,0.0001918545050874354,0.0008126191688405948,6.28016116777097e-06,0.00046899043894080283,9.786532311206741e-07,0.002615014541143143,0.0008365505827485631,0.00014292680591730667,3.497021777043585e-06,0.001091244759156923,0.00024087267454095396,0.000262157333990487,1.7716922279670255e-05,5.370349292627141e-06,2.5168591655799766e-06,6.13103431912343e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023933951335073145,0.022455328925272022,7.304785531747626e-05,0.00011016316500289669,2.2404031700506977e-05,3.86490150550145e-07,9.461847257918876e-06,7.708305598264076e-07,1.1226196108937714e-05,4.973324916335287e-07,5.776717835193068e-07,0.00016949737983673607,0.0007887035436064949,5.0124743045110165e-06,0.0004964392976318788,1.3625421340091037e-06,0.004454757253878006,0.0013276031361284524,0.0001298551287529648,2.1735149717816427e-06,0.0008328233665977347,0.00011228608115532168,9.87255907785034e-05,2.7694692128488185e-06,7.465813041118707e-07,2.7787532830281236e-07,1.334523320739578e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022785767862523842,0.000198737579149455,0.00014984578398147264,1.946410034969759e-05,1.8481088972510662e-06,5.356573762549388e-06,9.7603693438586e-07,2.9752488945877786e-06,4.98233683199345e-08,6.99698380568492e-07,6.2686010970924855e-06,7.288552079653954e-06,3.0071998780023534e-07,4.898533782826675e-06,1.635310749037444e-07,6.934238734479514e-05,2.153663188297905e-05,7.130694994250675e-06,3.6471816966532344e-07,0.00010487725670715875,0.0003051661375774728,8.798942141940991e-05,6.872732296603346e-07,3.6453750573706145e-07,1.0165932118333387e-07,7.35973548771085e-09
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008176607277796677,0.0005028157337692019,5.0060760194314824e-05,7.333817285015698e-06,1.4831695051009675e-05,5.195011812286765e-06,6.03157766199125e-06,4.1993913080240475e-07,6.220287107616684e-07,3.9259918511280745e-05,6.924063040769646e-05,2.3010683580793057e-08,9.461343036987202e-05,1.0072657574689003e-07,0.00012882847766126915,7.775609446381004e-05,2.6693925643694882e-05,2.663404319314111e-08,0.00010255370710687828,1.601133785333886e-05,5.4565360970482146e-05,1.196322227725588e-06,4.776655476712577e-07,1.6366884825202987e-07,6.200648661192076e-09
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052487014959062,3.4102380154559797,0.13552329899323234,0.26737704041574295,0.030858785093259122,0.03346335697360553,0.0007880442411145605,0.003629924911501936,0.005377943411798036,0.002856027488100654,0.0001779740105107841,0.002509879767712192,0.00010961255006369797,0.0003341223428202922,6.853831956643575e-06,0.0004313016252921187,5.997634682231023e-06,0.00046207886097582307,0.00010483940642200262,1.4696657129054103e-06,0.030195139608456906,0.005491824262130837,0.0055134363970104905,0.0012971536229506864
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5389268318470635,0.025085487251397587,0.0723242473122521,0.059853496717732546,0.010411957570350516,0.0010231255493631242,0.0015657169875448185,0.002625667364221318,0.001606627802793914,0.00012186303012495792,0.005531630205447155,0.0004076432911386263,0.00045771710082422035,1.8706499402831867e-06,0.0009145694388548592,2.0948868821868416e-06,0.00014852204383594692,2.1421269317242753e-05,1.3530472574574404e-06,0.01079542687044091,0.0038294160241064412,0.0015912915812191092,0.0003483385632440106
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8681858159629212,2.8431253854209992,0.09981398907735461,0.18022142286131085,0.006818891063208987,0.026126191746031147,0.01899320464558718,0.009290307237401929,0.0012995635420758322,0.003214198138016766,0.0001870735151241476,0.0014267858414368229,2.1796679239072247e-05,0.0012847750267366148,4.308302452349366e-06,0.0008847395050026463,0.00023982083354749661,4.0191627052044154e-06,0.19924660289171645,0.049703735396981086,0.028253640762295917,0.005283614855837504
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09579310966848098,0.026542595709342143,0.004650565266454909,0.0013390027264343907,0.00011793646071556196,0.0003031325929722106,0.00013435003828621284,9.633176752688044e-05,0.0002088407733157327,6.814773384333783e-05,2.090553863953737e-05,5.042036470559452e-07,8.171133101564365e-05,2.6669054216110766e-06,1.9570082723574522e-05,5.585278661346393e-06,1.1443550973488925e-07,0.02411697835227511,0.056980692337006866,0.0039400561263542855,0.00014206246955072999
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0334318162681346,2.677052059666761,0.08383775199332799,0.09127161705160303,0.17232135292454728,0.03762417552303138,0.0007668348365499345,0.0332117017727826,0.0016650396481885377,0.005567703012048508,0.0002523110416101648,0.004108054282179988,0.00011193187230951196,0.010964415883909062,0.0027951939632385597,3.4180138537065474e-05,2.736471776867679,0.2780596716229986,0.21456114220021527,0.05370635123931522
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07894115424299908,0.03058006782294198,0.004941759764899523,0.00803990589657777,0.0007965186681946346,0.0002558815378423951,0.004179517471549432,0.0024251066729306103,0.00040986097866269056,1.4157844129725206e-05,0.0004891080928294267,2.230497539579268e-05,0.00028443627171648167,5.6881944390463346e-05,1.1570207555378076e-05,0.10938412171380874,0.02768499696998683,0.010305377477594857,0.0007351407676425836
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1004406335621555,1.9086446300719426,2.8234434426116812,0.24549875128144405,0.015474934136668006,0.2323146593157769,0.012998243878712179,0.036155290485175046,0.0023356575401698443,0.037320449057935495,0.002433258038444075,0.0210938919476443,0.0054501875240326875,0.0002731697503820518,0.19912136197321031,0.04380647222010453,0.031364786527348545,0.001956427506186742
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024541992502155052,0.0985452063788348,0.019149900030943856,0.008534218263395399,0.02372545078365218,0.0008090184725486615,0.001589629454435526,6.307314598275049e-05,0.0027642377974803622,0.0007585088925732286,0.0010520264615010433,0.00023447254388520022,1.4012627807202804e-05,0.011762164178867662,0.0022239548872649006,0.0008837700525041736,0.00014935011911831886
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09262435492482135,0.028403957177819406,0.00044808176531052624,0.01607396614840617,0.0028480495058298416,0.002906057885075919,0.0004325955887949373,0.0018235064360671016,3.862028925039063e-05,0.004910870759342156,0.0012246406126865672,4.661666551308841e-05,0.008938574800837484,0.0015553135976436039,0.01287436400864439,0.00027205688835696407
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6123313374848673,0.12371191101355783,3.7590619238690155,0.12500801319082067,0.326393577653027,0.025326556941793976,0.3328511896203146,0.026664809550961843,0.26508515380466136,0.054815376209770575,0.0013640860143488975,0.029550008272881928,0.007400946837735636,0.005213113318517343,0.00040988052786694595
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1286099511532672,0.3343634816013754,0.02855163204015132,3.855231398531232,0.12660656608167065,0.30304117952442494,0.00395593211606049,0.3462769667939926,0.04457509728679501,0.002751083305795543,0.006797779987351205,0.002064301612700381,0.00126076622985688,0.000237459383273797
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029407225227828793,0.0017187025243616816,0.13085346181567936,0.00846107745830893,0.0035559415311234854,0.0004220776241452562,0.026888465285071383,0.003227954052691606,0.0002072954003164984,0.0001795480879764888,7.419660976981657e-05,4.34424777959741e-05,1.1676636288981967e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7928416065083281,0.2987993061814521,0.0039916016016927625,3.9537090445487157,0.13200765920480761,0.34007004544283503,0.042261124082385,0.003890253458300852,0.005222414222644467,0.0020558449805994222,0.0006705685268073858,0.00017004942237563991
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035296158613591366,0.0004159399389194185,0.1323318362627759,0.008682211908484172,0.026420557308658665,0.0030057490423631705,0.0012987861411166701,0.0003319906058802946,0.00020783855619843639,5.088444530454428e-05,2.2127998899890144e-06
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7936556520702844,0.3247047353581201,0.028124099006169745,3.7945251940248936,0.31318713952580757,0.0306033284507381,0.0014764645482702732,0.00036564605091451985,0.0002658886832756502,5.130750063808698e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027614842491555658,0.0019110366591315042,0.13143879307872952,0.012642564019668345,0.01689562907914044,0.00010286788197366725,3.514697138307099e-05,2.9085694058794687e-05,2.2937944477163796e-07
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.113854554478733,3.4967970419448844,0.2961952734905351,0.03421724215038502,0.0010090317029713691,0.0003967020003581845,0.00014890192254081447,2.498680349605209e-05
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1344443808829605,0.012429159479010132,0.0012755253716552062,7.115465168761048e-05,2.2426916253315277e-05,9.402953484394239e-06,7.388592686563555e-07
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32588420089112,0.13655307703992936,0.0018024692710944534,0.0007583358645434912,0.00019474506916797307,0.00010256353657478456
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5910496132304832,0.000504717114111819,0.00021364155128221485,5.830978995895186e-05,2.9124497540555794e-05
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2291342335268851e-05,4.792905803241432e-06,3.5854415427749586e-06,6.414386510833481e-08
C40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.969922167567291,3.372624834117041,0.16635928686376955
O41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507134993260789,0.06625384494624231
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7766233672868026
H43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
