,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29C,30H,31C,32H,33C,34H,35C,36H,37C,38O,39H,40C,41O,42O,43H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0941853582148753,1.0990477491304702,1.096929072751362,2.531902286581,3.4947698295380696,2.773861630196849,2.8077979918983194,3.7099881756956914,3.4667771174337116,4.97586409563593,5.482565760760007,5.986362842932692,5.734422673296492,6.630785690953286,7.148952748662781,7.493148783440132,5.916300593361403,5.799860777222532,6.222190212407498,5.813208702886434,6.237102048195006,5.601236966143138,5.89424831616448,5.6142017638595565,5.903794384194298,5.50228643784295,5.810242179178011,5.969714915813708,7.215324745687569,7.536514633903545,8.175051265725592,8.948538690525739
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7814314898824357,1.7662857592694294,3.485760552884239,4.338998841507998,3.740148542506325,3.8429175383720047,3.2430029025472944,2.8095905051241363,4.598273417226928,5.167801283204831,5.518079110350874,5.139647027588771,6.3561496541516105,6.96408336757543,7.144995780364997,5.816467241824902,5.9497410635428585,6.407033104001641,5.6543546635253294,5.9006831114592515,5.946236782525119,6.402879490439028,5.646354821529383,5.891012194572876,5.7932033882763925,6.2538004813803525,6.5495940892940485,6.661300769708792,7.012376399328771,7.5522338794418475,8.304085978754902
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7719229238855247,2.859130282405018,3.860957761548509,3.2229835989593907,2.6960113180929746,4.342708754067622,4.291308574228762,5.590268736759008,5.941251841260622,6.736203825490943,6.566842307203991,7.453990731134553,7.878731049115934,8.365640828663883,6.817721013274344,6.603235924517335,6.898547836896213,6.83097221780991,7.27727759917795,6.419322332160473,6.587933452355276,6.654079428329186,6.9776301817140505,6.442370578425901,6.704616275306251,6.757398748605602,7.8625382065296945,8.039798472865177,8.901478266024515,9.61551639329652
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7181725706527198,3.7383875014546906,2.505413808856841,3.0620199358157616,4.53982891689715,4.086662419909385,5.782264011883017,6.382692152761081,6.649204632983026,6.294348202704978,7.1642180652171215,7.758231940650994,7.959338345483925,6.283548746489252,6.167481593979839,6.71949722927427,5.9664490975823545,6.379577139986403,5.755413058194042,6.039996835314108,5.537775319846244,5.651460595285088,5.421030154168072,5.4955884574136284,5.689819300406104,7.960735394176022,8.392701194163704,8.82594309389792,9.649953106890719
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09764282357257,1.096725630504962,1.0986037353302702,4.485428996739082,4.622062221438216,5.291541361805434,5.664252265624289,6.311467046357384,6.378220138222039,6.423385926822525,6.688185149768807,7.384586859863077,5.412414792246903,4.7192447013791385,5.0023776184070865,5.56065007504942,6.359589776144188,4.150776832384958,4.019923905201908,5.094826790881256,5.613048925388657,4.364048844213288,4.479532428500254,4.257380912249375,7.6543331594780115,7.952512608355734,8.691246338138134,9.49305508162031
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7734730780658463,1.7734146428414506,4.619342671230408,4.909571792925347,5.157071977323521,5.461724726709496,6.120200237006545,6.334070324617398,6.010140356727245,6.143996013073405,6.987995636363704,4.959136375706732,4.041154233686065,4.214311297072416,5.282117780771788,6.198641976606771,3.419900245240699,3.1021697665218317,4.834326507317318,5.497662697108366,3.898682660133683,4.087223747198941,3.7177238831808865,7.452153577351929,7.738035443860564,8.494763456829903,9.286246692182454
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7721120078297146,5.146739205708821,5.0467859516722795,6.004329319242717,6.497206248447989,6.876861993446155,6.813775510495705,6.901788356537694,7.272518964733695,7.7797774888926785,5.739334156567039,5.1057432064895,5.561567591441652,5.639343609521459,6.413919926521311,4.30321355494163,4.197194399685155,4.931348964636653,5.2663456763892595,4.195611194169091,4.010161150439493,3.8202263542272004,8.296287957823111,8.713123457865649,9.233179075753444,10.086101696282093
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.10845258872084,5.354499502054802,5.9481753695210315,6.187387772237725,7.096934149869642,7.212827354312765,7.30630667351374,7.492185849892246,8.307381399367415,6.390888057632882,5.6477528479026,5.793771507727186,6.620750360450443,7.4067071530736905,5.128550586321158,4.8725837246657555,6.192137530916008,6.704364544865025,5.4310100729033595,5.484485986594013,5.169374932661921,8.353116234543528,8.52430575860931,9.463496940657915,10.216662591804955
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.227385368117841,1.3719432261646347,2.0505921973486467,2.4597218478086615,2.493360089541514,3.5264180315551754,4.000473615470419,4.393260245539097,3.590285520027964,3.9937207522648026,4.194629648938067,4.038299710469205,4.26222845063676,4.7343705984346585,5.390562403886798,4.768296181232348,5.443566399200797,5.080451656847388,6.150757732573506,6.47950538081261,3.526186545885146,3.852941736611481,4.5917014758581365,5.3058454815908265
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2822221156378943,3.1512751664909,2.802969060052967,2.331838115409019,3.801168937459395,4.539952458692569,4.484298541062773,3.658133185610947,4.289234328659892,4.7646749025889426,3.657618036075816,3.6946574507870222,4.8450715722409825,5.629429270757328,4.287469634758743,4.757227781277706,4.843289809569642,5.82729505106011,6.306028191863917,3.9871521895373023,4.572558893105826,4.779012890852453,5.584021299930982
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012016214309733,1.4465374829683528,2.055145859702732,2.5100716287157985,2.7904275989568754,3.4192358765769564,3.026093991915519,3.5070216938204535,3.496871034321318,3.8490875161848095,4.083796748582908,4.5815266214756525,5.256868689705727,4.846022565222683,5.6666898087046365,5.157816558455677,6.392519626721579,6.6957845210582345,2.4127195525680256,2.7231157050831247,3.605061493082407,4.281967935694243
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1002881205037416,2.9079176598190086,3.0366151150880243,2.9614245716331484,3.9471672467564685,3.718330410553263,3.981542476297885,3.691390209833322,4.719678697148739,5.0062534082044055,5.113004184631118,5.646033482067812,5.706694958472623,6.584131125097097,5.876259956877371,7.104596874839558,7.306463847360339,2.5146517839023557,2.3564900307693173,3.846783337244539,4.337342458611324
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094674594057142,1.5604589409299574,2.1717431310657735,2.1605979064090115,2.5687422986866433,3.5333280803202705,3.688199893117486,3.2827211688934543,3.2415110213849143,4.734176115659584,5.583631613790272,4.543965692047045,5.303426687425436,5.149611638218562,6.4697020830512955,6.912374140201478,1.522571641727773,2.429861375359434,2.3839873910207183,3.2167422947890034
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.176920948660058,3.0690785236069384,2.4820841194779546,2.821680795598327,3.977886189742738,4.381733260449179,3.0413113746963525,2.7186652763599994,4.989512219841331,5.936449340766512,4.269393236462738,4.844429408143488,5.109777364202318,6.361067655473238,6.926402157402988,2.151187265361839,3.1767603225422683,2.5908958054912006,3.5028221556403825
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097709982849972,1.096659999310599,1.5120938398442083,2.5346904720716563,2.7377827785056477,2.539412386415146,2.7435127532931913,3.825420269214319,4.693405815511025,3.824887341474909,4.7018425828163855,4.331935487252206,5.698375320962645,6.113480270644522,2.5176576905821952,3.40494242707978,2.9854057564631464,3.818510939736853
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7631337369959614,2.147042218974562,2.6291047885135295,2.388637370657578,3.419442597839803,3.775487783453935,4.0178017150927525,4.697009911471074,4.574982011561567,5.537962691950132,4.81597513649648,6.167866817751435,6.437570134561404,2.7071836294127354,3.2688286192911424,3.323476861984833,3.9638031607842628
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1591387090033587,3.3296753434430646,3.6182014324159857,2.7690641566884118,2.640313068473927,4.516813710430775,5.43727907667489,4.114095453200461,4.848218738672874,4.832528736498963,6.167099043217766,6.674405000213787,2.709014784781058,3.7457288748435733,2.6414091403878217,3.4693009486793507
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39850194750817,2.154100204127999,1.4039038683784757,2.159125429455949,2.4375150525776617,3.420435188313488,2.4386379818050763,3.4266427871518714,2.8198685028269437,4.186453278058018,4.620129857954776,3.8851850038468916,4.738365944346987,4.3789465906781455,5.269482483294395
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0878268224913115,2.400376691970032,3.3902739710848535,1.396620652566323,2.159432830380206,2.7852886138470137,3.870766039127107,2.4177834043317272,3.6885446638930843,3.840330186599193,4.799696326411034,5.41762529821553,5.497411151421135,6.315686486640757
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.391044544155542,4.296503604836872,2.1468601891475747,2.471229656055556,3.8730576945976485,4.958486828562631,3.3979236885901054,4.570257035382123,4.5502321909394,4.735546225315353,5.137148990242777,5.562894977173489,6.270984703002303
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0878250991037193,2.7826223429891876,3.871672875556474,1.3905835799137365,2.163479024608645,2.414088249319073,3.642218802582513,4.328082968969886,4.648771265307878,5.65865739663244,4.902579590800597,5.861053668091033
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8703861175895447,4.959446910034361,2.1397750307370997,2.4801926311702474,3.3940305920473866,4.504472593961374,5.277104099980777,4.453146616810004,5.578066686978105,4.454408824285691,5.4205105765989385
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089082231622826,2.419743372836975,3.397210562837829,1.398207351623443,2.4290226749684947,2.454958194140768,6.099784466916287,6.741020076094027,6.768355234340983,7.627311632175705
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4086257309671444,4.297037978523294,2.1605942477311864,2.694198983928954,2.300976889104551,6.892508022716318,7.408609499050122,7.6495783487701425,8.466010943151973
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0855574143974385,1.4005327625953368,2.366209711567722,3.176240201295765,5.975695558911873,6.9325760980428575,6.285809802266298,7.247108830123265
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1475434738150327,2.570488171284271,3.5181840212580218,6.70706583489392,7.726134690178032,6.892059650101076,7.863604711659093
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3675887418298638,1.9165632228456104,6.601776923220744,7.405830786938907,7.1061919377087825,8.03400139987219
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701360276295788,7.942258617360238,8.73769209513196,8.440016774156897,9.37765845465258
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.366272003027115,9.066233146753458,8.96303790649958,9.873989783367614
40C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2137877029187931,1.3497556832987798,1.8781326626324988
41O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.254320768015805,2.291482449877964
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767666408633642
43H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
