 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,C25,H26,H27,H28,C29,H30,H31,H32,C33,O34,O35,H36
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003966100424848129,0.000893944663377777,0.000958068803450729,8.436139767664663e-05,0.0001153648937279872,3.466604601998213e-05,2.9989261197016504e-05,6.358527222527499e-07,1.0977470221718022e-06,1.0489783253575524e-05,1.446273236282991e-06,3.589527754810362e-06,2.7982847772278774e-07,6.70728856677627e-07,1.225901947066177e-06,0.00014456750168512222,1.2152312318658431e-06,0.00010530348999293615,0.0002096921254295392,2.2478804276415687e-05,1.6769523868198632e-05,6.981466645461509e-06,1.3613574840753984e-06
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09910221199606,3.4829894890550293,0.13983200337273394,0.2734940326079383,0.02764365131844526,0.029463703920012824,0.0021401576836186376,0.006247303769410406,0.0021593827737102222,0.00035875250808059533,0.0007016953719345131,1.616648318814029e-05,0.00012049004631031757,4.347046861008508e-05,0.003017938099833112,0.0006183301207565162,0.00042710152398806045,0.0014726105745201945,0.029414205262617427,0.006613430224536115,0.005865743285940611,0.001254062288416402
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5508032152027733,0.025134213427186025,0.07082778391591567,0.038112892196453085,0.01939330274161262,0.0009741735704179577,0.015679179591199577,0.0016089716202843385,0.0003845393466970215,0.00035287609653947283,3.938545490922429e-05,7.372856338494493e-05,3.0191955073588517e-05,0.002337398808155977,0.00045707039049402987,9.522003267181667e-05,0.0014559750598084342,0.009170361869371868,0.004257159734965044,0.001318826882829749,0.0002652094932262816
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8966873025410056,2.6463655548788636,0.100235105632407,0.16912445969359322,0.02537587300035693,0.009590019204952394,0.008715821766291862,0.0005032389094692391,0.0024798306081915272,4.4541933987396476e-05,0.00043161311206074693,0.0003292177128644269,0.01905097666752642,0.002219792676716237,0.0015134213323406698,0.01413900823456471,0.1907005059711286,0.055437281531998894,0.027045013774692844,0.005073719209928829
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09438210425631777,0.016201215400301283,0.009278706628560451,0.0006685039114304736,0.0002879861107698556,0.0006105840933777751,2.2076502568024736e-05,0.00027494099776148584,3.1628814234352376e-06,2.1930465741393235e-05,4.999036311037486e-05,0.004263414196974291,0.0003306041771689028,4.980893260886354e-05,0.005473614028388862,0.031625338768720423,0.07517974788511084,0.005110402698137895,0.00016940337031168262
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8312328289148092,2.799847161422104,0.09922238947873163,0.09733644427095256,0.14214202361522538,0.007242282574400294,0.033737759784593285,0.0006589719058218702,0.0047541331653018215,0.000990406526505172,0.01082404337087825,0.0007790854671581027,0.0005724039658221436,0.0022761407984717152,2.560452259601754,0.27806421463551795,0.21787980431297793,0.05335955779713897
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09065387858157559,0.008548997507102696,0.0035315795132564443,0.0223313698130041,0.0003420328872021372,0.0021627176125230685,3.1103818049160736e-05,0.0006722577187321388,1.2523355694016303e-05,0.001435749656511387,0.00022888192724912493,0.0001277419033318683,0.0007209070624845104,0.12429989538200559,0.032313043815940024,0.010883481798977579,0.0005939062660849093
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7422325234465648,1.8246207278469204,2.4644696402132475,0.08241330945751058,0.1870101998479005,0.009680705805200418,0.0310683829882914,0.011058032996517086,0.1560911422756327,0.03104601501040616,0.009320188797371287,0.004888816053499889,0.18904984750496678,0.04436075269946396,0.027663788821025465,0.0019215566048051969
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466693665811334,0.08788841451710305,0.004464543655244846,0.01386299543859515,0.0002342396369161559,0.0009544347156194011,0.0063640352564722225,0.030080726563456728,0.0015616433019145504,0.0004299948851025359,0.0002759036427957273,0.0033925219519779226,0.000592394534306484,0.00689639923974561,0.0002413635222169308
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08249002469765632,0.03551815189243368,0.00919022429619698,0.004289585363015602,0.0005192624179439775,0.00019634276815572171,0.007966208132922259,0.0003308969357083136,0.003828606970974313,0.00010050211012768706,0.026165114380780397,0.004241365700559996,0.003862925421696528,0.0004005041853005764
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.798623461519924,2.885946991086943,0.07930564536166829,0.08406162792929606,0.08094786463063808,2.6539396193144773,0.08779293256350185,0.08152011098792089,0.08536397078142666,0.02872262505967968,0.0044225155472799454,0.007980164633219891,0.0005477901995075696
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07841102081413975,0.03448051668261454,0.004649731659926326,0.004452346560094966,0.07965984138193327,0.0037453844913921674,0.03465101480661703,0.005365366202576771,0.014809667935244741,0.0009694841040579494,0.00857433669191554,0.0003680239058345691
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8134647733776075,1.708737839573594,1.8474544776850035,0.16974363989777563,0.012730230920149355,0.007828801356859705,0.03054736397915403,0.004057248840465821,0.0006256138536764183,0.0006902776434643404,5.574677006436879e-05
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02304449846875989,0.02305893253215352,0.009080844012526512,0.0001950752283566004,0.0037964880602232576,0.0005297808711306473,0.0014026354330267665,0.00028069184868706465,0.0002595682212096495,3.509078910890473e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024123191739520156,0.010233870452730498,0.005437516871967141,0.00015638889060087813,0.0007043794498369227,0.0003282460324278702,0.0001893296874402317,6.163698651251437e-05,1.3716098052896086e-06
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03143159674447449,0.0009241869130287572,0.00042240606852628204,0.002829144138092099,9.9486385473746e-05,1.3356425964117236e-05,2.4083670672636615e-05,3.853224997296678e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6909121935874707,1.9095895635927342,2.1444280216724385,0.0032546228299914215,0.0035846097113169384,0.001223859170215169,6.944117290585972e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023269158705442994,0.024913483639881884,0.0002743943380831837,8.933799886312599e-05,1.759609712470578e-05,1.0597679632740054e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02382452724175943,0.00037431698596335217,9.19571625064286e-05,0.0002611253172011274,3.6934150691392276e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002817150159057258,0.006487669837309529,0.0008009607673649111,1.158446638949151e-05
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.140225247039899,3.2648677760518243,0.1706665722070414
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49477473759406454,0.06710373286547333
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5875005048792494
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
