,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25C,26H,27H,28H,29C,30H,31H,32H,33C,34O,35O,36H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1008815458079657,1.0990270631489172,3.3546344154152528,4.4727004425825925,3.388635474112653,2.8550102785684306,4.7780650217283185,5.434958196777255,5.481682401132418,6.5314258794450515,5.336435004581299,5.615756152463726,6.073256373073706,6.843040231671475,6.768231735369235,7.258024966676896,7.69037237579818,4.530077866535277,5.151932336752624,4.242388703560577,3.7583552230488304,5.26050538534336,4.805706763552938,6.6037333929312645,6.998964990122642
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7665384767113153,3.6470362030602783,4.817675588667361,3.252162693274004,2.53442278626053,4.477540419603322,5.2968429554179925,5.116730407488772,6.173380974565161,5.153383685415935,5.012381247059804,5.344038757765519,6.287794898464092,6.351626695121665,6.59560314612922,7.158824707326053,3.8460885304834713,4.355366646428211,3.772516565979238,2.962391378995927,4.72824646413474,4.152241468776023,6.05324736177931,6.35864133446884
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.363492741062908,5.455677388246992,4.451927989443979,3.850590124642604,5.842589248737408,6.482873858443056,6.5715841985553025,7.623267285700585,6.427142963656726,6.638332393850335,7.056603457217094,7.84804618049524,7.765775302929261,8.194418081434753,8.727786271402938,5.468144162968558,5.972863905321503,5.180663546705435,4.676957039096656,6.22688355837091,5.65058885984775,7.574816262344818,7.900629062108205
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.228638881556987,1.3649288952800553,2.0630871777827395,2.4534989497943056,2.5723751286773364,3.306314334816263,4.09528464680509,2.9804967175315435,4.320758595408151,4.91602096765885,5.471900899003713,5.346800853808942,6.316258418208382,5.952858630861396,4.166767391938281,5.230353616411865,3.880829582122591,3.778306683644254,3.640560129564527,3.9823464001545332,4.729068173401142,5.46720041609633
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27408826065477,3.1666896718961803,2.788027030776872,2.5133933726445448,3.343162297201367,3.9032193460344438,2.776645231830341,4.610007199691846,5.298757866529052,5.520993529490293,5.266684330041761,6.48222685512136,5.848873659808645,4.744597217604341,5.830093363961487,4.3611115086692545,4.594268973254909,4.183616549988569,4.795244415368438,5.026164130647827,5.878772534465336
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0113782267733276,1.452349880376322,2.067519219178837,2.537125959226507,3.407747117306416,2.65708844215539,3.3494367713325928,3.7529914295739535,4.70829729931303,4.833983572860867,5.471518802810092,5.202218818619374,3.2500909009443144,4.2957345961167555,3.3049602865844134,2.7201056717763903,2.3999352460842296,2.6933240619141356,3.6037280926230673,4.271810672526298
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11113178141811,2.847277979973119,3.224182543442598,4.123094272353251,3.4977588195912506,3.685648229149122,3.911501247030984,5.15170493625785,5.381078404997338,5.765621296239399,5.729863759207416,3.303270416144472,4.222157537849425,3.507104534881919,2.479616173664912,2.444746758419182,2.247853590131103,3.7819912593755958,4.24996941227256
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097818986456917,1.554730316336699,2.144865118927795,2.1351687330925833,2.6589206979427567,2.8871486867178677,3.9621832247468585,4.283783072190347,4.815318692815669,4.202477571677634,3.229953211431076,4.246141964964705,3.5459039960125915,2.9764205585017676,1.5194925013439067,2.430032047939457,2.38011050840653,3.2123260121859922
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1363911564848066,2.298342218133711,2.487402805402607,3.5230575851160806,3.7522309014148645,4.6252867505842294,4.865204148370354,5.57689989893753,4.668137722727785,4.253274230982237,5.281615514748983,4.457367261714535,4.061082490709533,2.1331155924607375,3.131506951763818,2.6050451065236913,3.4996445884303062
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971560924748063,1.0964659533556123,1.5425590192173528,2.152545797130736,2.510238547422251,2.7870470779212915,3.477122640116519,2.7409558212084213,2.5844810485959138,3.525734308854583,2.8343394839646057,2.895591959780689,2.5516137153886094,3.507099410507897,2.94915490486878,3.817966794579911
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7585519337980706,2.1535786456976034,2.4724382157899343,2.6668468704269612,3.044746796739624,3.6760848472027208,2.433735365499062,3.5056288615694506,4.316908032153377,3.8149647111757403,3.8821934606129527,2.8885580803959514,4.015084966650718,2.7776659333146623,3.6852097143409686
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1833825901030797,3.0712856919765428,2.7752586146816185,2.6017292577185267,3.794326184521775,3.1026835020029107,2.8585703977892636,3.837492298837398,2.670192290393579,3.2817396737301316,3.4533234379884323,4.3370360487487,3.9641776386925063,4.863049863197832
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1011519878737006,1.5382166170934306,2.1852007072303827,2.1858866110911706,2.1925253556063407,1.5367612798227026,2.177216304463948,2.1848632515421156,2.1966199002919744,3.0572296513400348,3.6854994010424607,3.4341048738904982,4.048588758394943
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1410168958633937,3.066968468334976,2.4876759391391228,2.492922699236634,2.147307045624723,2.5069355253050234,3.0715204596799164,2.4852894698754437,2.7109057655589996,3.2509305733597063,2.846720310104973,3.2651673383524074
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0980047039181717,1.0965845937506442,1.0967584131717814,2.524400147794506,2.718812851149821,2.8279836032324415,3.4900913455963174,4.464592862995876,5.180021285530807,4.55844646135321,5.172711183075054
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7716700159199363,1.772313430658052,2.801271387886504,3.0805923201566716,2.6612665184702635,3.8325512212485546,5.085319743868405,5.82044411011135,5.318151831000022,6.026268839029876
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7732697301278124,2.755379257127608,2.4917744322063546,3.1692968880033527,3.743193146914715,5.106571276284125,5.6545290191399005,5.189822640342391,5.6549919451575885
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49003913242828,3.731931960713786,3.839219184095456,4.350303364593178,4.63621408800312,5.507206797241148,4.421543594086127,5.047926584676401
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970603027589243,1.097674514027777,1.094223907083276,3.623862003804445,3.8226723342915254,4.406727413760356,4.898285402294899
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7718271154066851,1.7676592285281125,4.420479347183779,4.48582671677603,5.083924904977121,5.439565138062044
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7730004467585736,4.298021472294809,4.5613926370614175,5.1575729603536065,5.758708141213459
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.144640418180962,3.050593901813283,4.155668990386603,4.54725257643072
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.214660227466726,1.348858635078932,1.8761826921638876
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252851446874442,2.287241131513213
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766282977937104
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
