 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,C36,O37,N38,H39,H40,C41,O42,O43,H44
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10378533053611094,0.005810619882874901,0.002644641461723385,0.029091739485786028,0.0006530438241958425,0.004647624634696035,0.0003098056422291551,8.909758189656891e-05,2.7357955366458242e-05,0.0011889058557500443,4.694996591525502e-05,0.00013716034825805856,0.0007241668615589614,0.00033965426116289166,0.0006828591791273597,0.00015515706684499087,9.519484589959326e-05,3.608308907954161e-05,4.582142789533172e-06,1.7333951514153512e-06,4.0504786880113386e-07,6.842470128276545e-07,9.608985296338801e-08,2.2397417920316798e-08,1.0832188319653824e-06,1.5329539544306492e-05,4.3995150234010794e-07,6.183597922593265e-08,3.6940535075302705e-08,3.5246186434134685e-05,5.040457195104597e-05,5.8227883960038085e-06,1.5840983980108803e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.007150100213802,1.7501564709215764,2.8459099234427887,0.0868977622686552,0.2685555510769474,0.04009315198373892,0.02588391310948157,0.002154913771463929,0.046385505891041956,0.001492901352265652,0.00414413937931124,0.0013340307364845816,0.00041966722937782086,0.0015948856937033906,0.0005278570159183982,0.00027254689852540537,8.948018824539439e-05,2.1001643980569917e-05,1.0233191582553758e-05,1.3644742986596015e-06,5.542759090620963e-06,7.391215424146225e-07,6.704950681335475e-07,2.3870820657717617e-05,0.00011277833062449394,6.201143029627154e-06,9.77852084416142e-07,1.3131016673995077e-07,0.0010310432011415016,0.0051129584268471,0.0002964097358258422,2.6937769374346665e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023010749215008897,0.096409175969425,0.0038848666548110256,0.026190848798928856,0.0076394471069756165,0.001781559160455748,8.110912331948938e-05,0.00794188321867273,8.216064770394382e-05,0.0007361568460455548,0.00014675535470565215,1.0414362360489093e-05,2.7906526128385067e-05,3.863337109333287e-06,4.837152616454787e-06,3.2751343690406998e-06,2.237280406047759e-06,2.474328344437282e-07,2.672731080899382e-08,2.770038967092603e-07,9.376780907288662e-08,3.97273143271093e-08,5.686503350421646e-07,2.6714407745931368e-06,1.5461643165792793e-07,4.09800346989897e-08,2.309407998168922e-09,5.506601352678331e-05,0.00023429752561077155,1.4482128112169868e-05,5.530992011060221e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09635145546829871,0.018268661477474968,0.019062659049618347,0.018778220199110573,0.015807754872829483,0.0003783973006188379,0.003349019294599853,0.00015212376795670224,0.00010214635848315723,0.00016288712203049727,3.8442560579277085e-05,0.0004272686744311027,0.00022622059647003923,6.849388424945424e-05,1.765546370724458e-05,4.361689343812536e-06,1.4359403091024348e-06,2.540261549999201e-07,1.128365928915187e-06,6.182981038271862e-08,1.9851985744168132e-07,8.866601857837608e-06,3.895438397272244e-05,1.9002107145560387e-06,4.5381679902867234e-07,9.089118369054461e-08,0.0001864031988341175,0.0009286133686094988,6.477913442204386e-05,7.298673437405867e-06
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6534647638587654,3.847374865597858,0.38214125116564424,0.008516358758665077,0.02875208325416556,0.39636598544392243,0.010914197151433602,0.030032434666808383,0.0012763957841445128,0.0002539213084236519,0.001729593018824721,4.477428680571549e-05,0.000488624823800965,9.510767061748915e-05,7.111047483830679e-05,4.248542944940148e-05,3.4248184318519392e-06,3.4639040314726754e-05,1.8903304055406522e-06,8.892482971090132e-07,6.073909607495764e-06,1.0825532487476752e-05,2.478982815370956e-06,2.0472303630114652e-07,3.156206439536291e-07,0.008322578370111855,0.05564346751898032,0.00309810273694959,0.00022224565461792523
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16481785766745982,0.02506919130751817,0.0014495165864139015,0.0017476382661867351,0.01207699724035649,0.008241592620777283,0.0010945897610659117,0.0037974284590197582,0.0001868421855492075,0.007613997161417196,5.300271559161018e-05,0.0014878532544312373,0.0007046752604029649,0.00014679660047967058,0.00018206303943668622,3.265940671015599e-06,7.746590528390218e-05,3.652936067854995e-06,4.9013703722344815e-06,1.602544581069676e-05,2.745294357486827e-05,6.326066600337299e-06,3.698189992018541e-07,5.106749301209135e-07,0.021922255447023975,0.1876802809294713,0.006984803094451819,0.00024595307151242807
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6632023575442116,0.14888796545235383,0.1522095234841041,3.7338143298829545,0.1517828235758062,0.15464032406438255,0.0002330544437080806,7.675734084934549e-05,0.0003465970465931778,4.769217209599219e-06,0.00029329946004405527,4.17875697860115e-05,2.799894774815903e-05,6.763882396843002e-06,6.805016665722974e-07,8.14239043023246e-06,5.914762759573478e-07,8.105658337864696e-07,1.1548351390999745e-06,1.363717391969499e-06,5.121225845755584e-07,4.082274307481981e-08,9.326499472717131e-08,0.0019106815076908867,0.009974692678824698,0.000400961580825393,8.309089395719393e-05
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.896177052227796,1.984100707443294,0.3572978233507628,0.02586028461744705,0.012626120862658796,7.28419689460802e-05,2.3443735933312282e-05,8.451369946621545e-05,6.574204269194084e-06,7.93241208173201e-05,1.0989816609185965e-05,1.0857429754207448e-05,1.6565423016645653e-06,2.092378341700396e-07,2.5665515742678835e-06,1.990733643486564e-07,2.894912178863507e-07,7.395533851151104e-07,1.9555810828186804e-06,2.720916145310115e-07,2.6810789255371503e-08,3.032408768532946e-08,0.0005704742999405044,0.0023465539762936583,0.00010653657384358806,1.5776749816120983e-05
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037032663789808185,0.027303572140114807,0.002675186007439434,0.000893545805862983,1.0964127949875113e-05,6.32237836739602e-06,3.198463488862657e-05,3.955821059165032e-06,3.067552653868155e-05,1.0322503286586127e-05,1.4327260300373013e-06,6.599101900484072e-07,7.336230134491473e-08,6.401851597725994e-07,3.499396838968494e-08,9.202242390315973e-08,4.101135437917236e-07,1.4258163070213214e-06,1.3443041557703594e-07,2.6143800901934355e-08,1.4497020250914261e-08,7.004902658869216e-05,0.0002827262749977022,9.71839954644338e-06,1.2575905667944198e-06
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012624301017852502,0.0009572274936244796,0.00551700722007209,8.581038362764914e-06,2.805124578730833e-06,4.939136512671638e-06,1.1535292756548188e-06,1.026248234181626e-05,1.5611471939624977e-06,9.256320865347334e-07,1.075747422252249e-07,4.7874790354285324e-08,4.4088979689327346e-07,3.516251845248064e-08,3.104539092468883e-08,1.5737663594528328e-07,2.587351478622324e-07,5.130031166533655e-08,4.408926557175619e-09,4.2891004081724304e-09,6.62473649195583e-05,0.00030300078981526646,2.3935903287641835e-05,3.1911155891073406e-06
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.732901628598098,1.809272312690359,7.956839785319691e-05,6.141586364604573e-05,0.00016494191625093801,9.843982118340477e-06,0.0025666417101192635,0.0003456126028942297,9.737264220270603e-05,2.2885285170803904e-05,4.7765027816337735e-06,3.5336357121190654e-05,2.1022881047105813e-06,7.454243648785663e-06,4.126104656360097e-06,1.243935640687921e-06,1.477636309504815e-06,1.7309766964235251e-07,4.398339066291612e-07,0.009376391461894396,0.060646804161131856,0.0007786818241696941,0.00048471726125676184
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039625897078787276,6.960680304135547e-05,0.00015279308477511577,0.0004156444551879357,3.354940018973629e-05,0.008200001611874619,0.00048736049041542273,0.0002973575970310893,4.054037352285711e-05,1.6211360623463733e-05,0.00011627841314298948,5.37649271414864e-06,1.380677016249443e-05,1.1356691486885673e-05,2.5529926525047486e-06,4.320041921301865e-06,5.037410688579769e-07,1.0876003084803187e-06,0.022137102317070445,0.19793518905798135,0.0013090558332984337,0.0019124667475822754
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.164951095815162e-06,2.5784636623615853e-06,1.6567691110913607e-05,9.722296145930898e-08,5.839481649827505e-05,2.652440675721124e-05,3.860565451430098e-06,1.6551255244134921e-06,6.822326770183906e-08,5.418344488639093e-07,2.0183725579769884e-08,2.576371542772904e-07,1.1276954225980518e-07,5.113335899142868e-08,2.8078506630890843e-08,2.832200474145452e-09,9.734238748393409e-09,0.0003827580103132888,0.0015710235596297917,3.921662457762043e-05,3.9267275948606795e-06
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.364628338708224,3.635889896522628,0.13224004914238774,0.293944475954559,0.024974907082701003,0.03109656363186028,0.0010788969737509646,0.004335982118145454,0.0018864597868223087,0.0003731646625377838,0.00013469039503899438,0.0021885109431733496,0.01141474158509756,0.0006991679053863498,0.00010590049892811315,3.6771457183504275e-05,0.053656122250036686,0.013370672026259911,0.0064630715548398,0.000443129219483418
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5459365286869953,0.022973208892840935,0.08233167192090932,0.019424849230977204,0.01163294131964706,0.0006813263138981673,0.0011953949845846523,0.0020050150000599787,0.0005287901162094322,0.0001672654259717854,0.0010475164000311454,0.004016455481473575,0.0002620452061354306,8.518508411614611e-05,4.028553995238937e-05,0.1055928111465444,0.02274474890367948,0.01013310019301545,0.00045352919556229665
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5509058740512058,2.927313137496771,0.0987716055382224,0.17198733402691124,0.008739753383796067,0.024836301226884072,0.015030034240493872,0.0020742433826678175,0.0010380131004247284,0.015236571443536073,0.10105326398054512,0.004875230980122949,0.0008230642557431889,0.00023784322459641238,0.1968962706320039,0.029194513938409244,0.028486453087931685,0.005057576384701834
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09982285776246203,0.00610003568535622,0.015028079329041155,0.0019539024112738,0.0008274466851703188,0.0030090483932766476,0.0001803077179722834,0.00027872754449975723,0.03361953880930779,0.25404478423886057,0.008548801898951464,0.0003103930368568708,0.00010560623763744559,0.014394333280553173,0.0006998370552111499,0.0026607110146564805,0.0011416333059126593
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0834918372584235,2.7948803188690157,0.08344766768745693,0.10082867747863433,0.1608867915077185,0.019993209770480913,0.018434684531063894,0.00941660432545266,0.007842546811015816,0.003008998382984865,0.0005132918858493651,0.0004703048050469505,2.731334417689822,0.2532282532552304,0.2260774692493835,0.053845608026750424
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08261246522575039,0.03413218269396401,0.004000947696831236,0.01033337871828055,0.0002457863440092911,0.0055172023674940895,0.0007294622546079044,0.0003838516213405807,0.00021135281512285609,2.095716664829439e-05,1.742701577134298e-05,0.11508049665265663,0.022182348061337898,0.017151715900124098,0.0013592104172692743
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.136619037523288,2.1347175223787866,2.848310471476371,0.0908509647831367,0.08254244712783954,0.17290029186498387,0.03336526710237507,0.031697290222350544,0.0015202192559998773,0.003853390160479253,0.2045382103623743,0.03785188197858111,0.02855338193189917,0.0020316901967729617
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02586776119378542,0.08030800390354909,0.0012493687145651577,0.028121862194704805,0.017047262205840186,0.008847601096622082,0.0017720358471589037,0.0001603038240003407,0.00016901010220427004,0.009580442529354416,0.004292139882350554,0.0010625424829531216,3.479910974535372e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09275128720169135,0.011379044016210482,0.0013452844740542425,0.02133398783252405,0.003992058931874487,0.002192548204675737,5.349187318004489e-05,0.0006128699213978628,0.013875105042348235,0.001822472085817206,0.006343363494271781,0.0001631759512561448
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8625097991138506,1.9572589818200015,2.721848907296508,0.2757808180301782,0.2354714669886051,0.01533867887468554,0.043099531143002245,0.03299869964152799,0.007884523251960346,0.004309890871265432,0.0006621379970034313
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026555507361082364,0.10378184178034444,0.02613876418499017,0.013041143808718014,0.007819800022658807,0.0014398353641780215,0.002531004715692786,0.0006148873359672624,0.00037708207512598957,7.386601772418899e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11389057461726404,0.025330557307108204,0.020361658342599398,0.00016734621115910286,6.484417538366039e-05,0.001618081118054393,0.0005738093563059099,0.00022077723226310297,4.461286334134229e-05
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.127649415310187,3.769000013094702,0.13711556963402016,0.15294238624715284,0.002961327723199958,0.0004671769600289588,0.0007057776823055917,4.903776258025072e-05
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55004625997283,0.031164248654114268,0.026040194737133704,0.0011154562524596096,0.0002083932157108323,0.0003094212824602677,7.868929161947147e-05
N38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6451354694647287,1.847675446663593,0.000994772596868615,0.00025685994147026103,0.0002301078328846573,1.7538387836690816e-05
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037707827962000895,9.81850555499264e-05,3.650006625188773e-05,1.743333866932595e-05,3.8167396425592415e-06
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023028784853118545,6.988863472456863e-05,4.320825183368182e-05,2.5726803865033787e-06
C41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.841620472662871,3.6200107850792858,0.17351345558005993
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5004986979410201,0.05760873757958751
O43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7993808926204578
